"","date","AAL"
"1","2007-01-03",56.299999
"2","2007-01-04",58.84
"3","2007-01-05",58.290001
"4","2007-01-08",57.93
"5","2007-01-09",57.900002
"6","2007-01-10",58.93
"7","2007-01-11",61.200001
"8","2007-01-12",60.810001
"9","2007-01-16",61.959999
"10","2007-01-17",58.650002
"11","2007-01-18",57.830002
"12","2007-01-19",58.290001
"13","2007-01-22",57.029999
"14","2007-01-23",53.27
"15","2007-01-24",53.349998
"16","2007-01-25",53.860001
"17","2007-01-26",52.130001
"18","2007-01-29",54.43
"19","2007-01-30",53.099998
"20","2007-01-31",55.98
"21","2007-02-01",57.990002
"22","2007-02-02",57.98
"23","2007-02-05",58.41
"24","2007-02-06",58.310001
"25","2007-02-07",58.080002
"26","2007-02-08",59.310001
"27","2007-02-09",58.139999
"28","2007-02-12",58.880001
"29","2007-02-13",59.169998
"30","2007-02-14",57.790001
"31","2007-02-15",57.400002
"32","2007-02-16",56.700001
"33","2007-02-20",56.380001
"34","2007-02-21",55.73
"35","2007-02-22",54.619999
"36","2007-02-23",54.25
"37","2007-02-26",53.34
"38","2007-02-27",51.790001
"39","2007-02-28",52.290001
"40","2007-03-01",52.080002
"41","2007-03-02",50.650002
"42","2007-03-05",50.09
"43","2007-03-06",50.23
"44","2007-03-07",49.349998
"45","2007-03-08",49.310001
"46","2007-03-09",48.93
"47","2007-03-12",49.450001
"48","2007-03-13",47.439999
"49","2007-03-14",45.779999
"50","2007-03-15",46.540001
"51","2007-03-16",46.389999
"52","2007-03-19",47.860001
"53","2007-03-20",48.529999
"54","2007-03-21",49.41
"55","2007-03-22",47.900002
"56","2007-03-23",47.580002
"57","2007-03-26",46.720001
"58","2007-03-27",46.709999
"59","2007-03-28",46.41
"60","2007-03-29",45.529999
"61","2007-03-30",45.48
"62","2007-04-02",45.049999
"63","2007-04-03",47.869999
"64","2007-04-04",46.490002
"65","2007-04-05",47.049999
"66","2007-04-09",47.810001
"67","2007-04-10",45.84
"68","2007-04-11",45.009998
"69","2007-04-12",44.119999
"70","2007-04-13",45.23
"71","2007-04-16",45.34
"72","2007-04-17",45.950001
"73","2007-04-18",46.98
"74","2007-04-19",45.419998
"75","2007-04-20",45.310001
"76","2007-04-23",43.209999
"77","2007-04-24",42.77
"78","2007-04-25",42.650002
"79","2007-04-26",39.330002
"80","2007-04-27",37.18
"81","2007-04-30",36.939999
"82","2007-05-01",37.060001
"83","2007-05-02",36.18
"84","2007-05-03",35.549999
"85","2007-05-04",36.150002
"86","2007-05-07",35.110001
"87","2007-05-08",34.400002
"88","2007-05-09",34.34
"89","2007-05-10",33.279999
"90","2007-05-11",33.360001
"91","2007-05-14",33.529999
"92","2007-05-15",32.450001
"93","2007-05-16",32.98
"94","2007-05-17",33.27
"95","2007-05-18",33.48
"96","2007-05-21",33.009998
"97","2007-05-22",34.77
"98","2007-05-23",34.950001
"99","2007-05-24",35.130001
"100","2007-05-25",34.25
"101","2007-05-29",35.599998
"102","2007-05-30",35.66
"103","2007-05-31",35.650002
"104","2007-06-01",35.25
"105","2007-06-04",33.950001
"106","2007-06-05",33.529999
"107","2007-06-06",32.630001
"108","2007-06-07",30.200001
"109","2007-06-08",30.889999
"110","2007-06-11",29.66
"111","2007-06-12",29.190001
"112","2007-06-13",28.719999
"113","2007-06-14",28.799999
"114","2007-06-15",27.610001
"115","2007-06-18",27.290001
"116","2007-06-19",29.139999
"117","2007-06-20",29.709999
"118","2007-06-21",29.5
"119","2007-06-22",29.34
"120","2007-06-25",29.24
"121","2007-06-26",28.26
"122","2007-06-27",29.67
"123","2007-06-28",31
"124","2007-06-29",30.27
"125","2007-07-02",30.700001
"126","2007-07-03",32.860001
"127","2007-07-05",33.82
"128","2007-07-06",34.619999
"129","2007-07-09",35.860001
"130","2007-07-10",33.830002
"131","2007-07-11",34.73
"132","2007-07-12",34.93
"133","2007-07-13",34.099998
"134","2007-07-16",34.959999
"135","2007-07-17",35.299999
"136","2007-07-18",34.91
"137","2007-07-19",36
"138","2007-07-20",34.709999
"139","2007-07-23",34.5
"140","2007-07-24",35.279999
"141","2007-07-25",34.84
"142","2007-07-26",34.57
"143","2007-07-27",33.48
"144","2007-07-30",32.68
"145","2007-07-31",31.01
"146","2007-08-01",30.440001
"147","2007-08-02",30.700001
"148","2007-08-03",31.139999
"149","2007-08-06",30
"150","2007-08-07",31.27
"151","2007-08-08",31.389999
"152","2007-08-09",29.15
"153","2007-08-10",28.98
"154","2007-08-13",29.459999
"155","2007-08-14",28.719999
"156","2007-08-15",25.59
"157","2007-08-16",26.91
"158","2007-08-17",26.309999
"159","2007-08-20",26.66
"160","2007-08-21",28.51
"161","2007-08-22",30.57
"162","2007-08-23",29.620001
"163","2007-08-24",30.719999
"164","2007-08-27",29.780001
"165","2007-08-28",28.700001
"166","2007-08-29",29.84
"167","2007-08-30",30.16
"168","2007-08-31",30.950001
"169","2007-09-04",32.560001
"170","2007-09-05",31.57
"171","2007-09-06",31.139999
"172","2007-09-07",29.809999
"173","2007-09-10",29.51
"174","2007-09-11",31.15
"175","2007-09-12",29.889999
"176","2007-09-13",29.9
"177","2007-09-14",30.08
"178","2007-09-17",29.16
"179","2007-09-18",29.790001
"180","2007-09-19",30.459999
"181","2007-09-20",29.76
"182","2007-09-21",29.389999
"183","2007-09-24",25.98
"184","2007-09-25",26.6
"185","2007-09-26",26.9
"186","2007-09-27",26.5
"187","2007-09-28",26.25
"188","2007-10-01",27.459999
"189","2007-10-02",28.65
"190","2007-10-03",29.040001
"191","2007-10-04",29.51
"192","2007-10-05",30.01
"193","2007-10-08",30.57
"194","2007-10-09",31.530001
"195","2007-10-10",30.799999
"196","2007-10-11",29.15
"197","2007-10-12",30.15
"198","2007-10-15",28.200001
"199","2007-10-16",28.790001
"200","2007-10-17",28.809999
"201","2007-10-18",27.719999
"202","2007-10-19",26.379999
"203","2007-10-22",26.5
"204","2007-10-23",28.67
"205","2007-10-24",28.74
"206","2007-10-25",27.389999
"207","2007-10-26",27.35
"208","2007-10-29",27.07
"209","2007-10-30",28.469999
"210","2007-10-31",27.66
"211","2007-11-01",26.84
"212","2007-11-02",25.879999
"213","2007-11-05",25.15
"214","2007-11-06",23.08
"215","2007-11-07",22.6
"216","2007-11-08",22.040001
"217","2007-11-09",21.030001
"218","2007-11-12",22.030001
"219","2007-11-13",23.41
"220","2007-11-14",23.48
"221","2007-11-15",23.23
"222","2007-11-16",22.41
"223","2007-11-19",20.610001
"224","2007-11-20",19.219999
"225","2007-11-21",19.940001
"226","2007-11-23",20.35
"227","2007-11-26",19.549999
"228","2007-11-27",19.51
"229","2007-11-28",20.969999
"230","2007-11-29",20.059999
"231","2007-11-30",20.77
"232","2007-12-03",19.93
"233","2007-12-04",19.620001
"234","2007-12-05",18.040001
"235","2007-12-06",17.540001
"236","2007-12-07",18.25
"237","2007-12-10",18.76
"238","2007-12-11",17.59
"239","2007-12-12",15.31
"240","2007-12-13",15.74
"241","2007-12-14",15.66
"242","2007-12-17",14.76
"243","2007-12-18",14.81
"244","2007-12-19",15.44
"245","2007-12-20",15.5
"246","2007-12-21",15.4
"247","2007-12-24",15.98
"248","2007-12-26",15.72
"249","2007-12-27",15.18
"250","2007-12-28",14.71
"251","2007-12-31",14.71
"252","2008-01-02",13.32
"253","2008-01-03",12.72
"254","2008-01-04",12.41
"255","2008-01-07",12.23
"256","2008-01-08",11.01
"257","2008-01-09",10.89
"258","2008-01-10",12.55
"259","2008-01-11",11.89
"260","2008-01-14",12.04
"261","2008-01-15",12.51
"262","2008-01-16",12.54
"263","2008-01-17",12.51
"264","2008-01-18",12.92
"265","2008-01-22",12.02
"266","2008-01-23",13.14
"267","2008-01-24",12.66
"268","2008-01-25",12.29
"269","2008-01-28",13.33
"270","2008-01-29",13.1
"271","2008-01-30",13.38
"272","2008-01-31",13.84
"273","2008-02-01",15.39
"274","2008-02-04",14.46
"275","2008-02-05",14.55
"276","2008-02-06",15.34
"277","2008-02-07",15.4
"278","2008-02-08",15.17
"279","2008-02-11",15.11
"280","2008-02-12",14.9
"281","2008-02-13",15.32
"282","2008-02-14",14.04
"283","2008-02-15",14.41
"284","2008-02-19",13.91
"285","2008-02-20",14.21
"286","2008-02-21",13.93
"287","2008-02-22",13.48
"288","2008-02-25",13.7
"289","2008-02-26",13.89
"290","2008-02-27",13.8
"291","2008-02-28",13.15
"292","2008-02-29",12.4
"293","2008-03-03",11.99
"294","2008-03-04",12.61
"295","2008-03-05",12.76
"296","2008-03-06",11.56
"297","2008-03-07",10.99
"298","2008-03-10",10.29
"299","2008-03-11",9.98
"300","2008-03-12",9.02
"301","2008-03-13",8.76
"302","2008-03-14",8.29
"303","2008-03-17",7.45
"304","2008-03-18",7.98
"305","2008-03-19",8.43
"306","2008-03-20",8.73
"307","2008-03-24",9.1
"308","2008-03-25",9.12
"309","2008-03-26",8.53
"310","2008-03-27",8.2
"311","2008-03-28",8.57
"312","2008-03-31",8.91
"313","2008-04-01",9.63
"314","2008-04-02",9.17
"315","2008-04-03",9.25
"316","2008-04-04",9.43
"317","2008-04-07",9.62
"318","2008-04-08",9.87
"319","2008-04-09",8.84
"320","2008-04-10",9.16
"321","2008-04-11",8.81
"322","2008-04-14",8.74
"323","2008-04-15",8.15
"324","2008-04-16",8.05
"325","2008-04-17",7.87
"326","2008-04-18",8.03
"327","2008-04-21",7.83
"328","2008-04-22",6.84
"329","2008-04-23",6.25
"330","2008-04-24",7.06
"331","2008-04-25",7.16
"332","2008-04-28",8.62
"333","2008-04-29",8.96
"334","2008-04-30",8.59
"335","2008-05-01",9.35
"336","2008-05-02",8.72
"337","2008-05-05",8.32
"338","2008-05-06",8.03
"339","2008-05-07",7.34
"340","2008-05-08",7.04
"341","2008-05-09",7.08
"342","2008-05-12",6.99
"343","2008-05-13",6.98
"344","2008-05-14",7.25
"345","2008-05-15",7.62
"346","2008-05-16",7.8
"347","2008-05-19",7.31
"348","2008-05-20",6.87
"349","2008-05-21",5.35
"350","2008-05-22",5.22
"351","2008-05-23",4.18
"352","2008-05-27",4.44
"353","2008-05-28",4.08
"354","2008-05-29",4.32
"355","2008-05-30",3.96
"356","2008-06-02",3.76
"357","2008-06-03",4.06
"358","2008-06-04",4.19
"359","2008-06-05",4.42
"360","2008-06-06",4.12
"361","2008-06-09",3.92
"362","2008-06-10",3.78
"363","2008-06-11",3.2
"364","2008-06-12",2.69
"365","2008-06-13",2.86
"366","2008-06-16",3.11
"367","2008-06-17",3.26
"368","2008-06-18",3.01
"369","2008-06-19",3.54
"370","2008-06-20",3.15
"371","2008-06-23",2.54
"372","2008-06-24",2.44
"373","2008-06-25",2.58
"374","2008-06-26",2.45
"375","2008-06-27",2.45
"376","2008-06-30",2.5
"377","2008-07-01",2.41
"378","2008-07-02",2.37
"379","2008-07-03",2.4
"380","2008-07-07",2.47
"381","2008-07-08",2.7
"382","2008-07-09",2.61
"383","2008-07-10",2.42
"384","2008-07-11",2.18
"385","2008-07-14",1.91
"386","2008-07-15",1.76
"387","2008-07-16",2.24
"388","2008-07-17",2.53
"389","2008-07-18",2.87
"390","2008-07-21",2.69
"391","2008-07-22",4.27
"392","2008-07-23",5.06
"393","2008-07-24",4.52
"394","2008-07-25",4.54
"395","2008-07-28",4.17
"396","2008-07-29",4.85
"397","2008-07-30",4.87
"398","2008-07-31",5.06
"399","2008-08-01",5.16
"400","2008-08-04",5.68
"401","2008-08-05",6.7
"402","2008-08-06",6.66
"403","2008-08-07",6.77
"404","2008-08-08",7.96
"405","2008-08-11",8.39
"406","2008-08-12",9.39
"407","2008-08-13",9.11
"408","2008-08-14",8.86
"409","2008-08-15",9.02
"410","2008-08-18",8.99
"411","2008-08-19",7.64
"412","2008-08-20",7.51
"413","2008-08-21",6.8
"414","2008-08-22",7.86
"415","2008-08-25",7.78
"416","2008-08-26",7.34
"417","2008-08-27",7.08
"418","2008-08-28",8.16
"419","2008-08-29",8.49
"420","2008-09-02",8.82
"421","2008-09-03",8.54
"422","2008-09-04",7.65
"423","2008-09-05",7.91
"424","2008-09-08",7.68
"425","2008-09-09",7.13
"426","2008-09-10",6.67
"427","2008-09-11",7.52
"428","2008-09-12",7.88
"429","2008-09-15",7.84
"430","2008-09-16",9.1
"431","2008-09-17",7.74
"432","2008-09-18",7.95
"433","2008-09-19",7.91
"434","2008-09-22",6.86
"435","2008-09-23",7.06
"436","2008-09-24",6.27
"437","2008-09-25",6.22
"438","2008-09-26",6.12
"439","2008-09-29",5.6
"440","2008-09-30",6.03
"441","2008-10-01",7
"442","2008-10-02",6.92
"443","2008-10-03",6.49
"444","2008-10-06",6.18
"445","2008-10-07",5.11
"446","2008-10-08",4.13
"447","2008-10-09",3.63
"448","2008-10-10",4.6
"449","2008-10-13",5.68
"450","2008-10-14",5.54
"451","2008-10-15",5.29
"452","2008-10-16",6.78
"453","2008-10-17",7.38
"454","2008-10-20",7.39
"455","2008-10-21",7.83
"456","2008-10-22",8.49
