"","date","ABC"
"1","2007-01-03",23.055
"2","2007-01-04",23.145
"3","2007-01-05",22.865
"4","2007-01-08",23.225
"5","2007-01-09",23.15
"6","2007-01-10",23.26
"7","2007-01-11",23.629999
"8","2007-01-12",23.684999
"9","2007-01-16",23.83
"10","2007-01-17",24.184999
"11","2007-01-18",24.045
"12","2007-01-19",24.004999
"13","2007-01-22",23.764999
"14","2007-01-23",24.035
"15","2007-01-24",25.98
"16","2007-01-25",26.51
"17","2007-01-26",26.415001
"18","2007-01-29",25.91
"19","2007-01-30",26.17
"20","2007-01-31",26.190001
"21","2007-02-01",26.184999
"22","2007-02-02",26.165001
"23","2007-02-05",26.25
"24","2007-02-06",26.205
"25","2007-02-07",26.254999
"26","2007-02-08",26.334999
"27","2007-02-09",26.754999
"28","2007-02-12",26.76
"29","2007-02-13",27.049999
"30","2007-02-14",27
"31","2007-02-15",27.66
"32","2007-02-16",27.450001
"33","2007-02-20",27.530001
"34","2007-02-21",27.424999
"35","2007-02-22",27.42
"36","2007-02-23",27.504999
"37","2007-02-26",27.01
"38","2007-02-27",26.15
"39","2007-02-28",26.299999
"40","2007-03-01",26.215
"41","2007-03-02",25.84
"42","2007-03-05",25.514999
"43","2007-03-06",26.23
"44","2007-03-07",25.85
"45","2007-03-08",26.33
"46","2007-03-09",26.545
"47","2007-03-12",26.219999
"48","2007-03-13",25.555
"49","2007-03-14",25.940001
"50","2007-03-15",26.125
"51","2007-03-16",25.93
"52","2007-03-19",26.65
"53","2007-03-20",26.405001
"54","2007-03-21",26.469999
"55","2007-03-22",26.639999
"56","2007-03-23",26.945
"57","2007-03-26",26.91
"58","2007-03-27",26.65
"59","2007-03-28",26.73
"60","2007-03-29",26.735001
"61","2007-03-30",26.375
"62","2007-04-02",26.639999
"63","2007-04-03",26.985001
"64","2007-04-04",26.870001
"65","2007-04-05",27.004999
"66","2007-04-09",26.875
"67","2007-04-10",26.945
"68","2007-04-11",26.809999
"69","2007-04-12",26.875
"70","2007-04-13",27.174999
"71","2007-04-16",27.34
"72","2007-04-17",27.405001
"73","2007-04-18",27.424999
"74","2007-04-19",27.23
"75","2007-04-20",27.379999
"76","2007-04-23",27.514999
"77","2007-04-24",28.18
"78","2007-04-25",26.16
"79","2007-04-26",25.395
"80","2007-04-27",25.165001
"81","2007-04-30",24.995001
"82","2007-05-01",25.155001
"83","2007-05-02",25.575001
"84","2007-05-03",25.764999
"85","2007-05-04",25.66
"86","2007-05-07",25.684999
"87","2007-05-08",25.75
"88","2007-05-09",25.959999
"89","2007-05-10",25.68
"90","2007-05-11",25
"91","2007-05-14",25.620001
"92","2007-05-15",24.84
"93","2007-05-16",25.52
"94","2007-05-17",25.4
"95","2007-05-18",25.66
"96","2007-05-21",25.84
"97","2007-05-22",25.65
"98","2007-05-23",25.58
"99","2007-05-24",25.325001
"100","2007-05-25",26.1
"101","2007-05-29",26.17
"102","2007-05-30",26.065001
"103","2007-05-31",25.610001
"104","2007-06-01",25.67
"105","2007-06-04",25.665001
"106","2007-06-05",25.620001
"107","2007-06-06",25.514999
"108","2007-06-07",25.5
"109","2007-06-08",25.6
"110","2007-06-11",25.469999
"111","2007-06-12",25.49
"112","2007-06-13",25.67
"113","2007-06-14",25.549999
"114","2007-06-15",25.245001
"115","2007-06-18",25.209999
"116","2007-06-19",25.135
"117","2007-06-20",24.924999
"118","2007-06-21",24.975
"119","2007-06-22",24.700001
"120","2007-06-25",24.799999
"121","2007-06-26",24.725
"122","2007-06-27",25.004999
"123","2007-06-28",24.825001
"124","2007-06-29",24.735001
"125","2007-07-02",24.915001
"126","2007-07-03",25.040001
"127","2007-07-05",24.91
"128","2007-07-06",24.965
"129","2007-07-09",24.754999
"130","2007-07-10",24.35
"131","2007-07-11",24.48
"132","2007-07-12",25.040001
"133","2007-07-13",25.08
"134","2007-07-16",24.895
"135","2007-07-17",25.120001
"136","2007-07-18",24.6
"137","2007-07-19",24.565001
"138","2007-07-20",24.165001
"139","2007-07-23",24.525
"140","2007-07-24",24.594999
"141","2007-07-25",24.799999
"142","2007-07-26",23.865
"143","2007-07-27",23.165001
"144","2007-07-30",23.555
"145","2007-07-31",23.555
"146","2007-08-01",23.075001
"147","2007-08-02",22.955
"148","2007-08-03",23.045
"149","2007-08-06",23.834999
"150","2007-08-07",22.870001
"151","2007-08-08",22.559999
"152","2007-08-09",21.775
"153","2007-08-10",22.780001
"154","2007-08-13",23.35
"155","2007-08-14",22.834999
"156","2007-08-15",22.315001
"157","2007-08-16",22.200001
"158","2007-08-17",23.075001
"159","2007-08-20",23.040001
