"","date","ADSW"
"1","2016-10-06",20
"2","2016-10-07",20
"3","2016-10-10",20
"4","2016-10-11",20.049999
"5","2016-10-12",20
"6","2016-10-13",19.35
"7","2016-10-14",19.450001
"8","2016-10-17",19.540001
"9","2016-10-18",19.58
"10","2016-10-19",19.5
"11","2016-10-20",19.280001
"12","2016-10-21",19.389999
"13","2016-10-24",19.66
"14","2016-10-25",19.85
"15","2016-10-26",20.139999
"16","2016-10-27",19.9
"17","2016-10-28",20.1
"18","2016-10-31",20.030001
"19","2016-11-01",20.01
"20","2016-11-02",19.540001
"21","2016-11-03",19.43
"22","2016-11-04",19.370001
"23","2016-11-07",19.48
"24","2016-11-08",19.35
"25","2016-11-09",19.4
"26","2016-11-10",19.280001
"27","2016-11-11",19.93
"28","2016-11-14",20.16
"29","2016-11-15",20
"30","2016-11-16",19.780001
"31","2016-11-17",20
"32","2016-11-18",20
"33","2016-11-21",20
"34","2016-11-22",19.950001
"35","2016-11-23",19.860001
"36","2016-11-25",20
"37","2016-11-28",19.99
"38","2016-11-29",20.360001
"39","2016-11-30",20.059999
"40","2016-12-01",20.15
"41","2016-12-02",20.1
"42","2016-12-05",19.83
"43","2016-12-06",20.02
"44","2016-12-07",19.959999
"45","2016-12-08",19.82
"46","2016-12-09",20.27
"47","2016-12-12",20.26
"48","2016-12-13",19.969999
"49","2016-12-14",19.41
"50","2016-12-15",19.530001
"51","2016-12-16",20.15
"52","2016-12-19",20.969999
"53","2016-12-20",21.4
"54","2016-12-21",21.799999
"55","2016-12-22",21.75
"56","2016-12-23",21.98
"57","2016-12-27",21.99
"58","2016-12-28",21.85
"59","2016-12-29",22.110001
"60","2016-12-30",22.219999
"61","2017-01-03",22.459999
"62","2017-01-04",22.040001
"63","2017-01-05",22.08
"64","2017-01-06",22.24
"65","2017-01-09",22.040001
"66","2017-01-10",22.08
"67","2017-01-11",22.049999
"68","2017-01-12",21.34
"69","2017-01-13",21.709999
"70","2017-01-17",21.629999
"71","2017-01-18",21.799999
"72","2017-01-19",21.25
"73","2017-01-20",21.540001
"74","2017-01-23",21.93
"75","2017-01-24",22.030001
"76","2017-01-25",22.4
"77","2017-01-26",22.16
"78","2017-01-27",21.98
"79","2017-01-30",21.93
"80","2017-01-31",22.209999
"81","2017-02-01",22.200001
"82","2017-02-02",21.959999
"83","2017-02-03",21.82
"84","2017-02-06",21.85
"85","2017-02-07",21.74
"86","2017-02-08",22.129999
"87","2017-02-09",21.9
"88","2017-02-10",22.1
"89","2017-02-13",22.030001
"90","2017-02-14",21.93
"91","2017-02-15",22.34
"92","2017-02-16",22.129999
"93","2017-02-17",22.02
"94","2017-02-21",22.459999
"95","2017-02-22",22.120001
"96","2017-02-23",22
"97","2017-02-24",21.84
"98","2017-02-27",22
"99","2017-02-28",21.879999
"100","2017-03-01",22.5
"101","2017-03-02",23
"102","2017-03-03",23.34
"103","2017-03-06",23.309999
"104","2017-03-07",23.200001
"105","2017-03-08",22.969999
"106","2017-03-09",23.040001
