"","date","ALBO"
"1","2007-05-11",2160
"2","2007-05-14",2187.600098
"3","2007-05-15",2146.800049
"4","2007-05-16",2164.800049
"5","2007-05-17",2142
"6","2007-05-18",2121.600098
"7","2007-05-21",2161.199951
"8","2007-05-22",2160
"9","2007-05-23",2126.399902
"10","2007-05-24",2190
"11","2007-05-25",2190
"12","2007-05-29",2191.199951
"13","2007-05-30",2160
"14","2007-05-31",2145.600098
"15","2007-06-01",2208
"16","2007-06-04",2206.800049
"17","2007-06-05",2179.199951
"18","2007-06-06",2122.800049
"19","2007-06-07",2101.199951
"20","2007-06-08",2082
"21","2007-06-11",2157.600098
"22","2007-06-12",2122.800049
"23","2007-06-13",2106
"24","2007-06-14",2096.399902
"25","2007-06-15",2215.199951
"26","2007-06-18",2244
"27","2007-06-19",2460
"28","2007-06-20",2580
"29","2007-06-21",2520
"30","2007-06-22",2451.600098
"31","2007-06-25",2438.399902
"32","2007-06-26",2298
"33","2007-06-27",2361.600098
"34","2007-06-28",2338.800049
"35","2007-06-29",2376
"36","2007-07-02",2395.199951
"37","2007-07-03",2424
"38","2007-07-05",2443.199951
"39","2007-07-06",2463.600098
"40","2007-07-09",2419.199951
"41","2007-07-10",2336.399902
"42","2007-07-11",2264.399902
"43","2007-07-12",2266.800049
"44","2007-07-13",2217.600098
"45","2007-07-16",2188.800049
"46","2007-07-17",2220
"47","2007-07-18",2258.399902
"48","2007-07-19",2230.800049
"49","2007-07-20",2205.600098
"50","2007-07-23",2251.199951
"51","2007-07-24",2218.800049
"52","2007-07-25",2222.399902
"53","2007-07-26",2188.800049
"54","2007-07-27",2137.199951
"55","2007-07-30",2059.199951
"56","2007-07-31",2028
"57","2007-08-01",2013.599976
"58","2007-08-02",1989.599976
"59","2007-08-03",1880.400024
"60","2007-08-06",1809.599976
"61","2007-08-07",1822.800049
"62","2007-08-08",1879.199951
"63","2007-08-09",1741.199951
"64","2007-08-10",1797.599976
"65","2007-08-13",1920
"66","2007-08-14",1894.800049
"67","2007-08-15",1887.599976
"68","2007-08-16",1976.400024
"69","2007-08-17",1959.599976
"70","2007-08-20",1980
"71","2007-08-21",1995.599976
"72","2007-08-22",2119.199951
"73","2007-08-23",2119.199951
"74","2007-08-24",2127.600098
"75","2007-08-27",2154
"76","2007-08-28",2138.399902
"77","2007-08-29",2088
"78","2007-08-30",2166
"79","2007-08-31",2271.600098
"80","2007-09-04",2376
"81","2007-09-05",2330.399902
"82","2007-09-06",2326.800049
"83","2007-09-07",2228.399902
"84","2007-09-10",2203.199951
"85","2007-09-11",2163.600098
"86","2007-09-12",2160
"87","2007-09-13",2252.399902
"88","2007-09-14",2274
"89","2007-09-17",2250
"90","2007-09-18",2292
"91","2007-09-19",2283.600098
"92","2007-09-20",2236.800049
"93","2007-09-21",2200.800049
"94","2007-09-24",2209.199951
"95","2007-09-25",2088
"96","2007-09-26",2034
"97","2007-09-27",2068.800049
"98","2007-09-28",2044.800049
"99","2007-10-01",1911.599976
"100","2007-10-02",1969.199951
"101","2007-10-03",2007.599976
"102","2007-10-04",2016
"103","2007-10-05",2040
"104","2007-10-08",2041.199951
"105","2007-10-09",1986
"106","2007-10-10",1960.800049
"107","2007-10-11",1902
"108","2007-10-12",1910.400024
"109","2007-10-15",1927.199951
"110","2007-10-16",1950
"111","2007-10-17",1962
"112","2007-10-18",2047.199951
"113","2007-10-19",2008.800049
"114","2007-10-22",2005.199951
"115","2007-10-23",1983.599976
"116","2007-10-24",1996.800049
"117","2007-10-25",2024.400024
"118","2007-10-26",2038.800049
"119","2007-10-29",2044.800049
"120","2007-10-30",2008.800049
"121","2007-10-31",2030.400024
"122","2007-11-01",2004
"123","2007-11-02",1984.800049
"124","2007-11-05",1995.599976
"125","2007-11-06",2050.800049
"126","2007-11-07",1970.400024
"127","2007-11-08",1994.400024
"128","2007-11-09",1992
"129","2007-11-12",1876.800049
"130","2007-11-13",1772.400024
"131","2007-11-14",1731.599976
"132","2007-11-15",1736.400024
"133","2007-11-16",1934.400024
"134","2007-11-19",1999.199951
"135","2007-11-20",2013.599976
"136","2007-11-21",2014.800049
"137","2007-11-23",2049.600098
"138","2007-11-26",2103.600098
"139","2007-11-27",2109.600098
"140","2007-11-28",2118
"141","2007-11-29",2125.199951
"142","2007-11-30",2108.399902
"143","2007-12-03",2150.399902
"144","2007-12-04",2180.399902
"145","2007-12-05",2244
"146","2007-12-06",2317.199951
"147","2007-12-07",2308.800049
"148","2007-12-10",2323.199951
"149","2007-12-11",2282.399902
"150","2007-12-12",2325.600098
"151","2007-12-13",2346
"152","2007-12-14",2344.800049
"153","2007-12-17",2370
"154","2007-12-18",2438.399902
"155","2007-12-19",2494.800049
"156","2007-12-20",2540.399902
"157","2007-12-21",2640
"158","2007-12-24",2718
"159","2007-12-26",2773.199951
"160","2007-12-27",2799.600098
"161","2007-12-28",2794.800049
"162","2007-12-31",2787.600098
"163","2008-01-02",2718
"164","2008-01-03",2731.199951
"165","2008-01-04",2758.800049
"166","2008-01-07",2955.600098
"167","2008-01-08",2890.800049
"168","2008-01-09",2995.199951
"169","2008-01-10",2838
"170","2008-01-11",2822.399902
"171","2008-01-14",2818.800049
"172","2008-01-15",2841.600098
"173","2008-01-16",2661.600098
"174","2008-01-17",2403.600098
"175","2008-01-18",2310
"176","2008-01-22",2223.600098
"177","2008-01-23",2144.399902
"178","2008-01-24",2138.399902
"179","2008-01-25",2143.199951
"180","2008-01-28",2118
"181","2008-01-29",2144.399902
"182","2008-01-30",2160
"183","2008-01-31",2139.600098
"184","2008-02-01",2019.599976
"185","2008-02-04",2175.600098
"186","2008-02-05",2067.600098
"187","2008-02-06",1914
"188","2008-02-07",1800
"189","2008-02-08",1866
"190","2008-02-11",1890
"191","2008-02-12",1876.800049
"192","2008-02-13",1874.400024
"193","2008-02-14",1840.800049
"194","2008-02-15",1761.599976
"195","2008-02-19",1684.800049
"196","2008-02-20",1608
"197","2008-02-21",1580.400024
"198","2008-02-22",1627.199951
"199","2008-02-25",1708.800049
"200","2008-02-26",1711.199951
"201","2008-02-27",1694.400024
"202","2008-02-28",1632
"203","2008-02-29",1678.800049
"204","2008-03-03",1550.400024
"205","2008-03-04",1526.400024
"206","2008-03-05",1524
"207","2008-03-06",1497.599976
"208","2008-03-07",1336.800049
"209","2008-03-10",1246.800049
"210","2008-03-11",1234.800049
"211","2008-03-12",1214.400024
"212","2008-03-13",1292.400024
"213","2008-03-14",1198.800049
"214","2008-03-17",1164
"215","2008-03-18",1228.800049
"216","2008-03-19",1224
"217","2008-03-20",1270.800049
"218","2008-03-24",1310.400024
"219","2008-03-25",1324.800049
"220","2008-03-26",1284
"221","2008-03-27",1287.599976
"222","2008-03-28",1266
"223","2008-03-31",1302
"224","2008-04-01",1419.599976
"225","2008-04-02",1478.400024
"226","2008-04-03",1506
"227","2008-04-04",1490.400024
"228","2008-04-07",1546.800049
"229","2008-04-08",1540.800049
"230","2008-04-09",1585.199951
"231","2008-04-10",1540.800049
"232","2008-04-11",1512
"233","2008-04-14",1492.800049
"234","2008-04-15",1442.400024
"235","2008-04-16",1564.800049
"236","2008-04-17",1518
"237","2008-04-18",1548
"238","2008-04-21",1557.599976
"239","2008-04-22",1596
"240","2008-04-23",1653.599976
"241","2008-04-24",1677.599976
"242","2008-04-25",1621.199951
"243","2008-04-28",1648.800049
"244","2008-04-29",1635.599976
"245","2008-04-30",1660.800049
"246","2008-05-01",1683.599976
"247","2008-05-02",1701.599976
"248","2008-05-05",1689.599976
"249","2008-05-06",1785.599976
"250","2008-05-07",1740
"251","2008-05-08",1748.400024
"252","2008-05-09",1878
"253","2008-05-12",1971.599976
"254","2008-05-13",1934.400024
"255","2008-05-14",1983.599976
"256","2008-05-15",1978.800049
"257","2008-05-16",1899.599976
"258","2008-05-19",1959.599976
"259","2008-05-20",1950
"260","2008-05-21",1893.599976
"261","2008-05-22",1874.400024
"262","2008-05-23",1874.400024
"263","2008-05-27",1779.599976
"264","2008-05-28",1742.400024
"265","2008-05-29",1893.599976
"266","2008-05-30",1880.400024
"267","2008-06-02",1843.199951
"268","2008-06-03",1800
"269","2008-06-04",1812
"270","2008-06-05",1926
"271","2008-06-06",1846.800049
"272","2008-06-09",1831.199951
"273","2008-06-10",1831.199951
"274","2008-06-11",1822.800049
"275","2008-06-12",1792.800049
"276","2008-06-13",1818
"277","2008-06-16",1860
"278","2008-06-17",1818
"279","2008-06-18",1774.800049
"280","2008-06-19",1764
"281","2008-06-20",1802.400024
"282","2008-06-23",1798.800049
"283","2008-06-24",1723.199951
"284","2008-06-25",1792.800049
"285","2008-06-26",1660.800049
"286","2008-06-27",1670.400024
"287","2008-06-30",1560
"288","2008-07-01",1486.800049
"289","2008-07-02",1406.400024
"290","2008-07-03",1407.599976
"291","2008-07-07",1431.599976
"292","2008-07-08",1461.599976
"293","2008-07-09",1533.599976
"294","2008-07-10",1566
"295","2008-07-11",1650
"296","2008-07-14",1674
"297","2008-07-15",1666.800049
"298","2008-07-16",1746
"299","2008-07-17",1944
"300","2008-07-18",1861.199951
"301","2008-07-21",1874.400024
"302","2008-07-22",1914
"303","2008-07-23",1972.800049
"304","2008-07-24",1947.599976
"305","2008-07-25",1966.800049
"306","2008-07-28",2005.199951
"307","2008-07-29",2068.800049
"308","2008-07-30",2071.199951
"309","2008-07-31",2019.599976
"310","2008-08-01",2092.800049
"311","2008-08-04",2067.600098
"312","2008-08-05",2036.400024
"313","2008-08-06",2126.399902
"314","2008-08-07",2114.399902
"315","2008-08-08",2180.399902
"316","2008-08-11",2281.199951
"317","2008-08-12",2212.800049
"318","2008-08-13",2252.399902
"319","2008-08-14",2217.600098
"320","2008-08-15",2212.800049
"321","2008-08-18",2270.399902
"322","2008-08-19",2244
"323","2008-08-20",2208
"324","2008-08-21",2224.800049
"325","2008-08-22",2182.800049
"326","2008-08-25",2139.600098
"327","2008-08-26",2036.400024
"328","2008-08-27",2056.800049
"329","2008-08-28",2126.399902
"330","2008-08-29",2144.399902
"331","2008-09-02",2101.199951
"332","2008-09-03",2121.600098
"333","2008-09-04",2160
"334","2008-09-05",2044.800049
"335","2008-09-08",690
"336","2008-09-09",600
"337","2008-09-10",631.200012
"338","2008-09-11",616.799988
"339","2008-09-12",686.400024
"340","2008-09-15",660
"341","2008-09-16",675.599976
"342","2008-09-17",631.200012
"343","2008-09-18",612
"344","2008-09-19",684
"345","2008-09-22",643.200012
"346","2008-09-23",636
"347","2008-09-24",583.200012
"348","2008-09-25",550.799988
"349","2008-09-26",483.600006
"350","2008-09-29",409.200012
"351","2008-09-30",402
"352","2008-10-01",412.799988
"353","2008-10-02",376.799988
"354","2008-10-03",340.799988
"355","2008-10-06",286.799988
"356","2008-10-07",255.600006
"357","2008-10-08",224.399994
"358","2008-10-09",247.199997
"359","2008-10-10",273.600006
"360","2008-10-13",318
"361","2008-10-14",312
"362","2008-10-15",256.799988
"363","2008-10-16",266.399994
"364","2008-10-17",240
"365","2008-10-20",230.399994
"366","2008-10-21",249.600006
"367","2008-10-22",243.600006
"368","2008-10-23",244.800003
"369","2008-10-24",253.199997
"370","2008-10-27",234
"371","2008-10-28",242.399994
"372","2008-10-29",231.600006
"373","2008-10-30",238.800003
"374","2008-10-31",266.399994
"375","2008-11-03",274.799988
"376","2008-11-04",276
"377","2008-11-05",319.200012
"378","2008-11-06",271.200012
"379","2008-11-07",273.600006
"380","2008-11-10",303.600006
"381","2008-11-11",303.600006
"382","2008-11-12",272.399994
"383","2008-11-13",294
"384","2008-11-14",282
"385","2008-11-17",285.600006
"386","2008-11-18",302.399994
"387","2008-11-19",292.799988
"388","2008-11-20",296.399994
"389","2008-11-21",284.399994
"390","2008-11-24",292.799988
"391","2008-11-25",277.200012
"392","2008-11-26",297.600006
"393","2008-11-28",330
"394","2008-12-01",292.799988
"395","2008-12-02",314.399994
"396","2008-12-03",322.799988
"397","2008-12-04",313.200012
"398","2008-12-05",294
"399","2008-12-08",288
"400","2008-12-09",284.399994
"401","2008-12-10",292.799988
"402","2008-12-11",276
"403","2008-12-12",274.799988
"404","2008-12-15",301.200012
"405","2008-12-16",325.200012
"406","2008-12-17",366
"407","2008-12-18",384
"408","2008-12-19",454.799988
"409","2008-12-22",445.200012
"410","2008-12-23",489.600006
"411","2008-12-24",488.399994
"412","2008-12-26",458.399994
"413","2008-12-29",465.600006
"414","2008-12-30",538.799988
"415","2008-12-31",578.400024
"416","2009-01-02",552
"417","2009-01-05",550.799988
"418","2009-01-06",570
"419","2009-01-07",567.599976
"420","2009-01-08",531.599976
"421","2009-01-09",511.200012
"422","2009-01-12",528
"423","2009-01-13",526.799988
"424","2009-01-14",510
"425","2009-01-15",484.799988
"426","2009-01-16",458.399994
"427","2009-01-20",418.799988
"428","2009-01-21",474
"429","2009-01-22",441.600006
"430","2009-01-23",459.600006
"431","2009-01-26",494.399994
"432","2009-01-27",502.799988
"433","2009-01-28",538.799988
"434","2009-01-29",507.600006
"435","2009-01-30",530.400024
"436","2009-02-02",564
"437","2009-02-03",588
"438","2009-02-04",560.400024
"439","2009-02-05",573.599976
"440","2009-02-06",576
"441","2009-02-09",586.799988
"442","2009-02-10",602.400024
"443","2009-02-11",619.200012
"444","2009-02-12",584.400024
"445","2009-02-13",592.799988
"446","2009-02-17",579.599976
"447","2009-02-18",507.600006
"448","2009-02-19",460.799988
"449","2009-02-20",420
"450","2009-02-23",432
"451","2009-02-24",469.200012
"452","2009-02-25",469.200012
"453","2009-02-26",432
"454","2009-02-27",446.399994
"455","2009-03-02",447.600006
"456","2009-03-03",433.200012
"457","2009-03-04",442.799988
"458","2009-03-05",444
"459","2009-03-06",417.600006
"460","2009-03-09",458.399994
"461","2009-03-10",493.200012
"462","2009-03-11",494.399994
"463","2009-03-12",496.799988
"464","2009-03-13",482.399994
"465","2009-03-16",457.200012
"466","2009-03-17",480
"467","2009-03-18",513.599976
"468","2009-03-19",526.799988
"469","2009-03-20",529.200012
"470","2009-03-23",534
"471","2009-03-24",523.200012
"472","2009-03-25",598.799988
"473","2009-03-26",614.400024
"474","2009-03-27",592.799988
"475","2009-03-30",606
"476","2009-03-31",625.200012
"477","2009-04-01",627.599976
"478","2009-04-02",642
"479","2009-04-03",664.799988
"480","2009-04-06",644.400024
"481","2009-04-07",613.200012
"482","2009-04-08",624
"483","2009-04-09",654
"484","2009-04-13",686.400024
"485","2009-04-14",660
"486","2009-04-15",675.599976
"487","2009-04-16",673.200012
"488","2009-04-17",672
"489","2009-04-20",608.400024
"490","2009-04-21",637.200012
"491","2009-04-22",637.200012
"492","2009-04-23",603.599976
"493","2009-04-24",602.400024
"494","2009-04-27",555.599976
"495","2009-04-28",582
"496","2009-04-29",608.400024
"497","2009-04-30",576
"498","2009-05-01",560.400024
"499","2009-05-04",552
"500","2009-05-05",554.400024
"501","2009-05-06",560.400024
"502","2009-05-07",512.400024
"503","2009-05-08",470.399994
"504","2009-05-11",514.799988
"505","2009-05-12",510
"506","2009-05-13",483.600006
"507","2009-05-14",498
"508","2009-05-15",510
"509","2009-05-18",534
"510","2009-05-19",536.400024
"511","2009-05-20",547.200012
"512","2009-05-21",542.400024
"513","2009-05-22",542.400024
"514","2009-05-26",543.599976
"515","2009-05-27",524.400024
"516","2009-05-28",532.799988
"517","2009-05-29",526.799988
"518","2009-06-01",552
"519","2009-06-02",548.400024
"520","2009-06-03",554.400024
"521","2009-06-04",596.400024
"522","2009-06-05",600
"523","2009-06-08",597.599976
"524","2009-06-09",616.799988
"525","2009-06-10",645.599976
"526","2009-06-11",680.400024
"527","2009-06-12",714
"528","2009-06-15",628.799988
"529","2009-06-16",588
"530","2009-06-17",627.599976
"531","2009-06-18",636
"532","2009-06-19",637.200012
"533","2009-06-22",626.400024
"534","2009-06-23",616.799988
"535","2009-06-24",601.200012
"536","2009-06-25",612
"537","2009-06-26",638.400024
"538","2009-06-29",638.400024
"539","2009-06-30",619.200012
"540","2009-07-01",600
"541","2009-07-02",562.799988
"542","2009-07-06",600
"543","2009-07-07",602.400024
"544","2009-07-08",572.400024
"545","2009-07-09",554.400024
"546","2009-07-10",553.200012
"547","2009-07-13",583.200012
"548","2009-07-14",584.400024
"549","2009-07-15",597.599976
"550","2009-07-16",600
"551","2009-07-17",594
"552","2009-07-20",620.400024
"553","2009-07-21",616.799988
"554","2009-07-22",639.599976
"555","2009-07-23",644.400024
"556","2009-07-24",625.200012
"557","2009-07-27",624
"558","2009-07-28",621.599976
"559","2009-07-29",601.200012
"560","2009-07-30",607.200012
"561","2009-07-31",591.599976
"562","2009-08-03",578.400024
"563","2009-08-04",604.799988
"564","2009-08-05",600
"565","2009-08-06",589.200012
"566","2009-08-07",613.200012
"567","2009-08-10",612
"568","2009-08-11",577.200012
"569","2009-08-12",591.599976
"570","2009-08-13",594
"571","2009-08-14",588
"572","2009-08-17",591.599976
"573","2009-08-18",600
"574","2009-08-19",603.599976
"575","2009-08-20",609.599976
"576","2009-08-21",613.200012
"577","2009-08-24",625.200012
"578","2009-08-25",615.599976
"579","2009-08-26",626.400024
"580","2009-08-27",619.200012
"581","2009-08-28",604.799988
"582","2009-08-31",610.799988
"583","2009-09-01",583.200012
"584","2009-09-02",589.200012
"585","2009-09-03",604.799988
"586","2009-09-04",609.599976
"587","2009-09-08",618
"588","2009-09-09",622.799988
"589","2009-09-10",612
"590","2009-09-11",624
"591","2009-09-14",634.799988
"592","2009-09-15",627.599976
"593","2009-09-16",627.599976
"594","2009-09-17",630
"595","2009-09-18",621.599976
"596","2009-09-21",630
"597","2009-09-22",621.599976
"598","2009-09-23",613.200012
"599","2009-09-24",613.200012
"600","2009-09-25",576
"601","2009-09-28",609.599976
"602","2009-09-29",627.599976
"603","2009-09-30",644.400024
"604","2009-10-01",632.400024
"605","2009-10-02",622.799988
"606","2009-10-05",620.400024
"607","2009-10-06",628.799988
"608","2009-10-07",631.200012
"609","2009-10-08",601.200012
"610","2009-10-09",619.200012
"611","2009-10-12",624
"612","2009-10-13",630
"613","2009-10-14",624
"614","2009-10-15",606
"615","2009-10-16",603.599976
"616","2009-10-19",595.200012
"617","2009-10-20",586.799988
"618","2009-10-21",588
"619","2009-10-22",582
"620","2009-10-23",571.200012
"621","2009-10-26",543.599976
"622","2009-10-27",531.599976
"623","2009-10-28",513.599976
"624","2009-10-29",493.200012
"625","2009-10-30",501.600006
"626","2009-11-02",496.799988
"627","2009-11-03",493.200012
"628","2009-11-04",513.599976
"629","2009-11-05",523.200012
"630","2009-11-06",516
"631","2009-11-09",536.400024
"632","2009-11-10",501.600006
"633","2009-11-11",493.200012
"634","2009-11-12",481.200012
"635","2009-11-13",490.799988
"636","2009-11-16",501.600006
"637","2009-11-17",483.600006
"638","2009-11-18",460.799988
"639","2009-11-19",450
"640","2009-11-20",498
"641","2009-11-23",460.799988
"642","2009-11-24",464.399994
"643","2009-11-25",469.200012
"644","2009-11-27",424.799988
"645","2009-11-30",453.600006
"646","2009-12-01",477.600006
"647","2009-12-02",499.200012
"648","2009-12-03",477.600006
"649","2009-12-04",464.399994
"650","2009-12-07",474
