"","date","AMAG"
"1","2007-01-03",59.380001
"2","2007-01-04",59.700001
"3","2007-01-05",58.34
"4","2007-01-08",57.91
"5","2007-01-09",59.91
"6","2007-01-10",59.419998
"7","2007-01-11",62.27
"8","2007-01-12",63.790001
"9","2007-01-16",64.290001
"10","2007-01-17",64.550003
"11","2007-01-18",64.029999
"12","2007-01-19",65.559998
"13","2007-01-22",64.959999
"14","2007-01-23",64.75
"15","2007-01-24",65.129997
"16","2007-01-25",62.75
"17","2007-01-26",63.099998
"18","2007-01-29",62.09
"19","2007-01-30",61.869999
"20","2007-01-31",60.93
"21","2007-02-01",62.150002
"22","2007-02-02",62.209999
"23","2007-02-05",62.59
"24","2007-02-06",62.779999
"25","2007-02-07",62.849998
"26","2007-02-08",61.279999
"27","2007-02-09",60.84
"28","2007-02-12",61.200001
"29","2007-02-13",60.509998
"30","2007-02-14",61
"31","2007-02-15",60.880001
"32","2007-02-16",61.509998
"33","2007-02-20",61.139999
"34","2007-02-21",60.869999
"35","2007-02-22",60.59
"36","2007-02-23",61.400002
"37","2007-02-26",61.790001
"38","2007-02-27",59.580002
"39","2007-02-28",58.970001
"40","2007-03-01",58.700001
"41","2007-03-02",55.580002
"42","2007-03-05",56.75
"43","2007-03-06",56.439999
"44","2007-03-07",56.139999
"45","2007-03-08",57.98
"46","2007-03-09",58.400002
"47","2007-03-12",58.240002
"48","2007-03-13",56.939999
"49","2007-03-14",56.599998
"50","2007-03-15",56.52
"51","2007-03-16",56.34
"52","2007-03-19",56.459999
"53","2007-03-20",56.049999
"54","2007-03-21",59.689999
"55","2007-03-22",59.849998
"56","2007-03-23",60.23
"57","2007-03-26",60.57
"58","2007-03-27",59.98
"59","2007-03-28",60.439999
"60","2007-03-29",60.98
"61","2007-03-30",60.27
"62","2007-04-02",61.610001
"63","2007-04-03",63.669998
"64","2007-04-04",64.610001
"65","2007-04-05",65.220001
"66","2007-04-09",65.169998
"67","2007-04-10",65.279999
"68","2007-04-11",65.110001
"69","2007-04-12",71.339996
"70","2007-04-13",71.190002
"71","2007-04-16",70.099998
"72","2007-04-17",69.239998
"73","2007-04-18",68.910004
"74","2007-04-19",68.370003
"75","2007-04-20",67.5
"76","2007-04-23",69.209999
"77","2007-04-24",69.169998
"78","2007-04-25",68.830002
"79","2007-04-26",68
"80","2007-04-27",67.800003
"81","2007-04-30",65.800003
"82","2007-05-01",65.169998
"83","2007-05-02",65.389999
"84","2007-05-03",63.790001
"85","2007-05-04",63
"86","2007-05-07",61.700001
"87","2007-05-08",62.900002
"88","2007-05-09",63.799999
"89","2007-05-10",65.040001
"90","2007-05-11",66.410004
"91","2007-05-14",67.580002
"92","2007-05-15",65.68
"93","2007-05-16",64.970001
"94","2007-05-17",63
"95","2007-05-18",62.860001
"96","2007-05-21",64.629997
"97","2007-05-22",65.139999
"98","2007-05-23",64.910004
"99","2007-05-24",64.199997
"100","2007-05-25",64.349998
"101","2007-05-29",63.509998
"102","2007-05-30",63.84
"103","2007-05-31",63.07
"104","2007-06-01",63.009998
"105","2007-06-04",63.189999
"106","2007-06-05",63.32
"107","2007-06-06",63.400002
"108","2007-06-07",61.98
"109","2007-06-08",62.490002
"110","2007-06-11",62.209999
"111","2007-06-12",60.540001
"112","2007-06-13",61.060001
"113","2007-06-14",61.139999
"114","2007-06-15",61.09
"115","2007-06-18",61.41
"116","2007-06-19",61.25
"117","2007-06-20",60.880001
"118","2007-06-21",60.84
"119","2007-06-22",59.169998
"120","2007-06-25",58.700001
"121","2007-06-26",57.900002
"122","2007-06-27",58.279999
"123","2007-06-28",58.080002
"124","2007-06-29",58.16
"125","2007-07-02",58.209999
"126","2007-07-03",58.41
"127","2007-07-05",59.900002
"128","2007-07-06",60.060001
"129","2007-07-09",59.720001
"130","2007-07-10",59.209999
"131","2007-07-11",60.060001
"132","2007-07-12",59.77
"133","2007-07-13",59.290001
"134","2007-07-16",59.549999
"135","2007-07-17",59.610001
"136","2007-07-18",59.700001
