"","date","AMCI"
"1","2019-01-23",9.69
"2","2019-01-24",9.69
"3","2019-01-25",9.69
"4","2019-01-28",9.69
"5","2019-01-29",9.68
"6","2019-01-30",9.69
"7","2019-01-31",9.68
"8","2019-02-01",9.7
"9","2019-02-04",9.71
"10","2019-02-05",9.75
"11","2019-02-06",9.73
"12","2019-02-07",9.73
"13","2019-02-08",9.73
"14","2019-02-11",9.73
"15","2019-02-12",9.73
"16","2019-02-13",9.73
"17","2019-02-14",9.73
"18","2019-02-15",9.73
"19","2019-02-19",10
"20","2019-02-20",9.85
"21","2019-02-21",9.85
"22","2019-02-22",9.85
"23","2019-02-25",9.85
"24","2019-02-26",9.85
"25","2019-02-27",9.85
"26","2019-02-28",9.775
"27","2019-03-01",9.775
"28","2019-03-04",9.775
"29","2019-03-05",9.775
"30","2019-03-06",9.775
"31","2019-03-07",9.775
"32","2019-03-08",9.775
"33","2019-03-11",9.8
"34","2019-03-12",9.78
"35","2019-03-13",9.78
"36","2019-03-14",9.83
"37","2019-03-15",9.83
"38","2019-03-18",9.83
"39","2019-03-19",9.83
"40","2019-03-20",9.81
"41","2019-03-21",9.82
"42","2019-03-22",9.82
"43","2019-03-25",9.84
"44","2019-03-26",9.84
"45","2019-03-27",9.84
"46","2019-03-28",9.84
"47","2019-03-29",9.84
"48","2019-04-01",9.84
"49","2019-04-02",9.84
"50","2019-04-03",9.84
"51","2019-04-04",9.83
"52","2019-04-05",9.83
"53","2019-04-08",9.85
"54","2019-04-09",9.85
"55","2019-04-10",9.84
"56","2019-04-11",9.84
"57","2019-04-12",9.9
"58","2019-04-15",9.9
"59","2019-04-16",9.87
"60","2019-04-17",9.87
"61","2019-04-18",9.87
"62","2019-04-22",9.87
"63","2019-04-23",9.86
"64","2019-04-24",9.86
"65","2019-04-25",9.84
"66","2019-04-26",9.86
"67","2019-04-29",9.86
"68","2019-04-30",9.87
"69","2019-05-01",9.87
"70","2019-05-02",9.87
"71","2019-05-03",9.87
"72","2019-05-06",9.87
"73","2019-05-07",9.86
"74","2019-05-08",9.86
"75","2019-05-09",9.86
"76","2019-05-10",9.85
"77","2019-05-13",9.85
"78","2019-05-14",9.83
"79","2019-05-15",9.8
"80","2019-05-16",9.8
"81","2019-05-17",9.86
"82","2019-05-20",9.85
"83","2019-05-21",9.85
"84","2019-05-22",9.85
"85","2019-05-23",9.86
"86","2019-05-24",9.86
"87","2019-05-28",9.86
"88","2019-05-29",9.86
"89","2019-05-30",9.86
"90","2019-05-31",9.86
"91","2019-06-03",9.86
"92","2019-06-04",9.86
"93","2019-06-05",9.86
"94","2019-06-06",9.86
"95","2019-06-07",9.905
"96","2019-06-10",9.92
"97","2019-06-11",9.92
"98","2019-06-12",9.89
"99","2019-06-13",9.89
"100","2019-06-14",9.94
"101","2019-06-17",9.94
"102","2019-06-18",9.95
"103","2019-06-19",9.94
"104","2019-06-20",9.94
"105","2019-06-21",9.94
"106","2019-06-24",9.94
"107","2019-06-25",9.94
"108","2019-06-26",9.94
"109","2019-06-27",9.94
"110","2019-06-28",9.94
"111","2019-07-01",9.94
"112","2019-07-02",9.94
"113","2019-07-03",9.94
"114","2019-07-05",9.94
"115","2019-07-08",9.98
"116","2019-07-09",9.95
"117","2019-07-10",9.95
"118","2019-07-11",9.95
"119","2019-07-12",9.95
"120","2019-07-15",9.94
"121","2019-07-16",9.94
"122","2019-07-17",9.94
"123","2019-07-18",9.98
"124","2019-07-19",9.98
"125","2019-07-22",10
"126","2019-07-23",10
"127","2019-07-24",9.98
"128","2019-07-25",9.98
"129","2019-07-26",9.98
"130","2019-07-29",9.98
"131","2019-07-30",9.98
"132","2019-07-31",9.98
"133","2019-08-01",9.98
"134","2019-08-02",9.98
"135","2019-08-05",9.98
"136","2019-08-06",9.98
"137","2019-08-07",9.98
"138","2019-08-08",9.98
"139","2019-08-09",9.98
"140","2019-08-12",9.98
"141","2019-08-13",9.98
"142","2019-08-14",9.975
"143","2019-08-15",9.98
"144","2019-08-16",9.99
"145","2019-08-19",9.99
"146","2019-08-20",9.99
"147","2019-08-21",9.99
"148","2019-08-22",10
"149","2019-08-23",10
"150","2019-08-26",9.99
"151","2019-08-27",10
"152","2019-08-28",10
"153","2019-08-29",10
"154","2019-08-30",9.97
"155","2019-09-03",10
"156","2019-09-04",10
"157","2019-09-05",10
"158","2019-09-06",10
"159","2019-09-09",10
"160","2019-09-10",9.998
"161","2019-09-11",10
"162","2019-09-12",10
"163","2019-09-13",10
"164","2019-09-16",10.04
