"","date","AMEH"
"1","2009-03-11",9.4
"2","2009-03-12",9.4
"3","2009-03-13",9.4
"4","2009-03-16",9.4
"5","2009-03-17",9.4
"6","2009-03-18",9.4
"7","2009-03-19",9.4
"8","2009-03-20",9.4
"9","2009-03-23",9.4
"10","2009-03-24",9.4
"11","2009-03-25",9.4
"12","2009-03-26",9.4
"13","2009-03-27",9.4
"14","2009-03-30",9.4
"15","2009-03-31",9.4
"16","2009-04-01",9.4
"17","2009-04-02",9.4
"18","2009-04-03",9.4
"19","2009-04-06",2
"20","2009-04-07",2
"21","2009-04-08",2
"22","2009-04-09",2
"23","2009-04-13",17
"24","2009-04-14",17
"25","2009-04-15",17
"26","2009-04-16",17
"27","2009-04-17",17
"28","2009-04-20",17
"29","2009-04-21",17
"30","2009-04-22",17
"31","2009-04-23",17
"32","2009-04-24",17
"33","2009-04-27",17
"34","2009-04-28",17
"35","2009-04-29",17
"36","2009-04-30",17
"37","2009-05-01",17
"38","2009-05-04",17
"39","2009-05-05",17
"40","2009-05-06",17
"41","2009-05-07",17
"42","2009-05-08",17
"43","2009-05-11",17
"44","2009-05-12",17
"45","2009-05-13",17
"46","2009-05-14",17
"47","2009-05-15",17
"48","2009-05-18",17
"49","2009-05-19",17
"50","2009-05-20",17
"51","2009-05-21",17
"52","2009-05-22",17
"53","2009-05-26",17
"54","2009-05-27",17
"55","2009-05-28",17
"56","2009-05-29",17
"57","2009-06-01",17
"58","2009-06-02",17
"59","2009-06-03",17
"60","2009-06-04",17
"61","2009-06-05",17
"62","2009-06-08",17
"63","2009-06-09",17
"64","2009-06-10",17
"65","2009-06-11",17
"66","2009-06-12",17
"67","2009-06-15",17
"68","2009-06-16",17
"69","2009-06-17",17
"70","2009-06-18",17
"71","2009-06-19",17
"72","2009-06-22",1.2
"73","2009-06-23",1.1
"74","2009-06-24",1.2
"75","2009-06-25",1.2
"76","2009-06-26",1
"77","2009-06-29",1
"78","2009-06-30",0.8
"79","2009-07-01",0.6
"80","2009-07-02",0.6
"81","2009-07-06",0.5
"82","2009-07-07",0.5
"83","2009-07-08",0.5
"84","2009-07-09",0.5
"85","2009-07-10",0.4
"86","2009-07-13",0.4
"87","2009-07-14",0.4
"88","2009-07-15",0.4
"89","2009-07-16",0.3
"90","2009-07-17",0.2
"91","2009-07-20",0.1
"92","2009-07-21",0.1
"93","2009-07-22",0.1
"94","2009-07-23",0.1
"95","2009-07-24",0.1
"96","2009-07-27",0.1
"97","2009-07-28",0.1
"98","2009-07-29",0.1
"99","2009-07-30",0.1
"100","2009-07-31",0.1
"101","2009-08-03",0.1
"102","2009-08-04",0.1
"103","2009-08-05",0.1
"104","2009-08-06",0.1
"105","2009-08-07",0.1
"106","2009-08-10",0.1
"107","2009-08-11",0.1
"108","2009-08-12",0.2
"109","2009-08-13",0.2
"110","2009-08-14",0.3
"111","2009-08-17",0.3
"112","2009-08-18",0.3
"113","2009-08-19",0.4
"114","2009-08-20",0.4
"115","2009-08-21",0.4
"116","2009-08-24",0.4
"117","2009-08-25",0.4
"118","2009-08-26",0.4
"119","2009-08-27",0.4
"120","2009-08-28",0.4
"121","2009-08-31",0.3
"122","2009-09-01",0.3
"123","2009-09-02",0.3
"124","2009-09-03",0.3
"125","2009-09-04",0.3
"126","2009-09-08",0.4
"127","2009-09-09",0.4
"128","2009-09-10",0.4
"129","2009-09-11",0.4
"130","2009-09-14",0.4
"131","2009-09-15",0.4
"132","2009-09-16",0.4
"133","2009-09-17",0.4
"134","2009-09-18",0.4
"135","2009-09-21",0.4
"136","2009-09-22",0.4
"137","2009-09-23",0.4
"138","2009-09-24",0.4
"139","2009-09-25",0.4
"140","2009-09-28",0.4
"141","2009-09-29",0.4
"142","2009-09-30",0.4
"143","2009-10-01",0.4
"144","2009-10-02",0.4
"145","2009-10-05",0.4
"146","2009-10-06",0.4
"147","2009-10-07",0.4
"148","2009-10-08",0.4
"149","2009-10-09",0.4
"150","2009-10-12",0.4
"151","2009-10-13",0.4
"152","2009-10-14",0.4
"153","2009-10-15",0.4
"154","2009-10-16",0.7
"155","2009-10-19",0.7
"156","2009-10-20",0.7
"157","2009-10-21",0.7
"158","2009-10-22",0.4
"159","2009-10-23",0.4
"160","2009-10-26",0.4
"161","2009-10-27",0.4
"162","2009-10-28",0.4
"163","2009-10-29",0.5
"164","2009-10-30",1
"165","2009-11-02",1
"166","2009-11-03",1
"167","2009-11-04",1
"168","2009-11-05",1
"169","2009-11-06",1
"170","2009-11-09",1
"171","2009-11-10",1
"172","2009-11-11",1
"173","2009-11-12",0.5
"174","2009-11-13",0.6
"175","2009-11-16",0.6
"176","2009-11-17",0.6
"177","2009-11-18",0.5
"178","2009-11-19",0.5
"179","2009-11-20",0.7
"180","2009-11-23",0.7
"181","2009-11-24",0.7
"182","2009-11-25",0.7
"183","2009-11-27",0.7
"184","2009-11-30",0.7
