"","date","AMK"
"1","2019-07-18",27.040001
"2","2019-07-19",27.25
"3","2019-07-22",26.6
"4","2019-07-23",26.049999
"5","2019-07-24",26.25
"6","2019-07-25",26.530001
"7","2019-07-26",27.9
"8","2019-07-29",28.139999
"9","2019-07-30",28.5
"10","2019-07-31",28.290001
"11","2019-08-01",28.299999
"12","2019-08-02",28.5
"13","2019-08-05",27.08
"14","2019-08-06",27.59
"15","2019-08-07",26.76
"16","2019-08-08",26.68
"17","2019-08-09",26.33
"18","2019-08-12",24.780001
"19","2019-08-13",24.75
"20","2019-08-14",23.4
"21","2019-08-15",23.309999
"22","2019-08-16",24.370001
"23","2019-08-19",25.08
"24","2019-08-20",25.99
"25","2019-08-21",26.950001
"26","2019-08-22",27
"27","2019-08-23",26.549999
"28","2019-08-26",27
"29","2019-08-27",26.639999
"30","2019-08-28",26.379999
"31","2019-08-29",27.16
"32","2019-08-30",28.200001
"33","2019-09-03",28.379999
"34","2019-09-04",28.799999
"35","2019-09-05",27.98
"36","2019-09-06",27
"37","2019-09-09",26.75
"38","2019-09-10",26.25
"39","2019-09-11",26.370001
"40","2019-09-12",27.49
"41","2019-09-13",27.540001
"42","2019-09-16",27.209999
"43","2019-09-17",26.41
"44","2019-09-18",27.41
"45","2019-09-19",27.549999
"46","2019-09-20",27.809999
"47","2019-09-23",27.389999
"48","2019-09-24",26.65
"49","2019-09-25",27.950001
"50","2019-09-26",27.129999
"51","2019-09-27",25.940001
"52","2019-09-30",26.049999
"53","2019-10-01",24.780001
"54","2019-10-02",24.5
"55","2019-10-03",23.83
"56","2019-10-04",24.040001
"57","2019-10-07",24.309999
"58","2019-10-08",23.73
"59","2019-10-09",24.639999
"60","2019-10-10",25.57
"61","2019-10-11",25.66
"62","2019-10-14",25.629999
"63","2019-10-15",25.690001
"64","2019-10-16",25.83
"65","2019-10-17",26.07
"66","2019-10-18",27.16
"67","2019-10-21",27.549999
"68","2019-10-22",27.040001
"69","2019-10-23",26.93
"70","2019-10-24",26.790001
"71","2019-10-25",26.969999
"72","2019-10-28",27.07
"73","2019-10-29",27.120001
"74","2019-10-30",27.629999
"75","2019-10-31",27.440001
"76","2019-11-01",28.01
"77","2019-11-04",28.09
"78","2019-11-05",27.040001
"79","2019-11-06",25.5
"80","2019-11-07",25.379999
"81","2019-11-08",25.059999
"82","2019-11-11",24.99
"83","2019-11-12",24.639999
"84","2019-11-13",24.450001
"85","2019-11-14",24.16
"86","2019-11-15",24.120001
"87","2019-11-18",24.82
"88","2019-11-19",24.450001
"89","2019-11-20",24.790001
"90","2019-11-21",24.459999
"91","2019-11-22",24.34
"92","2019-11-25",24.01
"93","2019-11-26",24.07
"94","2019-11-27",24.809999
"95","2019-11-29",25.030001
"96","2019-12-02",25.1
"97","2019-12-03",25.02
"98","2019-12-04",25.5
"99","2019-12-05",25.52
"100","2019-12-06",25.959999
"101","2019-12-09",26.4
"102","2019-12-10",27.09
"103","2019-12-11",26.879999
"104","2019-12-12",27.309999
"105","2019-12-13",27.26
"106","2019-12-16",27.84
"107","2019-12-17",27.85
"108","2019-12-18",28.08
"109","2019-12-19",28.32
"110","2019-12-20",28.59
"111","2019-12-23",28.860001
"112","2019-12-24",28.74
"113","2019-12-26",28.950001
"114","2019-12-27",29.57
"115","2019-12-30",29.35
"116","2019-12-31",29.02
"117","2020-01-02",29.91
"118","2020-01-03",29.57
"119","2020-01-06",29.360001
"120","2020-01-07",29.280001
"121","2020-01-08",29.01
"122","2020-01-09",29.219999
"123","2020-01-10",28.68
"124","2020-01-13",28.73
"125","2020-01-14",28.65
"126","2020-01-15",28.799999
"127","2020-01-16",30.049999
"128","2020-01-17",30.43
"129","2020-01-21",29.889999
"130","2020-01-22",29.98
"131","2020-01-23",30.08
"132","2020-01-24",29.92
"133","2020-01-27",29.690001
"134","2020-01-28",29.870001
"135","2020-01-29",29.84
"136","2020-01-30",30.139999
"137","2020-01-31",29.33
"138","2020-02-03",30.049999
"139","2020-02-04",30.610001
"140","2020-02-05",31.41
"141","2020-02-06",31.75
"142","2020-02-07",31.75
"143","2020-02-10",31.5
"144","2020-02-11",31.790001
"145","2020-02-12",32.139999
"146","2020-02-13",33.130001
"147","2020-02-14",33.5
"148","2020-02-18",32.23
"149","2020-02-19",32.880001
"150","2020-02-20",32.16
"151","2020-02-21",31.75
"152","2020-02-24",29.940001
"153","2020-02-25",29.74
"154","2020-02-26",29.57
"155","2020-02-27",27.540001
"156","2020-02-28",26.49
"157","2020-03-02",26.4
"158","2020-03-03",26.639999
"159","2020-03-04",27.42
"160","2020-03-05",26.219999
"161","2020-03-06",25.299999
"162","2020-03-09",22.76
"163","2020-03-10",23.35
"164","2020-03-11",21.709999
"165","2020-03-12",18.610001
"166","2020-03-13",20.940001
"167","2020-03-16",17.52
"168","2020-03-17",19.049999
"169","2020-03-18",16.85
"170","2020-03-19",17.6
"171","2020-03-20",15.35
"172","2020-03-23",14.87
"173","2020-03-24",16
"174","2020-03-25",17.9
"175","2020-03-26",21.02
"176","2020-03-27",20.379999
"177","2020-03-30",20.190001
"178","2020-03-31",20.389999
"179","2020-04-01",18.23
"180","2020-04-02",18.389999
"181","2020-04-03",19.07
"182","2020-04-06",19.709999
"183","2020-04-07",20.379999
"184","2020-04-08",21.74
"185","2020-04-09",22.02
"186","2020-04-13",20.290001
"187","2020-04-14",21.91
"188","2020-04-15",20.620001
"189","2020-04-16",21.530001
"190","2020-04-17",21.540001
"191","2020-04-20",21.17
"192","2020-04-21",21.370001
"193","2020-04-22",21.870001
"194","2020-04-23",21.98
"195","2020-04-24",22.16
"196","2020-04-27",22.75
"197","2020-04-28",22.309999
