"","date","AT"
"1","2009-12-03",10.92
"2","2009-12-04",10.99
"3","2009-12-07",10.7
"4","2009-12-08",9.89
"5","2009-12-09",9.91
"6","2009-12-10",9.88
"7","2009-12-11",9.83
"8","2009-12-14",9.75
"9","2009-12-15",9.75
"10","2009-12-16",9.94
"11","2009-12-17",9.91
"12","2009-12-18",10.24
"13","2009-12-21",10.42
"14","2009-12-22",10.64
"15","2009-12-23",10.85
"16","2009-12-24",10.93
"17","2009-12-28",10.93
"18","2009-12-29",10.95
"19","2009-12-30",10.86
"20","2009-12-31",10.95
"21","2010-01-04",11.22
"22","2010-01-05",11.2
"23","2010-01-06",11.34
"24","2010-01-07",11.48
"25","2010-01-08",11.67
"26","2010-01-11",11.66
"27","2010-01-12",11.55
"28","2010-01-13",11.59
"29","2010-01-14",11.68
"30","2010-01-15",11.66
"31","2010-01-19",11.95
"32","2010-01-20",11.73
"33","2010-01-21",11.54
"34","2010-01-22",11.59
"35","2010-01-25",11.67
"36","2010-01-26",11.62
"37","2010-01-27",11.41
"38","2010-01-28",11.19
"39","2010-01-29",11.29
"40","2010-02-01",11.47
"41","2010-02-02",11.37
"42","2010-02-03",11.39
"43","2010-02-04",11.09
"44","2010-02-05",11.22
"45","2010-02-08",11.27
"46","2010-02-09",11.19
"47","2010-02-10",11.01
"48","2010-02-11",11.21
"49","2010-02-12",11.18
"50","2010-02-16",11.5
"51","2010-02-17",11.56
"52","2010-02-18",11.56
"53","2010-02-19",11.73
"54","2010-02-22",11.93
"55","2010-02-23",12.03
"56","2010-02-24",12.05
"57","2010-02-25",11.91
"58","2010-02-26",12.05
"59","2010-03-01",11.94
"60","2010-03-02",12.07
"61","2010-03-03",12.14
"62","2010-03-04",12.3
"63","2010-03-05",12.41
"64","2010-03-08",12.6
"65","2010-03-09",12.91
"66","2010-03-10",12.86
"67","2010-03-11",12.97
"68","2010-03-12",13.37
"69","2010-03-15",13.44
"70","2010-03-16",12.84
"71","2010-03-17",12.79
"72","2010-03-18",13.04
"73","2010-03-19",13.39
"74","2010-03-22",12.66
"75","2010-03-23",12.42
"76","2010-03-24",12.77
"77","2010-03-25",12.71
"78","2010-03-26",12.42
"79","2010-03-29",12.4
"80","2010-03-30",12.47
"81","2010-03-31",12.02
"82","2010-04-01",11.63
"83","2010-04-05",11.54
"84","2010-04-06",11.84
"85","2010-04-07",11.8
"86","2010-04-08",11.78
"87","2010-04-09",11.82
"88","2010-04-12",12.06
"89","2010-04-13",12.24
"90","2010-04-14",12.28
"91","2010-04-15",12.11
"92","2010-04-16",12.08
"93","2010-04-19",12.35
"94","2010-04-20",12.63
"95","2010-04-21",12.62
"96","2010-04-22",12.73
"97","2010-04-23",12.82
"98","2010-04-26",12.86
"99","2010-04-27",12.41
"100","2010-04-28",12.5
"101","2010-04-29",12.59
"102","2010-04-30",12.5
"103","2010-05-03",12.53
"104","2010-05-04",12.11
"105","2010-05-05",11.82
"106","2010-05-06",11.3
"107","2010-05-07",11.35
"108","2010-05-10",11.72
