"","date","AYLA"
"1","2020-05-08",15.03
"2","2020-05-11",15.15
"3","2020-05-12",15
"4","2020-05-13",15
"5","2020-05-14",15
"6","2020-05-15",15
"7","2020-05-18",15.92
"8","2020-05-19",15.45
"9","2020-05-20",15.69
"10","2020-05-21",15.18
"11","2020-05-22",15.26
"12","2020-05-26",15.1
"13","2020-05-27",15.06
"14","2020-05-28",15.01
"15","2020-05-29",15.08
"16","2020-06-01",15.7
"17","2020-06-02",15.69
"18","2020-06-03",15
"19","2020-06-04",15.42
"20","2020-06-05",15.3
"21","2020-06-08",15.161
"22","2020-06-09",14.2
"23","2020-06-10",14.2
"24","2020-06-11",12.86
"25","2020-06-12",13.98
"26","2020-06-15",13.05
"27","2020-06-16",13.16
"28","2020-06-17",13.4
"29","2020-06-18",13.04
"30","2020-06-19",10.67
"31","2020-06-22",11.51
"32","2020-06-23",11.1
"33","2020-06-24",11.48
"34","2020-06-25",11
"35","2020-06-26",10
"36","2020-06-29",10.16
"37","2020-06-30",10.1
"38","2020-07-01",10
"39","2020-07-02",9.7
"40","2020-07-06",9.8
"41","2020-07-07",9.15
"42","2020-07-08",9.34
"43","2020-07-09",9.35
"44","2020-07-10",10
"45","2020-07-13",11.04
"46","2020-07-14",10.54
"47","2020-07-15",11.46
"48","2020-07-16",11.66
"49","2020-07-17",12.5
"50","2020-07-20",12.99
"51","2020-07-21",12.13
"52","2020-07-22",12.43
"53","2020-07-23",12.75
"54","2020-07-24",12.2
"55","2020-07-27",13.49
"56","2020-07-28",13.05
"57","2020-07-29",13.15
"58","2020-07-30",13.37
"59","2020-07-31",13.33
"60","2020-08-03",13.42
"61","2020-08-04",13.07
"62","2020-08-05",13.3
"63","2020-08-06",13.105
"64","2020-08-07",12.65
"65","2020-08-10",12.46
"66","2020-08-11",12.45
"67","2020-08-12",11.99
"68","2020-08-13",10.91
"69","2020-08-14",10.84
"70","2020-08-17",11.45
"71","2020-08-18",10.98
"72","2020-08-19",12.45
"73","2020-08-20",12.45
"74","2020-08-21",12.278
"75","2020-08-24",12.48
"76","2020-08-25",12.5
"77","2020-08-26",12.15
"78","2020-08-27",12.159
"79","2020-08-28",12.02
"80","2020-08-31",11.85
"81","2020-09-01",10.7
"82","2020-09-02",10.05
"83","2020-09-03",10
"84","2020-09-04",8.8
"85","2020-09-08",8.9
"86","2020-09-09",10.17
"87","2020-09-10",9.66
"88","2020-09-11",9.857
"89","2020-09-14",10.3
"90","2020-09-15",11.51
"91","2020-09-16",12.56
"92","2020-09-17",14.549
"93","2020-09-18",13.5
"94","2020-09-21",12.64
"95","2020-09-22",12.01
"96","2020-09-23",12.18
"97","2020-09-24",12.03
"98","2020-09-25",12.86
"99","2020-09-28",12.36
"100","2020-09-29",12.21
"101","2020-09-30",11.52
"102","2020-10-01",11.63
"103","2020-10-02",11.9
"104","2020-10-05",12.34
"105","2020-10-06",12.14
"106","2020-10-07",12.2
"107","2020-10-08",12.41
"108","2020-10-09",11.89
"109","2020-10-12",11.91
"110","2020-10-13",11.77
"111","2020-10-14",11.69
"112","2020-10-15",13
"113","2020-10-16",13.15
"114","2020-10-19",13.2
"115","2020-10-20",13.25
"116","2020-10-21",13.25
"117","2020-10-22",13.4
"118","2020-10-23",13.5
"119","2020-10-26",13.3
"120","2020-10-27",13.27
"121","2020-10-28",12.81
"122","2020-10-29",12.66
"123","2020-10-30",11.39
"124","2020-11-02",11.25
"125","2020-11-03",11.835
"126","2020-11-04",11.41
"127","2020-11-05",12
"128","2020-11-06",11.33
"129","2020-11-09",11.05
"130","2020-11-10",11.53
"131","2020-11-11",11.47
"132","2020-11-12",10.68
"133","2020-11-13",10.4
"134","2020-11-16",10.79
"135","2020-11-17",10.69
"136","2020-11-18",10.58
"137","2020-11-19",10.28
"138","2020-11-20",10.307
"139","2020-11-23",10.29
"140","2020-11-24",9.96
"141","2020-11-25",9.88
"142","2020-11-27",9.89
