"","date","AZEK"
"1","2020-06-12",27.15
"2","2020-06-15",29.5
"3","2020-06-16",29.700001
"4","2020-06-17",29.5
"5","2020-06-18",30.23
"6","2020-06-19",30.4
"7","2020-06-22",30
"8","2020-06-23",31.559999
"9","2020-06-24",31.15
"10","2020-06-25",30.9
"11","2020-06-26",31
"12","2020-06-29",32.119999
"13","2020-06-30",31.860001
"14","2020-07-01",31.99
"15","2020-07-02",32.599998
"16","2020-07-06",31.540001
"17","2020-07-07",32.25
"18","2020-07-08",31.84
"19","2020-07-09",32
"20","2020-07-10",31.1
"21","2020-07-13",30.870001
"22","2020-07-14",31.379999
"23","2020-07-15",31.209999
"24","2020-07-16",31.5
"25","2020-07-17",31.93
"26","2020-07-20",32.139999
"27","2020-07-21",32.029999
"28","2020-07-22",31.98
"29","2020-07-23",32.82
"30","2020-07-24",32.400002
"31","2020-07-27",34.169998
"32","2020-07-28",34
"33","2020-07-29",33.560001
"34","2020-07-30",34.400002
"35","2020-07-31",34.5
"36","2020-08-03",34.110001
"37","2020-08-04",34.200001
"38","2020-08-05",35.25
"39","2020-08-06",35.279999
"40","2020-08-07",34.900002
"41","2020-08-10",34.200001
"42","2020-08-11",33.470001
"43","2020-08-12",34
"44","2020-08-13",35.560001
"45","2020-08-14",37.619999
"46","2020-08-17",38.689999
"47","2020-08-18",40.049999
"48","2020-08-19",40.599998
"49","2020-08-20",40.939999
"50","2020-08-21",41.029999
"51","2020-08-24",39.880001
"52","2020-08-25",38.759998
"53","2020-08-26",38.580002
"54","2020-08-27",38.419998
"55","2020-08-28",38.91
"56","2020-08-31",39.48
"57","2020-09-01",41.23
"58","2020-09-02",40.759998
"59","2020-09-03",38.48
"60","2020-09-04",38.060001
"61","2020-09-08",37.310001
"62","2020-09-09",35.099998
"63","2020-09-10",34.150002
"64","2020-09-11",34.029999
"65","2020-09-14",34.700001
"66","2020-09-15",33.939999
"67","2020-09-16",33.860001
"68","2020-09-17",33.07
"69","2020-09-18",32.389999
"70","2020-09-21",32.049999
"71","2020-09-22",32.279999
"72","2020-09-23",32.139999
"73","2020-09-24",32.970001
"74","2020-09-25",33.57
"75","2020-09-28",34.57
"76","2020-09-29",34.630001
"77","2020-09-30",34.810001
"78","2020-10-01",35.369999
"79","2020-10-02",35.040001
"80","2020-10-05",35.66
"81","2020-10-06",35.900002
"82","2020-10-07",36.389999
"83","2020-10-08",36.939999
"84","2020-10-09",37.400002
"85","2020-10-12",37.540001
"86","2020-10-13",36.849998
"87","2020-10-14",36.75
"88","2020-10-15",37.790001
"89","2020-10-16",38.060001
"90","2020-10-19",37.939999
"91","2020-10-20",38.040001
"92","2020-10-21",37.27
"93","2020-10-22",36.189999
"94","2020-10-23",37.220001
"95","2020-10-26",35.259998
"96","2020-10-27",35.98
"97","2020-10-28",34.740002
"98","2020-10-29",34.18
"99","2020-10-30",33.439999
"100","2020-11-02",34.02
"101","2020-11-03",34.41
"102","2020-11-04",35.77
"103","2020-11-05",36.25
"104","2020-11-06",36.709999
"105","2020-11-09",33.450001
"106","2020-11-10",33.970001
"107","2020-11-11",35.470001
"108","2020-11-12",34.57
"109","2020-11-13",35.099998
"110","2020-11-16",34.759998
"111","2020-11-17",33.970001
"112","2020-11-18",34.48
"113","2020-11-19",35.060001
"114","2020-11-20",34.650002
"115","2020-11-23",34.459999
"116","2020-11-24",33.900002
"117","2020-11-25",34.419998
"118","2020-11-27",34.32
