"","date","BAP"
"1","2007-01-03",40.16362
"2","2007-01-04",39.432148
"3","2007-01-05",39.076035
"4","2007-01-08",38.970165
"5","2007-01-09",38.469681
"6","2007-01-10",38.29644
"7","2007-01-11",38.710297
"8","2007-01-12",38.97979
"9","2007-01-16",40.08662
"10","2007-01-17",41.135708
"11","2007-01-18",40.789219
"12","2007-01-19",40.230991
"13","2007-01-22",40.08662
"14","2007-01-23",40.558228
"15","2007-01-24",40.837345
"16","2007-01-25",40.038498
"17","2007-01-26",39.557266
"18","2007-01-29",39.172279
"19","2007-01-30",39.412895
"20","2007-01-31",40.635227
"21","2007-02-01",42.127045
"22","2007-02-02",42.993263
"23","2007-02-05",41.905678
"24","2007-02-06",42.627525
"25","2007-02-07",44.706448
"26","2007-02-08",44.292587
"27","2007-02-09",48.248314
"28","2007-02-12",47.353226
"29","2007-02-13",49.711262
"30","2007-02-14",49.220406
"31","2007-02-15",49.23003
"32","2007-02-16",50.240616
"33","2007-02-20",51.010586
"34","2007-02-21",50.384987
"35","2007-02-22",49.355148
"36","2007-02-23",48.537056
"37","2007-02-26",48.537056
"38","2007-02-27",45.620789
"39","2007-02-28",46.053898
"40","2007-03-01",44.908566
"41","2007-03-02",44.080849
"42","2007-03-05",42.463909
"43","2007-03-06",44.956688
"44","2007-03-07",45.043312
"45","2007-03-08",46.092396
"46","2007-03-09",46.275265
"47","2007-03-12",46.487007
"48","2007-03-13",45.967278
"49","2007-03-14",45.745911
"50","2007-03-15",45.996151
"51","2007-03-16",46.227142
"52","2007-03-19",46.10202
"53","2007-03-20",46.997112
"54","2007-03-21",47.545715
"55","2007-03-22",47.064484
"56","2007-03-23",47.391724
"57","2007-03-26",47.343601
"58","2007-03-27",46.968239
"59","2007-03-28",46.650627
"60","2007-03-29",46.968239
"61","2007-03-30",46.900867
"62","2007-04-02",47.305099
"63","2007-04-03",47.901829
"64","2007-04-04",49.047161
"65","2007-04-05",49.730511
"66","2007-04-09",48.864292
"67","2007-04-10",49.422523
"68","2007-04-11",49.085659
"69","2007-04-12",49.143406
"70","2007-04-13",49.393646
"71","2007-04-16",50.067371
"72","2007-04-17",50.635227
"73","2007-04-18",50.461983
"74","2007-04-19",50.327236
"75","2007-04-20",50.490856
"76","2007-04-23",49.951878
"77","2007-04-24",49.133781
"78","2007-04-25",49.903755
"79","2007-04-26",50.529354
"80","2007-04-27",50.567852
"81","2007-04-30",50.221367
"82","2007-05-01",51.154957
"83","2007-05-02",52.656399
"84","2007-05-03",53.320499
"85","2007-05-04",53.907604
"86","2007-05-07",54.051971
"87","2007-05-08",56.284889
"88","2007-05-09",56.063522
"89","2007-05-10",56.86237
"90","2007-05-11",59.624638
"91","2007-05-14",57.853706
"92","2007-05-15",57.747833
"93","2007-05-16",57.988449
"94","2007-05-17",58.315689
"95","2007-05-18",58.440807
"96","2007-05-21",58.893166
"97","2007-05-22",58.325314
"98","2007-05-23",58.065449
"99","2007-05-24",56.419636
"100","2007-05-25",56.641003
"101","2007-05-29",56.130894
"102","2007-05-30",54.263714
"103","2007-05-31",56.092396
"104","2007-06-01",55.861404
"105","2007-06-04",55.360924
"106","2007-06-05",55.24543
"107","2007-06-06",54.23484
"108","2007-06-07",53.407124
"109","2007-06-08",53.917229
"110","2007-06-11",54.956688
"111","2007-06-12",53.657364
"112","2007-06-13",54.523579
"113","2007-06-14",55.428295
"114","2007-06-15",57.410973
"115","2007-06-18",57.815208
"116","2007-06-19",58.81617
"117","2007-06-20",58.488934
"118","2007-06-21",59.91338
"119","2007-06-22",57.88258
"120","2007-06-25",57.526466
"121","2007-06-26",57.516842
"122","2007-06-27",57.391724
"123","2007-06-28",58.999039
"124","2007-06-29",58.873917
"125","2007-07-02",60.394611
"126","2007-07-03",60.153996
"127","2007-07-05",59.643887
"128","2007-07-06",59.942253
"129","2007-07-09",60.269489
"130","2007-07-10",58.411934
"131","2007-07-11",59.191532
"132","2007-07-12",60.972088
"133","2007-07-13",61.597691
"134","2007-07-16",60.635227
"135","2007-07-17",61.790184
"136","2007-07-18",63.147259
"137","2007-07-19",63.282001
"138","2007-07-20",64.032722
"139","2007-07-23",64.148216
"140","2007-07-24",61.963425
"141","2007-07-25",61.000961
"142","2007-07-26",59.384022
"143","2007-07-27",59.326275
"144","2007-07-30",60.904716
"145","2007-07-31",61.924927
"146","2007-08-01",62.088547
"147","2007-08-02",63.532242
"148","2007-08-03",62.367661
"149","2007-08-06",63.233879
"150","2007-08-07",63.888355
"151","2007-08-08",63.330124
"152","2007-08-09",59.412895
"153","2007-08-10",58.710297
"154","2007-08-13",59.980751
"155","2007-08-14",58.950912
"156","2007-08-15",57.921078
"157","2007-08-16",54.475456
"158","2007-08-17",56.361885
"159","2007-08-20",56.140518
"160","2007-08-21",56.496632
"161","2007-08-22",57.584217
"162","2007-08-23",58.161694
"163","2007-08-24",58.036575
"164","2007-08-27",58.806545
"165","2007-08-28",56.62175
"166","2007-08-29",57.757458
"167","2007-08-30",57.757458
"168","2007-08-31",59.047161
"169","2007-09-04",58.614052
"170","2007-09-05",58.421558
"171","2007-09-06",58.161694
"172","2007-09-07",57.353226
"173","2007-09-10",56.708374
"174","2007-09-11",56.458134
"175","2007-09-12",58.161694
"176","2007-09-13",59.220406
"177","2007-09-14",58.142445
"178","2007-09-17",58.488934
"179","2007-09-18",60.134747
"180","2007-09-19",62.868141
"181","2007-09-20",63.060635
"182","2007-09-21",63.522617
"183","2007-09-24",63.407124
"184","2007-09-25",62.44466
"185","2007-09-26",63.012512
"186","2007-09-27",64.39846
"187","2007-09-28",65.158806
"188","2007-10-01",65.447548
"189","2007-10-02",66.053902
"190","2007-10-03",65.43792
"191","2007-10-04",65.630417
"192","2007-10-05",66.920113
"193","2007-10-08",68.883545
"194","2007-10-09",68.142448
"195","2007-10-10",67.853706
"196","2007-10-11",67.256981
"197","2007-10-12",68.960541
"198","2007-10-15",67.651588
"199","2007-10-16",67.497597
"200","2007-10-17",68.565926
"201","2007-10-18",68.113571
"202","2007-10-19",67.478348
"203","2007-10-22",67.978828
"204","2007-10-23",70.173241
"205","2007-10-24",68.575554
"206","2007-10-25",68.98941
"207","2007-10-26",70.596725
"208","2007-10-29",73.060638
"209","2007-10-30",71.770935
"210","2007-10-31",71.53994
"211","2007-11-01",71.077957
"212","2007-11-02",70.365738
"213","2007-11-05",71.17421
"214","2007-11-06",72.367661
