"","date","BBCP"
"1","2017-08-21",9.7
"2","2017-08-22",9.7
"3","2017-08-23",9.7
"4","2017-08-24",9.7
"5","2017-08-25",9.713
"6","2017-08-28",9.71
"7","2017-08-29",9.72
"8","2017-08-30",9.72
"9","2017-08-31",9.72
"10","2017-09-01",9.73
"11","2017-09-05",9.75
"12","2017-09-06",9.73
"13","2017-09-07",9.72
"14","2017-09-08",9.72
"15","2017-09-11",9.76
"16","2017-09-12",9.76
"17","2017-09-13",9.77
"18","2017-09-14",9.74
"19","2017-09-15",9.78
"20","2017-09-18",9.76
"21","2017-09-19",9.73
"22","2017-09-20",9.736
"23","2017-09-21",9.73
"24","2017-09-22",9.73
"25","2017-09-25",9.74
"26","2017-09-26",9.73
"27","2017-09-27",9.75
"28","2017-09-28",9.78
"29","2017-09-29",9.78
"30","2017-10-02",9.771
"31","2017-10-03",9.76
"32","2017-10-04",9.76
"33","2017-10-05",9.76
"34","2017-10-06",9.76
"35","2017-10-09",9.75
"36","2017-10-10",9.75
"37","2017-10-11",9.76
"38","2017-10-12",9.772
"39","2017-10-13",9.77
"40","2017-10-16",9.765
"41","2017-10-17",9.76
"42","2017-10-18",9.76
"43","2017-10-19",9.76
"44","2017-10-20",9.806
"45","2017-10-23",9.75
"46","2017-10-24",9.8
"47","2017-10-25",9.8
"48","2017-10-26",9.74
"49","2017-10-27",9.742
"50","2017-10-30",9.75
"51","2017-10-31",9.75
"52","2017-11-01",9.73
"53","2017-11-02",9.731
"54","2017-11-03",9.731
"55","2017-11-06",9.72
"56","2017-11-07",9.72
"57","2017-11-08",9.71
"58","2017-11-09",9.705
"59","2017-11-10",9.71
"60","2017-11-13",9.69
"61","2017-11-14",9.689
"62","2017-11-15",9.689
"63","2017-11-16",9.68
"64","2017-11-17",9.71
"65","2017-11-20",9.685
"66","2017-11-21",9.7
"67","2017-11-22",9.7
"68","2017-11-24",9.7
"69","2017-11-27",9.75
"70","2017-11-28",9.75
"71","2017-11-29",9.7
"72","2017-11-30",9.7
"73","2017-12-01",9.7
"74","2017-12-04",9.7
"75","2017-12-05",9.74
"76","2017-12-06",9.74
"77","2017-12-07",9.74
"78","2017-12-08",9.74
"79","2017-12-11",9.74
"80","2017-12-12",9.74
"81","2017-12-13",9.725
"82","2017-12-14",9.725
"83","2017-12-15",9.74
