"","date","BGNE"
"1","2016-02-03",28.32
"2","2016-02-04",30.5
"3","2016-02-05",33.91
"4","2016-02-08",31.52
"5","2016-02-09",27.66
"6","2016-02-10",26.879999
"7","2016-02-11",24.1
"8","2016-02-12",23.98
"9","2016-02-16",25.129999
"10","2016-02-17",26.059999
"11","2016-02-18",26.65
"12","2016-02-19",27.030001
"13","2016-02-22",27.469999
"14","2016-02-23",27.15
"15","2016-02-24",27.84
"16","2016-02-25",28.950001
"17","2016-02-26",29.75
"18","2016-02-29",29.27
"19","2016-03-01",29.889999
"20","2016-03-02",31.18
"21","2016-03-03",32.150002
"22","2016-03-04",32.369999
"23","2016-03-07",29.790001
"24","2016-03-08",28.700001
"25","2016-03-09",28.77
"26","2016-03-10",28
"27","2016-03-11",27.879999
"28","2016-03-14",27
"29","2016-03-15",26.780001
"30","2016-03-16",25.98
"31","2016-03-17",26.030001
"32","2016-03-18",27.690001
"33","2016-03-21",29.299999
"34","2016-03-22",30.52
"35","2016-03-23",28.25
"36","2016-03-24",28.030001
"37","2016-03-28",27.030001
"38","2016-03-29",27.67
"39","2016-03-30",28.6
"40","2016-03-31",29.309999
"41","2016-04-01",29.209999
"42","2016-04-04",29.969999
"43","2016-04-05",29.51
"44","2016-04-06",31.58
"45","2016-04-07",31.299999
"46","2016-04-08",31.25
"47","2016-04-11",32.459999
"48","2016-04-12",31.530001
"49","2016-04-13",31.540001
"50","2016-04-14",31.290001
"51","2016-04-15",31.92
"52","2016-04-18",31.07
"53","2016-04-19",31.16
"54","2016-04-20",30.190001
"55","2016-04-21",29.709999
"56","2016-04-22",29.91
"57","2016-04-25",28.969999
"58","2016-04-26",28.6
"59","2016-04-27",27.27
"60","2016-04-28",26.879999
"61","2016-04-29",27.76
"62","2016-05-02",27.17
"63","2016-05-03",26.549999
"64","2016-05-04",26.26
"65","2016-05-05",26.25
"66","2016-05-06",26.24
"67","2016-05-09",27.67
"68","2016-05-10",27.77
"69","2016-05-11",28.190001
"70","2016-05-12",26.85
"71","2016-05-13",27.5
"72","2016-05-16",27.65
"73","2016-05-17",27.1
"74","2016-05-18",27.309999
"75","2016-05-19",27.09
"76","2016-05-20",26.92
"77","2016-05-23",27.82
"78","2016-05-24",27.620001
"79","2016-05-25",27.83
"80","2016-05-26",27.58
"81","2016-05-27",27.26
"82","2016-05-31",28.25
"83","2016-06-01",29.459999
"84","2016-06-02",31.030001
"85","2016-06-03",31.690001
"86","2016-06-06",33.110001
"87","2016-06-07",32.529999
"88","2016-06-08",32.049999
"89","2016-06-09",30.27
"90","2016-06-10",29.67
"91","2016-06-13",29.219999
"92","2016-06-14",29.610001
"93","2016-06-15",31.049999
"94","2016-06-16",29.92
"95","2016-06-17",31.1
"96","2016-06-20",29.969999
"97","2016-06-21",31.77
"98","2016-06-22",31.98
"99","2016-06-23",30.74
"100","2016-06-24",28.24
"101","2016-06-27",28
"102","2016-06-28",29.530001
"103","2016-06-29",30.030001
"104","2016-06-30",29.799999
"105","2016-07-01",29.639999
"106","2016-07-05",29.32
"107","2016-07-06",28.75
"108","2016-07-07",28.809999
"109","2016-07-08",29.18
"110","2016-07-11",30.059999
"111","2016-07-12",29.5
"112","2016-07-13",29.75
"113","2016-07-14",29.389999
"114","2016-07-15",29.540001
"115","2016-07-18",28.73
"116","2016-07-19",28.01
"117","2016-07-20",29.120001
"118","2016-07-21",27.629999
"119","2016-07-22",27.299999
"120","2016-07-25",27.07
"121","2016-07-26",26.91
"122","2016-07-27",27.379999
"123","2016-07-28",27.4
"124","2016-07-29",26.24
"125","2016-08-01",25.93
"126","2016-08-02",25.719999
"127","2016-08-03",26.59
"128","2016-08-04",26.110001
"129","2016-08-05",26.49
"130","2016-08-08",26.540001
"131","2016-08-09",27.290001
"132","2016-08-10",27.51
"133","2016-08-11",27.5
"134","2016-08-12",28.15
"135","2016-08-15",28.93
"136","2016-08-16",29.360001
"137","2016-08-17",28.219999
"138","2016-08-18",28.709999
"139","2016-08-19",29.6
"140","2016-08-22",29.1
"141","2016-08-23",29.41
"142","2016-08-24",28
"143","2016-08-25",28
"144","2016-08-26",27.99
"145","2016-08-29",28.530001
"146","2016-08-30",29.25
"147","2016-08-31",28.709999
"148","2016-09-01",29.4
"149","2016-09-02",29.49
"150","2016-09-06",29.771999
"151","2016-09-07",30.450001
"152","2016-09-08",31.58
"153","2016-09-09",30.280001
"154","2016-09-12",31.4
"155","2016-09-13",31.67
"156","2016-09-14",33.580002
"157","2016-09-15",32.450001
"158","2016-09-16",32.650002
"159","2016-09-19",30.889999
"160","2016-09-20",30.98
"161","2016-09-21",30.98
"162","2016-09-22",31.18
