"","date","BJ"
"1","2018-06-28",22
"2","2018-06-29",23.65
"3","2018-07-02",23.530001
"4","2018-07-03",24.91
"5","2018-07-05",23.75
"6","2018-07-06",23.65
"7","2018-07-09",23.870001
"8","2018-07-10",24.440001
"9","2018-07-11",25
"10","2018-07-12",25
"11","2018-07-13",27.049999
"12","2018-07-16",27
"13","2018-07-17",26.32
"14","2018-07-18",25.799999
"15","2018-07-19",25.700001
"16","2018-07-20",25.91
"17","2018-07-23",26
"18","2018-07-24",26.01
"19","2018-07-25",24.950001
"20","2018-07-26",24.940001
"21","2018-07-27",24.440001
"22","2018-07-30",24.75
"23","2018-07-31",24.790001
"24","2018-08-01",24.99
"25","2018-08-02",25.84
"26","2018-08-03",25.51
"27","2018-08-06",25.82
"28","2018-08-07",25.530001
"29","2018-08-08",26
"30","2018-08-09",25.25
"31","2018-08-10",25.219999
"32","2018-08-13",24.59
"33","2018-08-14",24.790001
"34","2018-08-15",24.780001
"35","2018-08-16",25.1
"36","2018-08-17",25.709999
"37","2018-08-20",26.360001
"38","2018-08-21",26.43
"39","2018-08-22",26.790001
"40","2018-08-23",28.17
"41","2018-08-24",29.030001
"42","2018-08-27",27.120001
"43","2018-08-28",26.879999
"44","2018-08-29",29.01
"45","2018-08-30",29.950001
"46","2018-08-31",29.5
"47","2018-09-04",30.15
"48","2018-09-05",30.299999
"49","2018-09-06",31.450001
"50","2018-09-07",30.66
"51","2018-09-10",31.16
"52","2018-09-11",30.41
"53","2018-09-12",30.27
"54","2018-09-13",29.01
"55","2018-09-14",28.540001
"56","2018-09-17",27.870001
"57","2018-09-18",27.75
"58","2018-09-19",28.059999
"59","2018-09-20",28.91
"60","2018-09-21",29.15
"61","2018-09-24",28.459999
"62","2018-09-25",28.059999
"63","2018-09-26",26.43
"64","2018-09-27",26.110001
"65","2018-09-28",26.780001
"66","2018-10-01",27.190001
"67","2018-10-02",26.42
"68","2018-10-03",26.59
"69","2018-10-04",25.889999
"70","2018-10-05",24.98
"71","2018-10-08",24.889999
"72","2018-10-09",25.41
"73","2018-10-10",23.92
"74","2018-10-11",23.92
"75","2018-10-12",23.98
"76","2018-10-15",24.1
"77","2018-10-16",23.6
"78","2018-10-17",23.98
"79","2018-10-18",23.35
"80","2018-10-19",22.799999
"81","2018-10-22",22.52
"82","2018-10-23",22.530001
"83","2018-10-24",21.610001
"84","2018-10-25",21.75
"85","2018-10-26",21.049999
"86","2018-10-29",20.74
"87","2018-10-30",21.66
"88","2018-10-31",22.15
"89","2018-11-01",22.58
"90","2018-11-02",22.370001
"91","2018-11-05",23.32
"92","2018-11-06",23.549999
"93","2018-11-07",24.200001
"94","2018-11-08",23.77
"95","2018-11-09",23.120001
"96","2018-11-12",22.709999
"97","2018-11-13",22.43
"98","2018-11-14",21.969999
"99","2018-11-15",21.6
"100","2018-11-16",21.040001
"101","2018-11-19",20.07
"102","2018-11-20",19.83
"103","2018-11-21",22.049999
"104","2018-11-23",21.889999
"105","2018-11-26",22.860001
"106","2018-11-27",22.690001
"107","2018-11-28",23.780001
"108","2018-11-29",23.02
"109","2018-11-30",23.360001
"110","2018-12-03",23.85
"111","2018-12-04",22.969999
"112","2018-12-06",23.620001
"113","2018-12-07",23.459999
"114","2018-12-10",23.860001
"115","2018-12-11",24.280001
"116","2018-12-12",24.07
"117","2018-12-13",23.85
"118","2018-12-14",22.6
"119","2018-12-17",22.25
"120","2018-12-18",22.860001
"121","2018-12-19",22.809999
"122","2018-12-20",22.59
"123","2018-12-21",20.690001
"124","2018-12-24",19.91
"125","2018-12-26",21.25
"126","2018-12-27",21.57
"127","2018-12-28",21.76
"128","2018-12-31",22.16
"129","2019-01-02",23.02
"130","2019-01-03",22.690001
"131","2019-01-04",22.74
"132","2019-01-07",23.51
"133","2019-01-08",22.889999
"134","2019-01-09",23.6
"135","2019-01-10",24.040001
"136","2019-01-11",23.780001
"137","2019-01-14",23.879999
"138","2019-01-15",24.200001
"139","2019-01-16",25.15
"140","2019-01-17",24.450001
"141","2019-01-18",24.6
"142","2019-01-22",25.280001
"143","2019-01-23",24.73
"144","2019-01-24",25.27
"145","2019-01-25",26.190001
"146","2019-01-28",26.549999
"147","2019-01-29",26.59
"148","2019-01-30",26.77
"149","2019-01-31",26.309999
"150","2019-02-01",26.469999
"151","2019-02-04",26.690001
"152","2019-02-05",26.85
"153","2019-02-06",26.9
"154","2019-02-07",26.860001
"155","2019-02-08",26.23
"156","2019-02-11",25.299999
"157","2019-02-12",25.469999
"158","2019-02-13",25.49
"159","2019-02-14",25.85
"160","2019-02-15",25.860001
"161","2019-02-19",25.940001
"162","2019-02-20",26.5
"163","2019-02-21",25.49
"164","2019-02-22",25.870001
"165","2019-02-25",25.48
"166","2019-02-26",25.370001
"167","2019-02-27",25.33
"168","2019-02-28",25.32
"169","2019-03-01",25.6
"170","2019-03-04",25.98
"171","2019-03-05",26.620001
"172","2019-03-06",25.620001
"173","2019-03-07",25.08
"174","2019-03-08",24.75
"175","2019-03-11",25.459999
"176","2019-03-12",25.440001
"177","2019-03-13",25.719999
"178","2019-03-14",25.940001
"179","2019-03-15",25.43
"180","2019-03-18",25.68
"181","2019-03-19",25.700001
"182","2019-03-20",26.25
"183","2019-03-21",26.870001
"184","2019-03-22",26.120001
"185","2019-03-25",26.26
"186","2019-03-26",26.68
"187","2019-03-27",26.82
"188","2019-03-28",27.07
"189","2019-03-29",27.4
"190","2019-04-01",27.59
"191","2019-04-02",27.530001
"192","2019-04-03",28.059999
"193","2019-04-04",28.42
"194","2019-04-05",28.309999
"195","2019-04-08",28.15
"196","2019-04-09",28.110001
"197","2019-04-10",28.5
"198","2019-04-11",28.559999
"199","2019-04-12",28.75
"200","2019-04-15",28.91
"201","2019-04-16",28.870001
"202","2019-04-17",28.709999
"203","2019-04-18",28.540001
"204","2019-04-22",27.41
"205","2019-04-23",27.950001
"206","2019-04-24",27.85
"207","2019-04-25",27.57
"208","2019-04-26",27.68
"209","2019-04-29",27.959999
"210","2019-04-30",28.35
"211","2019-05-01",28.049999
"212","2019-05-02",28.15
"213","2019-05-03",28.450001
"214","2019-05-06",28.23
"215","2019-05-07",26.15
"216","2019-05-08",26.540001
"217","2019-05-09",26.83
"218","2019-05-10",27.24
"219","2019-05-13",26.23
"220","2019-05-14",26.530001
"221","2019-05-15",26.35
"222","2019-05-16",25.77
"223","2019-05-17",25.57
"224","2019-05-20",25.35
"225","2019-05-21",25.559999
"226","2019-05-22",25.41
"227","2019-05-23",26.15
"228","2019-05-24",26.66
"229","2019-05-28",26.1
"230","2019-05-29",25.440001
"231","2019-05-30",25.18
"232","2019-05-31",24.98
"233","2019-06-03",24.799999
"234","2019-06-04",25.459999
"235","2019-06-05",24.74
"236","2019-06-06",24.35
"237","2019-06-07",24.76
"238","2019-06-10",24.41
"239","2019-06-11",24.75
"240","2019-06-12",24.540001
"241","2019-06-13",24.76
"242","2019-06-14",24.540001
"243","2019-06-17",24.790001
"244","2019-06-18",25.110001
"245","2019-06-19",25.639999
"246","2019-06-20",25.700001
"247","2019-06-21",25.27
"248","2019-06-24",25.110001
"249","2019-06-25",25.51
"250","2019-06-26",25.74
"251","2019-06-27",26.48
"252","2019-06-28",26.4
"253","2019-07-01",26.18
"254","2019-07-02",25.790001
"255","2019-07-03",25.84
"256","2019-07-05",25.950001
"257","2019-07-08",25.91
"258","2019-07-09",24.459999
"259","2019-07-10",23.799999
"260","2019-07-11",23.59
"261","2019-07-12",24.15
"262","2019-07-15",24.459999
"263","2019-07-16",24.719999
"264","2019-07-17",24.43
"265","2019-07-18",24.84
"266","2019-07-19",24.58
"267","2019-07-22",24.200001
"268","2019-07-23",24.200001
"269","2019-07-24",23.889999
"270","2019-07-25",24.09
"271","2019-07-26",23.870001
"272","2019-07-29",23.84
"273","2019-07-30",23.85
"274","2019-07-31",23.559999
"275","2019-08-01",23.15
"276","2019-08-02",23.57
"277","2019-08-05",23.09
"278","2019-08-06",23.84
"279","2019-08-07",24
"280","2019-08-08",24.01
"281","2019-08-09",23.209999
"282","2019-08-12",21.91
"283","2019-08-13",22.049999
"284","2019-08-14",21.129999
"285","2019-08-15",21.24
"286","2019-08-16",21.68
"287","2019-08-19",21.67
"288","2019-08-20",21.629999
"289","2019-08-21",22.549999
"290","2019-08-22",26.42
"291","2019-08-23",25.030001
"292","2019-08-26",25.92
"293","2019-08-27",25.610001
"294","2019-08-28",26.27
"295","2019-08-29",26.610001
"296","2019-08-30",26.26
"297","2019-09-03",26.16
"298","2019-09-04",26.34
"299","2019-09-05",27.17
"300","2019-09-06",27.23
"301","2019-09-09",27.690001
"302","2019-09-10",27.67
"303","2019-09-11",28.09
"304","2019-09-12",27.5
"305","2019-09-13",27.440001
"306","2019-09-16",26.889999
"307","2019-09-17",25.870001
"308","2019-09-18",26.280001
"309","2019-09-19",26.17
"310","2019-09-20",26.360001
"311","2019-09-23",26.209999
"312","2019-09-24",25.65
"313","2019-09-25",26.27
"314","2019-09-26",25.99
"315","2019-09-27",25.65
"316","2019-09-30",25.870001
"317","2019-10-01",25.129999
"318","2019-10-02",24.82
"319","2019-10-03",24.540001
"320","2019-10-04",23.84
"321","2019-10-07",24.17
"322","2019-10-08",24.299999
"323","2019-10-09",24.15
"324","2019-10-10",24.5
"325","2019-10-11",25.1
"326","2019-10-14",24.84
"327","2019-10-15",25.049999
"328","2019-10-16",24.780001
"329","2019-10-17",25.129999
"330","2019-10-18",25.15
"331","2019-10-21",25.370001
"332","2019-10-22",25.91
"333","2019-10-23",26.23
"334","2019-10-24",25.73
"335","2019-10-25",26.049999
"336","2019-10-28",25.9
"337","2019-10-29",25.16
"338","2019-10-30",25.33
"339","2019-10-31",26.700001
"340","2019-11-01",27.15
"341","2019-11-04",27.01
"342","2019-11-05",26.85
"343","2019-11-06",26.76
"344","2019-11-07",27
"345","2019-11-08",26.83
"346","2019-11-11",26.5
"347","2019-11-12",26.700001
