"","date","BOX"
"1","2015-01-23",23.23
"2","2015-01-26",22.6
"3","2015-01-27",21.299999
"4","2015-01-28",19.780001
"5","2015-01-29",18.799999
"6","2015-01-30",18.809999
"7","2015-02-02",18.02
"8","2015-02-03",18.24
"9","2015-02-04",17.1
"10","2015-02-05",16.66
"11","2015-02-06",18.120001
"12","2015-02-09",19.6
"13","2015-02-10",20.99
"14","2015-02-11",20.959999
"15","2015-02-12",20.17
"16","2015-02-13",20.18
"17","2015-02-17",19.049999
"18","2015-02-18",18
"19","2015-02-19",18.959999
"20","2015-02-20",18.85
"21","2015-02-23",18.209999
"22","2015-02-24",18.83
"23","2015-02-25",18.67
"24","2015-02-26",18.940001
"25","2015-02-27",18.66
"26","2015-03-02",18.790001
"27","2015-03-03",18.59
"28","2015-03-04",19
"29","2015-03-05",19.139999
"30","2015-03-06",18.91
"31","2015-03-09",19.4
"32","2015-03-10",19.639999
"33","2015-03-11",20.530001
"34","2015-03-12",18.200001
"35","2015-03-13",17.879999
"36","2015-03-16",17.129999
"37","2015-03-17",17.120001
"38","2015-03-18",17.01
"39","2015-03-19",17.059999
"40","2015-03-20",17.209999
"41","2015-03-23",17.110001
"42","2015-03-24",17
"43","2015-03-25",16.969999
"44","2015-03-26",17.540001
"45","2015-03-27",18.299999
"46","2015-03-30",19.049999
"47","2015-03-31",19.75
"48","2015-04-01",18.65
"49","2015-04-02",17.9
"50","2015-04-06",17.66
"51","2015-04-07",17.610001
"52","2015-04-08",17.360001
"53","2015-04-09",17.1
"54","2015-04-10",17.049999
"55","2015-04-13",17.1
"56","2015-04-14",17.52
"57","2015-04-15",17.690001
"58","2015-04-16",17.82
"59","2015-04-17",17.790001
"60","2015-04-20",17.93
"61","2015-04-21",17.92
"62","2015-04-22",18.290001
"63","2015-04-23",18.280001
"64","2015-04-24",17.75
"65","2015-04-27",17.57
"66","2015-04-28",17.5
"67","2015-04-29",17.209999
"68","2015-04-30",17.110001
"69","2015-05-01",17.5
"70","2015-05-04",17.4
"71","2015-05-05",17.43
"72","2015-05-06",17.040001
"73","2015-05-07",17.040001
"74","2015-05-08",17.1
"75","2015-05-11",17.309999
"76","2015-05-12",17.24
"77","2015-05-13",17.200001
"78","2015-05-14",17.08
"79","2015-05-15",16.950001
"80","2015-05-18",16.870001
"81","2015-05-19",16.83
"82","2015-05-20",16.860001
"83","2015-05-21",16.879999
"84","2015-05-22",17
"85","2015-05-26",17.01
"86","2015-05-27",17.75
"87","2015-05-28",17.620001
"88","2015-05-29",17.639999
"89","2015-06-01",17.5
"90","2015-06-02",17.370001
"91","2015-06-03",17.34
"92","2015-06-04",17.33
"93","2015-06-05",17.530001
"94","2015-06-08",17.620001
"95","2015-06-09",16.92
"96","2015-06-10",17.790001
"97","2015-06-11",18.290001
"98","2015-06-12",17.25
"99","2015-06-15",17.120001
"100","2015-06-16",17.9
"101","2015-06-17",17.370001
"102","2015-06-18",17.52
"103","2015-06-19",17.42
"104","2015-06-22",17.549999
"105","2015-06-23",17.549999
"106","2015-06-24",18.530001
"107","2015-06-25",19.35
"108","2015-06-26",19.1
"109","2015-06-29",18.1
"110","2015-06-30",18.639999
"111","2015-07-01",18.76
"112","2015-07-02",18.559999
"113","2015-07-06",17.99
"114","2015-07-07",17.57
"115","2015-07-08",16.74
"116","2015-07-09",16.809999
"117","2015-07-10",16.709999
"118","2015-07-13",16.950001
"119","2015-07-14",18.049999
"120","2015-07-15",17.83
"121","2015-07-16",18.389999
"122","2015-07-17",18.74
"123","2015-07-20",17.549999
"124","2015-07-21",17.059999
"125","2015-07-22",16.629999
"126","2015-07-23",16.379999
"127","2015-07-24",16.290001
"128","2015-07-27",16.639999
"129","2015-07-28",16.41
"130","2015-07-29",16.469999
"131","2015-07-30",16.690001
"132","2015-07-31",16.33
"133","2015-08-03",15.42
"134","2015-08-04",14.45
"135","2015-08-05",14.06
"136","2015-08-06",14.01
"137","2015-08-07",15.53
"138","2015-08-10",15.27
"139","2015-08-11",14.75
"140","2015-08-12",14.37
"141","2015-08-13",14.56
"142","2015-08-14",14.55
"143","2015-08-17",14.57
"144","2015-08-18",14.35
"145","2015-08-19",14.74
"146","2015-08-20",14.4
"147","2015-08-21",14.07
"148","2015-08-24",13.01
"149","2015-08-25",13.46
"150","2015-08-26",13.25
"151","2015-08-27",13.57
"152","2015-08-28",13.68
"153","2015-08-31",13.48
"154","2015-09-01",12.9
"155","2015-09-02",13.1
"156","2015-09-03",12.99
"157","2015-09-04",13.31
"158","2015-09-08",13.9
"159","2015-09-09",14.25
