"","date","BSM"
"1","2015-04-30",19
"2","2015-05-01",19
"3","2015-05-04",19
"4","2015-05-05",18
"5","2015-05-06",17.700001
"6","2015-05-07",17.709999
"7","2015-05-08",17.74
"8","2015-05-11",17.77
"9","2015-05-12",17.5
"10","2015-05-13",17.5
"11","2015-05-14",17.23
"12","2015-05-15",16.99
"13","2015-05-18",16.889999
"14","2015-05-19",16.959999
"15","2015-05-20",16.99
"16","2015-05-21",17.389999
"17","2015-05-22",17.99
"18","2015-05-26",17.780001
"19","2015-05-27",17.690001
"20","2015-05-28",17.940001
"21","2015-05-29",18.09
"22","2015-06-01",17.93
"23","2015-06-02",17.93
"24","2015-06-03",17.85
"25","2015-06-04",17.809999
"26","2015-06-05",18.200001
"27","2015-06-08",17.860001
"28","2015-06-09",17.83
"29","2015-06-10",17.950001
"30","2015-06-11",17.84
"31","2015-06-12",17.719999
"32","2015-06-15",17.76
"33","2015-06-16",17.74
"34","2015-06-17",17.629999
"35","2015-06-18",17.67
"36","2015-06-19",17.66
"37","2015-06-22",17.82
"38","2015-06-23",17.91
"39","2015-06-24",17.5
"40","2015-06-25",17.610001
"41","2015-06-26",17.67
"42","2015-06-29",17.5
"43","2015-06-30",17.219999
"44","2015-07-01",17.200001
"45","2015-07-02",17.120001
"46","2015-07-06",16.870001
"47","2015-07-07",16.98
"48","2015-07-08",16.860001
"49","2015-07-09",16.6
"50","2015-07-10",16.4
"51","2015-07-13",16.530001
"52","2015-07-14",16.700001
"53","2015-07-15",16.610001
"54","2015-07-16",16.25
"55","2015-07-17",15.76
"56","2015-07-20",15.53
"57","2015-07-21",15.58
"58","2015-07-22",15.74
"59","2015-07-23",15.73
"60","2015-07-24",15.21
"61","2015-07-27",14.78
"62","2015-07-28",14.99
"63","2015-07-29",14.64
"64","2015-07-30",14.25
"65","2015-07-31",14.13
"66","2015-08-03",14.27
"67","2015-08-04",14.43
"68","2015-08-05",13.89
"69","2015-08-06",13.54
"70","2015-08-07",13.45
"71","2015-08-10",13.91
"72","2015-08-11",13.55
"73","2015-08-12",13.66
"74","2015-08-13",13.73
"75","2015-08-14",14.61
"76","2015-08-17",14.67
"77","2015-08-18",14.45
"78","2015-08-19",13.94
"79","2015-08-20",14.25
"80","2015-08-21",14.14
"81","2015-08-24",14.12
"82","2015-08-25",14.42
"83","2015-08-26",14.38
"84","2015-08-27",14.96
"85","2015-08-28",15.61
"86","2015-08-31",15.66
"87","2015-09-01",15.58
"88","2015-09-02",15.6
"89","2015-09-03",16.15
"90","2015-09-04",16.18
"91","2015-09-08",16.23
"92","2015-09-09",16.4
"93","2015-09-10",16.25
"94","2015-09-11",15.6
"95","2015-09-14",15.26
"96","2015-09-15",15.41
"97","2015-09-16",14.98
"98","2015-09-17",15.26
"99","2015-09-18",15.18
"100","2015-09-21",14.94
"101","2015-09-22",14.77
"102","2015-09-23",14.2
"103","2015-09-24",14.56
"104","2015-09-25",14.19
"105","2015-09-28",13.89
"106","2015-09-29",13.85
"107","2015-09-30",13.8
"108","2015-10-01",13.93
"109","2015-10-02",14
"110","2015-10-05",14.86
"111","2015-10-06",15.55
"112","2015-10-07",15.25
"113","2015-10-08",15.21
"114","2015-10-09",15.03
"115","2015-10-12",14.99
"116","2015-10-13",14.69
"117","2015-10-14",14.34
"118","2015-10-15",14.64
"119","2015-10-16",14.12
"120","2015-10-19",13.92
"121","2015-10-20",13.94
"122","2015-10-21",13.82
"123","2015-10-22",13.93
"124","2015-10-23",14
"125","2015-10-26",13.01
"126","2015-10-27",12.51
"127","2015-10-28",13.07
"128","2015-10-29",13.31
"129","2015-10-30",13.73
"130","2015-11-02",14.02
"131","2015-11-03",14.18
"132","2015-11-04",14.25
"133","2015-11-05",14.43
"134","2015-11-06",14.38
"135","2015-11-09",14.5
"136","2015-11-10",14.28
"137","2015-11-11",13.52
"138","2015-11-12",13.89
"139","2015-11-13",14.32
"140","2015-11-16",14.27
"141","2015-11-17",14
"142","2015-11-18",14.28
"143","2015-11-19",14.36
"144","2015-11-20",14.36
"145","2015-11-23",14.56
"146","2015-11-24",14.9
"147","2015-11-25",15.45
"148","2015-11-27",15.82
"149","2015-11-30",16.08
"150","2015-12-01",15.9
"151","2015-12-02",15.45
"152","2015-12-03",14.95
"153","2015-12-04",14.32
"154","2015-12-07",13.83
"155","2015-12-08",13.52
"156","2015-12-09",14.43
"157","2015-12-10",14.53
"158","2015-12-11",14.46
"159","2015-12-14",14.43
"160","2015-12-15",14.78
"161","2015-12-16",14.7
"162","2015-12-17",14.53
"163","2015-12-18",14.9
"164","2015-12-21",14.53
"165","2015-12-22",14.5
"166","2015-12-23",15.66
"167","2015-12-24",14.96
"168","2015-12-28",14.57
"169","2015-12-29",14.09
"170","2015-12-30",14.16
"171","2015-12-31",14.43
"172","2016-01-04",15.18
"173","2016-01-05",15.61
"174","2016-01-06",14.48
"175","2016-01-07",15
"176","2016-01-08",14.8
"177","2016-01-11",14.15
"178","2016-01-12",13.91
"179","2016-01-13",13.67
"180","2016-01-14",13.92
"181","2016-01-15",13.98
"182","2016-01-19",13.6
"183","2016-01-20",13.35
"184","2016-01-21",13.35
"185","2016-01-22",13.16
"186","2016-01-25",13.02
"187","2016-01-26",13.28
"188","2016-01-27",13.38
"189","2016-01-28",14.08
"190","2016-01-29",13.76
"191","2016-02-01",12.93
"192","2016-02-02",12.61
"193","2016-02-03",12.83
"194","2016-02-04",12.99
"195","2016-02-05",12.61
"196","2016-02-08",11.68
"197","2016-02-09",11.38
"198","2016-02-10",10.79
"199","2016-02-11",11.25
"200","2016-02-12",11.86
"201","2016-02-16",11.5
"202","2016-02-17",11.5
"203","2016-02-18",11.56
"204","2016-02-19",11.25
"205","2016-02-22",11.95
"206","2016-02-23",12
"207","2016-02-24",12.02
"208","2016-02-25",12.24
"209","2016-02-26",12.28
"210","2016-02-29",12.43
