"","date","BTBT"
"1","2020-02-07",0.4
"2","2020-02-10",0.4
"3","2020-02-11",0.4
"4","2020-02-12",0.4
"5","2020-02-13",0.4
"6","2020-02-14",0.4
"7","2020-02-18",0.4
"8","2020-02-19",0.4
"9","2020-02-20",0.4
"10","2020-02-21",0.4
"11","2020-02-24",0.4
"12","2020-02-25",0.4
"13","2020-02-26",0.4
"14","2020-02-27",0.4
"15","2020-02-28",0.4
"16","2020-03-02",0.4
"17","2020-03-03",0.4
"18","2020-03-04",0.4
"19","2020-03-05",0.4
"20","2020-03-06",0.4
"21","2020-03-09",0.4
"22","2020-03-10",0.4
"23","2020-03-11",0.4
"24","2020-03-12",0.4
"25","2020-03-13",0.4
"26","2020-03-16",0.4
"27","2020-03-17",0.4
"28","2020-03-18",0.4
"29","2020-03-19",0.4
"30","2020-03-20",0.4
"31","2020-03-23",0.4
"32","2020-03-24",0.4
"33","2020-03-25",0.33
"34","2020-03-26",0.44
"35","2020-03-27",0.46
"36","2020-03-30",0.42
"37","2020-03-31",0.55
"38","2020-04-01",0.478
"39","2020-04-02",0.52
"40","2020-04-03",0.53
"41","2020-04-06",0.69
"42","2020-04-07",0.94
"43","2020-04-08",0.88
"44","2020-04-09",0.881
"45","2020-04-13",0.82
"46","2020-04-14",1.09
"47","2020-04-15",1.54
"48","2020-04-16",1.95
"49","2020-04-17",2.55
"50","2020-04-20",2.45
"51","2020-04-21",2.2
"52","2020-04-22",2.4
"53","2020-04-23",2.28
"54","2020-04-24",1.53
"55","2020-04-27",1.69
"56","2020-04-28",1.58
"57","2020-04-29",1.58
"58","2020-04-30",1.48
"59","2020-05-01",1.46
"60","2020-05-04",1.46
"61","2020-05-05",1.44
"62","2020-05-06",1.37
"63","2020-05-07",1.44
"64","2020-05-08",1.52
"65","2020-05-11",1.5
"66","2020-05-12",1.42
"67","2020-05-13",1.2
"68","2020-05-14",1.13
"69","2020-05-15",1.116
"70","2020-05-18",1.03
"71","2020-05-19",0.859
"72","2020-05-20",0.87
"73","2020-05-21",0.79
"74","2020-05-22",0.801
"75","2020-05-26",0.89
"76","2020-05-27",0.99
"77","2020-05-28",0.999
"78","2020-05-29",NA
"79","2020-06-01",NA
"80","2020-06-02",NA
