"","date","BWMX"
"1","2019-01-03",9.8
"2","2019-01-04",9.8
"3","2019-01-07",9.8
"4","2019-01-08",9.8
"5","2019-01-09",9.8
"6","2019-01-10",9.8
"7","2019-01-11",9.8
"8","2019-01-14",9.8
"9","2019-01-15",9.8
"10","2019-01-16",9.8
"11","2019-01-17",9.8
"12","2019-01-18",9.8
"13","2019-01-22",9.8
"14","2019-01-23",9.8
"15","2019-01-24",9.8
"16","2019-01-25",9.8
"17","2019-01-28",9.8
"18","2019-01-29",9.708
"19","2019-01-30",9.708
"20","2019-01-31",9.82
"21","2019-02-01",9.82
"22","2019-02-04",9.82
"23","2019-02-05",9.82
"24","2019-02-06",9.82
"25","2019-02-07",9.82
"26","2019-02-08",9.82
"27","2019-02-11",9.82
"28","2019-02-12",9.82
"29","2019-02-13",9.81
"30","2019-02-14",9.81
"31","2019-02-15",9.81
"32","2019-02-19",9.81
"33","2019-02-20",9.81
"34","2019-02-21",9.81
"35","2019-02-22",9.77
"36","2019-02-25",9.77
"37","2019-02-26",9.77
"38","2019-02-27",9.77
"39","2019-02-28",9.77
"40","2019-03-01",9.77
"41","2019-03-04",9.77
"42","2019-03-05",9.77
"43","2019-03-06",9.81
"44","2019-03-07",9.79
"45","2019-03-08",9.8
"46","2019-03-11",9.8
"47","2019-03-12",9.8
"48","2019-03-13",9.8
"49","2019-03-14",9.8
"50","2019-03-15",9.8
"51","2019-03-18",9.8
"52","2019-03-19",9.8
"53","2019-03-20",9.8
"54","2019-03-21",9.8
"55","2019-03-22",9.8
"56","2019-03-25",10
"57","2019-03-26",9.82
"58","2019-03-27",9.84
"59","2019-03-28",9.83
"60","2019-03-29",9.83
"61","2019-04-01",9.83
"62","2019-04-02",10
"63","2019-04-03",10
"64","2019-04-04",9.84
"65","2019-04-05",9.84
"66","2019-04-08",9.84
"67","2019-04-09",9.85
"68","2019-04-10",9.85
"69","2019-04-11",9.85
"70","2019-04-12",9.87
"71","2019-04-15",9.87
"72","2019-04-16",9.87
"73","2019-04-17",9.95
"74","2019-04-18",9.95
"75","2019-04-22",9.95
"76","2019-04-23",9.95
"77","2019-04-24",9.95
"78","2019-04-25",9.95
"79","2019-04-26",9.95
"80","2019-04-29",9.95
"81","2019-04-30",9.95
"82","2019-05-01",9.92
"83","2019-05-02",9.92
"84","2019-05-03",9.92
"85","2019-05-06",9.92
"86","2019-05-07",9.92
"87","2019-05-08",9.93
"88","2019-05-09",9.93
"89","2019-05-10",9.95
"90","2019-05-13",9.95
"91","2019-05-14",9.95
"92","2019-05-15",9.95
"93","2019-05-16",9.95
"94","2019-05-17",9.95
"95","2019-05-20",9.95
"96","2019-05-21",9.95
"97","2019-05-22",9.95
"98","2019-05-23",9.95
"99","2019-05-24",9.95
"100","2019-05-28",9.96
"101","2019-05-29",9.96
"102","2019-05-30",9.96
"103","2019-05-31",9.97
"104","2019-06-03",9.97
"105","2019-06-04",9.97
"106","2019-06-05",9.97
"107","2019-06-06",9.99
"108","2019-06-07",9.96
"109","2019-06-10",10
"110","2019-06-11",10
"111","2019-06-12",10
"112","2019-06-13",10
"113","2019-06-14",10
"114","2019-06-17",10
"115","2019-06-18",10
"116","2019-06-19",10
"117","2019-06-20",9.995
"118","2019-06-21",9.995
"119","2019-06-24",9.995
"120","2019-06-25",9.995
"121","2019-06-26",9.995
"122","2019-06-27",9.995
"123","2019-06-28",9.995
"124","2019-07-01",9.995
"125","2019-07-02",10.04
"126","2019-07-03",10.04
"127","2019-07-05",10.04
"128","2019-07-08",10.04
"129","2019-07-09",10.029
"130","2019-07-10",10.029
"131","2019-07-11",10.02
"132","2019-07-12",10.02
"133","2019-07-15",10.02
"134","2019-07-16",10.02
"135","2019-07-17",10.03
"136","2019-07-18",10.03
"137","2019-07-19",10.04
"138","2019-07-22",10.04
"139","2019-07-23",10.02
"140","2019-07-24",10.02
"141","2019-07-25",10.02
"142","2019-07-26",10.02
"143","2019-07-29",10.04
"144","2019-07-30",10.04
"145","2019-07-31",10.04
"146","2019-08-01",10.024
"147","2019-08-02",10.024
"148","2019-08-05",10.08
"149","2019-08-06",10.08
"150","2019-08-07",10.08
"151","2019-08-08",10.07
"152","2019-08-09",10.07
"153","2019-08-12",10.08
"154","2019-08-13",10.07
"155","2019-08-14",10.07
"156","2019-08-15",10.07
"157","2019-08-16",10.07
"158","2019-08-19",10.05
"159","2019-08-20",10.05
"160","2019-08-21",10.1
"161","2019-08-22",10.1
"162","2019-08-23",10.1
"163","2019-08-26",10.075
"164","2019-08-27",10.1
"165","2019-08-28",10.08
"166","2019-08-29",10.09
"167","2019-08-30",10.09
"168","2019-09-03",10.09
"169","2019-09-04",10.09
"170","2019-09-05",10.09
"171","2019-09-06",10.1
"172","2019-09-09",10.08
"173","2019-09-10",10.08
"174","2019-09-11",10.09
"175","2019-09-12",10.09
"176","2019-09-13",10.09
"177","2019-09-16",10.09
"178","2019-09-17",10.09
"179","2019-09-18",10.14
"180","2019-09-19",10.143
"181","2019-09-20",10.143
"182","2019-09-23",10.13
"183","2019-09-24",10.11
"184","2019-09-25",10.12
"185","2019-09-26",10.12
"186","2019-09-27",10.13
"187","2019-09-30",10.15
"188","2019-10-01",10.13
"189","2019-10-02",10.13
"190","2019-10-03",10.13
"191","2019-10-04",10.15
"192","2019-10-07",10.15
"193","2019-10-08",10.15
"194","2019-10-09",10.15
"195","2019-10-10",10.15
"196","2019-10-11",10.15
"197","2019-10-14",10.15
"198","2019-10-15",10.15
"199","2019-10-16",10.15
"200","2019-10-17",10.15
"201","2019-10-18",10.15
"202","2019-10-21",10.15
"203","2019-10-22",10.17
"204","2019-10-23",10.17
"205","2019-10-24",10.17
"206","2019-10-25",10.17
"207","2019-10-28",10.16
"208","2019-10-29",10.16
"209","2019-10-30",10.16
"210","2019-10-31",10.16
"211","2019-11-01",10.16
"212","2019-11-04",10.16
"213","2019-11-05",10.16
"214","2019-11-06",10.16
"215","2019-11-07",10.13
"216","2019-11-08",10.14
"217","2019-11-11",10.14
"218","2019-11-12",10.15
"219","2019-11-13",10.11
"220","2019-11-14",10.11
"221","2019-11-15",10.11
"222","2019-11-18",10.11
"223","2019-11-19",10.151
"224","2019-11-20",10.14
"225","2019-11-21",10.18
"226","2019-11-22",10.16
"227","2019-11-25",10.15
"228","2019-11-26",10.15
"229","2019-11-27",10.14
"230","2019-11-29",10.12
"231","2019-12-02",10.12
"232","2019-12-03",10.15
"233","2019-12-04",10.18
"234","2019-12-05",10.18
"235","2019-12-06",10.18
"236","2019-12-09",10.25
"237","2019-12-10",10.24
"238","2019-12-11",10.2
"239","2019-12-12",10.2
"240","2019-12-13",10.2
"241","2019-12-16",10.2
"242","2019-12-17",10.18
"243","2019-12-18",10.19
"244","2019-12-19",10.15
"245","2019-12-20",10.17
"246","2019-12-23",10.17
"247","2019-12-24",10.17
"248","2019-12-26",10.15
"249","2019-12-27",10.2
"250","2019-12-30",10.2
"251","2019-12-31",10.22
"252","2020-01-02",10.22
"253","2020-01-03",10.22
"254","2020-01-06",10.22
"255","2020-01-07",10.269
"256","2020-01-08",10.215
"257","2020-01-09",10.215
"258","2020-01-10",10.25
"259","2020-01-13",10.21
"260","2020-01-14",10.21
"261","2020-01-15",10.21
"262","2020-01-16",10.21
"263","2020-01-17",10.21
"264","2020-01-21",10.25
"265","2020-01-22",10.25
"266","2020-01-23",10.43
"267","2020-01-24",10.24
"268","2020-01-27",10.24
"269","2020-01-28",10.24
"270","2020-01-29",10.236
"271","2020-01-30",10.22
"272","2020-01-31",10.246
"273","2020-02-03",10.25
"274","2020-02-04",10.238
"275","2020-02-05",10.153
"276","2020-02-06",9.56
"277","2020-02-07",9.655
"278","2020-02-10",9.05
"279","2020-02-11",9.425
"280","2020-02-12",9.95
"281","2020-02-13",9.95
"282","2020-02-14",9.95
"283","2020-02-18",9.257
"284","2020-02-19",10.28
"285","2020-02-20",9.739
"286","2020-02-21",10.06
"287","2020-02-24",10.06
"288","2020-02-25",10.06
"289","2020-02-26",10
"290","2020-02-27",9.94
"291","2020-02-28",10.2
"292","2020-03-02",9.3
"293","2020-03-03",9.3
"294","2020-03-04",8.7
"295","2020-03-05",8.41
"296","2020-03-06",8.01
"297","2020-03-09",8.01
"298","2020-03-10",8.77
"299","2020-03-11",9.24
"300","2020-03-12",9.1
"301","2020-03-13",9.1
"302","2020-03-16",9.1
"303","2020-03-17",9.08
"304","2020-03-18",8.85
"305","2020-03-19",8.5
"306","2020-03-20",6.2
"307","2020-03-23",7.68
"308","2020-03-24",7.68
"309","2020-03-25",8.8
"310","2020-03-26",8
"311","2020-03-27",8
"312","2020-03-30",8
"313","2020-03-31",9.34
"314","2020-04-01",10.04
"315","2020-04-02",8.33
"316","2020-04-03",8.33
"317","2020-04-06",8.33
"318","2020-04-07",8.33
"319","2020-04-08",7.84
"320","2020-04-09",7.84
"321","2020-04-13",7.84
"322","2020-04-14",7.43
"323","2020-04-15",7.43
"324","2020-04-16",7.43
"325","2020-04-17",9.52
"326","2020-04-20",9.5
"327","2020-04-21",9.5
"328","2020-04-22",9.5
"329","2020-04-23",9.24
"330","2020-04-24",9.24
"331","2020-04-27",9.24
"332","2020-04-28",9.24
"333","2020-04-29",9.24
"334","2020-04-30",9.24
"335","2020-05-01",9.19
"336","2020-05-04",9.19
"337","2020-05-05",9.05
"338","2020-05-06",9
