"","date","BW"
"1","2015-06-16",199.899994
"2","2015-06-17",192.800003
"3","2015-06-18",181
"4","2015-06-19",182.5
"5","2015-06-22",188.600006
"6","2015-06-23",191
"7","2015-06-24",193.199997
"8","2015-06-25",190
"9","2015-06-26",192.600006
"10","2015-06-29",187
"11","2015-06-30",186.600006
"12","2015-07-01",199
"13","2015-07-02",195
"14","2015-07-06",194.5
"15","2015-07-07",191.699997
"16","2015-07-08",186.800003
"17","2015-07-09",183.600006
"18","2015-07-10",182.600006
"19","2015-07-13",183.5
"20","2015-07-14",183.899994
"21","2015-07-15",183.899994
"22","2015-07-16",184.5
"23","2015-07-17",185.100006
"24","2015-07-20",184.800003
"25","2015-07-21",185.699997
"26","2015-07-22",186.399994
"27","2015-07-23",186.399994
"28","2015-07-24",187.5
"29","2015-07-27",192.5
"30","2015-07-28",196.5
"31","2015-07-29",197.800003
"32","2015-07-30",198.399994
"33","2015-07-31",197.199997
"34","2015-08-03",199.800003
"35","2015-08-04",200.100006
"36","2015-08-05",210.300003
"37","2015-08-06",199.699997
"38","2015-08-07",194.899994
"39","2015-08-10",194.399994
"40","2015-08-11",189.800003
"41","2015-08-12",188.600006
"42","2015-08-13",187.699997
"43","2015-08-14",188.600006
"44","2015-08-17",190
"45","2015-08-18",190
"46","2015-08-19",188.800003
"47","2015-08-20",191.300003
"48","2015-08-21",186.800003
"49","2015-08-24",179.300003
"50","2015-08-25",180.100006
"51","2015-08-26",180.699997
"52","2015-08-27",179.899994
"53","2015-08-28",182.300003
"54","2015-08-31",184.5
"55","2015-09-01",182.399994
"56","2015-09-02",182.300003
"57","2015-09-03",178.899994
"58","2015-09-04",179.300003
"59","2015-09-08",177.5
"60","2015-09-09",175.5
"61","2015-09-10",176.199997
"62","2015-09-11",174.600006
"63","2015-09-14",174.300003
"64","2015-09-15",173.800003
"65","2015-09-16",174.300003
"66","2015-09-17",175.600006
"67","2015-09-18",172.899994
"68","2015-09-21",175
"69","2015-09-22",169.100006
"70","2015-09-23",169
"71","2015-09-24",169.199997
"72","2015-09-25",172.5
"73","2015-09-28",169.100006
"74","2015-09-29",165.5
"75","2015-09-30",168
"76","2015-10-01",162.699997
"77","2015-10-02",160.800003
"78","2015-10-05",168
"79","2015-10-06",171.300003
"80","2015-10-07",172.699997
"81","2015-10-08",174.399994
"82","2015-10-09",179.199997
"83","2015-10-12",173.5
"84","2015-10-13",176.300003
"85","2015-10-14",176
"86","2015-10-15",175.699997
"87","2015-10-16",171.300003
"88","2015-10-19",168.199997
"89","2015-10-20",166.199997
"90","2015-10-21",163
"91","2015-10-22",167.600006
"92","2015-10-23",169.699997
"93","2015-10-26",168.399994
"94","2015-10-27",169.899994
"95","2015-10-28",170.300003
"96","2015-10-29",169.600006
"97","2015-10-30",169.800003
"98","2015-11-02",170
"99","2015-11-03",168.100006
"100","2015-11-04",168.699997
"101","2015-11-05",171.100006
"102","2015-11-06",168.800003
"103","2015-11-09",166.300003
"104","2015-11-10",163.300003
"105","2015-11-11",169.300003
"106","2015-11-12",167.399994
"107","2015-11-13",170.100006
"108","2015-11-16",175.600006
"109","2015-11-17",173.399994
"110","2015-11-18",178.399994
"111","2015-11-19",172.899994
"112","2015-11-20",172.5
"113","2015-11-23",176.399994
"114","2015-11-24",183.5
"115","2015-11-25",188.399994
"116","2015-11-27",192.899994
"117","2015-11-30",191.5
"118","2015-12-01",190.5
"119","2015-12-02",197.199997
"120","2015-12-03",193.199997
"121","2015-12-04",195.199997
"122","2015-12-07",193.899994
"123","2015-12-08",191.5
"124","2015-12-09",195.600006
"125","2015-12-10",199.899994
"126","2015-12-11",201
"127","2015-12-14",200
"128","2015-12-15",205.199997
"129","2015-12-16",200.5
"130","2015-12-17",200
"131","2015-12-18",204.100006
"132","2015-12-21",207.100006
"133","2015-12-22",209
"134","2015-12-23",210.300003
"135","2015-12-24",213.5
"136","2015-12-28",210
"137","2015-12-29",208.600006
"138","2015-12-30",207.300003
"139","2015-12-31",208.699997
"140","2016-01-04",203.800003
"141","2016-01-05",204.899994
"142","2016-01-06",203.600006
"143","2016-01-07",203.399994
"144","2016-01-08",195.899994
"145","2016-01-11",198.800003
"146","2016-01-12",194.899994
"147","2016-01-13",190.199997
"148","2016-01-14",195.199997
"149","2016-01-15",196.199997
"150","2016-01-19",190.199997
"151","2016-01-20",187.300003
"152","2016-01-21",187.5
"153","2016-01-22",188
"154","2016-01-25",185.699997
"155","2016-01-26",195.199997
"156","2016-01-27",198.5
"157","2016-01-28",197.600006
"158","2016-01-29",206.5
"159","2016-02-01",196.800003
"160","2016-02-02",191
"161","2016-02-03",196.300003
"162","2016-02-04",196.399994
"163","2016-02-05",195.699997
"164","2016-02-08",192.699997
"165","2016-02-09",190.699997
"166","2016-02-10",192.699997
"167","2016-02-11",190
"168","2016-02-12",193.699997
"169","2016-02-16",197
"170","2016-02-17",200.300003
"171","2016-02-18",201.899994
"172","2016-02-19",200.600006
"173","2016-02-22",203
"174","2016-02-23",203.600006
"175","2016-02-24",203.699997
"176","2016-02-25",206.600006
"177","2016-02-26",187.600006
"178","2016-02-29",195.300003
"179","2016-03-01",190
"180","2016-03-02",189.800003
"181","2016-03-03",192.399994
"182","2016-03-04",195.399994
"183","2016-03-07",196.300003
"184","2016-03-08",192.199997
"185","2016-03-09",198.100006
"186","2016-03-10",196.5
"187","2016-03-11",200.100006
"188","2016-03-14",209.300003
"189","2016-03-15",210.699997
"190","2016-03-16",211.899994
"191","2016-03-17",220.100006
"192","2016-03-18",216.199997
