"","date","CAC"
"1","2007-01-03",30.533333
"2","2007-01-04",30.879999
"3","2007-01-05",30.126667
"4","2007-01-08",29.886667
"5","2007-01-09",29.9
"6","2007-01-10",29.566668
"7","2007-01-11",29.58
"8","2007-01-12",29.926666
"9","2007-01-16",30.066668
"10","2007-01-17",29.986666
"11","2007-01-18",29.133333
"12","2007-01-19",29
"13","2007-01-22",28.933332
"14","2007-01-23",28.993334
"15","2007-01-24",29.406666
"16","2007-01-25",28.879999
"17","2007-01-26",29.133333
"18","2007-01-29",29.24
"19","2007-01-30",29.753334
"20","2007-01-31",30
"21","2007-02-01",29.906666
"22","2007-02-02",29.959999
"23","2007-02-05",29.833334
"24","2007-02-06",29.84
"25","2007-02-07",29.953333
"26","2007-02-08",29.846666
"27","2007-02-09",29.833334
"28","2007-02-12",29.673334
"29","2007-02-13",29.833334
"30","2007-02-14",29.74
"31","2007-02-15",29.773333
"32","2007-02-16",29.826666
"33","2007-02-20",29.866667
"34","2007-02-21",29.846666
"35","2007-02-22",30
"36","2007-02-23",29.846666
"37","2007-02-26",29.993334
"38","2007-02-27",29.586666
"39","2007-02-28",29.586666
"40","2007-03-01",29.58
"41","2007-03-02",28.780001
"42","2007-03-05",28.466667
"43","2007-03-06",29.066668
"44","2007-03-07",28.406666
"45","2007-03-08",28.74
"46","2007-03-09",29.053333
"47","2007-03-12",29.780001
"48","2007-03-13",28.553333
"49","2007-03-14",29.266666
"50","2007-03-15",29.333334
"51","2007-03-16",28.666666
"52","2007-03-19",28.926666
"53","2007-03-20",29.780001
"54","2007-03-21",30.673334
"55","2007-03-22",30.333334
"56","2007-03-23",29.806667
"57","2007-03-26",29.933332
"58","2007-03-27",29.433332
"59","2007-03-28",28.959999
"60","2007-03-29",28.68
"61","2007-03-30",28.933332
"62","2007-04-02",28.780001
"63","2007-04-03",29.226667
"64","2007-04-04",28.533333
"65","2007-04-05",28.766666
"66","2007-04-09",28.5
"67","2007-04-10",28.246666
