"","date","CBB"
"1","2007-01-03",23.25
"2","2007-01-04",23.4
"3","2007-01-05",22.65
"4","2007-01-08",22.4
"5","2007-01-09",22.450001
"6","2007-01-10",22.65
"7","2007-01-11",23.35
"8","2007-01-12",23.700001
"9","2007-01-16",23.799999
"10","2007-01-17",23.6
"11","2007-01-18",23.4
"12","2007-01-19",24.1
"13","2007-01-22",23.65
"14","2007-01-23",23.9
"15","2007-01-24",24.25
"16","2007-01-25",23.6
"17","2007-01-26",23.9
"18","2007-01-29",23.9
"19","2007-01-30",24.4
"20","2007-01-31",24.299999
"21","2007-02-01",24.4
"22","2007-02-02",24.4
"23","2007-02-05",24.049999
"24","2007-02-06",24.25
"25","2007-02-07",24.450001
"26","2007-02-08",24.4
"27","2007-02-09",24.35
"28","2007-02-12",24.4
"29","2007-02-13",24.75
"30","2007-02-14",25.200001
"31","2007-02-15",25
"32","2007-02-16",24.65
"33","2007-02-20",22.200001
"34","2007-02-21",22.85
"35","2007-02-22",23.5
"36","2007-02-23",23.75
"37","2007-02-26",23.549999
"38","2007-02-27",22.450001
"39","2007-02-28",22.75
"40","2007-03-01",22.9
"41","2007-03-02",22.15
"42","2007-03-05",21.299999
"43","2007-03-06",22.4
"44","2007-03-07",21.85
"45","2007-03-08",22.049999
"46","2007-03-09",22.200001
"47","2007-03-12",22.35
"48","2007-03-13",21.75
"49","2007-03-14",22.450001
"50","2007-03-15",23.1
"51","2007-03-16",23.200001
"52","2007-03-19",23.25
"53","2007-03-20",23.25
"54","2007-03-21",23.25
"55","2007-03-22",23.200001
"56","2007-03-23",23.25
"57","2007-03-26",23.049999
"58","2007-03-27",22.9
"59","2007-03-28",23.1
"60","2007-03-29",23.1
"61","2007-03-30",23.5
"62","2007-04-02",23.5
"63","2007-04-03",23.85
"64","2007-04-04",23.950001
"65","2007-04-05",24.1
"66","2007-04-09",24.75
"67","2007-04-10",24.85
"68","2007-04-11",24.549999
"69","2007-04-12",24.85
"70","2007-04-13",24.950001
"71","2007-04-16",25.049999
"72","2007-04-17",25.299999
"73","2007-04-18",25.1
"74","2007-04-19",25.950001
"75","2007-04-20",26.200001
"76","2007-04-23",25.9
"77","2007-04-24",25.700001
"78","2007-04-25",25.549999
"79","2007-04-26",25.6
"80","2007-04-27",25.799999
"81","2007-04-30",25.35
"82","2007-05-01",25.549999
"83","2007-05-02",26.299999
"84","2007-05-03",26.549999
"85","2007-05-04",26.4
"86","2007-05-07",26.25
"87","2007-05-08",27.65
"88","2007-05-09",27.75
"89","2007-05-10",27.450001
"90","2007-05-11",27.549999
"91","2007-05-14",27.450001
"92","2007-05-15",27.450001
"93","2007-05-16",28
"94","2007-05-17",28
"95","2007-05-18",28.200001
"96","2007-05-21",29.1
"97","2007-05-22",29.25
"98","2007-05-23",28.950001
"99","2007-05-24",29.049999
"100","2007-05-25",28.950001
"101","2007-05-29",29.299999
"102","2007-05-30",29.049999
"103","2007-05-31",29.15
"104","2007-06-01",29.799999
"105","2007-06-04",29.450001
"106","2007-06-05",29.6
"107","2007-06-06",28.700001
"108","2007-06-07",27.950001
"109","2007-06-08",29.5
"110","2007-06-11",29.35
"111","2007-06-12",28.549999
"112","2007-06-13",29.049999
"113","2007-06-14",29.299999
"114","2007-06-15",29
"115","2007-06-18",29.5
"116","2007-06-19",29.549999
"117","2007-06-20",28.799999
"118","2007-06-21",28.950001
"119","2007-06-22",30
"120","2007-06-25",29.450001
"121","2007-06-26",29.200001
"122","2007-06-27",30.700001
"123","2007-06-28",30.700001
"124","2007-06-29",28.9
"125","2007-07-02",29.75
"126","2007-07-03",29.450001
"127","2007-07-05",29.35
"128","2007-07-06",29.25
"129","2007-07-09",29.450001
"130","2007-07-10",28.6
"131","2007-07-11",28.700001
"132","2007-07-12",29.25
"133","2007-07-13",29
"134","2007-07-16",29
"135","2007-07-17",28.85
"136","2007-07-18",28.85
"137","2007-07-19",28.9
"138","2007-07-20",27.85
"139","2007-07-23",28.200001
"140","2007-07-24",27.450001
"141","2007-07-25",27.35
"142","2007-07-26",26.15
"143","2007-07-27",25.4
"144","2007-07-30",26
"145","2007-07-31",25.799999
"146","2007-08-01",25.450001
"147","2007-08-02",25.799999
"148","2007-08-03",24.75
"149","2007-08-06",25
"150","2007-08-07",24.4
"151","2007-08-08",23.799999
"152","2007-08-09",22.049999
"153","2007-08-10",23.25
"154","2007-08-13",24.299999
"155","2007-08-14",23.25
"156","2007-08-15",23.75
"157","2007-08-16",24.9
"158","2007-08-17",24.299999
"159","2007-08-20",24.200001
"160","2007-08-21",24.200001
"161","2007-08-22",24.6
"162","2007-08-23",24.1
"163","2007-08-24",24.700001
"164","2007-08-27",24.700001
"165","2007-08-28",23.75
"166","2007-08-29",24.25
"167","2007-08-30",24.200001
"168","2007-08-31",24.4
"169","2007-09-04",25
"170","2007-09-05",24
"171","2007-09-06",24.4
"172","2007-09-07",23.9
"173","2007-09-10",23.299999
"174","2007-09-11",23.1
"175","2007-09-12",23.299999
"176","2007-09-13",24
"177","2007-09-14",23.700001
"178","2007-09-17",23.65
"179","2007-09-18",25.1
"180","2007-09-19",25.85
"181","2007-09-20",25.450001
"182","2007-09-21",25.4
"183","2007-09-24",25.1
"184","2007-09-25",25
"185","2007-09-26",25.450001
"186","2007-09-27",25.35
"187","2007-09-28",24.700001
"188","2007-10-01",25
"189","2007-10-02",24.799999
"190","2007-10-03",24.65
"191","2007-10-04",25.25
"192","2007-10-05",25.75
"193","2007-10-08",25.5
"194","2007-10-09",25.200001
"195","2007-10-10",25.200001
"196","2007-10-11",25.450001
"197","2007-10-12",25.549999
"198","2007-10-15",25.15
"199","2007-10-16",24.85
"200","2007-10-17",25.799999
"201","2007-10-18",26.15
"202","2007-10-19",25.700001
"203","2007-10-22",26.549999
"204","2007-10-23",27.1
"205","2007-10-24",26.950001
"206","2007-10-25",26.799999
"207","2007-10-26",27.9
"208","2007-10-29",27.4
"209","2007-10-30",26.35
"210","2007-10-31",27.1
"211","2007-11-01",25.4
"212","2007-11-02",26.950001
"213","2007-11-05",26.4
"214","2007-11-06",26.25
"215","2007-11-07",25.15
"216","2007-11-08",25.25
"217","2007-11-09",25.049999
"218","2007-11-12",25.049999
"219","2007-11-13",25.549999
"220","2007-11-14",24.950001
"221","2007-11-15",25.15
"222","2007-11-16",25.1
"223","2007-11-19",25.049999
"224","2007-11-20",25.049999
"225","2007-11-21",24.950001
"226","2007-11-23",25.200001
"227","2007-11-26",24.4
"228","2007-11-27",24.15
"229","2007-11-28",25.25
"230","2007-11-29",24.549999
"231","2007-11-30",23.799999
"232","2007-12-03",24.15
"233","2007-12-04",24.200001
"234","2007-12-05",24.85
"235","2007-12-06",25.75
"236","2007-12-07",24.549999
"237","2007-12-10",24.450001
"238","2007-12-11",23.450001
"239","2007-12-12",23.049999
"240","2007-12-13",23.200001
"241","2007-12-14",21.75
"242","2007-12-17",22.6
"243","2007-12-18",22.75
"244","2007-12-19",22.15
"245","2007-12-20",21.700001
"246","2007-12-21",23.15
"247","2007-12-24",23.700001
"248","2007-12-26",23.4
"249","2007-12-27",23.5
"250","2007-12-28",23.049999
"251","2007-12-31",23.75
"252","2008-01-02",22.6
"253","2008-01-03",22.1
"254","2008-01-04",21.5
"255","2008-01-07",21.549999
"256","2008-01-08",20.950001
"257","2008-01-09",21.5
"258","2008-01-10",21.1
"259","2008-01-11",20.25
"260","2008-01-14",20.5
"261","2008-01-15",19.700001
"262","2008-01-16",19.75
"263","2008-01-17",19.450001
"264","2008-01-18",18.799999
"265","2008-01-22",19.549999
"266","2008-01-23",19.35
"267","2008-01-24",18.75
"268","2008-01-25",19.049999
"269","2008-01-28",19.5
"270","2008-01-29",20
"271","2008-01-30",19.4
"272","2008-01-31",19.4
"273","2008-02-01",19.85
"274","2008-02-04",20.299999
"275","2008-02-05",19.450001
"276","2008-02-06",19.1
"277","2008-02-07",21.549999
"278","2008-02-08",20.25
"279","2008-02-11",20.35
"280","2008-02-12",20.35
"281","2008-02-13",21.25
"282","2008-02-14",21.5
"283","2008-02-15",21.799999
"284","2008-02-19",21.049999
"285","2008-02-20",21.299999
