"","date","CDAY"
"1","2018-04-26",31.209999
"2","2018-04-27",30.52
"3","2018-04-30",31.58
"4","2018-05-01",31.48
"5","2018-05-02",32.75
"6","2018-05-03",33.790001
"7","2018-05-04",34.09
"8","2018-05-07",33.990002
"9","2018-05-08",32.950001
"10","2018-05-09",33.470001
"11","2018-05-10",33.130001
"12","2018-05-11",34.380001
"13","2018-05-14",36.48
"14","2018-05-15",36.950001
"15","2018-05-16",37.200001
"16","2018-05-17",38.330002
"17","2018-05-18",36.82
"18","2018-05-21",35.16
"19","2018-05-22",34.32
"20","2018-05-23",33.970001
"21","2018-05-24",33.709999
"22","2018-05-25",33.599998
"23","2018-05-29",34.240002
"24","2018-05-30",34.669998
"25","2018-05-31",34.52
"26","2018-06-01",34.529999
"27","2018-06-04",35.959999
"28","2018-06-05",36.349998
"29","2018-06-06",38.16
"30","2018-06-07",37.110001
"31","2018-06-08",37.400002
"32","2018-06-11",36.490002
"33","2018-06-12",37.619999
"34","2018-06-13",37.66
"35","2018-06-14",38.189999
"36","2018-06-15",38.450001
"37","2018-06-18",39.779999
"38","2018-06-19",37.200001
"39","2018-06-20",37.009998
"40","2018-06-21",36.549999
"41","2018-06-22",35.75
"42","2018-06-25",34.82
"43","2018-06-26",35.029999
"44","2018-06-27",34.330002
"45","2018-06-28",34.040001
"46","2018-06-29",33.189999
"47","2018-07-02",32.82
"48","2018-07-03",33.380001
"49","2018-07-05",33.93
"50","2018-07-06",33.849998
"51","2018-07-09",32.919998
"52","2018-07-10",33.119999
"53","2018-07-11",32.580002
"54","2018-07-12",34.48
"55","2018-07-13",34.66
"56","2018-07-16",35.119999
"57","2018-07-17",34.889999
"58","2018-07-18",34.900002
"59","2018-07-19",34.84
"60","2018-07-20",35.029999
"61","2018-07-23",35.060001
"62","2018-07-24",34.959999
"63","2018-07-25",34.720001
"64","2018-07-26",34.919998
"65","2018-07-27",34.02
"66","2018-07-30",32.080002
"67","2018-07-31",32.759998
"68","2018-08-01",33.57
"69","2018-08-02",34.810001
"70","2018-08-03",35.5
"71","2018-08-06",37.23
"72","2018-08-07",37.240002
"73","2018-08-08",37.639999
"74","2018-08-09",33.509998
"75","2018-08-10",35.189999
"76","2018-08-13",34.389999
"77","2018-08-14",34.529999
"78","2018-08-15",33.84
"79","2018-08-16",34.75
"80","2018-08-17",34.07
"81","2018-08-20",34.040001
"82","2018-08-21",34.740002
"83","2018-08-22",35.349998
"84","2018-08-23",35.98
"85","2018-08-24",37.84
"86","2018-08-27",38.450001
"87","2018-08-28",38.650002
"88","2018-08-29",38.290001
"89","2018-08-30",38.560001
"90","2018-08-31",38.5
"91","2018-09-04",38.630001
"92","2018-09-05",37
"93","2018-09-06",37.509998
"94","2018-09-07",37.720001
"95","2018-09-10",37.529999
"96","2018-09-11",37.380001
"97","2018-09-12",36.540001
"98","2018-09-13",37.18
"99","2018-09-14",41.450001
"100","2018-09-17",43.75
"101","2018-09-18",44
"102","2018-09-19",43.419998
"103","2018-09-20",43.009998
"104","2018-09-21",42.009998
"105","2018-09-24",42.310001
"106","2018-09-25",41.150002
"107","2018-09-26",40.959999
"108","2018-09-27",41.790001
"109","2018-09-28",42.029999
"110","2018-10-01",43
"111","2018-10-02",43
"112","2018-10-03",44.290001
"113","2018-10-04",42.060001
"114","2018-10-05",40.279999
"115","2018-10-08",40.220001
"116","2018-10-09",38.779999
"117","2018-10-10",35.700001
"118","2018-10-11",35.700001
"119","2018-10-12",36.220001
"120","2018-10-15",37.060001
"121","2018-10-16",38.470001
"122","2018-10-17",37.619999
"123","2018-10-18",36.259998
"124","2018-10-19",36.27
"125","2018-10-22",37.189999
"126","2018-10-23",36.25
"127","2018-10-24",35.830002
"128","2018-10-25",36.779999
"129","2018-10-26",36.400002
"130","2018-10-29",35.68
"131","2018-10-30",36.470001
"132","2018-10-31",37.970001
"133","2018-11-01",38.73
"134","2018-11-02",38
"135","2018-11-05",38.029999
"136","2018-11-06",38
"137","2018-11-07",39.25
"138","2018-11-08",39.369999
"139","2018-11-09",39.16
"140","2018-11-12",36.509998
"141","2018-11-13",36.169998
"142","2018-11-14",36.279999
"143","2018-11-15",37.299999
"144","2018-11-16",38.959999
"145","2018-11-19",35.639999
"146","2018-11-20",36.080002
"147","2018-11-21",36.34
"148","2018-11-23",37.040001
"149","2018-11-26",38.470001
"150","2018-11-27",38.389999
"151","2018-11-28",39.75
"152","2018-11-29",40.02
"153","2018-11-30",40.119999
"154","2018-12-03",39.52
"155","2018-12-04",37.700001
"156","2018-12-06",38.27
"157","2018-12-07",38.220001
"158","2018-12-10",37.580002
"159","2018-12-11",36.849998
"160","2018-12-12",37.189999
"161","2018-12-13",36.630001
"162","2018-12-14",35.240002
"163","2018-12-17",33.77
"164","2018-12-18",34.799999
"165","2018-12-19",34.360001
"166","2018-12-20",33.610001
"167","2018-12-21",32.130001
"168","2018-12-24",31.969999
"169","2018-12-26",34.560001
"170","2018-12-27",35.18
"171","2018-12-28",33.970001
"172","2018-12-31",34.490002
"173","2019-01-02",33.759998
"174","2019-01-03",33.23
"175","2019-01-04",34.389999
"176","2019-01-07",35.91
"177","2019-01-08",35.950001
"178","2019-01-09",35.619999
"179","2019-01-10",36.18
"180","2019-01-11",35.950001
"181","2019-01-14",35.599998
"182","2019-01-15",36.639999
"183","2019-01-16",36.869999
"184","2019-01-17",37.389999
"185","2019-01-18",38.23
"186","2019-01-22",37.599998
"187","2019-01-23",37.610001
"188","2019-01-24",38.889999
"189","2019-01-25",39.400002
"190","2019-01-28",39.619999
"191","2019-01-29",39.27
"192","2019-01-30",40.610001
"193","2019-01-31",41.209999
"194","2019-02-01",41.369999
"195","2019-02-04",42.16
"196","2019-02-05",43.549999
"197","2019-02-06",46.040001
"198","2019-02-07",43.439999
"199","2019-02-08",44.91
"200","2019-02-11",45.130001
"201","2019-02-12",45.459999
"202","2019-02-13",45.360001
"203","2019-02-14",45.599998
"204","2019-02-15",45.759998
"205","2019-02-19",46.59
"206","2019-02-20",47.529999
"207","2019-02-21",47.619999
"208","2019-02-22",48.400002
"209","2019-02-25",48.700001
"210","2019-02-26",48.970001
"211","2019-02-27",49.509998
"212","2019-02-28",49.02
"213","2019-03-01",49.380001
"214","2019-03-04",47.68
"215","2019-03-05",47.669998
"216","2019-03-06",48.169998
"217","2019-03-07",48.27
"218","2019-03-08",48.900002
"219","2019-03-11",49.27
"220","2019-03-12",49.650002
"221","2019-03-13",49.669998
"222","2019-03-14",50.290001
"223","2019-03-15",51.380001
"224","2019-03-18",49.84
"225","2019-03-19",50.810001
"226","2019-03-20",49.93
"227","2019-03-21",50.330002
"228","2019-03-22",49.599998
"229","2019-03-25",49.720001
"230","2019-03-26",50.139999
"231","2019-03-27",49.75
"232","2019-03-28",50.150002
"233","2019-03-29",51.299999
"234","2019-04-01",51.43
"235","2019-04-02",51.48
"236","2019-04-03",51.779999
"237","2019-04-04",51.560001
"238","2019-04-05",51.869999
"239","2019-04-08",51.32
"240","2019-04-09",51.02
"241","2019-04-10",51.290001
"242","2019-04-11",51.59
"243","2019-04-12",51.48
"244","2019-04-15",51.849998
"245","2019-04-16",50.950001
"246","2019-04-17",50.099998
"247","2019-04-18",49.900002
"248","2019-04-22",50.709999
"249","2019-04-23",51.919998
"250","2019-04-24",51.869999
"251","2019-04-25",52.299999
"252","2019-04-26",52.48
"253","2019-04-29",52.849998
"254","2019-04-30",53.150002
"255","2019-05-01",51.759998
"256","2019-05-02",49.490002
"257","2019-05-03",49.700001
"258","2019-05-06",50.150002
"259","2019-05-07",49.400002
"260","2019-05-08",49.830002
"261","2019-05-09",49.860001
"262","2019-05-10",50.360001
"263","2019-05-13",47.610001
"264","2019-05-14",49.049999
"265","2019-05-15",50.16
"266","2019-05-16",51.98
"267","2019-05-17",50.990002
"268","2019-05-20",50.049999
"269","2019-05-21",51.200001
"270","2019-05-22",51.049999
"271","2019-05-23",49.75
"272","2019-05-24",50.849998
"273","2019-05-28",51.669998
"274","2019-05-29",50
"275","2019-05-30",50.57
"276","2019-05-31",49.18
"277","2019-06-03",47
"278","2019-06-04",47.860001
"279","2019-06-05",47.889999
"280","2019-06-06",48.860001
"281","2019-06-07",49.23
"282","2019-06-10",50.990002
"283","2019-06-11",49.41
"284","2019-06-12",50.119999
"285","2019-06-13",51.209999
"286","2019-06-14",50.759998
"287","2019-06-17",51.16
"288","2019-06-18",52.139999
"289","2019-06-19",52.75
"290","2019-06-20",52.77
"291","2019-06-21",51.580002
"292","2019-06-24",50.610001
"293","2019-06-25",48.220001
"294","2019-06-26",47.880001
"295","2019-06-27",49.630001
"296","2019-06-28",50.200001
"297","2019-07-01",51.32
"298","2019-07-02",51.950001
"299","2019-07-03",51.860001
"300","2019-07-05",51.860001
"301","2019-07-08",50.779999
"302","2019-07-09",50.16
"303","2019-07-10",49.5
"304","2019-07-11",49.52
"305","2019-07-12",50.150002
"306","2019-07-15",49.93
"307","2019-07-16",49.23
"308","2019-07-17",49.919998
"309","2019-07-18",49.779999
"310","2019-07-19",48.259998
"311","2019-07-22",49.299999
"312","2019-07-23",49.57
"313","2019-07-24",51.419998
"314","2019-07-25",51.43
"315","2019-07-26",52.98
"316","2019-07-29",52.130001
"317","2019-07-30",51.740002
"318","2019-07-31",53.310001
"319","2019-08-01",52.049999
"320","2019-08-02",52.66
"321","2019-08-05",50.73
"322","2019-08-06",50.279999
"323","2019-08-07",50.419998
"324","2019-08-08",51.59
"325","2019-08-09",52.349998
"326","2019-08-12",52.709999
"327","2019-08-13",53.48
"328","2019-08-14",50.419998
"329","2019-08-15",50.419998
"330","2019-08-16",50.639999
"331","2019-08-19",52.41
"332","2019-08-20",54.080002
"333","2019-08-21",56.709999
"334","2019-08-22",58.060001
"335","2019-08-23",57.060001
"336","2019-08-26",57.310001
"337","2019-08-27",56.970001
"338","2019-08-28",57.220001
"339","2019-08-29",58.310001
"340","2019-08-30",57.77
"341","2019-09-03",56.099998
"342","2019-09-04",57.450001
"343","2019-09-05",55.200001
"344","2019-09-06",54.27
"345","2019-09-09",52.700001
"346","2019-09-10",51.720001
"347","2019-09-11",51.790001
"348","2019-09-12",52.369999
"349","2019-09-13",51.790001
"350","2019-09-16",51.889999
"351","2019-09-17",52.41
"352","2019-09-18",52.349998
"353","2019-09-19",51.790001
"354","2019-09-20",51.889999
"355","2019-09-23",51.669998
"356","2019-09-24",49.580002
