"","date","CDNA"
"1","2014-07-17",9.05
"2","2014-07-18",10
"3","2014-07-21",10
"4","2014-07-22",10
"5","2014-07-23",10
"6","2014-07-24",10
"7","2014-07-25",10
"8","2014-07-28",10
"9","2014-07-29",10.05
"10","2014-07-30",10.06
"11","2014-07-31",9.71
"12","2014-08-01",9.28
"13","2014-08-04",9.45
"14","2014-08-05",9.39
"15","2014-08-06",9.57
"16","2014-08-07",10
"17","2014-08-08",10.02
"18","2014-08-11",10.14
"19","2014-08-12",10.04
"20","2014-08-13",10.04
"21","2014-08-14",10.05
"22","2014-08-15",10.02
"23","2014-08-18",10
"24","2014-08-19",10.09
"25","2014-08-20",10.19
"26","2014-08-21",10.05
"27","2014-08-22",10.08
"28","2014-08-25",9.9
"29","2014-08-26",9.81
"30","2014-08-27",9.95
"31","2014-08-28",10
"32","2014-08-29",9.97
"33","2014-09-02",10.03
"34","2014-09-03",10.05
"35","2014-09-04",10
"36","2014-09-05",10.03
"37","2014-09-08",10.84
"38","2014-09-09",10.68
"39","2014-09-10",10.69
"40","2014-09-11",10.195
"41","2014-09-12",10.12
"42","2014-09-15",9.89
"43","2014-09-16",9.47
"44","2014-09-17",9.03
"45","2014-09-18",8.71
"46","2014-09-19",8.55
"47","2014-09-22",8.6
"48","2014-09-23",8.43
"49","2014-09-24",8.05
"50","2014-09-25",7.96
"51","2014-09-26",7.4
"52","2014-09-29",7.35
"53","2014-09-30",7
"54","2014-10-01",7.03
"55","2014-10-02",7.08
"56","2014-10-03",6.9
"57","2014-10-06",6.71
"58","2014-10-07",6.8
"59","2014-10-08",6.94
"60","2014-10-09",6.89
"61","2014-10-10",6.54
"62","2014-10-13",6.94
"63","2014-10-14",6.8
"64","2014-10-15",6.563
"65","2014-10-16",5.6
"66","2014-10-17",5.6
"67","2014-10-20",5.6
"68","2014-10-21",5.7
"69","2014-10-22",5.75
"70","2014-10-23",5.7
"71","2014-10-24",5.71
"72","2014-10-27",5.74
"73","2014-10-28",5.93
"74","2014-10-29",5.91
"75","2014-10-30",5.808
"76","2014-10-31",5.88
"77","2014-11-03",6.02
"78","2014-11-04",5.9
"79","2014-11-05",6.01
"80","2014-11-06",6.13
"81","2014-11-07",6.1
"82","2014-11-10",6.41
"83","2014-11-11",7.15
"84","2014-11-12",7.06
"85","2014-11-13",7.36
"86","2014-11-14",7.3
"87","2014-11-17",7.29
"88","2014-11-18",6.94
"89","2014-11-19",7.14
"90","2014-11-20",7.05
"91","2014-11-21",7.06
"92","2014-11-24",6.5
"93","2014-11-25",7
"94","2014-11-26",7.01
"95","2014-11-28",7.045
"96","2014-12-01",7.03
"97","2014-12-02",7.03
"98","2014-12-03",7.12
"99","2014-12-04",7.12
"100","2014-12-05",7.07
"101","2014-12-08",7
"102","2014-12-09",7.05
"103","2014-12-10",7
"104","2014-12-11",7
"105","2014-12-12",7.03
"106","2014-12-15",7.02
"107","2014-12-16",7
"108","2014-12-17",7
"109","2014-12-18",7.2
"110","2014-12-19",7.44
"111","2014-12-22",7.5
"112","2014-12-23",7.26
"113","2014-12-24",7.1
"114","2014-12-26",6.98
"115","2014-12-29",7.03
"116","2014-12-30",7.25
"117","2014-12-31",7.25
"118","2015-01-02",7.225
"119","2015-01-05",7.32
"120","2015-01-06",7.43
"121","2015-01-07",7.3
"122","2015-01-08",7.31
