"","date","CENT"
"1","2007-01-03",47.900002
"2","2007-01-04",47.049999
"3","2007-01-05",46.799999
"4","2007-01-08",46.919998
"5","2007-01-09",47.07
"6","2007-01-10",47.73
"7","2007-01-11",47.84
"8","2007-01-12",48.119999
"9","2007-01-16",48.75
"10","2007-01-17",48.810001
"11","2007-01-18",48.709999
"12","2007-01-19",48.790001
"13","2007-01-22",42.900002
"14","2007-01-23",42.299999
"15","2007-01-24",42.57
"16","2007-01-25",42.900002
"17","2007-01-26",43.650002
"18","2007-01-29",44.189999
"19","2007-01-30",44.5
"20","2007-01-31",44.790001
"21","2007-02-01",44.52
"22","2007-02-02",43.889999
"23","2007-02-05",44.049999
"24","2007-02-06",14.69
"25","2007-02-07",14.75
"26","2007-02-08",13.66
"27","2007-02-09",13.23
"28","2007-02-12",13.15
"29","2007-02-13",13.13
"30","2007-02-14",13.18
"31","2007-02-15",13.45
"32","2007-02-16",13.37
"33","2007-02-20",13.74
"34","2007-02-21",13.85
"35","2007-02-22",13.97
"36","2007-02-23",14.19
"37","2007-02-26",14.19
"38","2007-02-27",13.9
"39","2007-02-28",13.95
"40","2007-03-01",14.09
"41","2007-03-02",13.9
"42","2007-03-05",13.64
"43","2007-03-06",13.81
"44","2007-03-07",13.59
"45","2007-03-08",13.57
"46","2007-03-09",13.79
"47","2007-03-12",13.57
"48","2007-03-13",13.39
"49","2007-03-14",13.71
"50","2007-03-15",13.9
"51","2007-03-16",14.11
"52","2007-03-19",14.37
"53","2007-03-20",14.52
"54","2007-03-21",14.75
"55","2007-03-22",14.88
"56","2007-03-23",15.28
"57","2007-03-26",15.15
"58","2007-03-27",14.73
"59","2007-03-28",14.78
"60","2007-03-29",14.7
"61","2007-03-30",14.77
"62","2007-04-02",14.64
"63","2007-04-03",14.71
"64","2007-04-04",14.73
"65","2007-04-05",14.7
"66","2007-04-09",15.01
"67","2007-04-10",15.04
"68","2007-04-11",14.97
"69","2007-04-12",14.95
"70","2007-04-13",14.9
"71","2007-04-16",14.9
"72","2007-04-17",15.04
"73","2007-04-18",14.85
"74","2007-04-19",14.66
"75","2007-04-20",14.79
"76","2007-04-23",14.95
"77","2007-04-24",15.1
"78","2007-04-25",14.99
"79","2007-04-26",15.22
"80","2007-04-27",14.89
"81","2007-04-30",14.81
"82","2007-05-01",15.28
"83","2007-05-02",15.42
"84","2007-05-03",15.25
"85","2007-05-04",15.39
"86","2007-05-07",15.58
"87","2007-05-08",14.98
"88","2007-05-09",15.03
"89","2007-05-10",14.42
"90","2007-05-11",14.45
"91","2007-05-14",14.69
"92","2007-05-15",14.55
"93","2007-05-16",14.6
"94","2007-05-17",14.42
"95","2007-05-18",14.24
"96","2007-05-21",14.35
"97","2007-05-22",14.74
"98","2007-05-23",14.66
"99","2007-05-24",14.25
"100","2007-05-25",14.22
"101","2007-05-29",14.19
"102","2007-05-30",14.27
"103","2007-05-31",14.35
"104","2007-06-01",13.85
"105","2007-06-04",13.55
"106","2007-06-05",13.44
"107","2007-06-06",13.04
"108","2007-06-07",12.57
"109","2007-06-08",12.8
"110","2007-06-11",12.66
"111","2007-06-12",12.77
"112","2007-06-13",12.93
"113","2007-06-14",13.08
"114","2007-06-15",12.98
"115","2007-06-18",12.94
"116","2007-06-19",12.82
"117","2007-06-20",12.8
"118","2007-06-21",12.85
"119","2007-06-22",12.66
"120","2007-06-25",12.54
"121","2007-06-26",12.45
"122","2007-06-27",12.5
"123","2007-06-28",12.29
"124","2007-06-29",12.26
"125","2007-07-02",12.15
"126","2007-07-03",12.2
"127","2007-07-05",12.41
"128","2007-07-06",12.55
"129","2007-07-09",12.73
"130","2007-07-10",12.55
"131","2007-07-11",12.52
"132","2007-07-12",12.64
"133","2007-07-13",12.85
"134","2007-07-16",13.02
"135","2007-07-17",13.03
"136","2007-07-18",12.98
"137","2007-07-19",12.99
"138","2007-07-20",12.7
"139","2007-07-23",12.75
"140","2007-07-24",12.55
"141","2007-07-25",12.51
"142","2007-07-26",12.32
"143","2007-07-27",12.15
"144","2007-07-30",12.09
"145","2007-07-31",12.58
"146","2007-08-01",12.57
"147","2007-08-02",12.94
"148","2007-08-03",12.54
"149","2007-08-06",12.8
"150","2007-08-07",13.17
"151","2007-08-08",13.95
"152","2007-08-09",13.46
"153","2007-08-10",12.85
"154","2007-08-13",12.62
"155","2007-08-14",12.09
"156","2007-08-15",12.52
"157","2007-08-16",12.67
"158","2007-08-17",12.88
"159","2007-08-20",12.83
"160","2007-08-21",12.58
"161","2007-08-22",12.84
"162","2007-08-23",12.59
"163","2007-08-24",12.74
"164","2007-08-27",12.58
"165","2007-08-28",12.19
"166","2007-08-29",12.35
"167","2007-08-30",12.36
"168","2007-08-31",12.8
"169","2007-09-04",12.78
"170","2007-09-05",12.44
"171","2007-09-06",12.41
"172","2007-09-07",12.2
"173","2007-09-10",11.07
"174","2007-09-11",10.98
"175","2007-09-12",10.57
"176","2007-09-13",10.6
"177","2007-09-14",10.71
"178","2007-09-17",9.77
"179","2007-09-18",9.99
"180","2007-09-19",9.98
"181","2007-09-20",9.91
"182","2007-09-21",9.77
"183","2007-09-24",9.65
"184","2007-09-25",9.4
"185","2007-09-26",9.31
"186","2007-09-27",8.97
"187","2007-09-28",8.9
"188","2007-10-01",9.44
"189","2007-10-02",9.26
"190","2007-10-03",9
"191","2007-10-04",9
"192","2007-10-05",9.04
"193","2007-10-08",8.94
"194","2007-10-09",9.01
"195","2007-10-10",8.94
"196","2007-10-11",8.95
"197","2007-10-12",8.93
"198","2007-10-15",8.85
"199","2007-10-16",8.68
"200","2007-10-17",8.72
"201","2007-10-18",8.62
"202","2007-10-19",8.31
"203","2007-10-22",8.49
"204","2007-10-23",8.49
"205","2007-10-24",8.39
"206","2007-10-25",8.31
"207","2007-10-26",8.35
"208","2007-10-29",8.04
"209","2007-10-30",8.2
"210","2007-10-31",8.29
"211","2007-11-01",7.89
"212","2007-11-02",7.75
"213","2007-11-05",7.68
"214","2007-11-06",7.5
"215","2007-11-07",7.27
"216","2007-11-08",7.19
"217","2007-11-09",6.97
"218","2007-11-12",7.1
"219","2007-11-13",7.22
"220","2007-11-14",7.29
"221","2007-11-15",7.19
"222","2007-11-16",6.59
"223","2007-11-19",6.33
"224","2007-11-20",6.24
"225","2007-11-21",6.04
"226","2007-11-23",6.38
"227","2007-11-26",6.4
"228","2007-11-27",6.43
"229","2007-11-28",4.34
"230","2007-11-29",4.99
"231","2007-11-30",5.37
"232","2007-12-03",5.46
"233","2007-12-04",5.54
"234","2007-12-05",5.7
"235","2007-12-06",5.78
"236","2007-12-07",5.96
"237","2007-12-10",6.53
"238","2007-12-11",6.53
"239","2007-12-12",6.45
"240","2007-12-13",6.32
"241","2007-12-14",6.17
"242","2007-12-17",5.67
"243","2007-12-18",5.74
"244","2007-12-19",5.71
"245","2007-12-20",5.74
"246","2007-12-21",5.93
"247","2007-12-24",5.95
"248","2007-12-26",5.91
"249","2007-12-27",5.73
"250","2007-12-28",5.66
"251","2007-12-31",5.76
"252","2008-01-02",5.56
"253","2008-01-03",5.18
"254","2008-01-04",4.82
"255","2008-01-07",4.94
"256","2008-01-08",4.95
"257","2008-01-09",4.92
"258","2008-01-10",4.92
"259","2008-01-11",4.84
"260","2008-01-14",4.72
"261","2008-01-15",4.52
"262","2008-01-16",4.74
"263","2008-01-17",4.56
"264","2008-01-18",4.43
"265","2008-01-22",4.48
"266","2008-01-23",4.41
"267","2008-01-24",4.69
"268","2008-01-25",4.67
"269","2008-01-28",4.85
"270","2008-01-29",4.79
"271","2008-01-30",5.01
"272","2008-01-31",5.49
"273","2008-02-01",6.26
"274","2008-02-04",6.2
"275","2008-02-05",5.71
"276","2008-02-06",5.8
"277","2008-02-07",5.61
"278","2008-02-08",5.34
"279","2008-02-11",5.19
"280","2008-02-12",5.3
"281","2008-02-13",5.5
"282","2008-02-14",5.54
"283","2008-02-15",5.48
"284","2008-02-19",5.43
"285","2008-02-20",5.45
"286","2008-02-21",5.37
"287","2008-02-22",5.43
"288","2008-02-25",5.77
"289","2008-02-26",5.34
"290","2008-02-27",5.24
"291","2008-02-28",5.15
"292","2008-02-29",4.93
"293","2008-03-03",4.99
"294","2008-03-04",5.07
"295","2008-03-05",4.93
"296","2008-03-06",4.51
"297","2008-03-07",4.45
"298","2008-03-10",4.2
"299","2008-03-11",4.31
"300","2008-03-12",4.22
"301","2008-03-13",4.34
"302","2008-03-14",4.2
"303","2008-03-17",4.03
"304","2008-03-18",3.97
"305","2008-03-19",4.11
"306","2008-03-20",4.18
"307","2008-03-24",4.56
"308","2008-03-25",4.75
"309","2008-03-26",4.8
"310","2008-03-27",4.61
"311","2008-03-28",4.54
"312","2008-03-31",4.61
"313","2008-04-01",4.59
"314","2008-04-02",4.44
"315","2008-04-03",4.53
"316","2008-04-04",4.31
"317","2008-04-07",4.25
"318","2008-04-08",4.23
"319","2008-04-09",3.95
"320","2008-04-10",4.15
"321","2008-04-11",4.1
"322","2008-04-14",4.12
"323","2008-04-15",4.01
"324","2008-04-16",4.03
"325","2008-04-17",4.11
"326","2008-04-18",4.31
"327","2008-04-21",4.47
"328","2008-04-22",4.33
"329","2008-04-23",4.4
"330","2008-04-24",4.63
"331","2008-04-25",4.71
"332","2008-04-28",4.94
"333","2008-04-29",4.99
"334","2008-04-30",5.15
"335","2008-05-01",5.25
"336","2008-05-02",5.26
"337","2008-05-05",5.08
"338","2008-05-06",4.72
"339","2008-05-07",4.19
"340","2008-05-08",5.38
"341","2008-05-09",6
"342","2008-05-12",6.32
"343","2008-05-13",6.87
"344","2008-05-14",6.75
"345","2008-05-15",6.79
"346","2008-05-16",6.7
"347","2008-05-19",6.77
"348","2008-05-20",6.55
"349","2008-05-21",7.36
"350","2008-05-22",7.24
"351","2008-05-23",7.21
"352","2008-05-27",7.16
"353","2008-05-28",7.17
