"","date","CFFAU"
"1","2018-12-13",10.01
"2","2018-12-14",10
"3","2018-12-17",10
"4","2018-12-18",10.03
"5","2018-12-19",10.04
"6","2018-12-20",10
"7","2018-12-21",10
"8","2018-12-24",10.001
"9","2018-12-26",10
"10","2018-12-27",10
"11","2018-12-28",10
"12","2018-12-31",10
"13","2019-01-02",10.022
"14","2019-01-03",10.031
"15","2019-01-04",10.03
"16","2019-01-07",10.03
"17","2019-01-08",10.07
"18","2019-01-09",10.07
"19","2019-01-10",10.07
"20","2019-01-11",10.06
"21","2019-01-14",10.07
"22","2019-01-15",10.06
"23","2019-01-16",10.05
"24","2019-01-17",10.09
"25","2019-01-18",10.09
"26","2019-01-22",10.101
"27","2019-01-23",10.09
"28","2019-01-24",10.09
"29","2019-01-25",10.09
"30","2019-01-28",10.06
"31","2019-01-29",10.06
"32","2019-01-30",10.1
"33","2019-01-31",10.12
"34","2019-02-01",10.15
"35","2019-02-04",10.15
"36","2019-02-05",10.18
"37","2019-02-06",10.18
"38","2019-02-07",10.18
"39","2019-02-08",10.17
"40","2019-02-11",10.17
"41","2019-02-12",10.14
"42","2019-02-13",10.13
"43","2019-02-14",10.17
"44","2019-02-15",10.22
"45","2019-02-19",10.15
"46","2019-02-20",10.14
"47","2019-02-21",10.17
"48","2019-02-22",10.17
"49","2019-02-25",10.17
"50","2019-02-26",10.17
"51","2019-02-27",10.16
"52","2019-02-28",10.19
"53","2019-03-01",10.15
"54","2019-03-04",10.15
"55","2019-03-05",10.15
"56","2019-03-06",10.15
"57","2019-03-07",10.18
"58","2019-03-08",10.18
"59","2019-03-11",10.18
"60","2019-03-12",10.17
"61","2019-03-13",10.17
"62","2019-03-14",10.17
"63","2019-03-15",10.17
"64","2019-03-18",10.22
"65","2019-03-19",10.181
"66","2019-03-20",10.17
"67","2019-03-21",10.2
"68","2019-03-22",10.2
"69","2019-03-25",10.2
"70","2019-03-26",10.2
"71","2019-03-27",10.2
"72","2019-03-28",10.16
"73","2019-03-29",10.2
"74","2019-04-01",10.2
"75","2019-04-02",10.2
"76","2019-04-03",10.2
"77","2019-04-04",10.21
"78","2019-04-05",10.23
"79","2019-04-08",10.23
"80","2019-04-09",10.22
"81","2019-04-10",10.22
"82","2019-04-11",10.22
"83","2019-04-12",10.25
"84","2019-04-15",10.25
"85","2019-04-16",10.2
"86","2019-04-17",10.24
"87","2019-04-18",10.24
"88","2019-04-22",10.24
"89","2019-04-23",10.261
"90","2019-04-24",10.25
"91","2019-04-25",10.35
"92","2019-04-26",10.35
"93","2019-04-29",10.3
"94","2019-04-30",10.335
"95","2019-05-01",10.31
"96","2019-05-02",10.3
"97","2019-05-03",10.3
"98","2019-05-06",10.3
"99","2019-05-07",10.32
"100","2019-05-08",10.32
"101","2019-05-09",10.3
"102","2019-05-10",10.35
"103","2019-05-13",10.35
"104","2019-05-14",10.326
"105","2019-05-15",10.36
"106","2019-05-16",10.36
"107","2019-05-17",10.366
"108","2019-05-20",10.356
"109","2019-05-21",10.356
"110","2019-05-22",10.356
"111","2019-05-23",10.356
"112","2019-05-24",10.37
"113","2019-05-28",10.35
"114","2019-05-29",10.35
"115","2019-05-30",10.35
"116","2019-05-31",10.5
"117","2019-06-03",10.5
"118","2019-06-04",10.428
"119","2019-06-05",10.428
"120","2019-06-06",10.428
"121","2019-06-07",10.428
"122","2019-06-10",10.4
"123","2019-06-11",10.4
"124","2019-06-12",10.4
"125","2019-06-13",10.4
"126","2019-06-14",10.4
"127","2019-06-17",10.4
"128","2019-06-18",10.4
"129","2019-06-19",10.4
"130","2019-06-20",10.4
"131","2019-06-21",10.35
"132","2019-06-24",10.35
"133","2019-06-25",10.35
"134","2019-06-26",10.35
"135","2019-06-27",10.35
"136","2019-06-28",10.35
"137","2019-07-01",10.351
"138","2019-07-02",10.35
"139","2019-07-03",10.35
"140","2019-07-05",10.5
"141","2019-07-08",10.5
"142","2019-07-09",10.5
"143","2019-07-10",10.5
"144","2019-07-11",10.5
"145","2019-07-12",10.37
"146","2019-07-15",10.37
"147","2019-07-16",10.4
"148","2019-07-17",10.4
"149","2019-07-18",10.365
"150","2019-07-19",10.365
"151","2019-07-22",10.365
"152","2019-07-23",10.365
"153","2019-07-24",10.41
"154","2019-07-25",10.41
"155","2019-07-26",10.41
"156","2019-07-29",10.41
"157","2019-07-30",10.41
"158","2019-07-31",10.41
"159","2019-08-01",10.41
"160","2019-08-02",10.471
"161","2019-08-05",10.46
"162","2019-08-06",10.46
"163","2019-08-07",10.46
"164","2019-08-08",10.46
"165","2019-08-09",10.46
"166","2019-08-12",10.46
"167","2019-08-13",10.46
"168","2019-08-14",10.46
"169","2019-08-15",10.46
"170","2019-08-16",10.41
"171","2019-08-19",10.5
