"","date","CLEU"
"1","2020-05-08",4.9
"2","2020-05-11",4.01
"3","2020-05-12",3.775
"4","2020-05-13",3.88
"5","2020-05-14",4.11
"6","2020-05-15",4.31
"7","2020-05-18",4.15
"8","2020-05-19",4.1
"9","2020-05-20",4.42
"10","2020-05-21",4.57
"11","2020-05-22",4.97
"12","2020-05-26",4.4
"13","2020-05-27",4.25
"14","2020-05-28",4.19
"15","2020-05-29",3.6
"16","2020-06-01",3.65
"17","2020-06-02",3.76
"18","2020-06-03",3.76
"19","2020-06-04",3.78
"20","2020-06-05",3.765
"21","2020-06-08",3.93
"22","2020-06-09",4.04
"23","2020-06-10",3.94
"24","2020-06-11",4.8
"25","2020-06-12",5.01
"26","2020-06-15",4.9
"27","2020-06-16",4.79
"28","2020-06-17",4.6
"29","2020-06-18",4.73
"30","2020-06-19",4.808
"31","2020-06-22",5.22
"32","2020-06-23",4.65
"33","2020-06-24",4.75
"34","2020-06-25",4.81
"35","2020-06-26",4.58
"36","2020-06-29",4.75
"37","2020-06-30",4.81
"38","2020-07-01",4.78
"39","2020-07-02",4.65
"40","2020-07-06",4.84
"41","2020-07-07",4.73
"42","2020-07-08",4.38
"43","2020-07-09",3.85
"44","2020-07-10",4.74
"45","2020-07-13",4.5
"46","2020-07-14",5.14
"47","2020-07-15",4.802
"48","2020-07-16",4.86
"49","2020-07-17",4.49
"50","2020-07-20",4.01
"51","2020-07-21",4.301
"52","2020-07-22",4.05
"53","2020-07-23",4.06
"54","2020-07-24",3.925
"55","2020-07-27",4.081
"56","2020-07-28",3.902
"57","2020-07-29",3.79
"58","2020-07-30",3.84
"59","2020-07-31",3.702
"60","2020-08-03",3.718
"61","2020-08-04",3.87
"62","2020-08-05",4.08
"63","2020-08-06",4.31
"64","2020-08-07",4.105
"65","2020-08-10",3.95
"66","2020-08-11",3.87
"67","2020-08-12",3.8
"68","2020-08-13",3.7
"69","2020-08-14",3.75
"70","2020-08-17",3.93
"71","2020-08-18",3.94
"72","2020-08-19",3.85
"73","2020-08-20",4.725
"74","2020-08-21",4.55
"75","2020-08-24",5.06
"76","2020-08-25",5.13
"77","2020-08-26",5.42
"78","2020-08-27",6.29
"79","2020-08-28",6.35
"80","2020-08-31",5.83
"81","2020-09-01",6.75
"82","2020-09-02",6.71
"83","2020-09-03",6.76
"84","2020-09-04",6.81
"85","2020-09-08",6.64
"86","2020-09-09",6.41
"87","2020-09-10",6.7
"88","2020-09-11",6.69
"89","2020-09-14",6.51
"90","2020-09-15",6.66
"91","2020-09-16",7.44
"92","2020-09-17",6.59
"93","2020-09-18",5.92
"94","2020-09-21",6.361
"95","2020-09-22",5.65
"96","2020-09-23",5.95
"97","2020-09-24",6.32
"98","2020-09-25",5.8
"99","2020-09-28",5.87
"100","2020-09-29",5.982
"101","2020-09-30",6.15
"102","2020-10-01",5.76
"103","2020-10-02",5.69
"104","2020-10-05",5.417
"105","2020-10-06",5.547
"106","2020-10-07",5.54
"107","2020-10-08",5.53
"108","2020-10-09",5.66
"109","2020-10-12",6.09
"110","2020-10-13",5.75
"111","2020-10-14",5.85
"112","2020-10-15",6.06
"113","2020-10-16",6.06
"114","2020-10-19",5.99
"115","2020-10-20",6.12
"116","2020-10-21",6.005
"117","2020-10-22",6.05
"118","2020-10-23",5.994
"119","2020-10-26",5.828
"120","2020-10-27",5.67
"121","2020-10-28",5.78
"122","2020-10-29",5.65
"123","2020-10-30",5.773
"124","2020-11-02",5.54
"125","2020-11-03",5.578
"126","2020-11-04",5.65
"127","2020-11-05",5.65
"128","2020-11-06",5.729
"129","2020-11-09",5.6
"130","2020-11-10",5.7
"131","2020-11-11",5.7
"132","2020-11-12",5.8
"133","2020-11-13",5.645
"134","2020-11-16",5.43
"135","2020-11-17",5.5
"136","2020-11-18",5.5
"137","2020-11-19",5.525
"138","2020-11-20",5.55
"139","2020-11-23",5.56
"140","2020-11-24",5.54
"141","2020-11-25",5.8
"142","2020-11-27",5.9
