"","date","CMCT"
"1","2007-01-03",227.399994
"2","2007-01-04",225.899994
"3","2007-01-05",225.600006
"4","2007-01-08",225.149994
"5","2007-01-09",223.199997
"6","2007-01-10",221.699997
"7","2007-01-11",219.75
"8","2007-01-12",219.149994
"9","2007-01-16",221.100006
"10","2007-01-17",228.449997
"11","2007-01-18",225.75
"12","2007-01-19",224.399994
"13","2007-01-22",225.300003
"14","2007-01-23",226.199997
"15","2007-01-24",226.5
"16","2007-01-25",226.199997
"17","2007-01-26",226.5
"18","2007-01-29",225
"19","2007-01-30",225.899994
"20","2007-01-31",225
"21","2007-02-01",228.899994
"22","2007-02-02",229.050003
"23","2007-02-05",228.75
"24","2007-02-06",229.050003
"25","2007-02-07",226.350006
"26","2007-02-08",227.100006
"27","2007-02-09",225.75
"28","2007-02-12",229.199997
"29","2007-02-13",228.899994
"30","2007-02-14",225.75
"31","2007-02-15",226.800003
"32","2007-02-16",225.600006
"33","2007-02-20",228.300003
"34","2007-02-21",226.199997
"35","2007-02-22",228.149994
"36","2007-02-23",228
"37","2007-02-26",226.199997
"38","2007-02-27",223.5
"39","2007-02-28",220.5
"40","2007-03-01",220.649994
"41","2007-03-02",223.050003
"42","2007-03-05",214.050003
"43","2007-03-06",219.899994
"44","2007-03-07",222.600006
"45","2007-03-08",224.850006
"46","2007-03-09",223.5
"47","2007-03-12",224.699997
"48","2007-03-13",224.550003
"49","2007-03-14",224.550003
"50","2007-03-15",225
"51","2007-03-16",224.25
"52","2007-03-19",224.699997
"53","2007-03-20",224.100006
"54","2007-03-21",224.100006
"55","2007-03-22",224.25
"56","2007-03-23",224.399994
"57","2007-03-26",224.25
"58","2007-03-27",223.949997
"59","2007-03-28",222
"60","2007-03-29",222.449997
"61","2007-03-30",219.75
"62","2007-04-02",221.399994
"63","2007-04-03",218.850006
"64","2007-04-04",219.300003
"65","2007-04-05",221.699997
"66","2007-04-09",220.949997
"67","2007-04-10",219.75
"68","2007-04-11",221.399994
"69","2007-04-12",217.050003
"70","2007-04-13",218.25
"71","2007-04-16",217.800003
"72","2007-04-17",218.850006
"73","2007-04-18",217.5
"74","2007-04-19",214.949997
"75","2007-04-20",214.199997
"76","2007-04-23",210.300003
"77","2007-04-24",210.149994
"78","2007-04-25",212.100006
"79","2007-04-26",212.699997
"80","2007-04-27",211.800003
"81","2007-04-30",210.75
"82","2007-05-01",210
"83","2007-05-02",210
"84","2007-05-03",209.25
"85","2007-05-04",210.300003
"86","2007-05-07",212.399994
"87","2007-05-08",211.350006
"88","2007-05-09",212.25
"89","2007-05-10",204.149994
"90","2007-05-11",197.399994
"91","2007-05-14",193.050003
"92","2007-05-15",189.899994
"93","2007-05-16",194.399994
"94","2007-05-17",199.5
"95","2007-05-18",201.600006
"96","2007-05-21",203.399994
"97","2007-05-22",200.25
"98","2007-05-23",201
"99","2007-05-24",203.25
"100","2007-05-25",202.5
"101","2007-05-29",207.75
"102","2007-05-30",210.600006
"103","2007-05-31",209.550003
"104","2007-06-01",205.350006
"105","2007-06-04",204.899994
"106","2007-06-05",206.399994
"107","2007-06-06",209.399994
"108","2007-06-07",211.800003
"109","2007-06-08",210.149994
"110","2007-06-11",208.5
"111","2007-06-12",202.800003
"112","2007-06-13",205.350006
"113","2007-06-14",207.449997
"114","2007-06-15",207.899994
"115","2007-06-18",202.199997
"116","2007-06-19",202.5
"117","2007-06-20",211.949997
"118","2007-06-21",204.75
"119","2007-06-22",203.550003
"120","2007-06-25",202.800003
"121","2007-06-26",203.100006
"122","2007-06-27",201.149994
"123","2007-06-28",196.5
"124","2007-06-29",197.399994
"125","2007-07-02",199.350006
"126","2007-07-03",199.5
"127","2007-07-05",195.75
"128","2007-07-06",196.800003
"129","2007-07-09",195.449997
"130","2007-07-10",196.050003
"131","2007-07-11",192.149994
"132","2007-07-12",196.800003
"133","2007-07-13",200.550003
"134","2007-07-16",196.050003
"135","2007-07-17",195.75
"136","2007-07-18",196.5
"137","2007-07-19",196.5
"138","2007-07-20",192
"139","2007-07-23",196.350006
"140","2007-07-24",196.050003
"141","2007-07-25",200.100006
"142","2007-07-26",207
"143","2007-07-27",213
"144","2007-07-30",215.399994
"145","2007-07-31",217.050003
"146","2007-08-01",205.949997
"147","2007-08-02",209.850006
"148","2007-08-03",205.949997
"149","2007-08-06",199.649994
"150","2007-08-07",196.5
"151","2007-08-08",196.5
"152","2007-08-09",196.5
"153","2007-08-10",186.75
"154","2007-08-13",191.25
"155","2007-08-14",190.5
"156","2007-08-15",187.649994
"157","2007-08-16",186.75
"158","2007-08-17",188.699997
"159","2007-08-20",187.5
"160","2007-08-21",187.050003
"161","2007-08-22",190.5
"162","2007-08-23",194.25
"163","2007-08-24",194.699997
"164","2007-08-27",197.25
"165","2007-08-28",192.449997
"166","2007-08-29",191.399994
"167","2007-08-30",191.699997
"168","2007-08-31",193.199997
"169","2007-09-04",195.149994
"170","2007-09-05",192
"171","2007-09-06",190.949997
"172","2007-09-07",192.149994
"173","2007-09-10",193.5
"174","2007-09-11",194.850006
"175","2007-09-12",196.5
"176","2007-09-13",197.25
"177","2007-09-14",200.25
"178","2007-09-17",199.5
"179","2007-09-18",200.699997
"180","2007-09-19",201.600006
"181","2007-09-20",199.5
"182","2007-09-21",200.550003
"183","2007-09-24",203.550003
"184","2007-09-25",203.550003
"185","2007-09-26",196.5
"186","2007-09-27",198
"187","2007-09-28",196.350006
"188","2007-10-01",199.649994
"189","2007-10-02",199.350006
"190","2007-10-03",198.300003
"191","2007-10-04",202.5
"192","2007-10-05",201.149994
"193","2007-10-08",196.350006
"194","2007-10-09",195.300003
"195","2007-10-10",196.5
"196","2007-10-11",198.300003
"197","2007-10-12",199.949997
"198","2007-10-15",199.949997
"199","2007-10-16",199.5
"200","2007-10-17",201.300003
"201","2007-10-18",199.5
"202","2007-10-19",199.5
"203","2007-10-22",199.5
"204","2007-10-23",198
"205","2007-10-24",193.949997
"206","2007-10-25",192.149994
"207","2007-10-26",192.75
"208","2007-10-29",195.300003
"209","2007-10-30",192.899994
"210","2007-10-31",196.050003
"211","2007-11-01",197.100006
"212","2007-11-02",196.5
"213","2007-11-05",197.550003
"214","2007-11-06",194.100006
"215","2007-11-07",191.100006
"216","2007-11-08",188.850006
"217","2007-11-09",184.350006
"218","2007-11-12",185.399994
"219","2007-11-13",187.5
"220","2007-11-14",196.350006
"221","2007-11-15",196.649994
"222","2007-11-16",192.149994
"223","2007-11-19",186
"224","2007-11-20",185.100006
"225","2007-11-21",184.5
"226","2007-11-23",186
"227","2007-11-26",181.5
"228","2007-11-27",180.75
"229","2007-11-28",180.449997
"230","2007-11-29",176.399994
"231","2007-11-30",180
"232","2007-12-03",185.550003
"233","2007-12-04",187.050003
"234","2007-12-05",185.699997
"235","2007-12-06",184.949997
"236","2007-12-07",184.649994
"237","2007-12-10",187.800003
"238","2007-12-11",186.75
"239","2007-12-12",187.5
"240","2007-12-13",185.850006
"241","2007-12-14",180.75
"242","2007-12-17",180.899994
"243","2007-12-18",178.350006
"244","2007-12-19",175.649994
"245","2007-12-20",175.800003
"246","2007-12-21",174.149994
"247","2007-12-24",176.850006
"248","2007-12-26",175.050003
"249","2007-12-27",171.149994
"250","2007-12-28",168.75
"251","2007-12-31",161.399994
"252","2008-01-02",165.75
"253","2008-01-03",163.649994
"254","2008-01-04",161.399994
"255","2008-01-07",162.449997
"256","2008-01-08",160.800003
"257","2008-01-09",161.25
"258","2008-01-10",162.449997
"259","2008-01-11",160.649994
"260","2008-01-14",158.25
"261","2008-01-15",153.75
"262","2008-01-16",150.75
"263","2008-01-17",150.75
"264","2008-01-18",146.25
"265","2008-01-22",144.149994
"266","2008-01-23",143.25
"267","2008-01-24",147
"268","2008-01-25",151.5
"269","2008-01-28",149.25
"270","2008-01-29",149.850006
"271","2008-01-30",157.350006
"272","2008-01-31",154.5
"273","2008-02-01",158.25
"274","2008-02-04",162
"275","2008-02-05",159.75
"276","2008-02-06",152.25
"277","2008-02-07",150.75
"278","2008-02-08",156.300003
"279","2008-02-11",155.850006
"280","2008-02-12",158.100006
"281","2008-02-13",156.149994
"282","2008-02-14",158.100006
"283","2008-02-15",159
"284","2008-02-19",157.5
"285","2008-02-20",156
"286","2008-02-21",156.149994
"287","2008-02-22",155.25
"288","2008-02-25",152.25
"289","2008-02-26",157.5
"290","2008-02-27",155.25
"291","2008-02-28",158.25
"292","2008-02-29",156.75
"293","2008-03-03",153.75
"294","2008-03-04",149.25
"295","2008-03-05",149.25
"296","2008-03-06",149.550003
"297","2008-03-07",144
"298","2008-03-10",141.149994
"299","2008-03-11",141.149994
"300","2008-03-12",141.75
"301","2008-03-13",139.199997
"302","2008-03-14",135
"303","2008-03-17",108.75
"304","2008-03-18",109.349998
"305","2008-03-19",113.25
"306","2008-03-20",109.5
"307","2008-03-24",104.849998
"308","2008-03-25",118.349998
"309","2008-03-26",123.75
"310","2008-03-27",115.199997
"311","2008-03-28",108.900002
"312","2008-03-31",105.150002
"313","2008-04-01",108
"314","2008-04-02",105
"315","2008-04-03",105
"316","2008-04-04",111.900002
"317","2008-04-07",117.449997
"318","2008-04-08",115.349998
"319","2008-04-09",114
