"","date","COLM"
"1","2007-01-03",28.275
"2","2007-01-04",28.535
"3","2007-01-05",28.08
"4","2007-01-08",27.879999
"5","2007-01-09",27.555
"6","2007-01-10",27.344999
"7","2007-01-11",27.639999
"8","2007-01-12",28.955
"9","2007-01-16",29.49
"10","2007-01-17",29.530001
"11","2007-01-18",29.129999
"12","2007-01-19",29.215
"13","2007-01-22",29.055
"14","2007-01-23",29.209999
"15","2007-01-24",29.52
"16","2007-01-25",29.209999
"17","2007-01-26",31.415001
"18","2007-01-29",31.975
"19","2007-01-30",32.134998
"20","2007-01-31",32.419998
"21","2007-02-01",32.759998
"22","2007-02-02",32.505001
"23","2007-02-05",32.759998
"24","2007-02-06",32.59
"25","2007-02-07",32.674999
"26","2007-02-08",33.375
"27","2007-02-09",32.5
"28","2007-02-12",32.535
"29","2007-02-13",32.705002
"30","2007-02-14",32.630001
"31","2007-02-15",32.584999
"32","2007-02-16",32.689999
"33","2007-02-20",32.98
"34","2007-02-21",32.634998
"35","2007-02-22",32.285
"36","2007-02-23",32.540001
"37","2007-02-26",32.369999
"38","2007-02-27",31.25
"39","2007-02-28",31.785
"40","2007-03-01",31.775
"41","2007-03-02",31.09
"42","2007-03-05",30.370001
"43","2007-03-06",30.905001
"44","2007-03-07",30.93
"45","2007-03-08",31.375
"46","2007-03-09",31.565001
"47","2007-03-12",31.299999
"48","2007-03-13",30.495001
"49","2007-03-14",30.75
"50","2007-03-15",31.129999
"51","2007-03-16",30.655001
"52","2007-03-19",30.995001
"53","2007-03-20",31.264999
"54","2007-03-21",31.58
"55","2007-03-22",31.545
"56","2007-03-23",30.66
"57","2007-03-26",31.1
"58","2007-03-27",30.725
"59","2007-03-28",30.18
"60","2007-03-29",30.285
"61","2007-03-30",31.155001
"62","2007-04-02",31.51
"63","2007-04-03",31.9
"64","2007-04-04",32.064999
"65","2007-04-05",31.825001
"66","2007-04-09",31.975
"67","2007-04-10",31.99
"68","2007-04-11",31.969999
"69","2007-04-12",32.474998
"70","2007-04-13",32.494999
"71","2007-04-16",33
"72","2007-04-17",32.744999
"73","2007-04-18",32.615002
"74","2007-04-19",32.290001
"75","2007-04-20",32.200001
"76","2007-04-23",32.650002
"77","2007-04-24",31.575001
"78","2007-04-25",32.165001
"79","2007-04-26",32.334999
"80","2007-04-27",31.934999
