"","date","COOP"
"1","2012-03-28",12
"2","2012-03-29",10.8
"3","2012-03-30",10.8
"4","2012-04-02",9
"5","2012-04-03",8.04
"6","2012-04-04",8.16
"7","2012-04-05",9
"8","2012-04-09",9.24
"9","2012-04-10",9
"10","2012-04-11",8.4
"11","2012-04-12",7.92
"12","2012-04-13",8.04
"13","2012-04-16",7.8
"14","2012-04-17",8.16
"15","2012-04-18",7.8
"16","2012-04-19",7.8
"17","2012-04-20",7.8
"18","2012-04-23",7.68
"19","2012-04-24",7.2
"20","2012-04-25",7.2
"21","2012-04-26",7.2
"22","2012-04-27",7.2
"23","2012-04-30",7.08
"24","2012-05-01",7.08
"25","2012-05-02",7.08
"26","2012-05-03",7.08
"27","2012-05-04",6.84
"28","2012-05-07",6.72
"29","2012-05-08",6.36
"30","2012-05-09",6.48
"31","2012-05-10",6.48
"32","2012-05-11",6.48
"33","2012-05-14",6.48
"34","2012-05-15",6.6
"35","2012-05-16",6.6
"36","2012-05-17",6.48
"37","2012-05-18",6.48
"38","2012-05-21",6.36
"39","2012-05-22",6.36
"40","2012-05-23",6
"41","2012-05-24",6
"42","2012-05-25",5.4
"43","2012-05-29",5.16
"44","2012-05-30",5.16
"45","2012-05-31",5.16
"46","2012-06-01",6
"47","2012-06-04",5.88
"48","2012-06-05",6
"49","2012-06-06",6.84
"50","2012-06-07",6.48
"51","2012-06-08",6.84
"52","2012-06-11",6.84
"53","2012-06-12",6.84
"54","2012-06-13",6.84
"55","2012-06-14",6.36
"56","2012-06-15",6.6
"57","2012-06-18",6.24
"58","2012-06-19",6.6
"59","2012-06-20",6.48
"60","2012-06-21",6.12
"61","2012-06-22",6.24
"62","2012-06-25",5.88
"63","2012-06-26",6
"64","2012-06-27",6.36
"65","2012-06-28",5.88
"66","2012-06-29",6
"67","2012-07-02",6
"68","2012-07-03",6
"69","2012-07-05",6
"70","2012-07-06",6
"71","2012-07-09",6
"72","2012-07-10",5.64
"73","2012-07-11",5.76
"74","2012-07-12",6
"75","2012-07-13",5.76
