"","date","CSU"
"1","2007-01-03",10.43
"2","2007-01-04",10.64
"3","2007-01-05",10.09
"4","2007-01-08",9.93
"5","2007-01-09",9.85
"6","2007-01-10",9.84
"7","2007-01-11",10.13
"8","2007-01-12",10.29
"9","2007-01-16",10.76
"10","2007-01-17",10.52
"11","2007-01-18",10.29
"12","2007-01-19",10.37
"13","2007-01-22",10.23
"14","2007-01-23",10.31
"15","2007-01-24",10.47
"16","2007-01-25",10.32
"17","2007-01-26",10.53
"18","2007-01-29",10.65
"19","2007-01-30",10.55
"20","2007-01-31",10.64
"21","2007-02-01",10.5
"22","2007-02-02",10.48
"23","2007-02-05",10.21
"24","2007-02-06",10.14
"25","2007-02-07",10.4
"26","2007-02-08",10.5
"27","2007-02-09",10.61
"28","2007-02-12",10.68
"29","2007-02-13",10.9
"30","2007-02-14",10.86
"31","2007-02-15",10.91
"32","2007-02-16",10.92
"33","2007-02-20",11.1
"34","2007-02-21",11.02
"35","2007-02-22",11.22
"36","2007-02-23",11.02
"37","2007-02-26",11.13
"38","2007-02-27",10.8
"39","2007-02-28",10.78
"40","2007-03-01",10.77
"41","2007-03-02",10.83
"42","2007-03-05",10.41
"43","2007-03-06",10.64
"44","2007-03-07",10.92
"45","2007-03-08",10.56
"46","2007-03-09",10.67
"47","2007-03-12",10.64
"48","2007-03-13",10.55
"49","2007-03-14",10.62
"50","2007-03-15",10.68
"51","2007-03-16",10.73
"52","2007-03-19",10.87
"53","2007-03-20",11.36
"54","2007-03-21",11.77
"55","2007-03-22",11.63
"56","2007-03-23",11.73
"57","2007-03-26",11.6
"58","2007-03-27",11.59
"59","2007-03-28",11.56
"60","2007-03-29",11.51
"61","2007-03-30",11.61
"62","2007-04-02",11.56
"63","2007-04-03",11.58
"64","2007-04-04",11.55
"65","2007-04-05",11.52
"66","2007-04-09",11.35
"67","2007-04-10",11.38
"68","2007-04-11",11.31
"69","2007-04-12",11.36
"70","2007-04-13",11.33
"71","2007-04-16",11.62
"72","2007-04-17",11.51
"73","2007-04-18",11.25
"74","2007-04-19",11.3
"75","2007-04-20",11.6
"76","2007-04-23",11.79
"77","2007-04-24",11.86
"78","2007-04-25",11.93
"79","2007-04-26",11.99
"80","2007-04-27",12.1
"81","2007-04-30",11.61
"82","2007-05-01",11.48
"83","2007-05-02",11.32
"84","2007-05-03",11.11
"85","2007-05-04",11.06
"86","2007-05-07",11.3
"87","2007-05-08",11.1
"88","2007-05-09",11.17
"89","2007-05-10",11.15
"90","2007-05-11",11.5
"91","2007-05-14",11.53
"92","2007-05-15",11.28
"93","2007-05-16",11.3
"94","2007-05-17",11.06
"95","2007-05-18",11.08
