"","date","CVEO"
"1","2014-05-19",273.600006
"2","2014-05-20",265.920013
"3","2014-05-21",262.320007
"4","2014-05-22",262.320007
"5","2014-05-23",263.519989
"6","2014-05-27",264.23999
"7","2014-05-28",268.920013
"8","2014-05-29",274.679993
"9","2014-05-30",276.720001
"10","2014-06-02",279
"11","2014-06-03",277.200012
"12","2014-06-04",274.079987
"13","2014-06-05",272.040009
"14","2014-06-06",273
"15","2014-06-09",275.519989
"16","2014-06-10",283.799988
"17","2014-06-11",298.200012
"18","2014-06-12",309.23999
"19","2014-06-13",324.480011
"20","2014-06-16",336
"21","2014-06-17",321.480011
"22","2014-06-18",316.920013
"23","2014-06-19",309.720001
"24","2014-06-20",303
"25","2014-06-23",305.160004
"26","2014-06-24",302.399994
"27","2014-06-25",302.880005
"28","2014-06-26",305.399994
"29","2014-06-27",312.119995
"30","2014-06-30",300.359985
"31","2014-07-01",311.519989
"32","2014-07-02",318.600006
"33","2014-07-03",326.040009
"34","2014-07-07",324.600006
"35","2014-07-08",324.600006
"36","2014-07-09",329.399994
"37","2014-07-10",319.920013
"38","2014-07-11",321.959991
"39","2014-07-14",319.559998
"40","2014-07-15",320.279999
"41","2014-07-16",315.480011
"42","2014-07-17",304.320007
"43","2014-07-18",308.76001
"44","2014-07-21",305.519989
"45","2014-07-22",306.23999
"46","2014-07-23",307.079987
"47","2014-07-24",304.559998
"48","2014-07-25",303.720001
"49","2014-07-28",314.399994
"50","2014-07-29",311.640015
"51","2014-07-30",312.600006
"52","2014-07-31",304.799988
"53","2014-08-01",307.200012
"54","2014-08-04",308.279999
"55","2014-08-05",304.320007
"56","2014-08-06",294.600006
"57","2014-08-07",299.399994
"58","2014-08-08",304.200012
"59","2014-08-11",305.880005
"60","2014-08-12",300.839996
"61","2014-08-13",309.119995
"62","2014-08-14",294
"63","2014-08-15",294.23999
"64","2014-08-18",299.76001
"65","2014-08-19",298.200012
"66","2014-08-20",297.600006
"67","2014-08-21",305.519989
"68","2014-08-22",301.200012
"69","2014-08-25",299.880005
"70","2014-08-26",300.23999
"71","2014-08-27",300.119995
"72","2014-08-28",302.640015
"73","2014-08-29",304.920013
"74","2014-09-02",305.880005
"75","2014-09-03",301.559998
"76","2014-09-04",299.040009
"77","2014-09-05",300.119995
"78","2014-09-08",304.679993
"79","2014-09-09",298.079987
"80","2014-09-10",301.320007
"81","2014-09-11",302.279999
"82","2014-09-12",300
"83","2014-09-15",298.440002
"84","2014-09-16",297.480011
"85","2014-09-17",298.079987
"86","2014-09-18",306.23999
"87","2014-09-19",304.320007
"88","2014-09-22",297.480011
"89","2014-09-23",293.399994
"90","2014-09-24",299.040009
"91","2014-09-25",299.640015
"92","2014-09-26",305.640015
"93","2014-09-29",154.080002
"94","2014-09-30",139.320007
"95","2014-10-01",150.240005
"96","2014-10-02",150.720001
"97","2014-10-03",156.119995
"98","2014-10-06",159
"99","2014-10-07",151.919998
"100","2014-10-08",153.119995
"101","2014-10-09",147.119995
"102","2014-10-10",149.520004
"103","2014-10-13",149.520004
"104","2014-10-14",146.039993
"105","2014-10-15",152.520004
"106","2014-10-16",148.800003
"107","2014-10-17",145.679993
"108","2014-10-20",144.720001
"109","2014-10-21",148.199997
"110","2014-10-22",150
"111","2014-10-23",153.119995
"112","2014-10-24",148.199997
"113","2014-10-27",145.919998
"114","2014-10-28",149.880005
"115","2014-10-29",144.720001
"116","2014-10-30",146.399994
"117","2014-10-31",146.279999
"118","2014-11-03",140.399994
"119","2014-11-04",132.360001
"120","2014-11-05",139.199997
"121","2014-11-06",131.759995
"122","2014-11-07",131.880005
"123","2014-11-10",129.720001
"124","2014-11-11",131.520004
"125","2014-11-12",132.720001
"126","2014-11-13",126
"127","2014-11-14",127.68
"128","2014-11-17",125.639999
"129","2014-11-18",122.879997
"130","2014-11-19",120
"131","2014-11-20",124.68
"132","2014-11-21",124.800003
"133","2014-11-24",129
"134","2014-11-25",128.639999
"135","2014-11-26",128.039993
"136","2014-11-28",113.040001
"137","2014-12-01",106.68
"138","2014-12-02",109.199997
"139","2014-12-03",107.879997
"140","2014-12-04",107.879997
"141","2014-12-05",107.400002
"142","2014-12-08",102.120003
"143","2014-12-09",107.879997
"144","2014-12-10",93.720001
"145","2014-12-11",95.519997
"146","2014-12-12",93.720001
"147","2014-12-15",88.32
"148","2014-12-16",83.760002
"149","2014-12-17",93.120003
"150","2014-12-18",94.800003
"151","2014-12-19",102.720001
"152","2014-12-22",99.239998
"153","2014-12-23",102.839996
"154","2014-12-24",96.120003
"155","2014-12-26",96.720001
"156","2014-12-29",99.239998
"157","2014-12-30",47.040001
"158","2014-12-31",49.32
"159","2015-01-02",46.439999
"160","2015-01-05",41.16
"161","2015-01-06",37.32
"162","2015-01-07",37.200001
"163","2015-01-08",37.799999
"164","2015-01-09",39.119999
"165","2015-01-12",39.360001
"166","2015-01-13",39.959999
"167","2015-01-14",41.639999
"168","2015-01-15",40.32
"169","2015-01-16",39.360001
"170","2015-01-20",39.720001
"171","2015-01-21",37.68
"172","2015-01-22",38.040001
"173","2015-01-23",37.799999
"174","2015-01-26",37.560001
"175","2015-01-27",37.560001
"176","2015-01-28",36.360001
"177","2015-01-29",33
"178","2015-01-30",35.16
"179","2015-02-02",34.200001
"180","2015-02-03",39.240002
"181","2015-02-04",36.119999
"182","2015-02-05",38.040001
"183","2015-02-06",39.84
"184","2015-02-09",44.52
"185","2015-02-10",42.84
"186","2015-02-11",43.32
"187","2015-02-12",44.639999
"188","2015-02-13",46.439999
"189","2015-02-17",47.52
"190","2015-02-18",48.599998
"191","2015-02-19",46.200001
"192","2015-02-20",44.400002
"193","2015-02-23",44.279999
"194","2015-02-24",45.360001
