"","date","CWST"
"1","2007-01-03",12.64
"2","2007-01-04",12.54
"3","2007-01-05",12.31
"4","2007-01-08",12.42
"5","2007-01-09",12.32
"6","2007-01-10",12.41
"7","2007-01-11",12.58
"8","2007-01-12",12.68
"9","2007-01-16",12.61
"10","2007-01-17",12.51
"11","2007-01-18",12.21
"12","2007-01-19",12.2
"13","2007-01-22",12.05
"14","2007-01-23",12.6
"15","2007-01-24",12.39
"16","2007-01-25",11.95
"17","2007-01-26",12.28
"18","2007-01-29",12.54
"19","2007-01-30",12.31
"20","2007-01-31",12.5
"21","2007-02-01",12.49
"22","2007-02-02",12.19
"23","2007-02-05",12.15
"24","2007-02-06",12.18
"25","2007-02-07",12.33
"26","2007-02-08",12.47
"27","2007-02-09",11.71
"28","2007-02-12",11.55
"29","2007-02-13",11.42
"30","2007-02-14",11.13
"31","2007-02-15",11.17
"32","2007-02-16",11.65
"33","2007-02-20",12.07
"34","2007-02-21",12.35
"35","2007-02-22",12.46
"36","2007-02-23",12.36
"37","2007-02-26",12.34
"38","2007-02-27",11.8
"39","2007-02-28",11.81
"40","2007-03-01",11.68
"41","2007-03-02",11.83
"42","2007-03-05",11.37
"43","2007-03-06",11.52
"44","2007-03-07",11.51
"45","2007-03-08",10.15
"46","2007-03-09",10.04
"47","2007-03-12",9.84
"48","2007-03-13",9.19
"49","2007-03-14",9.1
"50","2007-03-15",9
"51","2007-03-16",8.97
"52","2007-03-19",9.02
"53","2007-03-20",8.99
"54","2007-03-21",9.29
"55","2007-03-22",9.55
"56","2007-03-23",9.58
"57","2007-03-26",9.67
"58","2007-03-27",9.72
"59","2007-03-28",9.61
"60","2007-03-29",9.7
"61","2007-03-30",9.76
"62","2007-04-02",9.68
"63","2007-04-03",9.63
"64","2007-04-04",9.37
"65","2007-04-05",9.59
"66","2007-04-09",9.59
"67","2007-04-10",9.61
"68","2007-04-11",9.51
"69","2007-04-12",9.49
"70","2007-04-13",9.65
"71","2007-04-16",9.79
"72","2007-04-17",10.04
"73","2007-04-18",9.91
"74","2007-04-19",9.43
"75","2007-04-20",9.55
"76","2007-04-23",9.66
"77","2007-04-24",9.72
"78","2007-04-25",10.01
"79","2007-04-26",9.75
"80","2007-04-27",9.61
"81","2007-04-30",9.3
"82","2007-05-01",9.47
"83","2007-05-02",9.45
"84","2007-05-03",9.23
"85","2007-05-04",9.37
"86","2007-05-07",9.28
"87","2007-05-08",9.38
"88","2007-05-09",9.8
"89","2007-05-10",9.25
"90","2007-05-11",9.42
"91","2007-05-14",9.25
"92","2007-05-15",9.03
"93","2007-05-16",9.31
"94","2007-05-17",9.46
"95","2007-05-18",9.75
"96","2007-05-21",9.97
"97","2007-05-22",10.75
"98","2007-05-23",10.7
"99","2007-05-24",10.44
"100","2007-05-25",10.72
"101","2007-05-29",10.8
"102","2007-05-30",10.73
"103","2007-05-31",10.72
"104","2007-06-01",10.75
"105","2007-06-04",10.81
"106","2007-06-05",10.69
"107","2007-06-06",10.66
"108","2007-06-07",10.29
"109","2007-06-08",10.31
"110","2007-06-11",10.61
"111","2007-06-12",10.01
"112","2007-06-13",10.64
"113","2007-06-14",10.38
"114","2007-06-15",10.55
"115","2007-06-18",10.84
"116","2007-06-19",10.5
"117","2007-06-20",10.46
"118","2007-06-21",10.5
"119","2007-06-22",10.53
"120","2007-06-25",10.51
"121","2007-06-26",10.52
"122","2007-06-27",10.81
"123","2007-06-28",10.82
"124","2007-06-29",10.78
"125","2007-07-02",10.53
"126","2007-07-03",10.61
"127","2007-07-05",10.51
"128","2007-07-06",10.53
"129","2007-07-09",10.59
"130","2007-07-10",10.53
"131","2007-07-11",10.61
"132","2007-07-12",10.75
"133","2007-07-13",10.78
"134","2007-07-16",10.66
"135","2007-07-17",10.65
"136","2007-07-18",10.58
"137","2007-07-19",10.43
"138","2007-07-20",10.46
"139","2007-07-23",11.01
"140","2007-07-24",10.9
"141","2007-07-25",10.99
"142","2007-07-26",10.74
"143","2007-07-27",10.68
