"","date","DAL"
"1","2007-05-03",20.719999
"2","2007-05-04",20.98
"3","2007-05-07",20.360001
"4","2007-05-08",19.629999
"5","2007-05-09",19.790001
"6","2007-05-10",19.700001
"7","2007-05-11",19.299999
"8","2007-05-14",18.889999
"9","2007-05-15",18.200001
"10","2007-05-16",18.34
"11","2007-05-17",19.02
"12","2007-05-18",19.309999
"13","2007-05-21",19
"14","2007-05-22",19.48
"15","2007-05-23",19.209999
"16","2007-05-24",19.02
"17","2007-05-25",18.76
"18","2007-05-29",19.09
"19","2007-05-30",18.98
"20","2007-05-31",19.049999
"21","2007-06-01",19.549999
"22","2007-06-04",18.84
"23","2007-06-05",18.950001
"24","2007-06-06",18.93
"25","2007-06-07",18.48
"26","2007-06-08",18.83
"27","2007-06-11",18.379999
"28","2007-06-12",18.4
"29","2007-06-13",18.639999
"30","2007-06-14",18.9
"31","2007-06-15",18.879999
"32","2007-06-18",18.540001
"33","2007-06-19",18.870001
"34","2007-06-20",19.360001
"35","2007-06-21",19.51
"36","2007-06-22",19.75
"37","2007-06-25",19.43
"38","2007-06-26",19.49
"39","2007-06-27",19.42
"40","2007-06-28",19.67
"41","2007-06-29",19.700001
"42","2007-07-02",19.58
"43","2007-07-03",20.25
"44","2007-07-05",20.52
"45","2007-07-06",20.83
"46","2007-07-09",21.33
"47","2007-07-10",20.65
"48","2007-07-11",20.120001
"49","2007-07-12",20.43
"50","2007-07-13",20.5
"51","2007-07-16",20.940001
"52","2007-07-17",21.190001
"53","2007-07-18",21.370001
"54","2007-07-19",21.51
"55","2007-07-20",21.4
"56","2007-07-23",21.110001
"57","2007-07-24",21.33
"58","2007-07-25",20.780001
"59","2007-07-26",19.360001
"60","2007-07-27",18.59
"61","2007-07-30",18.049999
"62","2007-07-31",17.82
"63","2007-08-01",18.35
"64","2007-08-02",18.879999
"65","2007-08-03",18.700001
"66","2007-08-06",18.02
"67","2007-08-07",18.450001
"68","2007-08-08",18.49
"69","2007-08-09",17.870001
"70","2007-08-10",17.559999
"71","2007-08-13",17.290001
"72","2007-08-14",16.969999
"73","2007-08-15",15.75
"74","2007-08-16",15.92
"75","2007-08-17",16
"76","2007-08-20",16.08
"77","2007-08-21",17.709999
"78","2007-08-22",18.1
"79","2007-08-23",18
"80","2007-08-24",18.24
"81","2007-08-27",17.700001
"82","2007-08-28",17.35
"83","2007-08-29",17.360001
"84","2007-08-30",16.98
"85","2007-08-31",16.879999
"86","2007-09-04",17.530001
"87","2007-09-05",17.620001
"88","2007-09-06",18.07
"89","2007-09-07",17.620001
"90","2007-09-10",17.440001
"91","2007-09-11",17.690001
"92","2007-09-12",17.15
"93","2007-09-13",17.59
"94","2007-09-14",17.65
"95","2007-09-17",17.15
"96","2007-09-18",17.450001
"97","2007-09-19",18.290001
