"","date","DKNG"
"1","2019-07-25",9.8
"2","2019-07-26",9.8
"3","2019-07-29",9.8
"4","2019-07-30",9.8
"5","2019-07-31",9.8
"6","2019-08-01",9.8
"7","2019-08-02",9.8
"8","2019-08-05",9.8
"9","2019-08-06",9.8
"10","2019-08-07",9.76
"11","2019-08-08",9.76
"12","2019-08-09",9.76
"13","2019-08-12",9.76
"14","2019-08-13",9.78
"15","2019-08-14",9.78
"16","2019-08-15",9.78
"17","2019-08-16",9.78
"18","2019-08-19",9.78
"19","2019-08-20",9.85
"20","2019-08-21",9.85
"21","2019-08-22",9.85
"22","2019-08-23",9.85
"23","2019-08-26",9.85
"24","2019-08-27",9.85
"25","2019-08-28",9.85
"26","2019-08-29",9.85
"27","2019-08-30",9.85
"28","2019-09-03",9.85
"29","2019-09-04",9.85
"30","2019-09-05",9.85
"31","2019-09-06",9.85
"32","2019-09-09",9.85
"33","2019-09-10",9.85
"34","2019-09-11",9.85
"35","2019-09-12",9.85
"36","2019-09-13",9.85
"37","2019-09-16",9.85
"38","2019-09-17",9.85
"39","2019-09-18",9.9
"40","2019-09-19",9.9
"41","2019-09-20",9.85
"42","2019-09-23",9.85
"43","2019-09-24",9.85
"44","2019-09-25",9.85
"45","2019-09-26",9.85
"46","2019-09-27",9.85
"47","2019-09-30",9.85
"48","2019-10-01",9.92
"49","2019-10-02",9.92
"50","2019-10-03",9.89
"51","2019-10-04",9.92
"52","2019-10-07",9.92
"53","2019-10-08",9.92
"54","2019-10-09",9.92
"55","2019-10-10",9.92
"56","2019-10-11",9.92
"57","2019-10-14",9.92
"58","2019-10-15",9.95
"59","2019-10-16",9.926
"60","2019-10-17",9.95
"61","2019-10-18",9.95
"62","2019-10-21",9.924
"63","2019-10-22",9.87
"64","2019-10-23",9.87
"65","2019-10-24",9.87
"66","2019-10-25",9.85
"67","2019-10-28",9.85
"68","2019-10-29",9.93
"69","2019-10-30",9.881
"70","2019-10-31",10.08
"71","2019-11-01",10.08
"72","2019-11-04",10.09
"73","2019-11-05",10.09
"74","2019-11-06",10.05
"75","2019-11-07",10.08
"76","2019-11-08",10.1
"77","2019-11-11",10.086
"78","2019-11-12",10.086
"79","2019-11-13",10.086
"80","2019-11-14",10.09
"81","2019-11-15",10.09
"82","2019-11-18",10.04
"83","2019-11-19",10.04
"84","2019-11-20",10.043
"85","2019-11-21",10.043
"86","2019-11-22",10.043
"87","2019-11-25",10.04
"88","2019-11-26",10.04
"89","2019-11-27",10.05
"90","2019-11-29",10.05
"91","2019-12-02",10.075
"92","2019-12-03",10.075
"93","2019-12-04",10.075
"94","2019-12-05",10.06
"95","2019-12-06",10.065
"96","2019-12-09",10.06
"97","2019-12-10",10.09
"98","2019-12-11",10.08
"99","2019-12-12",10.074
"100","2019-12-13",10.09
"101","2019-12-16",10.08
"102","2019-12-17",10.09
"103","2019-12-18",10.14
"104","2019-12-19",10.18
"105","2019-12-20",10.17
"106","2019-12-23",10.84
"107","2019-12-24",10.84
"108","2019-12-26",10.74
"109","2019-12-27",10.68
"110","2019-12-30",10.64
"111","2019-12-31",10.7
"112","2020-01-02",10.68
"113","2020-01-03",10.68
"114","2020-01-06",10.8
"115","2020-01-07",10.9
"116","2020-01-08",11.26
"117","2020-01-09",12.25
"118","2020-01-10",12.39
"119","2020-01-13",12
"120","2020-01-14",11.94
"121","2020-01-15",12.7
"122","2020-01-16",12.99
"123","2020-01-17",13.57
"124","2020-01-21",13.83
"125","2020-01-22",14.27
"126","2020-01-23",14.44
"127","2020-01-24",14.36
"128","2020-01-27",15
"129","2020-01-28",15.08
"130","2020-01-29",14.5
"131","2020-01-30",14.67
"132","2020-01-31",14.53
"133","2020-02-03",14.51
"134","2020-02-04",14.57
"135","2020-02-05",14.25
"136","2020-02-06",13.61
"137","2020-02-07",14.5
"138","2020-02-10",16.02
"139","2020-02-11",16.82
"140","2020-02-12",18.35
"141","2020-02-13",17.91
"142","2020-02-14",17.33
"143","2020-02-18",17.290001
"144","2020-02-19",17.969999
"145","2020-02-20",17.65
"146","2020-02-21",16.950001
"147","2020-02-24",16.639999
"148","2020-02-25",16.959999
"149","2020-02-26",16.83
"150","2020-02-27",16.17
"151","2020-02-28",16.02
"152","2020-03-02",16.66
"153","2020-03-03",16.41
"154","2020-03-04",18.690001
"155","2020-03-05",17.940001
"156","2020-03-06",16.83
"157","2020-03-09",17.01
"158","2020-03-10",16.6
"159","2020-03-11",14.5
"160","2020-03-12",11.17
"161","2020-03-13",12.45
"162","2020-03-16",11.8
"163","2020-03-17",12.89
"164","2020-03-18",11.4
"165","2020-03-19",11.4
"166","2020-03-20",11.48
"167","2020-03-23",11.3
"168","2020-03-24",11.85
"169","2020-03-25",13
"170","2020-03-26",13.21
"171","2020-03-27",12.69
"172","2020-03-30",12.21
"173","2020-03-31",12.34
"174","2020-04-01",11.77
"175","2020-04-02",12.25
"176","2020-04-03",12.25
"177","2020-04-06",12.61
"178","2020-04-07",13.03
"179","2020-04-08",14.75
"180","2020-04-09",14.51
"181","2020-04-13",14.25
"182","2020-04-14",14.75
"183","2020-04-15",15.49
"184","2020-04-16",16.09
"185","2020-04-17",16.950001
"186","2020-04-20",17.57
"187","2020-04-21",17.200001
"188","2020-04-22",17.15
"189","2020-04-23",17.530001
"190","2020-04-24",19.35
"191","2020-04-27",19.52
"192","2020-04-28",18.24
"193","2020-04-29",19.4
"194","2020-04-30",19.459999
"195","2020-05-01",20.120001
"196","2020-05-04",20.99
"197","2020-05-05",21.610001
"198","2020-05-06",23.83
"199","2020-05-07",23.51
"200","2020-05-08",23.450001
"201","2020-05-11",24.459999
"202","2020-05-12",26.299999
"203","2020-05-13",25.855
"204","2020-05-14",25.309999
"205","2020-05-15",29.23
"206","2020-05-18",29.549999
"207","2020-05-19",29.57
"208","2020-05-20",29.690001
"209","2020-05-21",28.549999
"210","2020-05-22",29.110001
"211","2020-05-26",33.389999
"212","2020-05-27",35.150002
"213","2020-05-28",37.25
"214","2020-05-29",39.700001
"215","2020-06-01",43.700001
"216","2020-06-02",41.27
"217","2020-06-03",40.16
"218","2020-06-04",40.529999
"219","2020-06-05",39.34
"220","2020-06-08",38
"221","2020-06-09",39.41
"222","2020-06-10",39.110001
"223","2020-06-11",36.279999
"224","2020-06-12",36.880001
"225","2020-06-15",41.790001
"226","2020-06-16",40.57
"227","2020-06-17",40.720001
"228","2020-06-18",40.84
"229","2020-06-19",42
"230","2020-06-22",38.255001
"231","2020-06-23",37.990002
"232","2020-06-24",37.560001
"233","2020-06-25",36.07
"234","2020-06-26",33.34
"235","2020-06-29",33.540001
"236","2020-06-30",33.259998
"237","2020-07-01",33.869999
"238","2020-07-02",33.060001
"239","2020-07-06",32.419998
"240","2020-07-07",30.6
"241","2020-07-08",33.099998
"242","2020-07-09",32.82
"243","2020-07-10",32.43
"244","2020-07-13",29.5
"245","2020-07-14",30.215
"246","2020-07-15",32.560001
"247","2020-07-16",35.639999
"248","2020-07-17",35.360001
"249","2020-07-20",35.41
"250","2020-07-21",37.549999
"251","2020-07-22",37.75
"252","2020-07-23",36.209999
"253","2020-07-24",37.549999
"254","2020-07-27",35.115002
"255","2020-07-28",34.630001
"256","2020-07-29",35.889999
"257","2020-07-30",34.790001
"258","2020-07-31",33.375
"259","2020-08-03",32.950001
"260","2020-08-04",33.060001
"261","2020-08-05",32.549999
"262","2020-08-06",33.650002
"263","2020-08-07",34.09
"264","2020-08-10",31.610001
"265","2020-08-11",32.040001
"266","2020-08-12",33.740002
"267","2020-08-13",36.049999
"268","2020-08-14",33.91
"269","2020-08-17",34.68
"270","2020-08-18",37.209999
"271","2020-08-19",36.27
"272","2020-08-20",36.32
"273","2020-08-21",35.150002
"274","2020-08-24",35.810001
"275","2020-08-25",39.060001
"276","2020-08-26",38.860001
"277","2020-08-27",39.060001
"278","2020-08-28",36.32
"279","2020-08-31",35.360001
"280","2020-09-01",36.93
"281","2020-09-02",39.900002
"282","2020-09-03",38.27
"283","2020-09-04",37
"284","2020-09-08",37.009998
"285","2020-09-09",40.380001
"286","2020-09-10",42.540001
"287","2020-09-11",41.459999
"288","2020-09-14",48.619999
"289","2020-09-15",48.209999
"290","2020-09-16",51.029999
"291","2020-09-17",53.110001
"292","2020-09-18",55.389999
"293","2020-09-21",51.490002
"294","2020-09-22",53.939999
"295","2020-09-23",50.119999
"296","2020-09-24",50.57
"297","2020-09-25",53.189999
"298","2020-09-28",56.889999
"299","2020-09-29",55.740002
"300","2020-09-30",58.84
"301","2020-10-01",61.830002
"302","2020-10-02",63.779999
"303","2020-10-05",60.549999
"304","2020-10-06",56.779999
