"","date","DNK"
"1","2020-01-17",13.5
"2","2020-01-21",13.5
"3","2020-01-22",13.42
"4","2020-01-23",13.27
"5","2020-01-24",13.25
"6","2020-01-27",12.75
"7","2020-01-28",12.75
"8","2020-01-29",12.5
"9","2020-01-30",12.58
"10","2020-01-31",12.94
"11","2020-02-03",13.57
"12","2020-02-04",13.55
"13","2020-02-05",13.78
"14","2020-02-06",13.69
"15","2020-02-07",13.5
"16","2020-02-10",13.5
"17","2020-02-11",13.71
"18","2020-02-12",13.5
"19","2020-02-13",13.5
"20","2020-02-14",13.5
"21","2020-02-18",12.2
"22","2020-02-19",11.5
"23","2020-02-20",12.28
"24","2020-02-21",11.72
"25","2020-02-24",11.15
"26","2020-02-25",11.1
"27","2020-02-26",11.63
"28","2020-02-27",11.68
"29","2020-02-28",11.62
"30","2020-03-02",11.7
"31","2020-03-03",11.7
"32","2020-03-04",11.5
"33","2020-03-05",11.5
"34","2020-03-06",11.68
"35","2020-03-09",11.17
"36","2020-03-10",11.34
"37","2020-03-11",11.16
"38","2020-03-12",10.63
"39","2020-03-13",9.4
"40","2020-03-16",8.3
"41","2020-03-17",8.74
"42","2020-03-18",8
"43","2020-03-19",8.2
"44","2020-03-20",7.5
"45","2020-03-23",7.61
"46","2020-03-24",7.65
"47","2020-03-25",7.65
"48","2020-03-26",7.91
"49","2020-03-27",9
"50","2020-03-30",8.6
"51","2020-03-31",8.61
"52","2020-04-01",8.61
"53","2020-04-02",7.6
"54","2020-04-03",7.6
"55","2020-04-06",5.85
"56","2020-04-07",6.46
"57","2020-04-08",6.28
"58","2020-04-09",6.1
"59","2020-04-13",7.28
"60","2020-04-14",7.2
"61","2020-04-15",7.2
"62","2020-04-16",7.35
"63","2020-04-17",7.16
"64","2020-04-20",7.4
"65","2020-04-21",7.29
"66","2020-04-22",7
"67","2020-04-23",7
"68","2020-04-24",6.97
"69","2020-04-27",6.71
"70","2020-04-28",6.59
"71","2020-04-29",6.54
"72","2020-04-30",6.46
"73","2020-05-01",6.5
"74","2020-05-04",6.69
"75","2020-05-05",6.69
"76","2020-05-06",6.5
"77","2020-05-07",6.543
"78","2020-05-08",6.5
"79","2020-05-11",6.5
"80","2020-05-12",6.2
"81","2020-05-13",6.5
"82","2020-05-14",6.41
"83","2020-05-15",8
"84","2020-05-18",9.7
"85","2020-05-19",10.25
"86","2020-05-20",9.4
"87","2020-05-21",8.04
"88","2020-05-22",8
"89","2020-05-26",7.86
"90","2020-05-27",7.74
"91","2020-05-28",8
"92","2020-05-29",7.78
"93","2020-06-01",8.13
"94","2020-06-02",8.13
"95","2020-06-03",8.6
"96","2020-06-04",9.79
"97","2020-06-05",9.523
"98","2020-06-08",9.18
"99","2020-06-09",9.88
"100","2020-06-10",10.02
"101","2020-06-11",9.15
"102","2020-06-12",9.14
"103","2020-06-15",9.15
"104","2020-06-16",9.22
"105","2020-06-17",9.34
"106","2020-06-18",8.75
"107","2020-06-19",8.625
"108","2020-06-22",8.88
"109","2020-06-23",8.9
"110","2020-06-24",8.78
"111","2020-06-25",8.8
"112","2020-06-26",9.21
"113","2020-06-29",9.49
"114","2020-06-30",9.25
"115","2020-07-01",9.365
"116","2020-07-02",9.21
"117","2020-07-06",9.512
"118","2020-07-07",9.25
"119","2020-07-08",9.23
"120","2020-07-09",10.62
"121","2020-07-10",10.499
"122","2020-07-13",10.32
"123","2020-07-14",9.66
"124","2020-07-15",9.89
"125","2020-07-16",9.365
"126","2020-07-17",9.121
"127","2020-07-20",9.12
"128","2020-07-21",9.171
"129","2020-07-22",9
"130","2020-07-23",9
"131","2020-07-24",9.2
"132","2020-07-27",9
"133","2020-07-28",9.15
"134","2020-07-29",9.16
"135","2020-07-30",8.66
"136","2020-07-31",8.39
"137","2020-08-03",8.11
"138","2020-08-04",8.19
"139","2020-08-05",8.3
"140","2020-08-06",7.8
"141","2020-08-07",7.5
"142","2020-08-10",7.05
"143","2020-08-11",7.06
"144","2020-08-12",6.57
"145","2020-08-13",6.4
"146","2020-08-14",5.9
"147","2020-08-17",5.96
"148","2020-08-18",5.75
"149","2020-08-19",5.85
"150","2020-08-20",5.81
"151","2020-08-21",5.99
"152","2020-08-24",6.35
"153","2020-08-25",8.15
"154","2020-08-26",7.3
"155","2020-08-27",6.8
"156","2020-08-28",6.88
"157","2020-08-31",6.56
"158","2020-09-01",6.41
"159","2020-09-02",6.21
"160","2020-09-03",6.08
"161","2020-09-04",5.82
"162","2020-09-08",6.04
"163","2020-09-09",5.89
"164","2020-09-10",5.76
"165","2020-09-11",5.789
"166","2020-09-14",6
"167","2020-09-15",5.8
"168","2020-09-16",5.73
"169","2020-09-17",5.73
"170","2020-09-18",5.76
"171","2020-09-21",5.58
"172","2020-09-22",5.2
"173","2020-09-23",4.6
"174","2020-09-24",4.54
"175","2020-09-25",4.36
"176","2020-09-28",4.22
"177","2020-09-29",4.31
"178","2020-09-30",4.11
"179","2020-10-01",4.169
"180","2020-10-02",3.9
"181","2020-10-05",3.71
"182","2020-10-06",3.51
"183","2020-10-07",3.43
"184","2020-10-08",3.26
"185","2020-10-09",3.18
"186","2020-10-12",3.37
"187","2020-10-13",3.3
"188","2020-10-14",3.24
"189","2020-10-15",3.16
