"","date","DRTT"
"1","2014-01-28",2.415
"2","2014-01-29",2.415
"3","2014-01-30",2.399
"4","2014-01-31",2.399
"5","2014-02-03",2.399
"6","2014-02-04",2.399
"7","2014-02-05",2.3
"8","2014-02-06",2.3
"9","2014-02-07",2.3
"10","2014-02-10",2.3
"11","2014-02-11",2.3
"12","2014-02-12",2.3
"13","2014-02-13",2.3
"14","2014-02-14",2.3
"15","2014-02-18",2.3
"16","2014-02-19",2.991
"17","2014-02-20",2.96
"18","2014-02-21",2.954
"19","2014-02-24",2.954
"20","2014-02-25",2.954
"21","2014-02-26",2.954
"22","2014-02-27",2.954
"23","2014-02-28",2.954
"24","2014-03-03",2.954
"25","2014-03-04",2.954
"26","2014-03-05",2.954
"27","2014-03-06",2.922
"28","2014-03-07",2.835
"29","2014-03-10",2.835
"30","2014-03-11",2.835
"31","2014-03-12",2.835
"32","2014-03-13",2.835
"33","2014-03-14",2.895
"34","2014-03-17",2.895
"35","2014-03-18",2.895
"36","2014-03-19",2.895
"37","2014-03-20",2.895
"38","2014-03-21",2.895
"39","2014-03-24",2.895
"40","2014-03-25",2.895
"41","2014-03-26",2.895
"42","2014-03-27",2.895
"43","2014-03-28",2.895
"44","2014-03-31",2.895
"45","2014-04-01",2.895
"46","2014-04-02",2.895
"47","2014-04-03",2.895
"48","2014-04-04",2.89
"49","2014-04-07",2.89
"50","2014-04-08",2.765
"51","2014-04-09",2.765
"52","2014-04-10",2.762
"53","2014-04-11",2.771
"54","2014-04-14",2.742
"55","2014-04-15",2.742
"56","2014-04-16",2.985
"57","2014-04-17",3.08
"58","2014-04-21",3.08
"59","2014-04-22",3.08
"60","2014-04-23",3.08
"61","2014-04-24",3.08
"62","2014-04-25",3.08
"63","2014-04-28",3.08
"64","2014-04-29",3.08
"65","2014-04-30",3.08
"66","2014-05-01",3.08
"67","2014-05-02",3.08
"68","2014-05-05",3.08
"69","2014-05-06",2.992
"70","2014-05-07",2.992
"71","2014-05-08",2.992
"72","2014-05-09",3.163
"73","2014-05-12",3.163
"74","2014-05-13",3.163
"75","2014-05-14",3.163
"76","2014-05-15",2.715
"77","2014-05-16",2.715
"78","2014-05-19",2.715
"79","2014-05-20",2.757
"80","2014-05-21",2.704
"81","2014-05-22",2.704
"82","2014-05-23",2.704
"83","2014-05-27",2.694
"84","2014-05-28",2.694
"85","2014-05-29",2.694
"86","2014-05-30",2.696
"87","2014-06-02",2.544
"88","2014-06-03",2.544
"89","2014-06-04",2.544
"90","2014-06-05",2.544
"91","2014-06-06",2.907
"92","2014-06-09",2.907
"93","2014-06-10",2.907
"94","2014-06-11",2.907
"95","2014-06-12",2.907
"96","2014-06-13",2.907
"97","2014-06-16",2.907
"98","2014-06-17",2.989
"99","2014-06-18",2.989
"100","2014-06-19",2.989
"101","2014-06-20",3.165
"102","2014-06-23",3.165
"103","2014-06-24",3.165
"104","2014-06-25",3.165
"105","2014-06-26",3.612
"106","2014-06-27",3.612
"107","2014-06-30",3.288
"108","2014-07-01",3.288
