"","date","DSPG"
"1","2007-01-03",21.85
"2","2007-01-04",22.17
"3","2007-01-05",21.75
"4","2007-01-08",21.440001
"5","2007-01-09",21.76
"6","2007-01-10",21.780001
"7","2007-01-11",22
"8","2007-01-12",22.34
"9","2007-01-16",22.16
"10","2007-01-17",21.799999
"11","2007-01-18",21.120001
"12","2007-01-19",21.41
"13","2007-01-22",21.4
"14","2007-01-23",21.83
"15","2007-01-24",21.700001
"16","2007-01-25",20.98
"17","2007-01-26",20.99
"18","2007-01-29",20.889999
"19","2007-01-30",21.040001
"20","2007-01-31",20.98
"21","2007-02-01",21.32
"22","2007-02-02",21.450001
"23","2007-02-05",21.16
"24","2007-02-06",21.27
"25","2007-02-07",21.27
"26","2007-02-08",21.25
"27","2007-02-09",21.07
"28","2007-02-12",20.709999
"29","2007-02-13",20.690001
"30","2007-02-14",20.68
"31","2007-02-15",20.620001
"32","2007-02-16",20.719999
"33","2007-02-20",20.950001
"34","2007-02-21",20.870001
"35","2007-02-22",20.790001
"36","2007-02-23",21.08
"37","2007-02-26",21.049999
"38","2007-02-27",20.639999
"39","2007-02-28",20.59
"40","2007-03-01",20.280001
"41","2007-03-02",19.780001
"42","2007-03-05",19.530001
"43","2007-03-06",19.620001
"44","2007-03-07",19.299999
"45","2007-03-08",19.360001
"46","2007-03-09",19.43
"47","2007-03-12",19.469999
"48","2007-03-13",19.040001
"49","2007-03-14",19.190001
"50","2007-03-15",19.09
"51","2007-03-16",19.049999
"52","2007-03-19",18.93
"53","2007-03-20",18.93
"54","2007-03-21",18.969999
"55","2007-03-22",19
"56","2007-03-23",18.889999
"57","2007-03-26",19.18
"58","2007-03-27",19.24
"59","2007-03-28",19.07
"60","2007-03-29",19.01
"61","2007-03-30",19
"62","2007-04-02",19
"63","2007-04-03",18.98
"64","2007-04-04",19
"65","2007-04-05",19.209999
"66","2007-04-09",19.200001
"67","2007-04-10",19.4
"68","2007-04-11",19.35
"69","2007-04-12",19.58
"70","2007-04-13",19.440001
"71","2007-04-16",19.65
"72","2007-04-17",19.75
"73","2007-04-18",19.91
"74","2007-04-19",19.92
"75","2007-04-20",20
"76","2007-04-23",19.790001
"77","2007-04-24",19.860001
"78","2007-04-25",19.959999
"79","2007-04-26",18.969999
"80","2007-04-27",18.83
"81","2007-04-30",18.469999
"82","2007-05-01",18.26
"83","2007-05-02",18.379999
"84","2007-05-03",18.469999
"85","2007-05-04",18.75
"86","2007-05-07",18.450001
"87","2007-05-08",18.25
"88","2007-05-09",18.040001
"89","2007-05-10",17.719999
"90","2007-05-11",17.799999
"91","2007-05-14",20.299999
"92","2007-05-15",20.99
"93","2007-05-16",21.299999
"94","2007-05-17",21.469999
"95","2007-05-18",21.719999
"96","2007-05-21",21.799999
"97","2007-05-22",21.76
"98","2007-05-23",21.48
"99","2007-05-24",21.309999
"100","2007-05-25",21.5
"101","2007-05-29",21.370001
"102","2007-05-30",21.49
"103","2007-05-31",21.790001
"104","2007-06-01",21.83
"105","2007-06-04",21.99
"106","2007-06-05",21.82
"107","2007-06-06",22.120001
"108","2007-06-07",21.68
"109","2007-06-08",21.959999
"110","2007-06-11",21.77
"111","2007-06-12",21.32
"112","2007-06-13",21.51
"113","2007-06-14",21.860001
"114","2007-06-15",22.129999
"115","2007-06-18",21.85
"116","2007-06-19",21.6
"117","2007-06-20",21.309999
"118","2007-06-21",21.389999
"119","2007-06-22",20.82
"120","2007-06-25",20.780001
"121","2007-06-26",20.700001
"122","2007-06-27",20.889999
"123","2007-06-28",20.6
"124","2007-06-29",20.469999
"125","2007-07-02",20.870001
"126","2007-07-03",20.969999
"127","2007-07-05",20.799999
"128","2007-07-06",20.84
"129","2007-07-09",20.700001
"130","2007-07-10",20.469999
"131","2007-07-11",20.370001
"132","2007-07-12",20.41
"133","2007-07-13",20.32
"134","2007-07-16",20.26
"135","2007-07-17",20.42
"136","2007-07-18",20.309999
"137","2007-07-19",20.370001
"138","2007-07-20",20.01
"139","2007-07-23",18.309999
"140","2007-07-24",18.129999
"141","2007-07-25",18.08
"142","2007-07-26",18.01
"143","2007-07-27",17.860001
"144","2007-07-30",17.940001
"145","2007-07-31",17.82
"146","2007-08-01",17.780001
"147","2007-08-02",17.860001
"148","2007-08-03",17.200001
"149","2007-08-06",16.790001
"150","2007-08-07",16.25
"151","2007-08-08",16.59
"152","2007-08-09",16.02
"153","2007-08-10",16.16
"154","2007-08-13",16.629999
"155","2007-08-14",16.290001
"156","2007-08-15",15.99
"157","2007-08-16",16.370001
"158","2007-08-17",16.4
"159","2007-08-20",16.42
"160","2007-08-21",16.49
"161","2007-08-22",16.549999
"162","2007-08-23",16.58
"163","2007-08-24",17.299999
"164","2007-08-27",16.969999
"165","2007-08-28",16.65
"166","2007-08-29",16.879999
"167","2007-08-30",16.85
"168","2007-08-31",17.43
"169","2007-09-04",17.17
"170","2007-09-05",17.049999
"171","2007-09-06",17.15
"172","2007-09-07",16.780001
"173","2007-09-10",16.639999
"174","2007-09-11",16.65
"175","2007-09-12",16.700001
"176","2007-09-13",16.530001
"177","2007-09-14",16.48
"178","2007-09-17",16.23
"179","2007-09-18",16.559999
"180","2007-09-19",16.530001
"181","2007-09-20",16.379999
"182","2007-09-21",16.42
"183","2007-09-24",16.16
"184","2007-09-25",16.01
"185","2007-09-26",16.049999
"186","2007-09-27",16.08
"187","2007-09-28",15.83
"188","2007-10-01",16
"189","2007-10-02",15.99
"190","2007-10-03",15.78
"191","2007-10-04",16.01
"192","2007-10-05",16.09
"193","2007-10-08",15.99
"194","2007-10-09",16.1
"195","2007-10-10",16.299999
"196","2007-10-11",16
"197","2007-10-12",16.27
"198","2007-10-15",16
"199","2007-10-16",15.91
"200","2007-10-17",15.88
"201","2007-10-18",15.76
"202","2007-10-19",15.49
"203","2007-10-22",15.46
"204","2007-10-23",15.47
"205","2007-10-24",15.08
"206","2007-10-25",14.82
"207","2007-10-26",14.97
"208","2007-10-29",14.91
"209","2007-10-30",15.15
"210","2007-10-31",15.79
"211","2007-11-01",14.99
"212","2007-11-02",15.15
"213","2007-11-05",15.53
"214","2007-11-06",15.9
"215","2007-11-07",15.02
"216","2007-11-08",15.01
"217","2007-11-09",14.8
"218","2007-11-12",14.67
"219","2007-11-13",15.09
"220","2007-11-14",14.85
"221","2007-11-15",14.75
"222","2007-11-16",14.84
"223","2007-11-19",14.6
"224","2007-11-20",14.9
"225","2007-11-21",14.36
"226","2007-11-23",14.54
"227","2007-11-26",14
"228","2007-11-27",13.96
"229","2007-11-28",14.82
"230","2007-11-29",14.35
"231","2007-11-30",13.53
"232","2007-12-03",13.46
"233","2007-12-04",13.05
"234","2007-12-05",13.3
"235","2007-12-06",13.52
"236","2007-12-07",13.42
"237","2007-12-10",13.16
"238","2007-12-11",12.84
"239","2007-12-12",12.95
"240","2007-12-13",12.54
"241","2007-12-14",12.08
"242","2007-12-17",11.75
"243","2007-12-18",12.02
"244","2007-12-19",12.03
"245","2007-12-20",12.4
"246","2007-12-21",12.81
"247","2007-12-24",12.74
"248","2007-12-26",13.03
"249","2007-12-27",12.4
"250","2007-12-28",12.27
"251","2007-12-31",12.2
"252","2008-01-02",11.63
"253","2008-01-03",11.26
"254","2008-01-04",10.91
"255","2008-01-07",10.8
"256","2008-01-08",10.83
"257","2008-01-09",10.99
"258","2008-01-10",10.83
"259","2008-01-11",9.98
"260","2008-01-14",10.3
"261","2008-01-15",10.01
"262","2008-01-16",9.47
"263","2008-01-17",9.69
"264","2008-01-18",9.83
"265","2008-01-22",9.81
"266","2008-01-23",10.29
"267","2008-01-24",10.24
"268","2008-01-25",10.09
"269","2008-01-28",10.52
"270","2008-01-29",9.92
"271","2008-01-30",10.23
"272","2008-01-31",11.45
"273","2008-02-01",11.47
"274","2008-02-04",11.23
"275","2008-02-05",11.2
"276","2008-02-06",10.99
"277","2008-02-07",11.64
"278","2008-02-08",11.44
"279","2008-02-11",11.63
"280","2008-02-12",11.67
"281","2008-02-13",11.83
"282","2008-02-14",11.88
"283","2008-02-15",11.76
"284","2008-02-19",11.71
"285","2008-02-20",11.86
"286","2008-02-21",11.76
"287","2008-02-22",11.78
"288","2008-02-25",12.03
"289","2008-02-26",12.2
"290","2008-02-27",12.02
"291","2008-02-28",11.79
"292","2008-02-29",11.6
"293","2008-03-03",11.96
"294","2008-03-04",11.72
"295","2008-03-05",11.48
"296","2008-03-06",11.29
"297","2008-03-07",11.46
"298","2008-03-10",11.57
