"","date","DXC"
"1","2007-01-03",25.804501
"2","2007-01-04",25.734947
"3","2007-01-05",25.749851
"4","2007-01-08",25.908831
"5","2007-01-09",25.779659
"6","2007-01-10",25.665392
"7","2007-01-11",25.600807
"8","2007-01-12",25.451763
"9","2007-01-16",25.516348
"10","2007-01-17",25.839277
"11","2007-01-18",25.893927
"12","2007-01-19",25.729979
"13","2007-01-22",25.441826
"14","2007-01-23",25.511381
"15","2007-01-24",25.625647
"16","2007-01-25",25.958513
"17","2007-01-26",26.152269
"18","2007-01-29",26.003225
"19","2007-01-30",26.042971
"20","2007-01-31",26.062843
"21","2007-02-01",26.405645
"22","2007-02-02",26.763351
"23","2007-02-05",26.519913
"24","2007-02-06",26.450357
"25","2007-02-07",27.175705
"26","2007-02-08",27.046534
"27","2007-02-09",26.852777
"28","2007-02-12",26.619274
"29","2007-02-13",27.011757
"30","2007-02-14",26.922331
"31","2007-02-15",27.00679
"32","2007-02-16",27.170738
"33","2007-02-20",27.101183
"34","2007-02-21",27.026661
"35","2007-02-22",27.021694
"36","2007-02-23",26.818001
"37","2007-02-26",26.659019
"38","2007-02-27",26.082716
"39","2007-02-28",26.296347
"40","2007-03-01",25.908831
"41","2007-03-02",25.729979
"42","2007-03-05",25.536221
"43","2007-03-06",25.625647
"44","2007-03-07",25.501444
"45","2007-03-08",25.610743
"46","2007-03-09",25.710106
"47","2007-03-12",25.556093
"48","2007-03-13",25.3524
"49","2007-03-14",25.402081
"50","2007-03-15",25.45673
"51","2007-03-16",25.158642
"52","2007-03-19",25.29775
"53","2007-03-20",25.893927
"54","2007-03-21",26.057875
"55","2007-03-22",26.206919
"56","2007-03-23",26.038002
"57","2007-03-26",25.96348
"58","2007-03-27",25.913799
"59","2007-03-28",25.834309
"60","2007-03-29",25.988321
"61","2007-03-30",25.898895
"62","2007-04-02",25.695202
"63","2007-04-03",26.728573
"64","2007-04-04",26.7087
"65","2007-04-05",26.728573
"66","2007-04-09",26.60437
"67","2007-04-10",26.256601
"68","2007-04-11",26.654051
"69","2007-04-12",26.867682
"70","2007-04-13",26.723606
"71","2007-04-16",26.673923
"72","2007-04-17",26.877617
"73","2007-04-18",26.97698
"74","2007-04-19",27.106152
"75","2007-04-20",27.225388
"76","2007-04-23",27.260164
"77","2007-04-24",27.503603
"78","2007-04-25",27.80666
"79","2007-04-26",27.737104
"80","2007-04-27",28.005384
"81","2007-04-30",27.593029
"82","2007-05-01",27.930862
"83","2007-05-02",27.747042
"84","2007-05-03",27.602966
"85","2007-05-04",27.652647
"86","2007-05-07",27.662582
"87","2007-05-08",27.2701
"88","2007-05-09",27.667551
"89","2007-05-10",27.240292
"90","2007-05-11",28.035194
"91","2007-05-14",27.781818
"92","2007-05-15",27.881182
"93","2007-05-16",28.576721
"94","2007-05-17",28.253792
"95","2007-05-18",28.482327
"96","2007-05-21",28.348186
"97","2007-05-22",28.68602
"98","2007-05-23",27.846405
"99","2007-05-24",27.717234
"100","2007-05-25",28.065002
"101","2007-05-29",27.801691
"102","2007-05-30",28.159397
"103","2007-05-31",27.523476
"104","2007-06-01",27.846405
"105","2007-06-04",27.985512
"106","2007-06-05",28.298504
"107","2007-06-06",27.632774
"108","2007-06-07",27.523476
"109","2007-06-08",27.811626
"110","2007-06-11",27.622839
"111","2007-06-12",27.195578
"112","2007-06-13",27.836468
"113","2007-06-14",27.250229
"114","2007-06-15",27.399273
"115","2007-06-18",27.439016
"116","2007-06-19",28.422709
"117","2007-06-20",28.517103
"118","2007-06-21",28.636337
"119","2007-06-22",28.591625
"120","2007-06-25",29.19277
"121","2007-06-26",28.919521
"122","2007-06-27",29.490858
"123","2007-06-28",29.461048
"124","2007-06-29",29.386526
"125","2007-07-02",29.446144
"126","2007-07-03",29.302069
"127","2007-07-05",29.634933
"128","2007-07-06",29.644869
"129","2007-07-09",30.459644
"130","2007-07-10",29.585253
"131","2007-07-11",29.709455
"132","2007-07-12",30.032385
"133","2007-07-13",29.888308
"134","2007-07-16",29.933022
"135","2007-07-17",30.593784
"136","2007-07-18",30.613657
"137","2007-07-19",30.698114
"138","2007-07-20",30.494421
"139","2007-07-23",30.509325
"140","2007-07-24",30.350346
"141","2007-07-25",30.275824
"142","2007-07-26",28.740669
"143","2007-07-27",28.09481
"144","2007-07-30",27.846405
"145","2007-07-31",27.662582
"146","2007-08-01",28.020288
"147","2007-08-02",28.010353
"148","2007-08-03",26.803095
"149","2007-08-06",26.798128
"150","2007-08-07",26.644115
"151","2007-08-08",26.321186
"152","2007-08-09",24.800938
"153","2007-08-10",26.226791
"154","2007-08-13",28.651243
"155","2007-08-14",27.632774
"156","2007-08-15",26.818001
"157","2007-08-16",26.703733
