"","date","ECOR"
"1","2018-06-22",19.85
"2","2018-06-25",18.6
"3","2018-06-26",18.309999
"4","2018-06-27",18.07
"5","2018-06-28",17.459999
"6","2018-06-29",16.51
"7","2018-07-02",15.5
"8","2018-07-03",15.57
"9","2018-07-05",15.88
"10","2018-07-06",15.7
"11","2018-07-09",14.35
"12","2018-07-10",14.11
"13","2018-07-11",13.56
"14","2018-07-12",14.5
"15","2018-07-13",14.9
"16","2018-07-16",14.64
"17","2018-07-17",15.95
"18","2018-07-18",16.200001
"19","2018-07-19",15.84
"20","2018-07-20",15.33
"21","2018-07-23",14.8
"22","2018-07-24",14.65
"23","2018-07-25",14.5
"24","2018-07-26",14.1
"25","2018-07-27",13.73
"26","2018-07-30",13.49
"27","2018-07-31",13.5
"28","2018-08-01",13.28
"29","2018-08-02",13.5
"30","2018-08-03",13.46
"31","2018-08-06",13.14
"32","2018-08-07",13.19
"33","2018-08-08",13.28
"34","2018-08-09",13.02
"35","2018-08-10",13.16
"36","2018-08-13",13.95
"37","2018-08-14",13.62
"38","2018-08-15",13.15
"39","2018-08-16",13.65
"40","2018-08-17",13.56
"41","2018-08-20",13.85
"42","2018-08-21",13.86
"43","2018-08-22",14.72
"44","2018-08-23",15.06
"45","2018-08-24",14.39
"46","2018-08-27",13.6
"47","2018-08-28",13.59
"48","2018-08-29",14.12
"49","2018-08-30",16.190001
"50","2018-08-31",16.299999
"51","2018-09-04",17.200001
"52","2018-09-05",17.049999
"53","2018-09-06",17.08
"54","2018-09-07",17.469999
"55","2018-09-10",17.42
"56","2018-09-11",17.540001
"57","2018-09-12",16.959999
"58","2018-09-13",16.85
"59","2018-09-14",15.81
"60","2018-09-17",14.32
"61","2018-09-18",14.41
"62","2018-09-19",13.93
"63","2018-09-20",13.74
"64","2018-09-21",13.8
"65","2018-09-24",14.41
"66","2018-09-25",14.48
"67","2018-09-26",14.27
"68","2018-09-27",14
"69","2018-09-28",14
"70","2018-10-01",14.28
"71","2018-10-02",14.17
"72","2018-10-03",14.17
"73","2018-10-04",13.39
"74","2018-10-05",13.32
"75","2018-10-08",13.23
"76","2018-10-09",13.11
"77","2018-10-10",12.87
"78","2018-10-11",12.34
"79","2018-10-12",11.78
