"","date","EGOV"
"1","2007-01-03",5.06
"2","2007-01-04",5.12
"3","2007-01-05",5
"4","2007-01-08",5.01
"5","2007-01-09",5.01
"6","2007-01-10",5.06
"7","2007-01-11",5.17
"8","2007-01-12",5.23
"9","2007-01-16",5.15
"10","2007-01-17",5.11
"11","2007-01-18",5.08
"12","2007-01-19",5.16
"13","2007-01-22",5.07
"14","2007-01-23",5.08
"15","2007-01-24",5.14
"16","2007-01-25",5.12
"17","2007-01-26",5.17
"18","2007-01-29",5.27
"19","2007-01-30",5.27
"20","2007-01-31",5.35
"21","2007-02-01",5.6
"22","2007-02-02",5.56
"23","2007-02-05",5.59
"24","2007-02-06",5.66
"25","2007-02-07",5.77
"26","2007-02-08",5.32
"27","2007-02-09",5.38
"28","2007-02-12",5.21
"29","2007-02-13",5.32
"30","2007-02-14",5.4
"31","2007-02-15",5.51
"32","2007-02-16",5.48
"33","2007-02-20",5.5
"34","2007-02-21",5.49
"35","2007-02-22",5.52
"36","2007-02-23",5.38
"37","2007-02-26",5.4
"38","2007-02-27",5.26
"39","2007-02-28",5.29
"40","2007-03-01",5.31
"41","2007-03-02",5.25
"42","2007-03-05",5.23
"43","2007-03-06",5.25
"44","2007-03-07",5.31
"45","2007-03-08",5.36
"46","2007-03-09",5.37
"47","2007-03-12",5.4
"48","2007-03-13",5.41
"49","2007-03-14",5.39
"50","2007-03-15",5.31
"51","2007-03-16",5.32
"52","2007-03-19",5.37
"53","2007-03-20",5.36
"54","2007-03-21",5.46
"55","2007-03-22",5.46
"56","2007-03-23",5.41
"57","2007-03-26",5.46
"58","2007-03-27",5.42
"59","2007-03-28",5.32
"60","2007-03-29",5.31
"61","2007-03-30",5.36
"62","2007-04-02",5.34
"63","2007-04-03",5.3
"64","2007-04-04",5.33
"65","2007-04-05",5.34
"66","2007-04-09",5.28
"67","2007-04-10",5.33
"68","2007-04-11",5.36
"69","2007-04-12",5.39
"70","2007-04-13",5.7
"71","2007-04-16",5.84
"72","2007-04-17",5.88
"73","2007-04-18",5.62
"74","2007-04-19",5.56
"75","2007-04-20",5.7
"76","2007-04-23",5.62
"77","2007-04-24",5.77
"78","2007-04-25",5.76
"79","2007-04-26",5.75
"80","2007-04-27",5.8
"81","2007-04-30",5.68
"82","2007-05-01",5.79
"83","2007-05-02",5.71
"84","2007-05-03",5.6
"85","2007-05-04",5.63
"86","2007-05-07",5.71
"87","2007-05-08",5.67
"88","2007-05-09",5.59
"89","2007-05-10",5.48
"90","2007-05-11",5.57
"91","2007-05-14",5.42
"92","2007-05-15",5.33
"93","2007-05-16",5.54
"94","2007-05-17",5.41
"95","2007-05-18",5.48
"96","2007-05-21",5.73
"97","2007-05-22",5.73
"98","2007-05-23",5.72
"99","2007-05-24",5.73
"100","2007-05-25",5.71
"101","2007-05-29",5.67
"102","2007-05-30",5.6
"103","2007-05-31",5.65
"104","2007-06-01",5.7
