"","date","EIGI"
"1","2013-10-25",11.25
"2","2013-10-28",11.56
"3","2013-10-29",11.65
"4","2013-10-30",11.4
"5","2013-10-31",10.98
"6","2013-11-01",10.99
"7","2013-11-04",10.97
"8","2013-11-05",10.92
"9","2013-11-06",10.85
"10","2013-11-07",11.04
"11","2013-11-08",11.02
"12","2013-11-11",11.05
"13","2013-11-12",11.14
"14","2013-11-13",11.2
"15","2013-11-14",11.35
"16","2013-11-15",11.52
"17","2013-11-18",11.86
"18","2013-11-19",12.26
"19","2013-11-20",12.05
"20","2013-11-21",12.5
"21","2013-11-22",12.41
"22","2013-11-25",12.75
"23","2013-11-26",13.4
"24","2013-11-27",14.16
"25","2013-11-29",14.29
"26","2013-12-02",14.16
"27","2013-12-03",13.95
"28","2013-12-04",13.63
"29","2013-12-05",14.36
"30","2013-12-06",14.43
"31","2013-12-09",13.84
"32","2013-12-10",13.09
"33","2013-12-11",12.75
"34","2013-12-12",12.98
"35","2013-12-13",12.92
"36","2013-12-16",13.81
"37","2013-12-17",13.92
"38","2013-12-18",14.03
"39","2013-12-19",13.6
"40","2013-12-20",14.2
"41","2013-12-23",14.24
"42","2013-12-24",14.35
"43","2013-12-26",14.38
"44","2013-12-27",14.55
"45","2013-12-30",14.37
"46","2013-12-31",14.18
"47","2014-01-02",13.92
"48","2014-01-03",13.95
"49","2014-01-06",13.96
"50","2014-01-07",13.9
"51","2014-01-08",13.62
"52","2014-01-09",13.65
"53","2014-01-10",13.48
"54","2014-01-13",13.26
"55","2014-01-14",13.7
"56","2014-01-15",13.45
"57","2014-01-16",13.07
"58","2014-01-17",12.94
"59","2014-01-21",12.97
"60","2014-01-22",12.82
"61","2014-01-23",11.99
"62","2014-01-24",11.95
"63","2014-01-27",11.39
"64","2014-01-28",11.3
"65","2014-01-29",11.16
"66","2014-01-30",11.31
"67","2014-01-31",11.48
"68","2014-02-03",12.12
"69","2014-02-04",12.39
"70","2014-02-05",12.22
"71","2014-02-06",12.06
"72","2014-02-07",12.33
"73","2014-02-10",12.3
"74","2014-02-11",12.51
"75","2014-02-12",12.66
"76","2014-02-13",13.01
"77","2014-02-14",13.13
"78","2014-02-18",13.42
"79","2014-02-19",13.35
"80","2014-02-20",13.59
"81","2014-02-21",13.52
"82","2014-02-24",13.95
"83","2014-02-25",13.87
"84","2014-02-26",14.28
"85","2014-02-27",15.41
"86","2014-02-28",15.09
"87","2014-03-03",15.1
"88","2014-03-04",15.63
"89","2014-03-05",15.85
"90","2014-03-06",15.58
"91","2014-03-07",15.7
