"","date","EIGR"
"1","2014-01-30",122.699997
"2","2014-01-31",127.050003
"3","2014-02-03",120
"4","2014-02-04",112.5
"5","2014-02-05",115.5
"6","2014-02-06",117.900002
"7","2014-02-07",112.949997
"8","2014-02-10",112.650002
"9","2014-02-11",115.349998
"10","2014-02-12",113.400002
"11","2014-02-13",114
"12","2014-02-14",113.25
"13","2014-02-18",112.5
"14","2014-02-19",112.5
"15","2014-02-20",113.400002
"16","2014-02-21",113.550003
"17","2014-02-24",142.5
"18","2014-02-25",161.850006
"19","2014-02-26",171.149994
"20","2014-02-27",188.100006
"21","2014-02-28",169.5
"22","2014-03-03",162.600006
"23","2014-03-04",177.449997
"24","2014-03-05",169.5
"25","2014-03-06",173.100006
"26","2014-03-07",172.5
"27","2014-03-10",173.850006
"28","2014-03-11",184.050003
"29","2014-03-12",203.100006
"30","2014-03-13",219.899994
"31","2014-03-14",237.600006
"32","2014-03-17",212.850006
"33","2014-03-18",204.300003
"34","2014-03-19",188.699997
"35","2014-03-20",198
"36","2014-03-21",196.649994
"37","2014-03-24",175.199997
"38","2014-03-25",182.25
"39","2014-03-26",171.899994
"40","2014-03-27",183.600006
"41","2014-03-28",168.899994
"42","2014-03-31",178.800003
"43","2014-04-01",172.199997
"44","2014-04-02",166.050003
"45","2014-04-03",145.5
"46","2014-04-04",149.699997
"47","2014-04-07",138.149994
"48","2014-04-08",157.350006
"49","2014-04-09",159.75
"50","2014-04-10",178.050003
"51","2014-04-11",185.699997
"52","2014-04-14",181.350006
"53","2014-04-15",175.199997
"54","2014-04-16",172.5
"55","2014-04-17",179.100006
"56","2014-04-21",187.949997
"57","2014-04-22",186.300003
"58","2014-04-23",176.399994
"59","2014-04-24",178.199997
"60","2014-04-25",174
"61","2014-04-28",171.449997
"62","2014-04-29",176.25
"63","2014-04-30",176.25
"64","2014-05-01",173.550003
"65","2014-05-02",171.300003
"66","2014-05-05",171
"67","2014-05-06",157.800003
"68","2014-05-07",151.050003
"69","2014-05-08",145.5
"70","2014-05-09",154.5
"71","2014-05-12",170.399994
"72","2014-05-13",158.550003
"73","2014-05-14",150.899994
"74","2014-05-15",144.300003
"75","2014-05-16",143.25
"76","2014-05-19",146.399994
"77","2014-05-20",143.699997
"78","2014-05-21",133.949997
"79","2014-05-22",130.949997
"80","2014-05-23",135.899994
"81","2014-05-27",137.699997
"82","2014-05-28",138.899994
"83","2014-05-29",135.449997
"84","2014-05-30",133.949997
"85","2014-06-02",123.599998
