"","date","EKSO"
"1","2014-01-17",257.25
"2","2014-01-21",278.25
"3","2014-01-22",278.25
"4","2014-01-23",248.850006
"5","2014-01-24",266.700012
"6","2014-01-27",273
"7","2014-01-28",262.5
"8","2014-01-29",273
"9","2014-01-30",256.200012
"10","2014-01-31",257.25
"11","2014-02-03",246.75
"12","2014-02-04",252
"13","2014-02-05",262.5
"14","2014-02-06",308.700012
"15","2014-02-07",333.899994
"16","2014-02-10",315
"17","2014-02-11",312.899994
"18","2014-02-12",315
"19","2014-02-13",315
"20","2014-02-14",299.25
"21","2014-02-18",315
"22","2014-02-19",346.5
"23","2014-02-20",400.049988
"24","2014-02-21",544.950012
"25","2014-02-24",803.25
"26","2014-02-25",625.799988
"27","2014-02-26",672
"28","2014-02-27",682.5
"29","2014-02-28",630
"30","2014-03-03",557.549988
"31","2014-03-04",540.75
"32","2014-03-05",567
"33","2014-03-06",605.849976
"34","2014-03-07",567
"35","2014-03-10",543.900024
"36","2014-03-11",509.25
"37","2014-03-12",476.700012
"38","2014-03-13",472.5
"39","2014-03-14",464.100006
"40","2014-03-17",467.25
"41","2014-03-18",522.900024
"42","2014-03-19",467.25
"43","2014-03-20",446.25
"44","2014-03-21",408.450012
"45","2014-03-24",374.850006
"46","2014-03-25",361.200012
"47","2014-03-26",343.350006
"48","2014-03-27",346.5
"49","2014-03-28",346.5
"50","2014-03-31",334.950012
"51","2014-04-01",340.200012
"52","2014-04-02",330.75
"53","2014-04-03",325.5
"54","2014-04-04",315
"55","2014-04-07",283.5
"56","2014-04-08",273
"57","2014-04-09",263.549988
"58","2014-04-10",263.549988
"59","2014-04-11",238.350006
"60","2014-04-14",242.550003
"61","2014-04-15",245.699997
"62","2014-04-16",257.25
"63","2014-04-17",278.25
"64","2014-04-21",265.649994
"65","2014-04-22",281.399994
"66","2014-04-23",294
"67","2014-04-24",367.5
"68","2014-04-25",325.5
"69","2014-04-28",298.200012
"70","2014-04-29",294
"71","2014-04-30",299.25
"72","2014-05-01",294
"73","2014-05-02",286.649994
"74","2014-05-05",277.200012
"75","2014-05-06",297.149994
"76","2014-05-07",275.100006
"77","2014-05-08",273
"78","2014-05-09",261.450012
"79","2014-05-12",241.5
"80","2014-05-13",247.800003
"81","2014-05-14",256.200012
"82","2014-05-15",255.149994
"83","2014-05-16",252
"84","2014-05-19",256.200012
"85","2014-05-20",241.5
"86","2014-05-21",225.75
"87","2014-05-22",235.199997
"88","2014-05-23",235.199997
"89","2014-05-27",231
"90","2014-05-28",241.5
"91","2014-05-29",244.649994
"92","2014-05-30",273
"93","2014-06-02",299.25
"94","2014-06-03",294
"95","2014-06-04",292.950012
"96","2014-06-05",304.5
"97","2014-06-06",299.25
"98","2014-06-09",299.25
"99","2014-06-10",283.5
"100","2014-06-11",282.450012
"101","2014-06-12",282.450012
"102","2014-06-13",283.5
"103","2014-06-16",241.5
"104","2014-06-17",239.399994
"105","2014-06-18",229.949997
"106","2014-06-19",234.149994
"107","2014-06-20",237.300003
"108","2014-06-23",176.399994
"109","2014-06-24",164.429993
"110","2014-06-25",173.25
"111","2014-06-26",168
"112","2014-06-27",163.800003
"113","2014-06-30",154.350006
"114","2014-07-01",154.350006
"115","2014-07-02",153.300003
"116","2014-07-03",149.100006
"117","2014-07-07",159.600006
"118","2014-07-08",154.350006
"119","2014-07-09",149.100006
"120","2014-07-10",152.25
"121","2014-07-11",155.399994
"122","2014-07-14",141.75
