"","date","ELF"
"1","2016-09-22",26.5
"2","2016-09-23",25.33
"3","2016-09-26",25.26
"4","2016-09-27",24.6
"5","2016-09-28",26.540001
"6","2016-09-29",26.85
"7","2016-09-30",28.120001
"8","2016-10-03",26.790001
"9","2016-10-04",26.309999
"10","2016-10-05",26.51
"11","2016-10-06",26.4
"12","2016-10-07",26.67
"13","2016-10-10",26.299999
"14","2016-10-11",25.57
"15","2016-10-12",26.629999
"16","2016-10-13",27.049999
"17","2016-10-14",26.940001
"18","2016-10-17",27.48
"19","2016-10-18",26.879999
"20","2016-10-19",27.030001
"21","2016-10-20",26.6
"22","2016-10-21",26.809999
"23","2016-10-24",26.790001
"24","2016-10-25",27.16
"25","2016-10-26",26.66
"26","2016-10-27",26.860001
"27","2016-10-28",26.42
"28","2016-10-31",25.860001
"29","2016-11-01",25.540001
"30","2016-11-02",25.85
"31","2016-11-03",25.709999
"32","2016-11-04",26.280001
"33","2016-11-07",26.309999
"34","2016-11-08",26.57
"35","2016-11-09",25.709999
"36","2016-11-10",25.92
"37","2016-11-11",27
"38","2016-11-14",29.370001
"39","2016-11-15",29
"40","2016-11-16",29.450001
"41","2016-11-17",29.360001
"42","2016-11-18",29.389999
"43","2016-11-21",30.32
"44","2016-11-22",30.02
"45","2016-11-23",31.35
"46","2016-11-25",30.860001
"47","2016-11-28",31.1
"48","2016-11-29",31.74
"49","2016-11-30",31.469999
"50","2016-12-01",30.15
"51","2016-12-02",29.6
"52","2016-12-05",30.82
"53","2016-12-06",30.9
"54","2016-12-07",30.879999
"55","2016-12-08",30.4
"56","2016-12-09",30.92
"57","2016-12-12",30.690001
"58","2016-12-13",30.24
"59","2016-12-14",29.16
"60","2016-12-15",28.75
"61","2016-12-16",29.370001
"62","2016-12-19",29.379999
"63","2016-12-20",29.530001
"64","2016-12-21",29.6
"65","2016-12-22",29.51
"66","2016-12-23",29.51
"67","2016-12-27",29.360001
"68","2016-12-28",29.290001
"69","2016-12-29",29.040001
"70","2016-12-30",28.940001
"71","2017-01-03",28.940001
"72","2017-01-04",28.99
"73","2017-01-05",28.950001
"74","2017-01-06",29.639999
