"","date","ENTG"
"1","2007-01-03",10.78
"2","2007-01-04",10.92
"3","2007-01-05",10.74
"4","2007-01-08",10.79
"5","2007-01-09",10.84
"6","2007-01-10",10.95
"7","2007-01-11",11.05
"8","2007-01-12",11.03
"9","2007-01-16",10.82
"10","2007-01-17",10.87
"11","2007-01-18",10.32
"12","2007-01-19",10.6
"13","2007-01-22",10.39
"14","2007-01-23",10.64
"15","2007-01-24",10.8
"16","2007-01-25",10.57
"17","2007-01-26",10.77
"18","2007-01-29",10.58
"19","2007-01-30",10.53
"20","2007-01-31",10.73
"21","2007-02-01",10.73
"22","2007-02-02",10.84
"23","2007-02-05",10.81
"24","2007-02-06",10.79
"25","2007-02-07",10.88
"26","2007-02-08",10.9
"27","2007-02-09",10.69
"28","2007-02-12",10.75
"29","2007-02-13",10.8
"30","2007-02-14",10.97
"31","2007-02-15",11.07
"32","2007-02-16",11.43
"33","2007-02-20",11.55
"34","2007-02-21",11.73
"35","2007-02-22",11.98
"36","2007-02-23",11.75
"37","2007-02-26",11.67
"38","2007-02-27",11.24
"39","2007-02-28",11.14
"40","2007-03-01",11.06
"41","2007-03-02",10.63
"42","2007-03-05",10.34
"43","2007-03-06",10.63
"44","2007-03-07",10.61
"45","2007-03-08",10.87
"46","2007-03-09",10.81
"47","2007-03-12",10.88
"48","2007-03-13",10.6
"49","2007-03-14",10.61
"50","2007-03-15",10.63
"51","2007-03-16",10.63
"52","2007-03-19",10.67
"53","2007-03-20",10.68
"54","2007-03-21",10.99
"55","2007-03-22",10.92
"56","2007-03-23",10.93
"57","2007-03-26",10.85
"58","2007-03-27",10.7
"59","2007-03-28",10.7
"60","2007-03-29",10.54
"61","2007-03-30",10.7
"62","2007-04-02",10.73
"63","2007-04-03",10.97
"64","2007-04-04",10.99
"65","2007-04-05",11.13
"66","2007-04-09",11.08
"67","2007-04-10",11.17
"68","2007-04-11",11.18
"69","2007-04-12",11.24
"70","2007-04-13",11.3
"71","2007-04-16",11.63
"72","2007-04-17",11.71
"73","2007-04-18",11.66
"74","2007-04-19",11.75
"75","2007-04-20",11.84
"76","2007-04-23",11.76
"77","2007-04-24",11.95
"78","2007-04-25",11.94
"79","2007-04-26",11.98
"80","2007-04-27",11.84
"81","2007-04-30",11.72
"82","2007-05-01",11.83
"83","2007-05-02",11.91
"84","2007-05-03",11.93
"85","2007-05-04",11.9
"86","2007-05-07",10.81
"87","2007-05-08",10.37
"88","2007-05-09",10.33
"89","2007-05-10",11.4
"90","2007-05-11",11.62
"91","2007-05-14",11.67
"92","2007-05-15",11.63
"93","2007-05-16",11.53
"94","2007-05-17",11.54
"95","2007-05-18",11.56
"96","2007-05-21",11.6
"97","2007-05-22",11.53
"98","2007-05-23",11.41
"99","2007-05-24",11.3
"100","2007-05-25",11.36
"101","2007-05-29",11.49
"102","2007-05-30",11.45
"103","2007-05-31",11.51
"104","2007-06-01",11.5
"105","2007-06-04",11.5
"106","2007-06-05",11.42
"107","2007-06-06",11.4
"108","2007-06-07",11.42
"109","2007-06-08",11.75
"110","2007-06-11",11.85
"111","2007-06-12",11.79
"112","2007-06-13",11.94
"113","2007-06-14",11.91
"114","2007-06-15",11.96
"115","2007-06-18",11.93
"116","2007-06-19",11.89
"117","2007-06-20",11.78
"118","2007-06-21",11.99
"119","2007-06-22",11.87
"120","2007-06-25",11.82
"121","2007-06-26",11.76
"122","2007-06-27",11.85
"123","2007-06-28",12.01
"124","2007-06-29",11.88
"125","2007-07-02",11.81
"126","2007-07-03",12.07
"127","2007-07-05",11.75
"128","2007-07-06",11.96
"129","2007-07-09",11.86
"130","2007-07-10",11.68
"131","2007-07-11",11.54
"132","2007-07-12",12.12
"133","2007-07-13",11.93
"134","2007-07-16",11.6
"135","2007-07-17",11.86
"136","2007-07-18",11.82
"137","2007-07-19",11.94
"138","2007-07-20",11.63
"139","2007-07-23",11.6
"140","2007-07-24",11.39
"141","2007-07-25",11.47
"142","2007-07-26",11.1
"143","2007-07-27",10.8
"144","2007-07-30",11
"145","2007-07-31",10.78
"146","2007-08-01",10.98
"147","2007-08-02",9.6
"148","2007-08-03",9.13
"149","2007-08-06",8.92
"150","2007-08-07",8.8
"151","2007-08-08",9.88
"152","2007-08-09",10.12
"153","2007-08-10",9.49
"154","2007-08-13",9.4
"155","2007-08-14",9.43
