"","date","EPAC"
"1","2007-01-03",23.84
"2","2007-01-04",23.985001
"3","2007-01-05",23.495001
"4","2007-01-08",23.540001
"5","2007-01-09",23.445
"6","2007-01-10",23.365
"7","2007-01-11",23.5
"8","2007-01-12",23.5
"9","2007-01-16",23.684999
"10","2007-01-17",23.875
"11","2007-01-18",23.615
"12","2007-01-19",23.9
"13","2007-01-22",23.905001
"14","2007-01-23",24.52
"15","2007-01-24",24.74
"16","2007-01-25",24.545
"17","2007-01-26",24.77
"18","2007-01-29",24.709999
"19","2007-01-30",24.715
"20","2007-01-31",24.895
"21","2007-02-01",25.15
"22","2007-02-02",25.440001
"23","2007-02-05",24.985001
"24","2007-02-06",25.035
"25","2007-02-07",25.145
"26","2007-02-08",25.02
"27","2007-02-09",24.83
"28","2007-02-12",25.309999
"29","2007-02-13",25.575001
"30","2007-02-14",26.200001
"31","2007-02-15",26.264999
"32","2007-02-16",26.174999
"33","2007-02-20",26.540001
"34","2007-02-21",26.389999
"35","2007-02-22",26.389999
"36","2007-02-23",26.305
"37","2007-02-26",26.43
"38","2007-02-27",26.25
"39","2007-02-28",26.1
"40","2007-03-01",25.745001
"41","2007-03-02",25.190001
"42","2007-03-05",24.584999
"43","2007-03-06",25
"44","2007-03-07",24.82
"45","2007-03-08",24.73
"46","2007-03-09",24.91
"47","2007-03-12",24.99
"48","2007-03-13",24.275
"49","2007-03-14",24.74
"50","2007-03-15",24.745001
"51","2007-03-16",24.49
"52","2007-03-19",24.83
"53","2007-03-20",25.25
"54","2007-03-21",25.59
"55","2007-03-22",26.195
"56","2007-03-23",26.115
"57","2007-03-26",26.055
"58","2007-03-27",25.709999
"59","2007-03-28",25.530001
"60","2007-03-29",25.674999
"61","2007-03-30",25.405001
"62","2007-04-02",25.389999
"63","2007-04-03",25.6
"64","2007-04-04",25.639999
"65","2007-04-05",25.65
"66","2007-04-09",25.674999
"67","2007-04-10",25.504999
"68","2007-04-11",25.1
"69","2007-04-12",25.344999
"70","2007-04-13",25.264999
"71","2007-04-16",25.92
"72","2007-04-17",25.865
"73","2007-04-18",25.855
"74","2007-04-19",25.860001
"75","2007-04-20",26.280001
"76","2007-04-23",26.25
"77","2007-04-24",26.475
"78","2007-04-25",27.025
"79","2007-04-26",27.02
"80","2007-04-27",26.91
"81","2007-04-30",26.5
"82","2007-05-01",26.200001
"83","2007-05-02",26.355
"84","2007-05-03",26.135
"85","2007-05-04",26.424999
"86","2007-05-07",26.605
"87","2007-05-08",26.455
"88","2007-05-09",26.76
"89","2007-05-10",26.205
"90","2007-05-11",26.24
"91","2007-05-14",26.145
"92","2007-05-15",26.309999
"93","2007-05-16",26.52
"94","2007-05-17",26.455
"95","2007-05-18",26.424999
"96","2007-05-21",26.665001
"97","2007-05-22",27.02
"98","2007-05-23",26.74
"99","2007-05-24",26.280001
"100","2007-05-25",26.615
"101","2007-05-29",26.985001
"102","2007-05-30",27.35
"103","2007-05-31",27.815001
"104","2007-06-01",28.315001
"105","2007-06-04",28.41
"106","2007-06-05",28.245001
"107","2007-06-06",27.84
"108","2007-06-07",27.33
"109","2007-06-08",27.785
"110","2007-06-11",27.790001
"111","2007-06-12",27.389999
"112","2007-06-13",27.764999
"113","2007-06-14",28.205
"114","2007-06-15",28.764999
"115","2007-06-18",29.934999
"116","2007-06-19",30.389999
"117","2007-06-20",31.24
"118","2007-06-21",30.700001
"119","2007-06-22",31.285
"120","2007-06-25",30.98
"121","2007-06-26",31.34
"122","2007-06-27",31.245001
"123","2007-06-28",31.620001
"124","2007-06-29",31.530001
"125","2007-07-02",31.815001
"126","2007-07-03",32.264999
"127","2007-07-05",32.375
"128","2007-07-06",32.68
"129","2007-07-09",32.924999
"130","2007-07-10",31.85
"131","2007-07-11",32.389999
"132","2007-07-12",32.990002
"133","2007-07-13",32.759998
"134","2007-07-16",33.220001
"135","2007-07-17",33.400002
"136","2007-07-18",32.915001
"137","2007-07-19",33.279999
"138","2007-07-20",32.705002
"139","2007-07-23",32.599998
"140","2007-07-24",32.055
"141","2007-07-25",32.025002
"142","2007-07-26",30.415001
"143","2007-07-27",30.275
"144","2007-07-30",31.395
"145","2007-07-31",30.49
"146","2007-08-01",30.41
"147","2007-08-02",30.545
"148","2007-08-03",29.395
"149","2007-08-06",30.450001
"150","2007-08-07",30.77
"151","2007-08-08",31.5
"152","2007-08-09",31.375
"153","2007-08-10",31.139999
"154","2007-08-13",30.125
"155","2007-08-14",28.92
"156","2007-08-15",28.620001
"157","2007-08-16",28.775
"158","2007-08-17",29.094999
"159","2007-08-20",29.764999
"160","2007-08-21",29.76
"161","2007-08-22",30.27
"162","2007-08-23",29.424999
"163","2007-08-24",29.629999
"164","2007-08-27",29.594999
"165","2007-08-28",28.610001
"166","2007-08-29",30.025
"167","2007-08-30",30.139999
"168","2007-08-31",30.495001
"169","2007-09-04",30.379999
"170","2007-09-05",30.105
"171","2007-09-06",30.32
"172","2007-09-07",29.155001
"173","2007-09-10",28.535
"174","2007-09-11",29.254999
"175","2007-09-12",28.860001
"176","2007-09-13",28.915001
"177","2007-09-14",29.99
"178","2007-09-17",29.555
"179","2007-09-18",31.004999
"180","2007-09-19",31.09
"181","2007-09-20",30.865
"182","2007-09-21",31.025
"183","2007-09-24",30.809999
"184","2007-09-25",30.76
"185","2007-09-26",32.615002
"186","2007-09-27",33.044998
"187","2007-09-28",32.485001
"188","2007-10-01",33.310001
"189","2007-10-02",33.165001
"190","2007-10-03",32.865002
"191","2007-10-04",33.215
"192","2007-10-05",33.884998
"193","2007-10-08",33.740002
"194","2007-10-09",33.994999
"195","2007-10-10",33.959999
"196","2007-10-11",33.355
"197","2007-10-12",34.115002
"198","2007-10-15",34.014999
"199","2007-10-16",33.549999
"200","2007-10-17",34.014999
"201","2007-10-18",33.855
"202","2007-10-19",33.02
"203","2007-10-22",33.369999
"204","2007-10-23",33.630001
"205","2007-10-24",33
"206","2007-10-25",32.555
"207","2007-10-26",33.115002
"208","2007-10-29",33.895
"209","2007-10-30",34.099998
"210","2007-10-31",34.490002
"211","2007-11-01",33.875
"212","2007-11-02",34.095001
"213","2007-11-05",33.880001
"214","2007-11-06",34.375
"215","2007-11-07",33.915001
"216","2007-11-08",34.040001
"217","2007-11-09",33.099998
"218","2007-11-12",32.560001
"219","2007-11-13",33.849998
"220","2007-11-14",33.84
"221","2007-11-15",32.540001
"222","2007-11-16",30.68
"223","2007-11-19",30.129999
"224","2007-11-20",30.77
"225","2007-11-21",30.030001
"226","2007-11-23",30.629999
"227","2007-11-26",29.450001
"228","2007-11-27",29.709999
"229","2007-11-28",30.889999
"230","2007-11-29",31.35
"231","2007-11-30",31.67
"232","2007-12-03",30.42
"233","2007-12-04",30.200001
"234","2007-12-05",31.17
"235","2007-12-06",32.48
"236","2007-12-07",32.43
"237","2007-12-10",32.84
"238","2007-12-11",32.040001
"239","2007-12-12",32.240002
"240","2007-12-13",31.99
"241","2007-12-14",30.85
"242","2007-12-17",30.700001
"243","2007-12-18",30.75
"244","2007-12-19",32.75
"245","2007-12-20",34.5
"246","2007-12-21",34.459999
"247","2007-12-24",34.330002
"248","2007-12-26",34.490002
"249","2007-12-27",32.950001
"250","2007-12-28",34.599998
"251","2007-12-31",34.009998
"252","2008-01-02",33.189999
"253","2008-01-03",32.639999
"254","2008-01-04",31.309999
"255","2008-01-07",30.98
"256","2008-01-08",30.18
"257","2008-01-09",29.200001
"258","2008-01-10",29.07
"259","2008-01-11",27.57
"260","2008-01-14",28.58
"261","2008-01-15",28.08
"262","2008-01-16",27.07
"263","2008-01-17",25.459999
"264","2008-01-18",25.459999
"265","2008-01-22",25.469999
"266","2008-01-23",25.959999
"267","2008-01-24",26.440001
"268","2008-01-25",26.75
"269","2008-01-28",27.290001
"270","2008-01-29",27.82
"271","2008-01-30",26.84
"272","2008-01-31",27.290001
"273","2008-02-01",27.82
"274","2008-02-04",28.110001
"275","2008-02-05",26.83
"276","2008-02-06",26.42
"277","2008-02-07",27.58
"278","2008-02-08",27.639999
"279","2008-02-11",27.85
"280","2008-02-12",27.82
"281","2008-02-13",29.1
