"","date","EQT"
"1","2007-01-03",21.992378
"2","2007-01-04",21.894394
"3","2007-01-05",21.594992
"4","2007-01-08",22.057703
"5","2007-01-09",22.063147
"6","2007-01-10",22.155689
"7","2007-01-11",22.460533
"8","2007-01-12",22.78171
"9","2007-01-16",22.738159
"10","2007-01-17",22.934132
"11","2007-01-18",22.814371
"12","2007-01-19",23.037561
"13","2007-01-22",23.032118
"14","2007-01-23",23.369625
"15","2007-01-24",23.500273
"16","2007-01-25",23.603703
"17","2007-01-26",23.565596
"18","2007-01-29",23.222645
"19","2007-01-30",23.592813
"20","2007-01-31",23.543821
"21","2007-02-01",23.576483
"22","2007-02-02",23.679913
"23","2007-02-05",23.756124
"24","2007-02-06",23.859554
"25","2007-02-07",23.73435
"26","2007-02-08",24.028307
"27","2007-02-09",24.093632
"28","2007-02-12",23.908546
"29","2007-02-13",23.864998
"30","2007-02-14",23.854111
"31","2007-02-15",23.636364
"32","2007-02-16",23.576483
"33","2007-02-20",23.70713
"34","2007-02-21",23.756124
"35","2007-02-22",24.001089
"36","2007-02-23",23.81056
"37","2007-02-26",23.837778
"38","2007-02-27",23.053892
"39","2007-02-28",23.249865
"40","2007-03-01",23.244421
"41","2007-03-02",22.879696
"42","2007-03-05",22.422428
"43","2007-03-06",22.754492
"44","2007-03-07",22.738159
"45","2007-03-08",23.440392
"46","2007-03-09",23.772455
"47","2007-03-12",23.881329
"48","2007-03-13",23.603703
"49","2007-03-14",23.364182
"50","2007-03-15",24.099075
"51","2007-03-16",23.990202
"52","2007-03-19",24.589005
"53","2007-03-20",25.334785
"54","2007-03-21",25.585194
"55","2007-03-22",25.895481
"56","2007-03-23",25.830158
"57","2007-03-26",25.98258
"58","2007-03-27",25.688623
"59","2007-03-28",25.645073
"60","2007-03-29",26.467066
"61","2007-03-30",26.303757
"62","2007-04-02",26.38541
"63","2007-04-03",26.379967
"64","2007-04-04",26.630375
"65","2007-04-05",26.744692
"66","2007-04-09",26.673925
"67","2007-04-10",26.962439
"68","2007-04-11",27.152967
"69","2007-04-12",27.131191
"70","2007-04-13",27.14208
"71","2007-04-16",27.403376
"72","2007-04-17",27.419706
"73","2007-04-18",27.381601
"74","2007-04-19",27.196516
"75","2007-04-20",27.250952
"76","2007-04-23",27.457811
"77","2007-04-24",27.784431
"78","2007-04-25",28.072945
"79","2007-04-26",28.715296
"80","2007-04-27",28.753403
"81","2007-04-30",28.312466
"82","2007-05-01",28.443113
"83","2007-05-02",28.176374
"84","2007-05-03",28.116495
"85","2007-05-04",28.405008
"86","2007-05-07",28.454
"87","2007-05-08",28.502995
"88","2007-05-09",28.37779
"89","2007-05-10",27.958628
"90","2007-05-11",28.170931
"91","2007-05-14",28.170931
"92","2007-05-15",28.132826
"93","2007-05-16",28.132826
"94","2007-05-17",28.023952
"95","2007-05-18",28.121939
"96","2007-05-21",28.37779
"97","2007-05-22",28.366903
"98","2007-05-23",28.100163
"99","2007-05-24",27.376156
"100","2007-05-25",27.430593
"101","2007-05-29",27.517693
"102","2007-05-30",28.149157
"103","2007-05-31",28.317909
"104","2007-06-01",28.606424
"105","2007-06-04",29.129015
"106","2007-06-05",29.014698
"107","2007-06-06",28.502995
"108","2007-06-07",27.675558
"109","2007-06-08",27.942297
"110","2007-06-11",28.100163
"111","2007-06-12",27.757214
"112","2007-06-13",27.964071
"113","2007-06-14",28.301579
"114","2007-06-15",28.454
"115","2007-06-18",28.339684
"116","2007-06-19",28.121939
"117","2007-06-20",27.501362
"118","2007-06-21",27.740881
"119","2007-06-22",27.169298
"120","2007-06-25",26.880783
"121","2007-06-26",26.586826
"122","2007-06-27",26.897116
"123","2007-06-28",27.071312
"124","2007-06-29",26.978769
"125","2007-07-02",27.637453
"126","2007-07-03",27.773544
"127","2007-07-05",27.860641
"128","2007-07-06",27.463255
"129","2007-07-09",27.452368
"130","2007-07-10",27.207403
"131","2007-07-11",27.517693
"132","2007-07-12",28.03484
"133","2007-07-13",28.356016
"134","2007-07-16",27.75177
"135","2007-07-17",27.942297
"136","2007-07-18",28.111052
"137","2007-07-19",28.693521
