"","date","EVLO"
"1","2018-05-08",16
"2","2018-05-09",16.25
"3","2018-05-10",16.15
"4","2018-05-11",16
"5","2018-05-14",16.1
"6","2018-05-15",16
"7","2018-05-16",16.01
"8","2018-05-17",16
"9","2018-05-18",16
"10","2018-05-21",16
"11","2018-05-22",16
"12","2018-05-23",16
"13","2018-05-24",16
"14","2018-05-25",16.26
"15","2018-05-29",15.99
"16","2018-05-30",15.69
"17","2018-05-31",15.89
"18","2018-06-01",15.97
"19","2018-06-04",16
"20","2018-06-05",16.040001
"21","2018-06-06",15.95
"22","2018-06-07",15.05
"23","2018-06-08",14.75
"24","2018-06-11",13.9
"25","2018-06-12",14.11
"26","2018-06-13",13.15
"27","2018-06-14",11.96
"28","2018-06-15",11.39
"29","2018-06-18",12.02
"30","2018-06-19",12.23
"31","2018-06-20",13.55
"32","2018-06-21",13.72
"33","2018-06-22",13.3
"34","2018-06-25",12.59
"35","2018-06-26",12.2
"36","2018-06-27",11.51
"37","2018-06-28",11.81
"38","2018-06-29",11.8
"39","2018-07-02",11.97
"40","2018-07-03",12.2
"41","2018-07-05",13.15
"42","2018-07-06",12.54
"43","2018-07-09",12.49
"44","2018-07-10",12.91
"45","2018-07-11",12.93
"46","2018-07-12",13.15
"47","2018-07-13",13.04
"48","2018-07-16",13.18
"49","2018-07-17",13.79
"50","2018-07-18",13.95
"51","2018-07-19",14.76
"52","2018-07-20",14.49
"53","2018-07-23",14.25
"54","2018-07-24",13.7
"55","2018-07-25",13.52
"56","2018-07-26",13.47
"57","2018-07-27",13
"58","2018-07-30",12.64
"59","2018-07-31",12.64
"60","2018-08-01",13.13
"61","2018-08-02",13.59
"62","2018-08-03",12.69
"63","2018-08-06",12.59
"64","2018-08-07",12.35
"65","2018-08-08",12.88
"66","2018-08-09",12.85
"67","2018-08-10",13.13
"68","2018-08-13",13.22
"69","2018-08-14",13.09
"70","2018-08-15",13.22
"71","2018-08-16",13.37
"72","2018-08-17",12.45
"73","2018-08-20",12.84
"74","2018-08-21",13.2
"75","2018-08-22",12.37
"76","2018-08-23",12.64
"77","2018-08-24",13.74
"78","2018-08-27",13.75
"79","2018-08-28",13.68
"80","2018-08-29",13.65
"81","2018-08-30",13.45
"82","2018-08-31",13.47
"83","2018-09-04",13.24
"84","2018-09-05",13.38
"85","2018-09-06",13.1
"86","2018-09-07",12.96
"87","2018-09-10",13.04
"88","2018-09-11",12.81
"89","2018-09-12",12.95
"90","2018-09-13",13.29
"91","2018-09-14",13.15
"92","2018-09-17",13.21
"93","2018-09-18",13.57
"94","2018-09-19",13.56
"95","2018-09-20",13.49
"96","2018-09-21",12.67
"97","2018-09-24",12.25
"98","2018-09-25",12.2
"99","2018-09-26",11.93
"100","2018-09-27",12.23
"101","2018-09-28",12.18
"102","2018-10-01",11.73
"103","2018-10-02",11.54
"104","2018-10-03",11.13
"105","2018-10-04",12.3
"106","2018-10-05",11.71
"107","2018-10-08",11.51
"108","2018-10-09",11.35
"109","2018-10-10",10.06
"110","2018-10-11",10.77
"111","2018-10-12",10.56
"112","2018-10-15",9.7
"113","2018-10-16",9.65
"114","2018-10-17",9.81
"115","2018-10-18",9.99
"116","2018-10-19",9.61
"117","2018-10-22",9.7
"118","2018-10-23",9.11
"119","2018-10-24",9.05
"120","2018-10-25",8.63
"121","2018-10-26",8.5
"122","2018-10-29",8.98
"123","2018-10-30",9.33
"124","2018-10-31",9.11
"125","2018-11-01",9.57
"126","2018-11-02",9.73
"127","2018-11-05",9.59
"128","2018-11-06",9.83
"129","2018-11-07",9.9
"130","2018-11-08",9.22
"131","2018-11-09",8.04
"132","2018-11-12",7.68
"133","2018-11-13",7.74
"134","2018-11-14",7.33
"135","2018-11-15",7.29
"136","2018-11-16",8.29
"137","2018-11-19",8.74
"138","2018-11-20",9.21
"139","2018-11-21",9
"140","2018-11-23",9.01
"141","2018-11-26",9.66
"142","2018-11-27",9.66
"143","2018-11-28",10.49
"144","2018-11-29",9.9
"145","2018-11-30",9.92
"146","2018-12-03",10.45
"147","2018-12-04",10.89
"148","2018-12-06",10.81
"149","2018-12-07",9.14
"150","2018-12-10",10.5
"151","2018-12-11",9.99
"152","2018-12-12",9.94
"153","2018-12-13",10.32
"154","2018-12-14",11.39
"155","2018-12-17",11.7
"156","2018-12-18",11.72
"157","2018-12-19",11.05
"158","2018-12-20",10.45
"159","2018-12-21",11.31
"160","2018-12-24",11.86
"161","2018-12-26",12.1
"162","2018-12-27",11.27
"163","2018-12-28",12.4
"164","2018-12-31",13.01
"165","2019-01-02",13.45
"166","2019-01-03",13.48
