"","date","EV"
"1","2007-01-03",33.630001
"2","2007-01-04",33.18
"3","2007-01-05",33.040001
"4","2007-01-08",33.279999
"5","2007-01-09",33.779999
"6","2007-01-10",34.009998
"7","2007-01-11",34.5
"8","2007-01-12",34.5
"9","2007-01-16",34.450001
"10","2007-01-17",34.299999
"11","2007-01-18",34.380001
"12","2007-01-19",34.349998
"13","2007-01-22",34.32
"14","2007-01-23",34.619999
"15","2007-01-24",34.880001
"16","2007-01-25",34.150002
"17","2007-01-26",34.349998
"18","2007-01-29",34.130001
"19","2007-01-30",34.189999
"20","2007-01-31",34.299999
"21","2007-02-01",34.150002
"22","2007-02-02",34.669998
"23","2007-02-05",34.630001
"24","2007-02-06",34.939999
"25","2007-02-07",35.150002
"26","2007-02-08",35.200001
"27","2007-02-09",34.84
"28","2007-02-12",34.740002
"29","2007-02-13",35.150002
"30","2007-02-14",35.810001
"31","2007-02-15",35.93
"32","2007-02-16",36.049999
"33","2007-02-20",36.330002
"34","2007-02-21",36.48
"35","2007-02-22",36.299999
"36","2007-02-23",36.279999
"37","2007-02-26",36.029999
"38","2007-02-27",34.650002
"39","2007-02-28",34.68
"40","2007-03-01",35.049999
"41","2007-03-02",34.57
"42","2007-03-05",32.93
"43","2007-03-06",34.060001
"44","2007-03-07",34
"45","2007-03-08",34.549999
"46","2007-03-09",34.599998
"47","2007-03-12",34.93
"48","2007-03-13",33.560001
"49","2007-03-14",33.919998
"50","2007-03-15",34.299999
"51","2007-03-16",34.040001
"52","2007-03-19",34.529999
"53","2007-03-20",34.59
"54","2007-03-21",35.549999
"55","2007-03-22",35.43
"56","2007-03-23",35.639999
"57","2007-03-26",35.490002
"58","2007-03-27",35.349998
"59","2007-03-28",35.240002
"60","2007-03-29",35.68
"61","2007-03-30",35.639999
"62","2007-04-02",35.759998
"63","2007-04-03",36.130001
"64","2007-04-04",36.48
"65","2007-04-05",36.450001
"66","2007-04-09",36.939999
"67","2007-04-10",36.720001
"68","2007-04-11",36.330002
"69","2007-04-12",36.470001
"70","2007-04-13",36.959999
"71","2007-04-16",37.560001
"72","2007-04-17",37.669998
"73","2007-04-18",37.700001
"74","2007-04-19",38.259998
"75","2007-04-20",38.27
"76","2007-04-23",38.169998
"77","2007-04-24",37.98
"78","2007-04-25",38.240002
"79","2007-04-26",38.119999
"80","2007-04-27",37.900002
"81","2007-04-30",38.220001
"82","2007-05-01",37.93
"83","2007-05-02",38.419998
"84","2007-05-03",38.32
"85","2007-05-04",38.43
"86","2007-05-07",38.439999
"87","2007-05-08",38.310001
"88","2007-05-09",38.599998
"89","2007-05-10",37.650002
"90","2007-05-11",38.299999
"91","2007-05-14",38.169998
"92","2007-05-15",38.27
"93","2007-05-16",38.599998
"94","2007-05-17",39.5
"95","2007-05-18",39.720001
"96","2007-05-21",40.32
"97","2007-05-22",40.77
"98","2007-05-23",41.68
"99","2007-05-24",41.779999
"100","2007-05-25",41.860001
"101","2007-05-29",42.490002
"102","2007-05-30",43.27
"103","2007-05-31",43.889999
"104","2007-06-01",44.240002
"105","2007-06-04",44.360001
"106","2007-06-05",44.32
"107","2007-06-06",43.869999
"108","2007-06-07",42.599998
"109","2007-06-08",43.25
"110","2007-06-11",44.18
"111","2007-06-12",43.470001
"112","2007-06-13",44.150002
"113","2007-06-14",44.68
"114","2007-06-15",44.630001
"115","2007-06-18",44.790001
"116","2007-06-19",44.889999
"117","2007-06-20",45.009998
"118","2007-06-21",45.130001
"119","2007-06-22",44.209999
"120","2007-06-25",43.849998
"121","2007-06-26",44.02
"122","2007-06-27",44.360001
"123","2007-06-28",44.799999
"124","2007-06-29",44.18
"125","2007-07-02",45
"126","2007-07-03",45.290001
"127","2007-07-05",45.57
"128","2007-07-06",46.82
"129","2007-07-09",46.099998
"130","2007-07-10",44.889999
"131","2007-07-11",45.220001
"132","2007-07-12",46.919998
"133","2007-07-13",47.5
"134","2007-07-16",47.299999
"135","2007-07-17",47.110001
"136","2007-07-18",46.84
"137","2007-07-19",46.700001
"138","2007-07-20",45.34
"139","2007-07-23",45.52
"140","2007-07-24",44.23
"141","2007-07-25",44.290001
"142","2007-07-26",42.580002
"143","2007-07-27",41.990002
"144","2007-07-30",42.450001
"145","2007-07-31",41.860001
"146","2007-08-01",41.25
"147","2007-08-02",41.970001
"148","2007-08-03",40.490002
"149","2007-08-06",42.41
"150","2007-08-07",44.110001
"151","2007-08-08",45.900002
"152","2007-08-09",44.209999
"153","2007-08-10",42.560001
"154","2007-08-13",42.459999
"155","2007-08-14",40.98
"156","2007-08-15",39.099998
"157","2007-08-16",38.310001
"158","2007-08-17",38.91
