"","date","EXAS"
"1","2007-01-03",2.72
"2","2007-01-04",2.68
"3","2007-01-05",2.64
"4","2007-01-08",2.89
"5","2007-01-09",2.9
"6","2007-01-10",2.94
"7","2007-01-11",3.06
"8","2007-01-12",3.14
"9","2007-01-16",3.15
"10","2007-01-17",3.18
"11","2007-01-18",3.11
"12","2007-01-19",2.86
"13","2007-01-22",2.9
"14","2007-01-23",2.83
"15","2007-01-24",2.83
"16","2007-01-25",2.86
"17","2007-01-26",2.73
"18","2007-01-29",2.75
"19","2007-01-30",2.7
"20","2007-01-31",2.81
"21","2007-02-01",2.86
"22","2007-02-02",2.83
"23","2007-02-05",2.89
"24","2007-02-06",2.88
"25","2007-02-07",2.81
"26","2007-02-08",2.78
"27","2007-02-09",2.78
"28","2007-02-12",2.79
"29","2007-02-13",2.78
"30","2007-02-14",2.73
"31","2007-02-15",2.77
"32","2007-02-16",2.66
"33","2007-02-20",2.74
"34","2007-02-21",2.77
"35","2007-02-22",2.71
"36","2007-02-23",2.73
"37","2007-02-26",2.75
"38","2007-02-27",2.71
"39","2007-02-28",2.71
"40","2007-03-01",2.58
"41","2007-03-02",2.43
"42","2007-03-05",2.33
"43","2007-03-06",2.48
"44","2007-03-07",2.5
"45","2007-03-08",2.64
"46","2007-03-09",2.54
"47","2007-03-12",2.5
"48","2007-03-13",2.45
"49","2007-03-14",2.44
"50","2007-03-15",2.58
"51","2007-03-16",2.71
"52","2007-03-19",2.79
"53","2007-03-20",2.8
"54","2007-03-21",2.8
"55","2007-03-22",2.74
"56","2007-03-23",2.74
"57","2007-03-26",2.76
"58","2007-03-27",2.7
"59","2007-03-28",2.6
"60","2007-03-29",2.62
"61","2007-03-30",2.68
"62","2007-04-02",2.57
"63","2007-04-03",2.52
"64","2007-04-04",2.56
"65","2007-04-05",2.54
"66","2007-04-09",2.5
"67","2007-04-10",2.55
"68","2007-04-11",2.5
"69","2007-04-12",2.46
"70","2007-04-13",2.49
"71","2007-04-16",2.45
"72","2007-04-17",2.38
"73","2007-04-18",2.38
"74","2007-04-19",2.42
"75","2007-04-20",2.42
"76","2007-04-23",2.4
"77","2007-04-24",2.56
"78","2007-04-25",2.92
"79","2007-04-26",2.89
"80","2007-04-27",3.13
"81","2007-04-30",3.2
"82","2007-05-01",3.11
"83","2007-05-02",3.22
"84","2007-05-03",3.11
"85","2007-05-04",3.06
"86","2007-05-07",3.09
"87","2007-05-08",3.07
"88","2007-05-09",2.98
"89","2007-05-10",2.99
"90","2007-05-11",3.04
"91","2007-05-14",3.02
"92","2007-05-15",3.08
"93","2007-05-16",2.92
"94","2007-05-17",3.03
"95","2007-05-18",2.97
"96","2007-05-21",3
"97","2007-05-22",2.99
"98","2007-05-23",3
"99","2007-05-24",2.98
"100","2007-05-25",2.96
"101","2007-05-29",2.99
"102","2007-05-30",2.74
"103","2007-05-31",2.99
"104","2007-06-01",2.97
"105","2007-06-04",3
"106","2007-06-05",2.99
"107","2007-06-06",3
"108","2007-06-07",3.04
"109","2007-06-08",2.95
"110","2007-06-11",3.05
"111","2007-06-12",3.06
"112","2007-06-13",3.05
"113","2007-06-14",3.07
"114","2007-06-15",3.09
"115","2007-06-18",3.06
"116","2007-06-19",3
"117","2007-06-20",2.89
"118","2007-06-21",2.92
"119","2007-06-22",2.89
"120","2007-06-25",2.83
"121","2007-06-26",2.93
"122","2007-06-27",2.85
"123","2007-06-28",2.87
"124","2007-06-29",2.89
"125","2007-07-02",2.94
"126","2007-07-03",2.89
"127","2007-07-05",2.89
"128","2007-07-06",2.9
"129","2007-07-09",2.91
"130","2007-07-10",2.96
"131","2007-07-11",2.85
"132","2007-07-12",2.76
"133","2007-07-13",2.75
"134","2007-07-16",2.76
"135","2007-07-17",2.63
"136","2007-07-18",2.8
"137","2007-07-19",2.79
"138","2007-07-20",3.09
"139","2007-07-23",3.08
"140","2007-07-24",2.92
"141","2007-07-25",2.9
"142","2007-07-26",2.94
"143","2007-07-27",2.81
"144","2007-07-30",2.82
"145","2007-07-31",2.83
"146","2007-08-01",2.74
"147","2007-08-02",3.04
"148","2007-08-03",2.99
"149","2007-08-06",3
"150","2007-08-07",2.98
"151","2007-08-08",3.03
"152","2007-08-09",2.99
"153","2007-08-10",3
"154","2007-08-13",2.88
"155","2007-08-14",2.91
"156","2007-08-15",2.97
"157","2007-08-16",2.9
"158","2007-08-17",2.87
"159","2007-08-20",2.89
"160","2007-08-21",2.85
"161","2007-08-22",2.89
"162","2007-08-23",2.83
"163","2007-08-24",2.81
"164","2007-08-27",2.75
"165","2007-08-28",2.74
"166","2007-08-29",2.72
"167","2007-08-30",2.7
"168","2007-08-31",2.87
"169","2007-09-04",2.9
"170","2007-09-05",2.93
"171","2007-09-06",2.91
"172","2007-09-07",2.95
"173","2007-09-10",2.91
"174","2007-09-11",3.11
"175","2007-09-12",2.86
"176","2007-09-13",2.92
"177","2007-09-14",3.01
"178","2007-09-17",3
"179","2007-09-18",2.98
"180","2007-09-19",3.01
"181","2007-09-20",3.23
"182","2007-09-21",3.35
"183","2007-09-24",3.41
"184","2007-09-25",3.48
"185","2007-09-26",3.49
"186","2007-09-27",3.41
"187","2007-09-28",3.39
"188","2007-10-01",3.39
"189","2007-10-02",3.35
"190","2007-10-03",3.39
"191","2007-10-04",3.39
"192","2007-10-05",3.73
"193","2007-10-08",4.56
"194","2007-10-09",4.58
"195","2007-10-10",4.42
"196","2007-10-11",4.64
"197","2007-10-12",4.84
"198","2007-10-15",5.51
"199","2007-10-16",6.02
"200","2007-10-17",4.72
"201","2007-10-18",4.7
"202","2007-10-19",4.44
"203","2007-10-22",4.05
"204","2007-10-23",3.97
"205","2007-10-24",4.32
"206","2007-10-25",4.32
"207","2007-10-26",4.43
"208","2007-10-29",4.46
"209","2007-10-30",4.5
"210","2007-10-31",4.29
"211","2007-11-01",4.39
"212","2007-11-02",4.34
"213","2007-11-05",4.15
"214","2007-11-06",4.14
"215","2007-11-07",4.37
"216","2007-11-08",4.68
"217","2007-11-09",5.36
"218","2007-11-12",5.08
"219","2007-11-13",4.9
"220","2007-11-14",4.87
"221","2007-11-15",4.77
"222","2007-11-16",5.03
"223","2007-11-19",4.77
"224","2007-11-20",4.56
"225","2007-11-21",4.53
"226","2007-11-23",4.38
"227","2007-11-26",4.47
"228","2007-11-27",4.34
"229","2007-11-28",4.26
"230","2007-11-29",4.27
"231","2007-11-30",4.29
"232","2007-12-03",3.73
"233","2007-12-04",3.41
"234","2007-12-05",3.34
"235","2007-12-06",3.23
"236","2007-12-07",3.3
"237","2007-12-10",3.17
"238","2007-12-11",3.15
"239","2007-12-12",3
"240","2007-12-13",3.17
"241","2007-12-14",3
"242","2007-12-17",3.15
"243","2007-12-18",3.16
"244","2007-12-19",3.24
"245","2007-12-20",3.45
"246","2007-12-21",3.42
"247","2007-12-24",3.48
"248","2007-12-26",3.56
"249","2007-12-27",3.44
"250","2007-12-28",3.45
"251","2007-12-31",3.22
"252","2008-01-02",3.38
"253","2008-01-03",3.47
"254","2008-01-04",3.35
"255","2008-01-07",3.36
"256","2008-01-08",3.37
"257","2008-01-09",3.19
"258","2008-01-10",3.16
"259","2008-01-11",3.1
"260","2008-01-14",3.3
"261","2008-01-15",3.12
"262","2008-01-16",3.16
"263","2008-01-17",3.21
"264","2008-01-18",3.01
"265","2008-01-22",2.89
"266","2008-01-23",2.9
"267","2008-01-24",2.86
"268","2008-01-25",2.82
"269","2008-01-28",2.85
"270","2008-01-29",2.78
"271","2008-01-30",2.71
"272","2008-01-31",2.53
"273","2008-02-01",2.39
"274","2008-02-04",2.53
"275","2008-02-05",2.22
"276","2008-02-06",2.28
"277","2008-02-07",2.12
"278","2008-02-08",2.05
"279","2008-02-11",2.01
"280","2008-02-12",2.04
"281","2008-02-13",1.97
"282","2008-02-14",1.88
"283","2008-02-15",1.85
"284","2008-02-19",1.85
"285","2008-02-20",1.85
"286","2008-02-21",1.83
"287","2008-02-22",1.85
"288","2008-02-25",1.78
"289","2008-02-26",1.95
"290","2008-02-27",1.87
"291","2008-02-28",2.25
"292","2008-02-29",1.96
"293","2008-03-03",2.17
"294","2008-03-04",2.23
"295","2008-03-05",2.09
"296","2008-03-06",3.03
"297","2008-03-07",3.29
"298","2008-03-10",2.81
"299","2008-03-11",2.68
"300","2008-03-12",2.72
"301","2008-03-13",2.71
"302","2008-03-14",2.66
"303","2008-03-17",2.62
"304","2008-03-18",2.78
"305","2008-03-19",2.71
"306","2008-03-20",2.92
"307","2008-03-24",2.76
"308","2008-03-25",2.69
"309","2008-03-26",2.74
"310","2008-03-27",2.91
"311","2008-03-28",2.75
"312","2008-03-31",2.91
"313","2008-04-01",2.87
"314","2008-04-02",2.86
"315","2008-04-03",2.57
"316","2008-04-04",2.67
