"","date","FCPT"
"1","2015-11-10",20.379999
"2","2015-11-11",21.17
"3","2015-11-12",20.530001
"4","2015-11-13",20.74
"5","2015-11-16",20.25
"6","2015-11-17",19.85
"7","2015-11-18",19.15
"8","2015-11-19",19.76
"9","2015-11-20",19.73
"10","2015-11-23",19.6
"11","2015-11-24",19.690001
"12","2015-11-25",19.6
"13","2015-11-27",19.51
"14","2015-11-30",19.799999
"15","2015-12-01",20.700001
"16","2015-12-02",20.73
"17","2015-12-03",20.9
"18","2015-12-04",21.709999
"19","2015-12-07",22.110001
"20","2015-12-08",21.620001
"21","2015-12-09",21.469999
"22","2015-12-10",21.74
"23","2015-12-11",21.389999
"24","2015-12-14",21.16
"25","2015-12-15",21.299999
"26","2015-12-16",21.620001
"27","2015-12-17",21.92
"28","2015-12-18",22.690001
"29","2015-12-21",23.35
"30","2015-12-22",23.110001
"31","2015-12-23",23.4
"32","2015-12-24",23.43
"33","2015-12-28",23.82
"34","2015-12-29",24.200001
"35","2015-12-30",23.99
"36","2015-12-31",24.16
"37","2016-01-04",23.559999
"38","2016-01-05",23.389999
"39","2016-01-06",23.32
"40","2016-01-07",23.17
"41","2016-01-08",23.15
"42","2016-01-11",23.32
"43","2016-01-12",22.799999
"44","2016-01-13",22.93
"45","2016-01-14",14.52
"46","2016-01-15",14.67
"47","2016-01-19",15.07
"48","2016-01-20",15.09
"49","2016-01-21",15.65
"50","2016-01-22",16.040001
"51","2016-01-25",16.299999
"52","2016-01-26",16.57
"53","2016-01-27",16.26
"54","2016-01-28",16.459999
"55","2016-01-29",16.9
"56","2016-02-01",17.190001
"57","2016-02-02",16.85
"58","2016-02-03",16.85
"59","2016-02-04",16.57
"60","2016-02-05",16.209999
"61","2016-02-08",15.14
"62","2016-02-09",15
"63","2016-02-10",14.84
"64","2016-02-11",15.25
"65","2016-02-12",15.71
"66","2016-02-16",16.07
"67","2016-02-17",16.139999
"68","2016-02-18",16.18
"69","2016-02-19",16.48
"70","2016-02-22",16.33
"71","2016-02-23",15.99
"72","2016-02-24",15.84
"73","2016-02-25",16.4
"74","2016-02-26",16.309999
"75","2016-02-29",16.41
"76","2016-03-01",16.99
"77","2016-03-02",17.65
"78","2016-03-03",17.26
"79","2016-03-04",17.16
"80","2016-03-07",17.68
"81","2016-03-08",17.379999
"82","2016-03-09",17.52
"83","2016-03-10",17.190001
"84","2016-03-11",18.17
"85","2016-03-14",17.959999
"86","2016-03-15",17.77
"87","2016-03-16",17.780001
"88","2016-03-17",17.879999
"89","2016-03-18",17.809999
"90","2016-03-21",18.08
"91","2016-03-22",18.049999
"92","2016-03-23",17.860001
"93","2016-03-24",18.07
"94","2016-03-28",18.26
"95","2016-03-29",18.190001
"96","2016-03-30",18.25
"97","2016-03-31",17.950001
"98","2016-04-01",17.74
"99","2016-04-04",17.379999
"100","2016-04-05",17.440001
"101","2016-04-06",17.51
"102","2016-04-07",17.709999
"103","2016-04-08",17.91
"104","2016-04-11",17.9
"105","2016-04-12",17.91
"106","2016-04-13",17.950001
"107","2016-04-14",18.190001
"108","2016-04-15",17.99
"109","2016-04-18",18.17
"110","2016-04-19",18.280001
"111","2016-04-20",18.08
"112","2016-04-21",17.59
"113","2016-04-22",17.74
"114","2016-04-25",17.969999
"115","2016-04-26",17.76
"116","2016-04-27",17.83
"117","2016-04-28",17.940001
"118","2016-04-29",17.75
"119","2016-05-02",17.969999
"120","2016-05-03",18.309999
"121","2016-05-04",18.98
"122","2016-05-05",18.9
"123","2016-05-06",19.02
"124","2016-05-09",19.030001
"125","2016-05-10",18.709999
"126","2016-05-11",18.6
"127","2016-05-12",18.76
"128","2016-05-13",19.040001
"129","2016-05-16",19.24
"130","2016-05-17",19.07
"131","2016-05-18",18.91
"132","2016-05-19",18.91
"133","2016-05-20",18.959999
"134","2016-05-23",19.18
"135","2016-05-24",19.4
"136","2016-05-25",19.459999
"137","2016-05-26",19.309999
"138","2016-05-27",19.540001
"139","2016-05-31",19.440001
"140","2016-06-01",19.190001
"141","2016-06-02",19.290001
"142","2016-06-03",19.66
"143","2016-06-06",19.799999
"144","2016-06-07",19.889999
"145","2016-06-08",20.049999
"146","2016-06-09",20.200001
"147","2016-06-10",20.139999
"148","2016-06-13",20.02
