"","date","FE"
"1","2007-01-03",60.459999
"2","2007-01-04",60.389999
"3","2007-01-05",59.110001
"4","2007-01-08",59
"5","2007-01-09",58.740002
"6","2007-01-10",58.669998
"7","2007-01-11",58.580002
"8","2007-01-12",57.990002
"9","2007-01-16",58.060001
"10","2007-01-17",58.34
"11","2007-01-18",58.18
"12","2007-01-19",58.57
"13","2007-01-22",58.169998
"14","2007-01-23",57.900002
"15","2007-01-24",58.580002
"16","2007-01-25",58.380001
"17","2007-01-26",58.900002
"18","2007-01-29",59.099998
"19","2007-01-30",59.32
"20","2007-01-31",59.330002
"21","2007-02-01",60.57
"22","2007-02-02",60.84
"23","2007-02-05",61.639999
"24","2007-02-06",61.869999
"25","2007-02-07",62.290001
"26","2007-02-08",63.150002
"27","2007-02-09",63.150002
"28","2007-02-12",63.279999
"29","2007-02-13",63.439999
"30","2007-02-14",63.84
"31","2007-02-15",63.470001
"32","2007-02-16",63.07
"33","2007-02-20",63.77
"34","2007-02-21",63.169998
"35","2007-02-22",63.380001
"36","2007-02-23",63.509998
"37","2007-02-26",64.629997
"38","2007-02-27",63.189999
"39","2007-02-28",62.57
"40","2007-03-01",62.630001
"41","2007-03-02",61.650002
"42","2007-03-05",61.200001
"43","2007-03-06",61.950001
"44","2007-03-07",61.889999
"45","2007-03-08",62.009998
"46","2007-03-09",62.27
"47","2007-03-12",62.82
"48","2007-03-13",61.82
"49","2007-03-14",62.080002
"50","2007-03-15",62.549999
"51","2007-03-16",63.110001
"52","2007-03-19",63.529999
"53","2007-03-20",64.860001
"54","2007-03-21",65.68
"55","2007-03-22",65.800003
"56","2007-03-23",66.050003
"57","2007-03-26",66.610001
"58","2007-03-27",66.269997
"59","2007-03-28",66.529999
"60","2007-03-29",66.82
"61","2007-03-30",66.239998
"62","2007-04-02",67.809998
"63","2007-04-03",67.75
"64","2007-04-04",67.389999
"65","2007-04-05",68.050003
"66","2007-04-09",68.25
"67","2007-04-10",68.309998
"68","2007-04-11",68.160004
"69","2007-04-12",67.019997
"70","2007-04-13",66.989998
"71","2007-04-16",67.5
"72","2007-04-17",67.599998
"73","2007-04-18",68.279999
"74","2007-04-19",67.940002
"75","2007-04-20",68.849998
"76","2007-04-23",69.269997
"77","2007-04-24",70.849998
"78","2007-04-25",71.230003
"79","2007-04-26",70.629997
"80","2007-04-27",69.879997
"81","2007-04-30",68.440002
"82","2007-05-01",69.550003
"83","2007-05-02",70.190002
"84","2007-05-03",69.639999
"85","2007-05-04",69.830002
"86","2007-05-07",71.519997
"87","2007-05-08",71.139999
"88","2007-05-09",71.110001
"89","2007-05-10",70.239998
"90","2007-05-11",70.830002
"91","2007-05-14",71.830002
"92","2007-05-15",71.68
"93","2007-05-16",71.589996
"94","2007-05-17",70.75
"95","2007-05-18",71.18
"96","2007-05-21",72.230003
"97","2007-05-22",72.139999
"98","2007-05-23",71.120003
"99","2007-05-24",68.470001
"100","2007-05-25",68.540001
"101","2007-05-29",69.099998
"102","2007-05-30",69.660004
"103","2007-05-31",69.230003
