"","date","FGEN"
"1","2014-11-14",22
"2","2014-11-17",23.809999
"3","2014-11-18",23.59
"4","2014-11-19",23.370001
"5","2014-11-20",23.139999
"6","2014-11-21",22.82
"7","2014-11-24",23.34
"8","2014-11-25",23.610001
"9","2014-11-26",23.700001
"10","2014-11-28",22.65
"11","2014-12-01",22.370001
"12","2014-12-02",21.540001
"13","2014-12-03",23.02
"14","2014-12-04",23.84
"15","2014-12-05",26.18
"16","2014-12-08",28
"17","2014-12-09",28.809999
"18","2014-12-10",28.92
"19","2014-12-11",28.42
"20","2014-12-12",28.99
"21","2014-12-15",29.040001
"22","2014-12-16",29.07
"23","2014-12-17",27.379999
"24","2014-12-18",28.049999
"25","2014-12-19",27.459999
"26","2014-12-22",26.32
"27","2014-12-23",27.34
"28","2014-12-24",27.5
"29","2014-12-26",27.299999
"30","2014-12-29",27.5
"31","2014-12-30",27.209999
"32","2014-12-31",27.34
"33","2015-01-02",27.48
"34","2015-01-05",33.790001
"35","2015-01-06",35.060001
"36","2015-01-07",36.23
"37","2015-01-08",35.220001
"38","2015-01-09",33.900002
"39","2015-01-12",35.009998
"40","2015-01-13",33.73
"41","2015-01-14",34.82
"42","2015-01-15",33.580002
"43","2015-01-16",34.48
"44","2015-01-20",34
"45","2015-01-21",31.82
"46","2015-01-22",29.809999
"47","2015-01-23",29.379999
"48","2015-01-26",29.92
"49","2015-01-27",31.700001
"50","2015-01-28",31.030001
"51","2015-01-29",30.23
"52","2015-01-30",29.530001
"53","2015-02-02",30.16
"54","2015-02-03",30.290001
"55","2015-02-04",30.85
"56","2015-02-05",31.75
"57","2015-02-06",31.389999
"58","2015-02-09",31.32
"59","2015-02-10",31.01
"60","2015-02-11",29.4
"61","2015-02-12",29.75
"62","2015-02-13",30.25
"63","2015-02-17",30.83
"64","2015-02-18",31.110001
"65","2015-02-19",30.200001
"66","2015-02-20",30.16
"67","2015-02-23",30.74
"68","2015-02-24",30.75
"69","2015-02-25",31.209999
"70","2015-02-26",31.01
"71","2015-02-27",31.82
"72","2015-03-02",32.09
"73","2015-03-03",30.35
"74","2015-03-04",29.66
"75","2015-03-05",30.43
"76","2015-03-06",29.82
"77","2015-03-09",29.559999
"78","2015-03-10",28.4
"79","2015-03-11",28.74
"80","2015-03-12",28.799999
"81","2015-03-13",28.129999
"82","2015-03-16",29.18
"83","2015-03-17",29.809999
"84","2015-03-18",29.07
"85","2015-03-19",29.41
"86","2015-03-20",30.93
"87","2015-03-23",30.120001
"88","2015-03-24",30.65
"89","2015-03-25",29.799999
"90","2015-03-26",29.51
"91","2015-03-27",29.85
"92","2015-03-30",31.59
"93","2015-03-31",31.379999
"94","2015-04-01",30.540001
"95","2015-04-02",30.780001
"96","2015-04-06",30.99
"97","2015-04-07",29.99
"98","2015-04-08",30.15
"99","2015-04-09",29.84
"100","2015-04-10",29.9
"101","2015-04-13",29.719999
"102","2015-04-14",29.25
"103","2015-04-15",29.42
"104","2015-04-16",29.459999
"105","2015-04-17",28.719999
"106","2015-04-20",28.42
"107","2015-04-21",27.83
"108","2015-04-22",26.459999
"109","2015-04-23",27.42
"110","2015-04-24",26.91
"111","2015-04-27",26
"112","2015-04-28",25.040001
"113","2015-04-29",24.59
"114","2015-04-30",23.25
"115","2015-05-01",23.77
"116","2015-05-04",23.940001
"117","2015-05-05",23.559999
"118","2015-05-06",23.440001
"119","2015-05-07",23.860001
"120","2015-05-08",23.99
"121","2015-05-11",24.610001
"122","2015-05-12",23.809999
"123","2015-05-13",23.6
"124","2015-05-14",21.389999
"125","2015-05-15",20.379999
"126","2015-05-18",19.9
"127","2015-05-19",18.440001
"128","2015-05-20",18
"129","2015-05-21",17.549999
"130","2015-05-22",18
"131","2015-05-26",17.629999
"132","2015-05-27",18.66
"133","2015-05-28",18.610001
"134","2015-05-29",18.209999
"135","2015-06-01",17.5
"136","2015-06-02",17.360001
"137","2015-06-03",18.34
"138","2015-06-04",17.98
"139","2015-06-05",18.309999
"140","2015-06-08",20.59
"141","2015-06-09",19.4
"142","2015-06-10",19.09
"143","2015-06-11",19.49
"144","2015-06-12",18.82
"145","2015-06-15",18.790001
"146","2015-06-16",18.440001
"147","2015-06-17",19.200001
"148","2015-06-18",20.030001
"149","2015-06-19",21.719999
"150","2015-06-22",23.16
"151","2015-06-23",23.08
"152","2015-06-24",23.809999
"153","2015-06-25",23.530001
"154","2015-06-26",24.389999
"155","2015-06-29",23.049999
"156","2015-06-30",23.5
"157","2015-07-01",23.23
"158","2015-07-02",23.02
"159","2015-07-06",22.85
"160","2015-07-07",22.870001
"161","2015-07-08",21.93
"162","2015-07-09",22.24
"163","2015-07-10",22.82
"164","2015-07-13",22.719999
"165","2015-07-14",23.25
"166","2015-07-15",23.389999
"167","2015-07-16",23.6
"168","2015-07-17",23.209999
"169","2015-07-20",24.74
"170","2015-07-21",24.67
"171","2015-07-22",24.459999
"172","2015-07-23",24.709999
"173","2015-07-24",24.09
"174","2015-07-27",24.040001
"175","2015-07-28",23.299999
"176","2015-07-29",22.58
"177","2015-07-30",22.92
"178","2015-07-31",23.25
"179","2015-08-03",23.110001
"180","2015-08-04",23.799999
"181","2015-08-05",23.610001
"182","2015-08-06",22.09
"183","2015-08-07",22.18
"184","2015-08-10",22.6
"185","2015-08-11",21.98
"186","2015-08-12",22.379999
"187","2015-08-13",22.18
"188","2015-08-14",25.9
"189","2015-08-17",25.51
"190","2015-08-18",24.77
"191","2015-08-19",24.879999
"192","2015-08-20",23.85
"193","2015-08-21",22.959999
"194","2015-08-24",21.799999
"195","2015-08-25",22.639999
"196","2015-08-26",23.040001
"197","2015-08-27",23.84
"198","2015-08-28",24.58
"199","2015-08-31",24.5
"200","2015-09-01",22.84
"201","2015-09-02",23.540001
"202","2015-09-03",22.629999
"203","2015-09-04",23.17
"204","2015-09-08",26.24
"205","2015-09-09",26.129999
"206","2015-09-10",28
"207","2015-09-11",27.700001
"208","2015-09-14",28.030001
"209","2015-09-15",28.24
"210","2015-09-16",27.959999
"211","2015-09-17",29.309999
"212","2015-09-18",29.76
"213","2015-09-21",27.860001
"214","2015-09-22",27.690001
"215","2015-09-23",27.950001
"216","2015-09-24",26.6
"217","2015-09-25",24.68
"218","2015-09-28",22.889999
"219","2015-09-29",21.66
"220","2015-09-30",21.92
"221","2015-10-01",21.629999
"222","2015-10-02",22.5
"223","2015-10-05",22.58
"224","2015-10-06",21.389999
"225","2015-10-07",21.77
"226","2015-10-08",21.549999
"227","2015-10-09",21.77
"228","2015-10-12",21.379999
"229","2015-10-13",20.530001
"230","2015-10-14",20.709999
"231","2015-10-15",22.32
"232","2015-10-16",21.870001
"233","2015-10-19",25.469999
"234","2015-10-20",23.870001
"235","2015-10-21",23.43
"236","2015-10-22",21.690001
"237","2015-10-23",22.34
"238","2015-10-26",22.059999
"239","2015-10-27",23.1
"240","2015-10-28",24.77
"241","2015-10-29",23.639999
"242","2015-10-30",23.309999
"243","2015-11-02",24.889999
"244","2015-11-03",26.76
"245","2015-11-04",26.77
"246","2015-11-05",25.549999
"247","2015-11-06",25.450001
"248","2015-11-09",26.450001
"249","2015-11-10",27.040001
"250","2015-11-11",25.290001
"251","2015-11-12",25.26
"252","2015-11-13",26.200001
"253","2015-11-16",26.24
"254","2015-11-17",27.9
"255","2015-11-18",27.48
"256","2015-11-19",26.790001
"257","2015-11-20",27.389999
"258","2015-11-23",28.370001
"259","2015-11-24",29.700001
"260","2015-11-25",29.52
"261","2015-11-27",29.719999
"262","2015-11-30",29.74
"263","2015-12-01",29.879999
"264","2015-12-02",30.200001
"265","2015-12-03",29.85
"266","2015-12-04",30.370001
"267","2015-12-07",29.540001
"268","2015-12-08",30.73
"269","2015-12-09",28.870001
"270","2015-12-10",30.65
"271","2015-12-11",28.870001
"272","2015-12-14",29.09
"273","2015-12-15",29.469999
"274","2015-12-16",30.780001
"275","2015-12-17",30.629999
"276","2015-12-18",29.15
"277","2015-12-21",29.870001
"278","2015-12-22",29.6
"279","2015-12-23",31.209999
"280","2015-12-24",30.959999
"281","2015-12-28",30.08
"282","2015-12-29",31.360001
"283","2015-12-30",31.049999
"284","2015-12-31",30.469999
"285","2016-01-04",30.5
"286","2016-01-05",30.07
"287","2016-01-06",27.07
"288","2016-01-07",27.07
"289","2016-01-08",26
"290","2016-01-11",25.08
"291","2016-01-12",24.74
"292","2016-01-13",23.32
"293","2016-01-14",24
"294","2016-01-15",22.530001
"295","2016-01-19",21.42
"296","2016-01-20",21.52
"297","2016-01-21",20.450001
"298","2016-01-22",20.92
"299","2016-01-25",21.200001
"300","2016-01-26",20.549999
"301","2016-01-27",19.280001
"302","2016-01-28",18.969999
"303","2016-01-29",20.280001
"304","2016-02-01",19.459999
"305","2016-02-02",18.48
"306","2016-02-03",18.360001
"307","2016-02-04",17.540001
"308","2016-02-05",16.639999
"309","2016-02-08",14.76
"310","2016-02-09",15.33
"311","2016-02-10",15.08
"312","2016-02-11",17.190001
"313","2016-02-12",17.700001
"314","2016-02-16",18.559999
"315","2016-02-17",19.809999
"316","2016-02-18",19.309999
"317","2016-02-19",19.799999
"318","2016-02-22",19.389999
"319","2016-02-23",17.98
"320","2016-02-24",18.51
"321","2016-02-25",18.26
"322","2016-02-26",18.190001
"323","2016-02-29",17.33
"324","2016-03-01",18
"325","2016-03-02",18.48
"326","2016-03-03",18.77
"327","2016-03-04",19.57
"328","2016-03-07",20.280001
"329","2016-03-08",18.530001
"330","2016-03-09",18.5
"331","2016-03-10",17.83
"332","2016-03-11",18.6
"333","2016-03-14",19.48
"334","2016-03-15",17.43
"335","2016-03-16",17.08
"336","2016-03-17",16.48
"337","2016-03-18",17.629999
"338","2016-03-21",18.58
"339","2016-03-22",19.120001
"340","2016-03-23",18.82
"341","2016-03-24",19.209999
"342","2016-03-28",19.02
"343","2016-03-29",19.91
"344","2016-03-30",20.620001
"345","2016-03-31",21.290001
"346","2016-04-01",21.33
"347","2016-04-04",21
"348","2016-04-05",20.790001
"349","2016-04-06",22.15
"350","2016-04-07",21.309999
"351","2016-04-08",21.26
"352","2016-04-11",20.299999
"353","2016-04-12",20.540001
"354","2016-04-13",20.549999
"355","2016-04-14",20.360001
"356","2016-04-15",20.42
"357","2016-04-18",20.76
"358","2016-04-19",20.110001
"359","2016-04-20",19.65
"360","2016-04-21",20.395
"361","2016-04-22",20.65
"362","2016-04-25",20.450001
"363","2016-04-26",19.780001
"364","2016-04-27",19.209999
"365","2016-04-28",18.77
"366","2016-04-29",18
"367","2016-05-02",18.370001
"368","2016-05-03",17.15
"369","2016-05-04",16.549999
"370","2016-05-05",16.219999
"371","2016-05-06",15.79
"372","2016-05-09",16.73
"373","2016-05-10",17.940001
"374","2016-05-11",17.450001
"375","2016-05-12",17.110001
"376","2016-05-13",17.49
"377","2016-05-16",17.6
"378","2016-05-17",17.35
"379","2016-05-18",17.950001
"380","2016-05-19",17.5
"381","2016-05-20",18.040001
"382","2016-05-23",17.98
"383","2016-05-24",18.200001
"384","2016-05-25",18.52
"385","2016-05-26",18.389999
"386","2016-05-27",18.43
"387","2016-05-31",18.66
"388","2016-06-01",18.889999
"389","2016-06-02",19.48
"390","2016-06-03",18.690001
"391","2016-06-06",19.75
"392","2016-06-07",19.01
"393","2016-06-08",19.049999
"394","2016-06-09",18.389999
"395","2016-06-10",17.59
"396","2016-06-13",16.799999
"397","2016-06-14",16.620001
"398","2016-06-15",16.52
"399","2016-06-16",16.309999
"400","2016-06-17",15.59
"401","2016-06-20",15.95
"402","2016-06-21",15.68
"403","2016-06-22",15.5
"404","2016-06-23",16.17
"405","2016-06-24",15.44
"406","2016-06-27",14.85
"407","2016-06-28",15.89
"408","2016-06-29",16.4
"409","2016-06-30",16.41
"410","2016-07-01",16.73
"411","2016-07-05",16.440001
"412","2016-07-06",17.049999
"413","2016-07-07",17.129999
"414","2016-07-08",17.76
"415","2016-07-11",17.23
"416","2016-07-12",17.75
"417","2016-07-13",16.92
"418","2016-07-14",16.66
"419","2016-07-15",17.139999
"420","2016-07-18",17.41
"421","2016-07-19",16.9
"422","2016-07-20",17.639999
"423","2016-07-21",17.93
"424","2016-07-22",17.860001
"425","2016-07-25",17.860001
"426","2016-07-26",18.209999
"427","2016-07-27",18.700001
"428","2016-07-28",18.93
"429","2016-07-29",19.129999
"430","2016-08-01",19.73
"431","2016-08-02",19.17
"432","2016-08-03",19.959999
"433","2016-08-04",19.74
"434","2016-08-05",19.9
"435","2016-08-08",19.469999
"436","2016-08-09",19.190001
"437","2016-08-10",18.25
"438","2016-08-11",18.450001
"439","2016-08-12",19.16
"440","2016-08-15",19.25
"441","2016-08-16",18.389999
"442","2016-08-17",18.360001
"443","2016-08-18",18.440001
"444","2016-08-19",18.41
"445","2016-08-22",19.049999
"446","2016-08-23",19.110001
"447","2016-08-24",18.030001
"448","2016-08-25",17.6
"449","2016-08-26",17.93
"450","2016-08-29",17.629999
"451","2016-08-30",17.68
"452","2016-08-31",17.309999
"453","2016-09-01",17.33
"454","2016-09-02",17.84
"455","2016-09-06",19.01
"456","2016-09-07",19.32
"457","2016-09-08",19.27
"458","2016-09-09",18.299999
"459","2016-09-12",19.059999
"460","2016-09-13",18.540001
"461","2016-09-14",19.120001
"462","2016-09-15",20
"463","2016-09-16",20.1
"464","2016-09-19",21.299999
"465","2016-09-20",21.59
"466","2016-09-21",21.83
"467","2016-09-22",22.15
"468","2016-09-23",22.16
"469","2016-09-26",21.780001
"470","2016-09-27",22.459999
"471","2016-09-28",22.049999
"472","2016-09-29",20.42
"473","2016-09-30",20.700001
"474","2016-10-03",20.799999
"475","2016-10-04",20.51
"476","2016-10-05",20.73
"477","2016-10-06",20.049999
"478","2016-10-07",20.030001
"479","2016-10-10",20.25
"480","2016-10-11",19.549999
"481","2016-10-12",18.15
"482","2016-10-13",18.15
"483","2016-10-14",17.700001
"484","2016-10-17",17.75
"485","2016-10-18",17.950001
"486","2016-10-19",17.35
"487","2016-10-20",17.65
"488","2016-10-21",17.4
"489","2016-10-24",17.049999
"490","2016-10-25",16.799999
"491","2016-10-26",16.950001
"492","2016-10-27",16.4
"493","2016-10-28",16.700001
"494","2016-10-31",16.549999
"495","2016-11-01",16.75
"496","2016-11-02",16.450001
"497","2016-11-03",15.6
"498","2016-11-04",16.049999
"499","2016-11-07",16.15
"500","2016-11-08",15.9
"501","2016-11-09",20
"502","2016-11-10",21.15
"503","2016-11-11",22.549999
"504","2016-11-14",21.700001
"505","2016-11-15",22.799999
"506","2016-11-16",21.9
"507","2016-11-17",22.5
"508","2016-11-18",23.1
"509","2016-11-21",23.049999
"510","2016-11-22",21.9
"511","2016-11-23",23
"512","2016-11-25",23.4
"513","2016-11-28",22.6
"514","2016-11-29",22.9
"515","2016-11-30",22.15
"516","2016-12-01",20.549999
"517","2016-12-02",21.25
"518","2016-12-05",22.25
"519","2016-12-06",22.65
"520","2016-12-07",22.299999
"521","2016-12-08",22.549999
"522","2016-12-09",22.35
"523","2016-12-12",21.200001
"524","2016-12-13",20.65
"525","2016-12-14",20.35
"526","2016-12-15",21.15
"527","2016-12-16",20.450001
"528","2016-12-19",20.049999
"529","2016-12-20",20.1
"530","2016-12-21",19.799999
"531","2016-12-22",19.5
"532","2016-12-23",20.799999
"533","2016-12-27",20.25
"534","2016-12-28",20.85
"535","2016-12-29",21.75
"536","2016-12-30",21.4
"537","2017-01-03",21.299999
"538","2017-01-04",22.9
"539","2017-01-05",22.75
"540","2017-01-06",23.6
"541","2017-01-09",23.799999
"542","2017-01-10",23.9
"543","2017-01-11",23.950001
"544","2017-01-12",24.700001
"545","2017-01-13",25.5
"546","2017-01-17",23.65
"547","2017-01-18",24.950001
"548","2017-01-19",24.6
"549","2017-01-20",25.6
"550","2017-01-23",24.1
"551","2017-01-24",23.9
"552","2017-01-25",23.85
"553","2017-01-26",23.200001
"554","2017-01-27",23.299999
"555","2017-01-30",21.799999
"556","2017-01-31",22.65
"557","2017-02-01",22.65
"558","2017-02-02",23.25
"559","2017-02-03",24.475
"560","2017-02-06",24.4
"561","2017-02-07",23.9
"562","2017-02-08",23.35
"563","2017-02-09",24
"564","2017-02-10",24
"565","2017-02-13",24.1
"566","2017-02-14",24.25
"567","2017-02-15",24.4
"568","2017-02-16",24.4
"569","2017-02-17",24.6
"570","2017-02-21",24.35
"571","2017-02-22",23.799999
"572","2017-02-23",23.65
"573","2017-02-24",23.6
"574","2017-02-27",25
"575","2017-02-28",25
"576","2017-03-01",25.65
"577","2017-03-02",25.200001
"578","2017-03-03",26.450001
"579","2017-03-06",25.35
"580","2017-03-07",24.25
"581","2017-03-08",25.4
"582","2017-03-09",25.4
"583","2017-03-10",25.85
"584","2017-03-13",26.25
"585","2017-03-14",25.200001
"586","2017-03-15",25.35
"587","2017-03-16",25.1
"588","2017-03-17",25
"589","2017-03-20",25.1
"590","2017-03-21",23.15
"591","2017-03-22",25.049999
"592","2017-03-23",25.049999
"593","2017-03-24",24.799999
"594","2017-03-27",25.450001
"595","2017-03-28",25.200001
"596","2017-03-29",25.450001
"597","2017-03-30",24.799999
"598","2017-03-31",24.65
"599","2017-04-03",23.700001
"600","2017-04-04",23.9
"601","2017-04-05",22.950001
"602","2017-04-06",26.4
