"","date","FIT"
"1","2015-06-17",20
"2","2015-06-18",29.68
"3","2015-06-19",32.5
"4","2015-06-22",37.060001
"5","2015-06-23",37.880001
"6","2015-06-24",36.009998
"7","2015-06-25",36.59
"8","2015-06-26",34.75
"9","2015-06-29",33.279999
"10","2015-06-30",38.23
"11","2015-07-01",42.380001
"12","2015-07-02",42.240002
"13","2015-07-06",40.189999
"14","2015-07-07",42.150002
"15","2015-07-08",41.740002
"16","2015-07-09",42.25
"17","2015-07-10",42.099998
"18","2015-07-13",43.48
"19","2015-07-14",46
"20","2015-07-15",47.290001
"21","2015-07-16",47.779999
"22","2015-07-17",47.169998
"23","2015-07-20",44.470001
"24","2015-07-21",46.869999
"25","2015-07-22",45.529999
"26","2015-07-23",46.200001
"27","2015-07-24",45.540001
"28","2015-07-27",43.93
"29","2015-07-28",45.470001
"30","2015-07-29",44.07
"31","2015-07-30",45.189999
"32","2015-07-31",47.599998
"33","2015-08-03",48.959999
"34","2015-08-04",49.689999
"35","2015-08-05",51.639999
"36","2015-08-06",44.599998
"37","2015-08-07",42.68
"38","2015-08-10",43.150002
"39","2015-08-11",42.93
"40","2015-08-12",41.18
"41","2015-08-13",42.25
"42","2015-08-14",44.650002
"43","2015-08-17",44.93
"44","2015-08-18",43.77
"45","2015-08-19",43.099998
"46","2015-08-20",41.41
"47","2015-08-21",38.650002
"48","2015-08-24",37.360001
"49","2015-08-25",36.77
"50","2015-08-26",38.400002
"51","2015-08-27",34.970001
"52","2015-08-28",33.799999
"53","2015-08-31",34.490002
"54","2015-09-01",32.889999
"55","2015-09-02",33.57
"56","2015-09-03",33.049999
"57","2015-09-04",31.879999
"58","2015-09-08",35.459999
"59","2015-09-09",35.950001
"60","2015-09-10",34.23
"61","2015-09-11",32.400002
"62","2015-09-14",32
"63","2015-09-15",33.040001
"64","2015-09-16",37.099998
"65","2015-09-17",39.880001
"66","2015-09-18",40.720001
"67","2015-09-21",38.09
"68","2015-09-22",39.490002
"69","2015-09-23",39.110001
"70","2015-09-24",38.790001
"71","2015-09-25",37.599998
"72","2015-09-28",36.049999
"73","2015-09-29",35.299999
"74","2015-09-30",37.689999
"75","2015-10-01",38.049999
"76","2015-10-02",37.299999
"77","2015-10-05",38.099998
"78","2015-10-06",36.400002
"79","2015-10-07",35.25
