"","date","FOXF"
"1","2013-08-08",18.610001
"2","2013-08-09",18.5
"3","2013-08-12",18.08
"4","2013-08-13",17.530001
"5","2013-08-14",17.306
"6","2013-08-15",16.6
"7","2013-08-16",16.889999
"8","2013-08-19",17.059999
"9","2013-08-20",17.34
"10","2013-08-21",17.049999
"11","2013-08-22",17.200001
"12","2013-08-23",17.43
"13","2013-08-26",17.93
"14","2013-08-27",17.68
"15","2013-08-28",18.17
"16","2013-08-29",18.389999
"17","2013-08-30",18.16
"18","2013-09-03",17.639999
"19","2013-09-04",17.76
"20","2013-09-05",17.68
"21","2013-09-06",17.75
"22","2013-09-09",17.620001
"23","2013-09-10",17.700001
"24","2013-09-11",18.27
"25","2013-09-12",18.68
"26","2013-09-13",18.700001
"27","2013-09-16",18.25
"28","2013-09-17",17.610001
"29","2013-09-18",18.57
"30","2013-09-19",18.379999
"31","2013-09-20",18.190001
"32","2013-09-23",19.032
"33","2013-09-24",19.049999
"34","2013-09-25",19.1
"35","2013-09-26",19.85
"36","2013-09-27",19.892
"37","2013-09-30",19.27
"38","2013-10-01",19.642
"39","2013-10-02",19.68
"40","2013-10-03",18.98
"41","2013-10-04",19.530001
"42","2013-10-07",18.58
"43","2013-10-08",17.85
"44","2013-10-09",17.389999
"45","2013-10-10",17.308001
"46","2013-10-11",17.25
"47","2013-10-14",16.959999
"48","2013-10-15",17.02
"49","2013-10-16",17.120001
"50","2013-10-17",17.139999
"51","2013-10-18",16.950001
"52","2013-10-21",16.66
"53","2013-10-22",16.059999
"54","2013-10-23",17.1
"55","2013-10-24",17.48
"56","2013-10-25",17.469999
"57","2013-10-28",17.52
"58","2013-10-29",17.42
"59","2013-10-30",17.469999
"60","2013-10-31",17.42
"61","2013-11-01",17.41
"62","2013-11-04",17.469999
"63","2013-11-05",17.6
"64","2013-11-06",18.25
"65","2013-11-07",17.049999
"66","2013-11-08",17.43
"67","2013-11-11",17.440001
"68","2013-11-12",17.469999
"69","2013-11-13",17.709999
"70","2013-11-14",18.120001
"71","2013-11-15",18.6
"72","2013-11-18",18.440001
"73","2013-11-19",19.290001
"74","2013-11-20",18.959999
"75","2013-11-21",18.82
"76","2013-11-22",18.52
"77","2013-11-25",18.16
"78","2013-11-26",18.370001
"79","2013-11-27",18.219999
"80","2013-11-29",18.379999
"81","2013-12-02",17.92
"82","2013-12-03",17.370001
"83","2013-12-04",17.27
"84","2013-12-05",16.860001
"85","2013-12-06",17.26
"86","2013-12-09",17.41
"87","2013-12-10",17.049999
"88","2013-12-11",17.059999
"89","2013-12-12",17.120001
"90","2013-12-13",16.99
"91","2013-12-16",17.219999
"92","2013-12-17",17.15
"93","2013-12-18",16.790001
"94","2013-12-19",16.889999
"95","2013-12-20",17.42
"96","2013-12-23",18.02
"97","2013-12-24",18.459999
"98","2013-12-26",18.129999
"99","2013-12-27",18.01
"100","2013-12-30",17.780001
"101","2013-12-31",17.620001
"102","2014-01-02",16.93
"103","2014-01-03",17.01
"104","2014-01-06",17.360001
"105","2014-01-07",16.93
"106","2014-01-08",17.200001
"107","2014-01-09",16.940001
"108","2014-01-10",17.65
"109","2014-01-13",17.16
"110","2014-01-14",17.299999
"111","2014-01-15",17.51
"112","2014-01-16",17.549999
"113","2014-01-17",17.549999
"114","2014-01-21",17.450001
"115","2014-01-22",17.18
"116","2014-01-23",16.940001
"117","2014-01-24",16.57
"118","2014-01-27",16.51
"119","2014-01-28",16.709999
"120","2014-01-29",16.879999
"121","2014-01-30",16.620001
"122","2014-01-31",16.219999
"123","2014-02-03",16.1
"124","2014-02-04",16.139999
"125","2014-02-05",16.110001
"126","2014-02-06",15.5
"127","2014-02-07",15.9
"128","2014-02-10",15.86
"129","2014-02-11",16.379999
"130","2014-02-12",16.549999
"131","2014-02-13",16.66
"132","2014-02-14",16.540001
"133","2014-02-18",16.719999
"134","2014-02-19",16.73
"135","2014-02-20",16.67
"136","2014-02-21",16.66
"137","2014-02-24",16.73
"138","2014-02-25",16.75
"139","2014-02-26",16.559999
"140","2014-02-27",16.76
"141","2014-02-28",16.700001
"142","2014-03-03",16.73
"143","2014-03-04",16.93
"144","2014-03-05",16.860001
"145","2014-03-06",16.92
"146","2014-03-07",17
"147","2014-03-10",16.709999
"148","2014-03-11",16.65
"149","2014-03-12",16.639999
"150","2014-03-13",16.969999
"151","2014-03-14",17.34
"152","2014-03-17",17.4
"153","2014-03-18",17.5
"154","2014-03-19",17.5
"155","2014-03-20",17.610001
"156","2014-03-21",18.07
"157","2014-03-24",18.040001
"158","2014-03-25",18.940001
"159","2014-03-26",18.559999
"160","2014-03-27",18.209999
"161","2014-03-28",18.16
"162","2014-03-31",18.9
"163","2014-04-01",18.440001
