"","date","FRAN"
"1","2011-07-22",331.799988
"2","2011-07-25",339.720001
"3","2011-07-26",334.440002
"4","2011-07-27",317.519989
"5","2011-07-28",309.600006
"6","2011-07-29",315.119995
"7","2011-08-01",312.839996
"8","2011-08-02",304.079987
"9","2011-08-03",304.440002
"10","2011-08-04",297.839996
"11","2011-08-05",311.399994
"12","2011-08-08",294
"13","2011-08-09",312.119995
"14","2011-08-10",311.76001
"15","2011-08-11",302.040009
"16","2011-08-12",306
"17","2011-08-15",313.200012
"18","2011-08-16",310.920013
"19","2011-08-17",311.160004
"20","2011-08-18",271.440002
"21","2011-08-19",239.880005
"22","2011-08-22",253.080002
"23","2011-08-23",277.679993
"24","2011-08-24",288
"25","2011-08-25",287.160004
"26","2011-08-26",295.320007
"27","2011-08-29",312.720001
"28","2011-08-30",304.559998
"29","2011-08-31",275.160004
"30","2011-09-01",272.279999
"31","2011-09-02",267.119995
"32","2011-09-06",252.240005
"33","2011-09-07",239.039993
"34","2011-09-08",238.919998
"35","2011-09-09",235.320007
"36","2011-09-12",237.119995
"37","2011-09-13",238.320007
"38","2011-09-14",237
"39","2011-09-15",239.399994
"40","2011-09-16",236.880005
"41","2011-09-19",239.399994
"42","2011-09-20",239.639999
"43","2011-09-21",240
"44","2011-09-22",231.960007
"45","2011-09-23",234.360001
"46","2011-09-26",253.199997
"47","2011-09-27",263.76001
"48","2011-09-28",258.720001
"49","2011-09-29",264.600006
"50","2011-09-30",254.520004
"51","2011-10-03",237.960007
"52","2011-10-04",243.479996
"53","2011-10-05",248.520004
"54","2011-10-06",244.199997
"55","2011-10-07",234.600006
"56","2011-10-10",237.839996
"57","2011-10-11",236.759995
"58","2011-10-12",251.639999
"59","2011-10-13",261.119995
"60","2011-10-14",276.839996
"61","2011-10-17",265.440002
"62","2011-10-18",266.880005
"63","2011-10-19",263.160004
"64","2011-10-20",265.079987
"65","2011-10-21",276.480011
"66","2011-10-24",292.320007
"67","2011-10-25",292.440002
"68","2011-10-26",290.279999
"69","2011-10-27",305.76001
"70","2011-10-28",314.399994
"71","2011-10-31",308.040009
"72","2011-11-01",291
"73","2011-11-02",297.359985
"74","2011-11-03",318.959991
"75","2011-11-04",303.839996
"76","2011-11-07",295.920013
"77","2011-11-08",291.839996
"78","2011-11-09",260.880005
"79","2011-11-10",255.240005
"80","2011-11-11",256.920013
"81","2011-11-14",254.520004
"82","2011-11-15",255.479996
"83","2011-11-16",236.520004
"84","2011-11-17",239.279999
"85","2011-11-18",237.839996
"86","2011-11-21",239.880005
"87","2011-11-22",236.039993
"88","2011-11-23",233.279999
"89","2011-11-25",228
"90","2011-11-28",214.679993
"91","2011-11-29",203.639999
"92","2011-11-30",198
"93","2011-12-01",184.320007
"94","2011-12-02",192
"95","2011-12-05",210.720001
"96","2011-12-06",200.759995
"97","2011-12-07",234
"98","2011-12-08",225.839996
"99","2011-12-09",236.399994
"100","2011-12-12",232.800003
"101","2011-12-13",225.720001
"102","2011-12-14",215.399994
"103","2011-12-15",215.279999
"104","2011-12-16",204.839996
"105","2011-12-19",204.600006
"106","2011-12-20",221.639999
"107","2011-12-21",215.880005
"108","2011-12-22",221.279999
"109","2011-12-23",214.919998
"110","2011-12-27",216.119995
"111","2011-12-28",203.039993
"112","2011-12-29",208.080002
"113","2011-12-30",207.600006
"114","2012-01-03",202.080002
"115","2012-01-04",207.600006
"116","2012-01-05",215.639999
"117","2012-01-06",217.679993
"118","2012-01-09",217.320007
"119","2012-01-10",243.720001
"120","2012-01-11",254.639999
"121","2012-01-12",270.119995
"122","2012-01-13",268.200012
"123","2012-01-17",268.440002
"124","2012-01-18",276.119995
"125","2012-01-19",271.200012
"126","2012-01-20",270.600006
"127","2012-01-23",267.720001
"128","2012-01-24",274.920013
"129","2012-01-25",292.679993
"130","2012-01-26",285
"131","2012-01-27",272.76001
"132","2012-01-30",267.359985
"133","2012-01-31",266.040009
"134","2012-02-01",263.640015
"135","2012-02-02",271.079987
"136","2012-02-03",272.640015
"137","2012-02-06",270
"138","2012-02-07",273.839996
"139","2012-02-08",280.320007
"140","2012-02-09",278.640015
"141","2012-02-10",280.920013
"142","2012-02-13",280.679993
"143","2012-02-14",281.399994
"144","2012-02-15",281.040009
"145","2012-02-16",279
"146","2012-02-17",276.23999
"147","2012-02-21",277.799988
"148","2012-02-22",273.359985
"149","2012-02-23",273.720001
"150","2012-02-24",274.559998
"151","2012-02-27",281.880005
"152","2012-02-28",282.119995
"153","2012-02-29",275.399994
"154","2012-03-01",282.119995
"155","2012-03-02",272.880005
"156","2012-03-05",279.600006
"157","2012-03-06",278.76001
"158","2012-03-07",279.119995
"159","2012-03-08",299.519989
"160","2012-03-09",303.600006
"161","2012-03-12",306
"162","2012-03-13",321.359985
"163","2012-03-14",351.480011
"164","2012-03-15",361.559998
"165","2012-03-16",368.640015
