"","date","FRME"
"1","2007-01-03",27.280001
"2","2007-01-04",27.459999
"3","2007-01-05",26.33
"4","2007-01-08",26.5
"5","2007-01-09",26.24
"6","2007-01-10",26.129999
"7","2007-01-11",26.24
"8","2007-01-12",26.51
"9","2007-01-16",26.309999
"10","2007-01-17",25.98
"11","2007-01-18",25.620001
"12","2007-01-19",25.6
"13","2007-01-22",25.32
"14","2007-01-23",25.25
"15","2007-01-24",25.4
"16","2007-01-25",24.77
"17","2007-01-26",25.09
"18","2007-01-29",25.540001
"19","2007-01-30",25.74
"20","2007-01-31",25.889999
"21","2007-02-01",26.02
"22","2007-02-02",26.24
"23","2007-02-05",26.129999
"24","2007-02-06",25.940001
"25","2007-02-07",26.129999
"26","2007-02-08",26.309999
"27","2007-02-09",25.65
"28","2007-02-12",25.5
"29","2007-02-13",25.67
"30","2007-02-14",25.66
"31","2007-02-15",25.290001
"32","2007-02-16",25.23
"33","2007-02-20",25.379999
"34","2007-02-21",25.450001
"35","2007-02-22",25.280001
"36","2007-02-23",24.82
"37","2007-02-26",24.309999
"38","2007-02-27",24.23
"39","2007-02-28",24.629999
"40","2007-03-01",24.07
"41","2007-03-02",23.17
"42","2007-03-05",23.42
"43","2007-03-06",24.190001
"44","2007-03-07",23.469999
"45","2007-03-08",23.370001
"46","2007-03-09",23.559999
"47","2007-03-12",23.73
"48","2007-03-13",23.65
"49","2007-03-14",23.73
"50","2007-03-15",23.940001
"51","2007-03-16",23.790001
"52","2007-03-19",24.030001
"53","2007-03-20",24.27
"54","2007-03-21",24.719999
"55","2007-03-22",24.469999
"56","2007-03-23",24.43
"57","2007-03-26",24.42
"58","2007-03-27",23.959999
"59","2007-03-28",23.84
"60","2007-03-29",23.889999
"61","2007-03-30",23.719999
"62","2007-04-02",23.85
"63","2007-04-03",24.51
"64","2007-04-04",24.32
"65","2007-04-05",23.92
"66","2007-04-09",23.4
"67","2007-04-10",23.870001
"68","2007-04-11",23.18
"69","2007-04-12",23.85
"70","2007-04-13",24.049999
"71","2007-04-16",24.82
"72","2007-04-17",24.73
"73","2007-04-18",24.559999
"74","2007-04-19",24.219999
"75","2007-04-20",24.309999
"76","2007-04-23",24.02
"77","2007-04-24",24
"78","2007-04-25",23.709999
"79","2007-04-26",23.389999
"80","2007-04-27",22.84
"81","2007-04-30",21.57
"82","2007-05-01",22.719999
"83","2007-05-02",23.65
"84","2007-05-03",23.860001
"85","2007-05-04",23.92
"86","2007-05-07",23.610001
"87","2007-05-08",23.709999
"88","2007-05-09",24.030001
"89","2007-05-10",23.719999
"90","2007-05-11",24.42
"91","2007-05-14",24.07
"92","2007-05-15",24.209999
"93","2007-05-16",24.02
"94","2007-05-17",23.790001
"95","2007-05-18",23.83
"96","2007-05-21",24.299999
"97","2007-05-22",24.48
"98","2007-05-23",24.219999
"99","2007-05-24",23.59
"100","2007-05-25",23.620001
"101","2007-05-29",24.26
"102","2007-05-30",24.459999
"103","2007-05-31",24.35
"104","2007-06-01",24.639999
"105","2007-06-04",24.459999
"106","2007-06-05",23.790001
"107","2007-06-06",23.610001
"108","2007-06-07",23.43
"109","2007-06-08",24.25
"110","2007-06-11",23.889999
"111","2007-06-12",23.5
"112","2007-06-13",24.18
"113","2007-06-14",23.84
"114","2007-06-15",24.870001
"115","2007-06-18",24.5
"116","2007-06-19",24.790001
"117","2007-06-20",24.57
"118","2007-06-21",24.43
"119","2007-06-22",24.32
"120","2007-06-25",24.049999
"121","2007-06-26",24.059999
"122","2007-06-27",24.889999
"123","2007-06-28",24.68
"124","2007-06-29",24.030001
"125","2007-07-02",24.48
"126","2007-07-03",24.82
"127","2007-07-05",24.610001
"128","2007-07-06",24.66
"129","2007-07-09",24.360001
"130","2007-07-10",23.35
"131","2007-07-11",23.469999
"132","2007-07-12",24.200001
"133","2007-07-13",24.08
"134","2007-07-16",23.389999
"135","2007-07-17",23.440001
"136","2007-07-18",23.4
"137","2007-07-19",23.24
"138","2007-07-20",22.15
"139","2007-07-23",22.02
"140","2007-07-24",21.809999
"141","2007-07-25",22.059999
"142","2007-07-26",21.18
"143","2007-07-27",20.84
"144","2007-07-30",21.299999
"145","2007-07-31",20.25
"146","2007-08-01",19.950001
"147","2007-08-02",20.469999
"148","2007-08-03",18.360001
"149","2007-08-06",19.92
"150","2007-08-07",20.049999
"151","2007-08-08",20.370001
"152","2007-08-09",21.24
"153","2007-08-10",23.17
"154","2007-08-13",20.4
"155","2007-08-14",19.9
"156","2007-08-15",20.02
"157","2007-08-16",22.02
"158","2007-08-17",22.59
"159","2007-08-20",22.549999
"160","2007-08-21",22.92
"161","2007-08-22",22.879999
"162","2007-08-23",21.98
"163","2007-08-24",22.450001
"164","2007-08-27",22.17
"165","2007-08-28",21.27
"166","2007-08-29",22.129999
"167","2007-08-30",21.4
"168","2007-08-31",21.190001
"169","2007-09-04",21.99
"170","2007-09-05",21.299999
"171","2007-09-06",21.219999
"172","2007-09-07",20.309999
"173","2007-09-10",20.75
"174","2007-09-11",21.280001
"175","2007-09-12",20.82
"176","2007-09-13",21.120001
"177","2007-09-14",20.73
"178","2007-09-17",20.67
"179","2007-09-18",22.639999
"180","2007-09-19",23.51
"181","2007-09-20",22.879999
"182","2007-09-21",22.83
"183","2007-09-24",22.57
"184","2007-09-25",21.950001
"185","2007-09-26",22.299999
"186","2007-09-27",22.01
"187","2007-09-28",21.559999
"188","2007-10-01",23.040001
"189","2007-10-02",23.190001
"190","2007-10-03",22.57
"191","2007-10-04",22.809999
"192","2007-10-05",23.42
"193","2007-10-08",22.860001
"194","2007-10-09",22.48
"195","2007-10-10",22.360001
"196","2007-10-11",21.98
"197","2007-10-12",22.15
"198","2007-10-15",21.559999
"199","2007-10-16",21.42
"200","2007-10-17",21.17
"201","2007-10-18",21.41
"202","2007-10-19",20.02
"203","2007-10-22",21.440001
"204","2007-10-23",21.57
"205","2007-10-24",21.219999
"206","2007-10-25",21.030001
"207","2007-10-26",21.719999
"208","2007-10-29",21.860001
"209","2007-10-30",21.540001
"210","2007-10-31",22.049999
"211","2007-11-01",20.389999
"212","2007-11-02",20.76
"213","2007-11-05",20.690001
"214","2007-11-06",21.290001
"215","2007-11-07",19.92
"216","2007-11-08",20.969999
"217","2007-11-09",21.42
"218","2007-11-12",21.24
"219","2007-11-13",22.77
"220","2007-11-14",22.48
"221","2007-11-15",21.950001
"222","2007-11-16",22.09
"223","2007-11-19",20.559999
"224","2007-11-20",20.99
"225","2007-11-21",20.950001
"226","2007-11-23",21.959999
"227","2007-11-26",20.32
"228","2007-11-27",20.83
"229","2007-11-28",22.370001
"230","2007-11-29",21.41
"231","2007-11-30",21.690001
"232","2007-12-03",21.200001
"233","2007-12-04",20.51
"234","2007-12-05",21.290001
"235","2007-12-06",22
"236","2007-12-07",21.940001
"237","2007-12-10",22.139999
"238","2007-12-11",20.940001
"239","2007-12-12",21.190001
"240","2007-12-13",21.290001
"241","2007-12-14",20.469999
"242","2007-12-17",20.209999
"243","2007-12-18",21.5
"244","2007-12-19",21.299999
"245","2007-12-20",21.959999
"246","2007-12-21",22.93
"247","2007-12-24",22.959999
"248","2007-12-26",23.32
"249","2007-12-27",22.09
"250","2007-12-28",21.58
"251","2007-12-31",21.84
"252","2008-01-02",20.6
"253","2008-01-03",20.120001
"254","2008-01-04",20.24
"255","2008-01-07",21.07
"256","2008-01-08",19.51
"257","2008-01-09",20.66
"258","2008-01-10",20.93
"259","2008-01-11",20.07
"260","2008-01-14",20.690001
"261","2008-01-15",19.75
"262","2008-01-16",20.139999
"263","2008-01-17",19.73
"264","2008-01-18",19.4
"265","2008-01-22",19.6
"266","2008-01-23",23.120001
"267","2008-01-24",23.16
"268","2008-01-25",24
"269","2008-01-28",25.309999
"270","2008-01-29",25.440001
"271","2008-01-30",25.709999
"272","2008-01-31",27
"273","2008-02-01",27.709999
"274","2008-02-04",26.25
"275","2008-02-05",26.58
"276","2008-02-06",26.799999
"277","2008-02-07",27.120001
"278","2008-02-08",27.190001
"279","2008-02-11",27.940001
"280","2008-02-12",27.610001
"281","2008-02-13",28
"282","2008-02-14",27.48
"283","2008-02-15",27.84
"284","2008-02-19",27.82
"285","2008-02-20",27.43
"286","2008-02-21",27.360001
"287","2008-02-22",27.84
"288","2008-02-25",28.34
"289","2008-02-26",28.299999
"290","2008-02-27",28.25
"291","2008-02-28",27.49
"292","2008-02-29",27.01
"293","2008-03-03",26.23
"294","2008-03-04",25.870001
"295","2008-03-05",25.790001
"296","2008-03-06",25.08
"297","2008-03-07",25.16
"298","2008-03-10",25.76
"299","2008-03-11",28
"300","2008-03-12",27.540001
"301","2008-03-13",28.280001
"302","2008-03-14",27.389999
"303","2008-03-17",27.700001
"304","2008-03-18",28.49
"305","2008-03-19",28.049999
"306","2008-03-20",29.440001
"307","2008-03-24",29.120001
"308","2008-03-25",28.860001
"309","2008-03-26",28.889999
"310","2008-03-27",28.780001
"311","2008-03-28",28.41
"312","2008-03-31",28.540001
"313","2008-04-01",29.25
"314","2008-04-02",29.299999
"315","2008-04-03",29.110001
"316","2008-04-04",28.629999
"317","2008-04-07",28.66
"318","2008-04-08",28.35
"319","2008-04-09",27.530001
"320","2008-04-10",27.950001
"321","2008-04-11",27.030001
"322","2008-04-14",26.74
"323","2008-04-15",27.610001
"324","2008-04-16",28.91
"325","2008-04-17",28.98
"326","2008-04-18",29.6
"327","2008-04-21",29
"328","2008-04-22",27.700001
"329","2008-04-23",27.049999
"330","2008-04-24",27.030001
"331","2008-04-25",26.049999
"332","2008-04-28",26.02
"333","2008-04-29",25.93
"334","2008-04-30",25.57
"335","2008-05-01",26.219999
"336","2008-05-02",26.059999
"337","2008-05-05",26.07
"338","2008-05-06",26.379999
"339","2008-05-07",25.16
"340","2008-05-08",25.08
"341","2008-05-09",25.24
"342","2008-05-12",25.780001
"343","2008-05-13",25.4
"344","2008-05-14",25.6
"345","2008-05-15",25.57
"346","2008-05-16",24.73
"347","2008-05-19",24.51
"348","2008-05-20",24.32
"349","2008-05-21",24.379999
"350","2008-05-22",24.91
"351","2008-05-23",24.530001
"352","2008-05-27",25.110001
"353","2008-05-28",24.969999
"354","2008-05-29",25.16
"355","2008-05-30",24.75
"356","2008-06-02",24.030001
"357","2008-06-03",23.98
"358","2008-06-04",23.73
"359","2008-06-05",24.18
"360","2008-06-06",23.190001
"361","2008-06-09",22.57
"362","2008-06-10",23.16
"363","2008-06-11",21.77
"364","2008-06-12",21.709999
"365","2008-06-13",21.530001
"366","2008-06-16",21.93
"367","2008-06-17",21.42
"368","2008-06-18",20.93
"369","2008-06-19",20.75
"370","2008-06-20",20.25
"371","2008-06-23",19.370001
"372","2008-06-24",19.51
"373","2008-06-25",20.07
"374","2008-06-26",19.34
"375","2008-06-27",18.860001
"376","2008-06-30",18.15
"377","2008-07-01",18.67
"378","2008-07-02",18
"379","2008-07-03",17.82
"380","2008-07-07",17.33
"381","2008-07-08",18.780001
"382","2008-07-09",17.450001
"383","2008-07-10",17.9
"384","2008-07-11",17.959999
"385","2008-07-14",16.99
"386","2008-07-15",16.889999
"387","2008-07-16",17.879999
"388","2008-07-17",19.540001
"389","2008-07-18",18.780001
"390","2008-07-21",18.440001
"391","2008-07-22",20.040001
"392","2008-07-23",19.75
"393","2008-07-24",19.559999
"394","2008-07-25",19.48
"395","2008-07-28",18.67
"396","2008-07-29",20.92
"397","2008-07-30",21.35
"398","2008-07-31",21
"399","2008-08-01",20.66
"400","2008-08-04",21.07
"401","2008-08-05",21.6
"402","2008-08-06",21.190001
"403","2008-08-07",20.08
"404","2008-08-08",21.43
"405","2008-08-11",22.129999
"406","2008-08-12",22.190001
"407","2008-08-13",21.879999
"408","2008-08-14",21.549999
"409","2008-08-15",21.709999
"410","2008-08-18",20.809999
"411","2008-08-19",20.440001
"412","2008-08-20",20.09
"413","2008-08-21",19.809999
"414","2008-08-22",20.33
"415","2008-08-25",19.360001
"416","2008-08-26",19.690001
"417","2008-08-27",20.129999
"418","2008-08-28",19.940001
"419","2008-08-29",19.290001
"420","2008-09-02",19.889999
"421","2008-09-03",19.629999
"422","2008-09-04",19.27
"423","2008-09-05",19.360001
"424","2008-09-08",20.09
"425","2008-09-09",19.639999
"426","2008-09-10",20.610001
"427","2008-09-11",20.379999
"428","2008-09-12",20.959999
"429","2008-09-15",20.27
"430","2008-09-16",21.85
"431","2008-09-17",19.98
"432","2008-09-18",22.620001
"433","2008-09-19",25.52
"434","2008-09-22",22.700001
"435","2008-09-23",21.950001
"436","2008-09-24",21.84
"437","2008-09-25",21.82
"438","2008-09-26",22.860001
"439","2008-09-29",22.799999
"440","2008-09-30",22.799999
"441","2008-10-01",21.73
"442","2008-10-02",20.870001
"443","2008-10-03",19.58
"444","2008-10-06",20.860001
"445","2008-10-07",18.780001
"446","2008-10-08",17.82
"447","2008-10-09",16.299999
"448","2008-10-10",18.809999
"449","2008-10-13",21
"450","2008-10-14",20.25
"451","2008-10-15",19.07
"452","2008-10-16",21.780001
"453","2008-10-17",20.610001
"454","2008-10-20",21.219999
"455","2008-10-21",20.389999
"456","2008-10-22",19.83
"457","2008-10-23",19.290001
"458","2008-10-24",19.129999
"459","2008-10-27",18.16
"460","2008-10-28",19.559999
"461","2008-10-29",20.35
"462","2008-10-30",21.209999
"463","2008-10-31",22.01
"464","2008-11-03",22.700001
"465","2008-11-04",23.43
"466","2008-11-05",21.27
"467","2008-11-06",20.99
"468","2008-11-07",21.73
"469","2008-11-10",21.629999
"470","2008-11-11",21.530001
"471","2008-11-12",20.540001
"472","2008-11-13",22.559999
"473","2008-11-14",20.309999
"474","2008-11-17",19.84
"475","2008-11-18",19.940001
"476","2008-11-19",18.93
"477","2008-11-20",18.040001
"478","2008-11-21",18.440001
"479","2008-11-24",20.120001
"480","2008-11-25",20.76
"481","2008-11-26",20.309999
"482","2008-11-28",20.17
"483","2008-12-01",17
"484","2008-12-02",18.48
"485","2008-12-03",19.58
"486","2008-12-04",19.16
"487","2008-12-05",20.52
"488","2008-12-08",20.959999
"489","2008-12-09",19.799999
"490","2008-12-10",20.280001
"491","2008-12-11",18.92
"492","2008-12-12",20
"493","2008-12-15",19.58
"494","2008-12-16",21.34
"495","2008-12-17",21.389999
"496","2008-12-18",20.9
"497","2008-12-19",21.17
"498","2008-12-22",21.16
"499","2008-12-23",21.299999
"500","2008-12-24",21.18
"501","2008-12-26",21.57
"502","2008-12-29",21.25
"503","2008-12-30",22.059999
"504","2008-12-31",22.209999
"505","2009-01-02",22.84
"506","2009-01-05",22.74
"507","2009-01-06",23.309999
"508","2009-01-07",21.719999
"509","2009-01-08",21.799999
"510","2009-01-09",20.389999
"511","2009-01-12",19.440001
"512","2009-01-13",19.709999
"513","2009-01-14",18.41
"514","2009-01-15",17.549999
"515","2009-01-16",17.299999
"516","2009-01-20",15.36
"517","2009-01-21",16.77
"518","2009-01-22",16.02
"519","2009-01-23",16.42
"520","2009-01-26",16.620001
"521","2009-01-27",16.799999
"522","2009-01-28",17.35
"523","2009-01-29",15.92
"524","2009-01-30",15.68
"525","2009-02-02",16.049999
"526","2009-02-03",16.08
"527","2009-02-04",15.52
"528","2009-02-05",15.65
"529","2009-02-06",16.5
"530","2009-02-09",15.71
"531","2009-02-10",14.05
"532","2009-02-11",14.08
"533","2009-02-12",13.91
"534","2009-02-13",13.26
"535","2009-02-17",12.31
"536","2009-02-18",12.11
"537","2009-02-19",11.17
"538","2009-02-20",11.12
"539","2009-02-23",10.34
"540","2009-02-24",11.14
"541","2009-02-25",10.49
"542","2009-02-26",10.6
"543","2009-02-27",10.05
"544","2009-03-02",9.31
"545","2009-03-03",8.97
"546","2009-03-04",9.23
"547","2009-03-05",7.57
"548","2009-03-06",7.76
"549","2009-03-09",7.67
"550","2009-03-10",8.51
"551","2009-03-11",8.43
"552","2009-03-12",9.66
"553","2009-03-13",9.72
"554","2009-03-16",9.35
"555","2009-03-17",10.41
"556","2009-03-18",11.12
"557","2009-03-19",10.87
"558","2009-03-20",10.65
"559","2009-03-23",12.26
"560","2009-03-24",11.21
