"","date","FROG"
"1","2020-09-16",64.790001
"2","2020-09-17",64.459999
"3","2020-09-18",64.779999
"4","2020-09-21",67
"5","2020-09-22",77.709999
"6","2020-09-23",75.5
"7","2020-09-24",72.459999
"8","2020-09-25",75.730003
"9","2020-09-28",86.349998
"10","2020-09-29",85.470001
"11","2020-09-30",84.650002
"12","2020-10-01",79.010002
"13","2020-10-02",75.75
"14","2020-10-05",78.010002
"15","2020-10-06",74.620003
"16","2020-10-07",73
"17","2020-10-08",73.370003
"18","2020-10-09",74
"19","2020-10-12",76.730003
"20","2020-10-13",73.620003
"21","2020-10-14",73.800003
"22","2020-10-15",75.010002
"23","2020-10-16",80.18
"24","2020-10-19",78.139999
"25","2020-10-20",81.769997
"26","2020-10-21",77.400002
"27","2020-10-22",80.879997
"28","2020-10-23",85.25
"29","2020-10-26",85.07
"30","2020-10-27",81.559998
"31","2020-10-28",74.440002
"32","2020-10-29",76.300003
"33","2020-10-30",72.43
"34","2020-11-02",70.489998
"35","2020-11-03",71.809998
"36","2020-11-04",71.860001
"37","2020-11-05",64.970001
"38","2020-11-06",64.419998
"39","2020-11-09",60.150002
"40","2020-11-10",59.599998
"41","2020-11-11",61.049999
"42","2020-11-12",59.990002
"43","2020-11-13",62.470001
"44","2020-11-16",63.400002
"45","2020-11-17",61.98
"46","2020-11-18",63.27
"47","2020-11-19",62.119999
"48","2020-11-20",61.23
"49","2020-11-23",60.48
"50","2020-11-24",59.73
"51","2020-11-25",66.690002
"52","2020-11-27",69.370003
