"","date","FRO"
"1","2007-01-03",157.25
"2","2007-01-04",155.050003
"3","2007-01-05",152.050003
"4","2007-01-08",154.5
"5","2007-01-09",151.75
"6","2007-01-10",152.25
"7","2007-01-11",152.75
"8","2007-01-12",158.949997
"9","2007-01-16",160.5
"10","2007-01-17",159.050003
"11","2007-01-18",157.050003
"12","2007-01-19",159.199997
"13","2007-01-22",161.399994
"14","2007-01-23",165.75
"15","2007-01-24",164.699997
"16","2007-01-25",162.649994
"17","2007-01-26",162.699997
"18","2007-01-29",162.800003
"19","2007-01-30",163.600006
"20","2007-01-31",164.5
"21","2007-02-01",169.300003
"22","2007-02-02",172.949997
"23","2007-02-05",169.300003
"24","2007-02-06",171.149994
"25","2007-02-07",170.649994
"26","2007-02-08",170.699997
"27","2007-02-09",171.75
"28","2007-02-12",170.550003
"29","2007-02-13",173.649994
"30","2007-02-14",175.75
"31","2007-02-15",174.800003
"32","2007-02-16",172.550003
"33","2007-02-20",177.449997
"34","2007-02-21",179.699997
"35","2007-02-22",182.5
"36","2007-02-23",181.600006
"37","2007-02-26",179.149994
"38","2007-02-27",171
"39","2007-02-28",178.850006
"40","2007-03-01",175.75
"41","2007-03-02",175.800003
"42","2007-03-05",173.050003
"43","2007-03-06",154.25
"44","2007-03-07",155.149994
"45","2007-03-08",158.449997
"46","2007-03-09",165
"47","2007-03-12",166.25
"48","2007-03-13",162.25
"49","2007-03-14",163.649994
"50","2007-03-15",164.399994
"51","2007-03-16",168.699997
"52","2007-03-19",169.350006
"53","2007-03-20",170.5
"54","2007-03-21",175.550003
"55","2007-03-22",175
"56","2007-03-23",174.75
"57","2007-03-26",179
"58","2007-03-27",175.350006
"59","2007-03-28",176.800003
"60","2007-03-29",177.899994
"61","2007-03-30",177.5
"62","2007-04-02",178.149994
"63","2007-04-03",179.449997
"64","2007-04-04",181.25
"65","2007-04-05",181.199997
"66","2007-04-09",180.25
"67","2007-04-10",181.100006
"68","2007-04-11",176.449997
"69","2007-04-12",174.899994
"70","2007-04-13",174.600006
"71","2007-04-16",177.350006
"72","2007-04-17",174.699997
"73","2007-04-18",176.949997
"74","2007-04-19",175.25
"75","2007-04-20",176.850006
"76","2007-04-23",181
"77","2007-04-24",181.350006
"78","2007-04-25",186.699997
"79","2007-04-26",184.550003
"80","2007-04-27",186.399994
"81","2007-04-30",188.949997
"82","2007-05-01",193.75
"83","2007-05-02",192.75
"84","2007-05-03",196.5
"85","2007-05-04",197.699997
"86","2007-05-07",200.800003
"87","2007-05-08",200.75
"88","2007-05-09",198.850006
"89","2007-05-10",192.850006
"90","2007-05-11",197.300003
"91","2007-05-14",196.199997
"92","2007-05-15",194.100006
"93","2007-05-16",196.550003
"94","2007-05-17",197.449997
"95","2007-05-18",199.449997
"96","2007-05-21",206.100006
"97","2007-05-22",207.699997
"98","2007-05-23",207.199997
"99","2007-05-24",204.449997
"100","2007-05-25",213.699997
"101","2007-05-29",217.800003
"102","2007-05-30",224.600006
"103","2007-05-31",229
"104","2007-06-01",232.149994
"105","2007-06-04",235.600006
"106","2007-06-05",239.300003
"107","2007-06-06",221.600006
"108","2007-06-07",206.5
"109","2007-06-08",213.5
"110","2007-06-11",214.5
"111","2007-06-12",210.25
"112","2007-06-13",217.649994
"113","2007-06-14",226.050003
"114","2007-06-15",223.949997
"115","2007-06-18",227.5
