"","date","GDOT"
"1","2010-07-22",43.990002
"2","2010-07-23",44.200001
"3","2010-07-26",44.049999
"4","2010-07-27",43
"5","2010-07-28",43.009998
"6","2010-07-29",42.950001
"7","2010-07-30",43.5
"8","2010-08-02",43.52
"9","2010-08-03",43
"10","2010-08-04",43.310001
"11","2010-08-05",43.32
"12","2010-08-06",43.650002
"13","2010-08-09",46.299999
"14","2010-08-10",47.060001
"15","2010-08-11",46.93
"16","2010-08-12",46.560001
"17","2010-08-13",45.009998
"18","2010-08-16",44.5
"19","2010-08-17",44.799999
"20","2010-08-18",44.599998
"21","2010-08-19",45.009998
"22","2010-08-20",46
"23","2010-08-23",45.25
"24","2010-08-24",44.82
"25","2010-08-25",45.080002
"26","2010-08-26",45.369999
"27","2010-08-27",46.459999
"28","2010-08-30",45.580002
"29","2010-08-31",45.259998
"30","2010-09-01",47
"31","2010-09-02",49
"32","2010-09-03",49.849998
"33","2010-09-07",50.220001
"34","2010-09-08",50.490002
"35","2010-09-09",51.610001
"36","2010-09-10",51.91
"37","2010-09-13",52.650002
"38","2010-09-14",53.68
"39","2010-09-15",53
"40","2010-09-16",52.689999
"41","2010-09-17",52.709999
"42","2010-09-20",52.07
"43","2010-09-21",51.68
"44","2010-09-22",49.740002
"45","2010-09-23",51.490002
"46","2010-09-24",52
"47","2010-09-27",52.240002
"48","2010-09-28",51.139999
"49","2010-09-29",51.630001
"50","2010-09-30",48.48
"51","2010-10-01",48.849998
"52","2010-10-04",46.099998
"53","2010-10-05",45.080002
"54","2010-10-06",46.150002
"55","2010-10-07",48.220001
"56","2010-10-08",48.470001
"57","2010-10-11",48.34
"58","2010-10-12",47.700001
"59","2010-10-13",48.16
"60","2010-10-14",48.080002
"61","2010-10-15",49.009998
"62","2010-10-18",50.939999
"63","2010-10-19",48.32
"64","2010-10-20",48.639999
"65","2010-10-21",49.220001
"66","2010-10-22",49.82
"67","2010-10-25",50.599998
"68","2010-10-26",49.869999
"69","2010-10-27",50.009998
"70","2010-10-28",49.169998
"71","2010-10-29",50.799999
"72","2010-11-01",52.299999
"73","2010-11-02",54.43
"74","2010-11-03",55.5
"75","2010-11-04",53.119999
"76","2010-11-05",52.98
"77","2010-11-08",53.959999
"78","2010-11-09",54.349998
"79","2010-11-10",54.580002
"80","2010-11-11",54.360001
"81","2010-11-12",54.220001
"82","2010-11-15",54
"83","2010-11-16",52.709999
"84","2010-11-17",52.869999
"85","2010-11-18",53.349998
"86","2010-11-19",53.509998
"87","2010-11-22",52.490002
"88","2010-11-23",52.84
"89","2010-11-24",53.5
"90","2010-11-26",53.880001
"91","2010-11-29",55.279999
"92","2010-11-30",57.880001
"93","2010-12-01",59.650002
"94","2010-12-02",59.709999
"95","2010-12-03",62.889999
"96","2010-12-06",64.68
"97","2010-12-07",62.66
"98","2010-12-08",54.610001
"99","2010-12-09",54.029999
"100","2010-12-10",54.009998
"101","2010-12-13",54.799999
"102","2010-12-14",51.700001
"103","2010-12-15",51.84
"104","2010-12-16",52.639999
"105","2010-12-17",53.950001
"106","2010-12-20",51.389999
"107","2010-12-21",50.799999
"108","2010-12-22",51.07
"109","2010-12-23",50.98
"110","2010-12-27",50.860001
"111","2010-12-28",50.619999
"112","2010-12-29",53.939999
"113","2010-12-30",55.099998
