"","date","GEL"
"1","2007-01-03",19.549999
"2","2007-01-04",19.540001
"3","2007-01-05",19.09
"4","2007-01-08",19.309999
"5","2007-01-09",19.200001
"6","2007-01-10",19.120001
"7","2007-01-11",19.09
"8","2007-01-12",19.549999
"9","2007-01-16",19.5
"10","2007-01-17",19.57
"11","2007-01-18",19.49
"12","2007-01-19",19.52
"13","2007-01-22",19.5
"14","2007-01-23",19.5
"15","2007-01-24",19.5
"16","2007-01-25",19.700001
"17","2007-01-26",19.6
"18","2007-01-29",19.879999
"19","2007-01-30",19.799999
"20","2007-01-31",19.799999
"21","2007-02-01",19.77
"22","2007-02-02",19.84
"23","2007-02-05",19.790001
"24","2007-02-06",19.92
"25","2007-02-07",19.91
"26","2007-02-08",19.969999
"27","2007-02-09",19.950001
"28","2007-02-12",19.75
"29","2007-02-13",19.790001
"30","2007-02-14",19.75
"31","2007-02-15",19.51
"32","2007-02-16",19.709999
"33","2007-02-20",19.309999
"34","2007-02-21",19.24
"35","2007-02-22",19.299999
"36","2007-02-23",19.6
"37","2007-02-26",19.6
"38","2007-02-27",19.35
"39","2007-02-28",19.65
"40","2007-03-01",19.49
"41","2007-03-02",19.49
"42","2007-03-05",18.950001
"43","2007-03-06",19.01
"44","2007-03-07",19.120001
"45","2007-03-08",19.25
"46","2007-03-09",20
"47","2007-03-12",20.639999
"48","2007-03-13",20.5
"49","2007-03-14",20.309999
"50","2007-03-15",20.5
"51","2007-03-16",21.25
"52","2007-03-19",21.25
"53","2007-03-20",21.469999
"54","2007-03-21",21.200001
"55","2007-03-22",21.5
"56","2007-03-23",21.209999
"57","2007-03-26",21.200001
"58","2007-03-27",21.190001
"59","2007-03-28",21.379999
"60","2007-03-29",21.309999
"61","2007-03-30",21.34
"62","2007-04-02",21.35
"63","2007-04-03",21.290001
"64","2007-04-04",21.4
"65","2007-04-05",22.030001
"66","2007-04-09",21.27
"67","2007-04-10",21.139999
"68","2007-04-11",20.77
"69","2007-04-12",20.74
"70","2007-04-13",20.65
"71","2007-04-16",20.5
"72","2007-04-17",20.799999
"73","2007-04-18",21.950001
"74","2007-04-19",22
"75","2007-04-20",22
"76","2007-04-23",21.98
"77","2007-04-24",21.85
"78","2007-04-25",22.24
"79","2007-04-26",26.639999
"80","2007-04-27",29.9
"81","2007-04-30",30.41
"82","2007-05-01",30.299999
"83","2007-05-02",30.200001
"84","2007-05-03",28.92
"85","2007-05-04",31.51
"86","2007-05-07",32.700001
"87","2007-05-08",33.599998
"88","2007-05-09",33.369999
"89","2007-05-10",35.040001
"90","2007-05-11",34.93
"91","2007-05-14",35.349998
"92","2007-05-15",34.41
"93","2007-05-16",32.91
"94","2007-05-17",32.560001
"95","2007-05-18",31.309999
"96","2007-05-21",32.810001
"97","2007-05-22",32.490002
"98","2007-05-23",33.369999
"99","2007-05-24",32.529999
"100","2007-05-25",34.16
"101","2007-05-29",34.810001
"102","2007-05-30",35.040001
"103","2007-05-31",35.299999
"104","2007-06-01",34.150002
"105","2007-06-04",34.939999
"106","2007-06-05",34.66
"107","2007-06-06",33.080002
"108","2007-06-07",32
"109","2007-06-08",33.360001
"110","2007-06-11",33.25
"111","2007-06-12",33.220001
"112","2007-06-13",33.25
"113","2007-06-14",33.709999
"114","2007-06-15",32.869999
"115","2007-06-18",33
"116","2007-06-19",33.060001
"117","2007-06-20",33.34
"118","2007-06-21",33.919998
"119","2007-06-22",33.259998
"120","2007-06-25",33.09
"121","2007-06-26",34.5
"122","2007-06-27",35.150002
"123","2007-06-28",35
"124","2007-06-29",34.880001
"125","2007-07-02",34.939999
"126","2007-07-03",35.139999
"127","2007-07-05",35.990002
"128","2007-07-06",36.450001
"129","2007-07-09",36.119999
"130","2007-07-10",36.299999
"131","2007-07-11",37.169998
"132","2007-07-12",37
"133","2007-07-13",36.91
"134","2007-07-16",36.950001
"135","2007-07-17",36.310001
"136","2007-07-18",35.509998
"137","2007-07-19",35.82
"138","2007-07-20",35.580002
"139","2007-07-23",35.799999
"140","2007-07-24",35.75
"141","2007-07-25",35.009998
"142","2007-07-26",34.91
"143","2007-07-27",34.599998
"144","2007-07-30",34.5
"145","2007-07-31",35.200001
"146","2007-08-01",34.75
"147","2007-08-02",33.400002
"148","2007-08-03",32.41
"149","2007-08-06",31.16
"150","2007-08-07",31.049999
"151","2007-08-08",31.75
"152","2007-08-09",30.540001
"153","2007-08-10",30.1
"154","2007-08-13",31.700001
"155","2007-08-14",31.4
"156","2007-08-15",31.15
"157","2007-08-16",29.35
"158","2007-08-17",28.5
"159","2007-08-20",27.219999
"160","2007-08-21",28.5
"161","2007-08-22",29.17
"162","2007-08-23",29.610001
"163","2007-08-24",30.26
"164","2007-08-27",30.139999
"165","2007-08-28",29.370001
"166","2007-08-29",30.290001
"167","2007-08-30",28.75
"168","2007-08-31",29.5
"169","2007-09-04",30.15
"170","2007-09-05",30.01
"171","2007-09-06",29.950001
"172","2007-09-07",29.860001
"173","2007-09-10",30.030001
"174","2007-09-11",29.99
"175","2007-09-12",29.4
"176","2007-09-13",29.610001
"177","2007-09-14",29.9
"178","2007-09-17",29.99
"179","2007-09-18",30.120001
"180","2007-09-19",30.15
"181","2007-09-20",30
"182","2007-09-21",29.700001
"183","2007-09-24",29.25
"184","2007-09-25",28.9
"185","2007-09-26",28.450001
"186","2007-09-27",28.4
"187","2007-09-28",27.85
"188","2007-10-01",28.620001
"189","2007-10-02",26.299999
"190","2007-10-03",24.799999
"191","2007-10-04",25
"192","2007-10-05",25.059999
"193","2007-10-08",25.1
"194","2007-10-09",25.51
"195","2007-10-10",25.75
"196","2007-10-11",25.65
"197","2007-10-12",25.530001
"198","2007-10-15",25.65
"199","2007-10-16",25.440001
"200","2007-10-17",25.32
"201","2007-10-18",25.58
"202","2007-10-19",25.41
"203","2007-10-22",25.43
"204","2007-10-23",25.59
"205","2007-10-24",25.450001
"206","2007-10-25",25.700001
"207","2007-10-26",25.85
"208","2007-10-29",26.379999
"209","2007-10-30",26.25
"210","2007-10-31",25.5
"211","2007-11-01",25.66
"212","2007-11-02",25.42
"213","2007-11-05",25.549999
"214","2007-11-06",25.540001
"215","2007-11-07",25.459999
"216","2007-11-08",25.219999
"217","2007-11-09",25.25
"218","2007-11-12",24.9
"219","2007-11-13",24.950001
"220","2007-11-14",24.870001
"221","2007-11-15",24.719999
"222","2007-11-16",25.09
"223","2007-11-19",24.5
"224","2007-11-20",23.6
"225","2007-11-21",22.9
"226","2007-11-23",22.5
"227","2007-11-26",22.52
"228","2007-11-27",21.75
"229","2007-11-28",20.74
"230","2007-11-29",21
"231","2007-11-30",22.200001
"232","2007-12-03",22.440001
"233","2007-12-04",22
"234","2007-12-05",23.68
"235","2007-12-06",24.82
"236","2007-12-07",25.1
"237","2007-12-10",24.969999
"238","2007-12-11",25.01
"239","2007-12-12",24.99
"240","2007-12-13",24.42
"241","2007-12-14",24.860001
"242","2007-12-17",24.5
"243","2007-12-18",24.52
"244","2007-12-19",24.75
"245","2007-12-20",24.780001
"246","2007-12-21",24.860001
"247","2007-12-24",24.75
"248","2007-12-26",24.040001
"249","2007-12-27",24.01
"250","2007-12-28",23.57
"251","2007-12-31",23.5
"252","2008-01-02",24.440001
"253","2008-01-03",24.68
"254","2008-01-04",23.91
"255","2008-01-07",23.299999
"256","2008-01-08",23.4
"257","2008-01-09",23.35
"258","2008-01-10",23.190001
"259","2008-01-11",22.92
"260","2008-01-14",23.360001
"261","2008-01-15",23.09
"262","2008-01-16",22.67
"263","2008-01-17",22.35
"264","2008-01-18",22.18
"265","2008-01-22",22.42
"266","2008-01-23",21.84
"267","2008-01-24",21.889999
"268","2008-01-25",21.75
"269","2008-01-28",21.370001
"270","2008-01-29",21.379999
"271","2008-01-30",21.35
"272","2008-01-31",21.42
"273","2008-02-01",21.73
"274","2008-02-04",21.58
"275","2008-02-05",20.83
"276","2008-02-06",20.75
"277","2008-02-07",20.92
"278","2008-02-08",20.73
"279","2008-02-11",20.469999
"280","2008-02-12",20.290001
"281","2008-02-13",20.5
"282","2008-02-14",21.190001
"283","2008-02-15",21.200001
"284","2008-02-19",21.33
"285","2008-02-20",21.809999
"286","2008-02-21",21.43
"287","2008-02-22",21.379999
"288","2008-02-25",22.030001
"289","2008-02-26",21.84
"290","2008-02-27",21.940001
"291","2008-02-28",21.84
"292","2008-02-29",21.5
"293","2008-03-03",21.76
"294","2008-03-04",21.049999
"295","2008-03-05",20.620001
"296","2008-03-06",20.66
"297","2008-03-07",20.43
"298","2008-03-10",20.139999
"299","2008-03-11",20.42
"300","2008-03-12",20.190001
"301","2008-03-13",20.08
"302","2008-03-14",19.35
