"","date","GFN"
"1","2007-01-03",7.55
"2","2007-01-04",7.55
"3","2007-01-05",7.55
"4","2007-01-08",7.46
"5","2007-01-09",7.46
"6","2007-01-10",7.59
"7","2007-01-11",7.6
"8","2007-01-12",7.6
"9","2007-01-16",7.6
"10","2007-01-17",7.6
"11","2007-01-18",7.7
"12","2007-01-19",7.69
"13","2007-01-22",7.7
"14","2007-01-23",7.69
"15","2007-01-24",7.73
"16","2007-01-25",7.73
"17","2007-01-26",7.73
"18","2007-01-29",7.68
"19","2007-01-30",7.68
"20","2007-01-31",7.68
"21","2007-02-01",7.64
"22","2007-02-02",7.64
"23","2007-02-05",7.64
"24","2007-02-06",7.75
"25","2007-02-07",7.74
"26","2007-02-08",7.75
"27","2007-02-09",7.75
"28","2007-02-12",7.95
"29","2007-02-13",7.8
"30","2007-02-14",7.83
"31","2007-02-15",7.83
"32","2007-02-16",7.75
"33","2007-02-20",7.79
"34","2007-02-21",7.85
"35","2007-02-22",7.9
"36","2007-02-23",7.9
"37","2007-02-26",7.89
"38","2007-02-27",7.9
"39","2007-02-28",7.9
"40","2007-03-01",7.9
"41","2007-03-02",7.9
"42","2007-03-05",7.85
"43","2007-03-06",7.6
"44","2007-03-07",7.7
"45","2007-03-08",7.7
"46","2007-03-09",7.7
"47","2007-03-12",7.7
"48","2007-03-13",7.65
"49","2007-03-14",7.65
"50","2007-03-15",7.68
"51","2007-03-16",7.68
"52","2007-03-19",7.6
"53","2007-03-20",7.6
"54","2007-03-21",7.58
"55","2007-03-22",7.53
"56","2007-03-23",7.63
"57","2007-03-26",7.55
"58","2007-03-27",7.5
"59","2007-03-28",7.5
"60","2007-03-29",7.51
"61","2007-03-30",7.58
"62","2007-04-02",7.62
"63","2007-04-03",7.74
"64","2007-04-04",7.92
"65","2007-04-05",7.84
"66","2007-04-09",7.85
"67","2007-04-10",7.9
"68","2007-04-11",7.9
"69","2007-04-12",7.85
"70","2007-04-13",7.92
"71","2007-04-16",7.91
"72","2007-04-17",7.9
"73","2007-04-18",7.86
"74","2007-04-19",7.89
"75","2007-04-20",7.89
"76","2007-04-23",7.8
"77","2007-04-24",7.85
"78","2007-04-25",7.8
"79","2007-04-26",7.8
"80","2007-04-27",7.85
"81","2007-04-30",7.85
"82","2007-05-01",7.81
"83","2007-05-02",7.81
"84","2007-05-03",7.8
"85","2007-05-04",7.85
"86","2007-05-07",7.8
"87","2007-05-08",7.75
"88","2007-05-09",7.78
"89","2007-05-10",7.75
"90","2007-05-11",7.8
"91","2007-05-14",7.77
"92","2007-05-15",7.69
"93","2007-05-16",7.69
"94","2007-05-17",7.63
"95","2007-05-18",7.62
"96","2007-05-21",7.56
"97","2007-05-22",7.85
"98","2007-05-23",7.73
"99","2007-05-24",7.79
"100","2007-05-25",7.78
"101","2007-05-29",7.79
"102","2007-05-30",7.76
"103","2007-05-31",7.8
"104","2007-06-01",7.76
"105","2007-06-04",7.75
"106","2007-06-05",7.85
"107","2007-06-06",7.9
"108","2007-06-07",7.85
"109","2007-06-08",7.86
"110","2007-06-11",7.85
"111","2007-06-12",7.95
"112","2007-06-13",7.9
"113","2007-06-14",7.89
"114","2007-06-15",7.89
"115","2007-06-18",7.89
"116","2007-06-19",7.88
"117","2007-06-20",7.85
"118","2007-06-21",7.85
"119","2007-06-22",7.9
"120","2007-06-25",7.88
"121","2007-06-26",7.88
"122","2007-06-27",7.88
"123","2007-06-28",7.9
"124","2007-06-29",7.87
"125","2007-07-02",7.87
"126","2007-07-03",7.87
"127","2007-07-05",7.9
"128","2007-07-06",7.86
"129","2007-07-09",7.85
"130","2007-07-10",7.85
"131","2007-07-11",7.9
"132","2007-07-12",7.85
"133","2007-07-13",7.82
"134","2007-07-16",7.85
"135","2007-07-17",7.85
"136","2007-07-18",7.85
"137","2007-07-19",7.9
"138","2007-07-20",7.8
"139","2007-07-23",7.75
"140","2007-07-24",7.75
"141","2007-07-25",7.75
"142","2007-07-26",7.75
"143","2007-07-27",7.65
"144","2007-07-30",7.65
"145","2007-07-31",7.7
"146","2007-08-01",7.43
"147","2007-08-02",7.5
"148","2007-08-03",7.5
"149","2007-08-06",7.44
"150","2007-08-07",7.5
"151","2007-08-08",7.7
"152","2007-08-09",7.7
"153","2007-08-10",7.85
"154","2007-08-13",7.85
"155","2007-08-14",7.85
"156","2007-08-15",7.85
"157","2007-08-16",7.7
"158","2007-08-17",7.75
"159","2007-08-20",7.75
"160","2007-08-21",7.65
"161","2007-08-22",7.75
"162","2007-08-23",7.75
"163","2007-08-24",7.8
"164","2007-08-27",7.85
"165","2007-08-28",7.85
"166","2007-08-29",7.75
"167","2007-08-30",7.65
"168","2007-08-31",7.8
"169","2007-09-04",7.72
"170","2007-09-05",7.72
"171","2007-09-06",7.7
"172","2007-09-07",7.75
"173","2007-09-10",7.9
"174","2007-09-11",8
"175","2007-09-12",7.95
"176","2007-09-13",7.86
"177","2007-09-14",7.94
"178","2007-09-17",7.94
"179","2007-09-18",7.95
"180","2007-09-19",7.95
"181","2007-09-20",7.94
"182","2007-09-21",7.93
"183","2007-09-24",7.89
"184","2007-09-25",7.78
"185","2007-09-26",7.95
"186","2007-09-27",8
"187","2007-09-28",8
"188","2007-10-01",7.9
"189","2007-10-02",7.95
"190","2007-10-03",7.9
"191","2007-10-04",7.95
"192","2007-10-05",7.96
"193","2007-10-08",8
"194","2007-10-09",8
"195","2007-10-10",8
"196","2007-10-11",8.03
"197","2007-10-12",8.2
"198","2007-10-15",8.12
"199","2007-10-16",8.15
"200","2007-10-17",8.75
"201","2007-10-18",9.6
"202","2007-10-19",9.5
"203","2007-10-22",9.6
"204","2007-10-23",9.55
"205","2007-10-24",9.35
"206","2007-10-25",9.25
"207","2007-10-26",9.25
"208","2007-10-29",9.24
"209","2007-10-30",9.35
"210","2007-10-31",9.35
"211","2007-11-01",9.4
"212","2007-11-02",9.5
"213","2007-11-05",9.55
"214","2007-11-06",9.63
"215","2007-11-07",9.75
"216","2007-11-08",9.89
"217","2007-11-09",9.65
"218","2007-11-12",9.6
"219","2007-11-13",9.4
"220","2007-11-14",9.4
"221","2007-11-15",9.3
"222","2007-11-16",9.24
"223","2007-11-19",9.07
"224","2007-11-20",8.95
"225","2007-11-21",8.86
"226","2007-11-23",8.85
"227","2007-11-26",8.65
"228","2007-11-27",8.5
