"","date","GIX"
"1","2019-07-01",9.68
"2","2019-07-02",9.7
"3","2019-07-03",9.7
"4","2019-07-05",9.68
"5","2019-07-08",9.7
"6","2019-07-09",9.77
"7","2019-07-10",9.8
"8","2019-07-11",9.8
"9","2019-07-12",9.75
"10","2019-07-15",9.75
"11","2019-07-16",9.76
"12","2019-07-17",9.76
"13","2019-07-18",9.76
"14","2019-07-19",9.76
"15","2019-07-22",9.78
"16","2019-07-23",9.78
"17","2019-07-24",9.78
"18","2019-07-25",9.78
"19","2019-07-26",9.74
"20","2019-07-29",9.77
"21","2019-07-30",9.83
"22","2019-07-31",9.8
"23","2019-08-01",9.8
"24","2019-08-02",9.8
"25","2019-08-05",9.8
"26","2019-08-06",9.78
"27","2019-08-07",9.76
"28","2019-08-08",9.78
"29","2019-08-09",9.76
"30","2019-08-12",9.78
"31","2019-08-13",9.78
"32","2019-08-14",10
"33","2019-08-15",9.86
"34","2019-08-16",9.86
"35","2019-08-19",9.86
"36","2019-08-20",9.81
"37","2019-08-21",9.78
"38","2019-08-22",9.78
"39","2019-08-23",9.78
"40","2019-08-26",9.79
"41","2019-08-27",9.8
"42","2019-08-28",9.8
"43","2019-08-29",9.798
"44","2019-08-30",9.81
"45","2019-09-03",9.81
"46","2019-09-04",9.82
"47","2019-09-05",9.82
"48","2019-09-06",9.83
"49","2019-09-09",9.82
"50","2019-09-10",9.83
"51","2019-09-11",9.84
"52","2019-09-12",9.84
"53","2019-09-13",9.83
"54","2019-09-16",9.85
"55","2019-09-17",9.83
"56","2019-09-18",9.83
"57","2019-09-19",9.86
"58","2019-09-20",9.85
"59","2019-09-23",9.82
"60","2019-09-24",9.85
"61","2019-09-25",9.85
"62","2019-09-26",9.87
"63","2019-09-27",9.84
"64","2019-09-30",9.83
"65","2019-10-01",9.83
"66","2019-10-02",9.85
"67","2019-10-03",9.839
"68","2019-10-04",9.839
"69","2019-10-07",9.839
"70","2019-10-08",9.85
"71","2019-10-09",9.85
"72","2019-10-10",9.87
"73","2019-10-11",9.87
"74","2019-10-14",9.83
"75","2019-10-15",9.84
"76","2019-10-16",9.84
"77","2019-10-17",9.84
"78","2019-10-18",9.87
"79","2019-10-21",9.87
"80","2019-10-22",9.849
"81","2019-10-23",9.88
"82","2019-10-24",9.85
"83","2019-10-25",9.83
"84","2019-10-28",9.83
"85","2019-10-29",9.85
"86","2019-10-30",9.85
"87","2019-10-31",9.859
"88","2019-11-01",9.859
"89","2019-11-04",9.88
